"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.1.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Rondônia - 2010",,,,,,,,,,"Tabela 4.1.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Rondônia - 2010",,,,,,,,,,"Tabela 4.1.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Rondônia - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total","1 294 956 "," 118 064 "," 251 411 "," 259 824 "," 158 914 "," 46 089 "," 13 290 "," 6 127 "," 441 238 ","Total"," 774 821 "," 63 352 "," 172 637 "," 241 065 "," 151 287 "," 43 293 "," 12 785 "," 5 923 "," 84 479 ","Total"," 520 136 "," 54 712 "," 78 775 "," 18 760 "," 7 627 "," 2 795 ","  505 ","  204 "," 356 759 ",11
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Leste Rondoniense"," 792 224 "," 81 709 "," 171 689 "," 156 431 "," 87 680 "," 22 478 "," 5 692 "," 2 820 "," 263 724 ","Leste Rondoniense"," 475 079 "," 45 885 "," 113 186 "," 144 040 "," 84 271 "," 21 429 "," 5 510 "," 2 719 "," 58 039 ","Leste Rondoniense"," 317 144 "," 35 823 "," 58 503 "," 12 391 "," 3 409 "," 1 049 ","  183 ","  101 "," 205 684 ",1102
"Madeira-Guaporé"," 502 733 "," 36 355 "," 79 722 "," 103 393 "," 71 234 "," 23 610 "," 7 598 "," 3 307 "," 177 514 ","Madeira-Guaporé"," 299 741 "," 17 467 "," 59 451 "," 97 025 "," 67 016 "," 21 864 "," 7 276 "," 3 204 "," 26 439 ","Madeira-Guaporé"," 202 991 "," 18 888 "," 20 272 "," 6 368 "," 4 218 "," 1 746 ","  322 ","  103 "," 151 075 ",1101
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Alvorada D'Oeste"," 58 196 "," 9 449 "," 13 127 "," 9 021 "," 4 387 ","  935 ","  221 ","  245 "," 20 812 ","Alvorada D'Oeste"," 34 163 "," 5 649 "," 8 850 "," 8 241 "," 4 280 ","  907 ","  216 ","  245 "," 5 775 ","Alvorada D'Oeste"," 24 034 "," 3 800 "," 4 277 ","  780 ","  107 ","  27 ","  5 ","- "," 15 037 ",11005
"Ariquemes"," 140 324 "," 14 437 "," 28 750 "," 28 430 "," 15 450 "," 3 800 ","  900 ","  494 "," 48 063 ","Ariquemes"," 84 829 "," 8 071 "," 20 554 "," 26 613 "," 15 014 "," 3 703 ","  884 ","  469 "," 9 521 ","Ariquemes"," 55 495 "," 6 366 "," 8 196 "," 1 816 ","  436 ","  97 ","  17 ","  26 "," 38 542 ",11003
"Cacoal"," 191 544 "," 20 066 "," 42 076 "," 37 042 "," 20 347 "," 5 372 "," 1 365 ","  574 "," 64 703 ","Cacoal"," 112 686 "," 11 297 "," 26 597 "," 33 840 "," 19 559 "," 5 035 "," 1 310 ","  563 "," 14 487 ","Cacoal"," 78 858 "," 8 770 "," 15 479 "," 3 202 ","  789 ","  337 ","  55 ","  10 "," 50 216 ",11006
"Colorado do Oeste"," 44 785 "," 5 319 "," 11 401 "," 7 845 "," 4 579 ","  874 ","  239 ","  93 "," 14 436 ","Colorado do Oeste"," 25 696 "," 2 932 "," 7 154 "," 7 018 "," 4 330 ","  831 ","  233 ","  88 "," 3 109 ","Colorado do Oeste"," 19 089 "," 2 387 "," 4 247 ","  826 ","  249 ","  42 ","  6 ","  4 "," 11 327 ",11008
"Guajará-Mirim"," 56 744 "," 6 712 "," 11 468 "," 9 457 "," 5 067 "," 1 613 ","  360 ","  82 "," 21 986 ","Guajará-Mirim"," 31 351 "," 3 671 "," 8 635 "," 8 713 "," 4 590 "," 1 475 ","  349 ","  82 "," 3 835 ","Guajará-Mirim"," 25 393 "," 3 041 "," 2 833 ","  744 ","  476 ","  138 ","  11 ","- "," 18 151 ",11002
"Ji-Paraná"," 246 925 "," 23 705 "," 53 167 "," 49 570 "," 27 303 "," 7 552 "," 1 908 ","  772 "," 82 948 ","Ji-Paraná"," 147 629 "," 13 464 "," 34 519 "," 45 338 "," 26 020 "," 7 181 "," 1 847 ","  734 "," 18 526 ","Ji-Paraná"," 99 297 "," 10 241 "," 18 649 "," 4 232 "," 1 283 ","  371 ","  61 ","  38 "," 64 422 ",11004
"Porto Velho"," 445 989 "," 29 643 "," 68 254 "," 93 936 "," 66 167 "," 21 997 "," 7 238 "," 3 225 "," 155 528 ","Porto Velho"," 268 391 "," 13 796 "," 50 816 "," 88 312 "," 62 425 "," 20 389 "," 6 927 "," 3 122 "," 22 604 ","Porto Velho"," 177 598 "," 15 848 "," 17 439 "," 5 624 "," 3 741 "," 1 608 ","  311 ","  103 "," 132 924 ",11001
"Vilhena"," 110 449 "," 8 733 "," 23 168 "," 24 524 "," 15 613 "," 3 946 "," 1 060 ","  642 "," 32 762 ","Vilhena"," 70 077 "," 4 474 "," 15 513 "," 22 990 "," 15 069 "," 3 771 "," 1 020 ","  620 "," 6 621 ","Vilhena"," 40 372 "," 4 259 "," 7 655 "," 1 534 ","  545 ","  175 ","  39 ","  23 "," 26 141 ",11007
"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,
"Alta Floresta D'Oeste"," 20 434 "," 2 559 "," 4 642 "," 3 525 "," 1 587 ","  345 ","  76 ","  39 "," 7 662 ","Alta Floresta D'Oeste"," 10 526 "," 1 376 "," 2 764 "," 3 161 "," 1 560 ","  345 ","  76 ","  39 "," 1 205 ","Alta Floresta D'Oeste"," 9 908 "," 1 183 "," 1 878 ","  363 ","  27 ","- ","- ","- "," 6 457 ",1100015
"Alto Alegre dos Parecis"," 10 425 "," 1 821 "," 2 058 "," 1 406 ","  787 ","  157 ","  10 ","  4 "," 4 181 ","Alto Alegre dos Parecis"," 6 148 "," 1 296 "," 1 333 "," 1 233 ","  758 ","  157 ","  10 ","  4 "," 1 357 ","Alto Alegre dos Parecis"," 4 277 ","  526 ","  725 ","  173 ","  29 ","- ","- ","- "," 2 824 ",1100379
"Alto Paraíso"," 14 005 "," 2 502 "," 3 338 "," 2 561 "," 1 400 ","  264 ","  58 ","  37 "," 3 844 ","Alto Paraíso"," 9 014 "," 1 553 "," 2 521 "," 2 395 "," 1 385 ","  258 ","  58 ","  32 ","  813 ","Alto Paraíso"," 4 991 ","  949 ","  818 ","  166 ","  15 ","  6 ","- ","  5 "," 3 032 ",1100403
"Alvorada D'Oeste"," 14 059 "," 2 174 "," 3 341 "," 2 421 "," 1 178 ","  235 ","  84 ","  38 "," 4 588 ","Alvorada D'Oeste"," 7 567 ","  921 "," 1 991 "," 2 220 "," 1 141 ","  235 ","  79 ","  38 ","  941 ","Alvorada D'Oeste"," 6 492 "," 1 252 "," 1 350 ","  201 ","  37 ","- ","  5 ","- "," 3 648 ",1100346
"Ariquemes"," 74 725 "," 5 192 "," 14 742 "," 17 050 "," 9 502 "," 2 656 ","  604 ","  377 "," 24 602 ","Ariquemes"," 45 162 "," 2 382 "," 10 515 "," 16 166 "," 9 234 "," 2 581 ","  588 ","  357 "," 3 339 ","Ariquemes"," 29 563 "," 2 810 "," 4 227 ","  884 ","  268 ","  74 ","  17 ","  20 "," 21 264 ",1100023
"Buritis"," 26 103 "," 3 318 "," 5 586 "," 5 339 "," 2 304 ","  512 ","  163 ","  32 "," 8 849 ","Buritis"," 16 916 "," 2 089 "," 4 235 "," 5 069 "," 2 254 ","  512 ","  152 ","  32 "," 2 573 ","Buritis"," 9 187 "," 1 229 "," 1 351 ","  270 ","  50 ","- ","  11 ","- "," 6 277 ",1100452
"Cabixi"," 5 291 ","  613 "," 1 420 ","  856 ","  436 ","  77 ","  37 ","  10 "," 1 841 ","Cabixi"," 2 867 ","  336 ","  892 ","  734 ","  417 ","  73 ","  37 ","  10 ","  367 ","Cabixi"," 2 424 ","  277 ","  528 ","  122 ","  19 ","  4 ","- ","- "," 1 474 ",1100031
"Cacaulândia"," 4 694 ","  541 "," 1 110 ","  791 ","  431 ","  94 ","  19 ","  12 "," 1 696 ","Cacaulândia"," 2 988 ","  398 ","  790 ","  750 ","  415 ","  94 ","  19 ","  12 ","  508 ","Cacaulândia"," 1 707 ","  143 ","  319 ","  41 ","  16 ","- ","- ","- "," 1 188 ",1100601
"Cacoal"," 66 376 "," 5 684 "," 13 283 "," 13 879 "," 8 338 "," 2 295 ","  677 ","  326 "," 21 893 ","Cacoal"," 39 977 "," 3 213 "," 8 550 "," 12 677 "," 7 970 "," 2 140 ","  628 ","  316 "," 4 484 ","Cacoal"," 26 398 "," 2 472 "," 4 733 "," 1 202 ","  368 ","  155 ","  49 ","  10 "," 17 410 ",1100049
"Campo Novo de Rondônia"," 10 084 "," 1 210 "," 1 949 "," 1 756 ","  733 ","  172 ","  35 ","  38 "," 4 192 ","Campo Novo de Rondônia"," 5 659 ","  646 "," 1 409 "," 1 657 ","  724 ","  172 ","  35 ","  38 ","  979 ","Campo Novo de Rondônia"," 4 425 ","  564 ","  540 ","  99 ","  10 ","- ","- ","- "," 3 213 ",1100700
"Candeias do Jamari"," 15 803 "," 1 217 "," 3 213 "," 3 239 "," 1 673 ","  388 ","  67 ","  13 "," 5 993 ","Candeias do Jamari"," 8 775 ","  431 "," 2 212 "," 3 063 "," 1 612 ","  339 ","  61 ","  13 "," 1 042 ","Candeias do Jamari"," 7 028 ","  785 "," 1 000 ","  177 ","  60 ","  49 ","  6 ","- "," 4 951 ",1100809
"Castanheiras"," 3 034 ","  305 ","  791 ","  509 ","  249 ","  75 ","  6 ","  5 "," 1 093 ","Castanheiras"," 1 769 ","  193 ","  506 ","  452 ","  234 ","  72 ","  6 ","  5 ","  301 ","Castanheiras"," 1 265 ","  113 ","  285 ","  57 ","  15 ","  4 ","- ","- ","  792 ",1100908
"Cerejeiras"," 14 454 "," 1 729 "," 3 836 "," 2 518 "," 1 665 ","  284 ","  81 ","  51 "," 4 290 ","Cerejeiras"," 8 670 ","  926 "," 2 525 "," 2 233 "," 1 585 ","  277 ","  76 ","  47 "," 1 000 ","Cerejeiras"," 5 784 ","  803 "," 1 312 ","  284 ","  80 ","  7 ","  4 ","  4 "," 3 290 ",1100056
"Chupinguaia"," 6 699 ","  558 "," 1 310 "," 1 646 ","  751 ","  128 ","  21 ","  13 "," 2 272 ","Chupinguaia"," 4 420 ","  309 ","  982 "," 1 590 ","  736 ","  128 ","  21 ","  13 ","  641 ","Chupinguaia"," 2 279 ","  250 ","  328 ","  56 ","  15 ","- ","- ","- "," 1 631 ",1100924
"Colorado do Oeste"," 15 769 "," 1 610 "," 3 883 "," 2 878 "," 1 616 ","  365 ","  87 ","  20 "," 5 311 ","Colorado do Oeste"," 8 837 ","  874 "," 2 281 "," 2 588 "," 1 507 ","  343 ","  87 ","  20 "," 1 137 ","Colorado do Oeste"," 6 932 ","  735 "," 1 602 ","  290 ","  109 ","  22 ","- ","- "," 4 174 ",1100064
"Corumbiara"," 7 419 "," 1 138 "," 1 852 "," 1 248 ","  621 ","  110 ","  24 ","  10 "," 2 417 ","Corumbiara"," 4 243 ","  693 "," 1 199 "," 1 137 ","  595 ","  105 ","  24 ","  10 ","  480 ","Corumbiara"," 3 176 ","  445 ","  653 ","  111 ","  26 ","  4 ","- ","- "," 1 937 ",1100072
"Costa Marques"," 10 775 "," 1 532 "," 2 293 "," 1 760 ","  763 ","  220 ","  26 ","  9 "," 4 171 ","Costa Marques"," 6 262 ","  952 "," 1 859 "," 1 655 ","  727 ","  200 ","  26 ","  9 ","  835 ","Costa Marques"," 4 513 ","  580 ","  435 ","  105 ","  37 ","  21 ","- ","- "," 3 337 ",1100080
"Cujubim"," 12 508 "," 1 428 "," 2 272 "," 2 499 "," 1 397 ","  354 ","  85 ","  29 "," 4 444 ","Cujubim"," 7 527 ","  777 "," 1 631 "," 2 387 "," 1 375 ","  345 ","  85 ","  29 ","  897 ","Cujubim"," 4 981 ","  651 ","  641 ","  112 ","  21 ","  9 ","- ","- "," 3 547 ",1100940
"Espigão D'Oeste"," 23 897 "," 2 512 "," 5 299 "," 4 915 "," 2 461 ","  746 ","  176 ","  51 "," 7 736 ","Espigão D'Oeste"," 15 048 "," 1 443 "," 3 742 "," 4 647 "," 2 412 ","  671 ","  176 ","  51 "," 1 907 ","Espigão D'Oeste"," 8 849 "," 1 069 "," 1 557 ","  268 ","  49 ","  75 ","- ","- "," 5 830 ",1100098
"Governador Jorge Teixeira"," 8 706 "," 1 212 "," 2 125 "," 1 228 ","  537 ","  139 ","  5 ","  12 "," 3 448 ","Governador Jorge Teixeira"," 4 609 ","  731 "," 1 300 "," 1 087 ","  529 ","  139 ","  5 ","  12 ","  807 ","Governador Jorge Teixeira"," 4 097 ","  481 ","  826 ","  141 ","  9 ","- ","- ","- "," 2 641 ",1101005
"Guajará-Mirim"," 33 017 "," 3 523 "," 6 232 "," 5 616 "," 3 153 "," 1 079 ","  239 ","  58 "," 13 118 ","Guajará-Mirim"," 16 843 "," 1 638 "," 4 565 "," 5 122 "," 2 737 ","  968 ","  229 ","  58 "," 1 527 ","Guajará-Mirim"," 16 174 "," 1 885 "," 1 667 ","  493 ","  416 ","  111 ","  11 ","- "," 11 591 ",1100106
"Itapuã do Oeste"," 6 887 "," 1 084 "," 1 343 "," 1 397 ","  668 ","  109 ","  11 ","  6 "," 2 270 ","Itapuã do Oeste"," 4 243 ","  542 ","  965 "," 1 292 ","  656 ","  109 ","  11 ","  6 ","  664 ","Itapuã do Oeste"," 2 644 ","  542 ","  379 ","  105 ","  12 ","- ","- ","- "," 1 606 ",1101104
"Jaru"," 43 210 "," 3 999 "," 9 159 "," 8 745 "," 4 894 "," 1 415 ","  291 ","  83 "," 14 624 ","Jaru"," 24 719 "," 2 078 "," 5 709 "," 8 027 "," 4 608 "," 1 326 ","  291 ","  83 "," 2 595 ","Jaru"," 18 491 "," 1 921 "," 3 449 ","  718 ","  285 ","  89 ","- ","- "," 12 028 ",1100114
"Ji-Paraná"," 97 571 "," 6 469 "," 19 109 "," 22 446 "," 13 185 "," 3 639 "," 1 133 ","  448 "," 31 143 ","Ji-Paraná"," 60 167 "," 3 217 "," 13 067 "," 20 933 "," 12 582 "," 3 483 "," 1 084 ","  422 "," 5 379 ","Ji-Paraná"," 37 403 "," 3 252 "," 6 042 "," 1 513 ","  603 ","  156 ","  48 ","  26 "," 25 764 ",1100122
"Machadinho D'Oeste"," 25 126 "," 3 401 "," 4 982 "," 4 043 "," 2 270 ","  400 ","  114 ","  37 "," 9 879 ","Machadinho D'Oeste"," 14 908 "," 2 140 "," 3 637 "," 3 680 "," 2 216 ","  393 ","  114 ","  37 "," 2 691 ","Machadinho D'Oeste"," 10 218 "," 1 261 "," 1 345 ","  363 ","  54 ","  7 ","- ","- "," 7 188 ",1100130
"Ministro Andreazza"," 8 531 "," 1 022 "," 1 676 "," 1 291 ","  772 ","  162 ","  30 ","  23 "," 3 554 ","Ministro Andreazza"," 4 644 ","  570 "," 1 018 "," 1 154 ","  751 ","  162 ","  30 ","  23 ","  935 ","Ministro Andreazza"," 3 887 ","  452 ","  658 ","  137 ","  21 ","- ","- ","- "," 2 619 ",1101203
"Mirante da Serra"," 9 809 "," 1 483 "," 2 436 "," 1 528 ","  763 ","  199 ","  22 ","  42 "," 3 337 ","Mirante da Serra"," 5 874 ","  998 "," 1 560 "," 1 384 ","  712 ","  186 ","  22 ","  42 ","  969 ","Mirante da Serra"," 3 936 ","  484 ","  876 ","  144 ","  51 ","  13 ","- ","- "," 2 368 ",1101302
