"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.2.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Acre - 2010",,,,,,,,,,"Tabela 4.2.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Acre - 2010",,,,,,,,,,"Tabela 4.2.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Acre - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total"," 573 909 "," 59 557 "," 111 703 "," 89 063 "," 48 315 "," 16 793 "," 5 334 "," 2 353 "," 240 790 ","Total"," 303 665 "," 29 491 "," 82 357 "," 78 843 "," 44 494 "," 15 311 "," 4 869 "," 2 129 "," 46 171 ","Total"," 270 244 "," 30 067 "," 29 347 "," 10 219 "," 3 821 "," 1 482 ","  465 ","  224 "," 194 619 ",12
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Vale do Acre"," 422 677 "," 38 830 "," 84 423 "," 71 285 "," 40 528 "," 14 374 "," 4 734 "," 1 985 "," 166 518 ","Vale do Acre"," 229 959 "," 18 059 "," 63 228 "," 63 685 "," 37 196 "," 13 026 "," 4 280 "," 1 761 "," 28 725 ","Vale do Acre"," 192 718 "," 20 771 "," 21 195 "," 7 600 "," 3 332 "," 1 347 ","  455 ","  224 "," 137 794 ",1202
"Vale do Juruá"," 151 232 "," 20 727 "," 27 281 "," 17 778 "," 7 787 "," 2 419 ","  600 ","  368 "," 74 272 ","Vale do Juruá"," 73 706 "," 11 432 "," 19 129 "," 15 159 "," 7 298 "," 2 285 ","  589 ","  368 "," 17 446 ","Vale do Juruá"," 77 526 "," 9 295 "," 8 152 "," 2 619 ","  489 ","  134 ","  11 ","- "," 56 826 ",1201
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Brasiléia"," 46 315 "," 6 319 "," 9 644 "," 6 420 "," 3 058 ","  903 ","  250 ","  77 "," 19 644 ","Brasiléia"," 24 178 "," 3 848 "," 6 787 "," 5 556 "," 2 807 ","  829 ","  238 ","  65 "," 4 048 ","Brasiléia"," 22 137 "," 2 470 "," 2 857 ","  865 ","  251 ","  74 ","  12 ","  12 "," 15 596 ",12005
"Cruzeiro do Sul"," 97 781 "," 13 696 "," 17 842 "," 12 392 "," 5 671 "," 1 790 ","  509 ","  247 "," 45 634 ","Cruzeiro do Sul"," 48 907 "," 7 514 "," 12 545 "," 10 608 "," 5 268 "," 1 703 ","  498 ","  247 "," 10 523 ","Cruzeiro do Sul"," 48 874 "," 6 183 "," 5 297 "," 1 784 ","  402 ","  87 ","  11 ","- "," 35 111 ",12001
"Rio Branco"," 337 906 "," 27 757 "," 66 921 "," 59 739 "," 34 856 "," 12 926 "," 4 406 "," 1 890 "," 129 412 ","Rio Branco"," 185 613 "," 11 254 "," 50 394 "," 53 652 "," 31 920 "," 11 661 "," 3 963 "," 1 679 "," 21 091 ","Rio Branco"," 152 294 "," 16 503 "," 16 527 "," 6 087 "," 2 936 "," 1 265 ","  443 ","  212 "," 108 321 ",12004
"Sena Madureira"," 38 456 "," 4 755 "," 7 858 "," 5 125 "," 2 614 ","  546 ","  79 ","  18 "," 17 462 ","Sena Madureira"," 20 169 "," 2 957 "," 6 047 "," 4 477 "," 2 469 ","  537 ","  79 ","  18 "," 3 585 ","Sena Madureira"," 18 287 "," 1 798 "," 1 811 ","  649 ","  145 ","  9 ","- ","- "," 13 876 ",12003
"Tarauacá"," 53 451 "," 7 031 "," 9 439 "," 5 386 "," 2 116 ","  629 ","  91 ","  121 "," 28 638 ","Tarauacá"," 24 799 "," 3 918 "," 6 584 "," 4 550 "," 2 030 ","  582 ","  91 ","  121 "," 6 923 ","Tarauacá"," 28 652 "," 3 113 "," 2 855 ","  835 ","  87 ","  47 ","- ","- "," 21 715 ",12002
"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,
"Acrelândia"," 9 843 "," 1 279 "," 2 126 "," 1 207 ","  569 ","  137 ","  22 ","  4 "," 4 500 ","Acrelândia"," 5 094 ","  749 "," 1 435 "," 1 140 ","  546 ","  132 ","  22 ","  4 "," 1 065 ","Acrelândia"," 4 749 ","  530 ","  690 ","  67 ","  23 ","  5 ","- ","- "," 3 434 ",1200013
"Assis Brasil"," 4 599 ","  443 ","  752 ","  627 ","  298 ","  64 ","  11 ","  3 "," 2 400 ","Assis Brasil"," 2 151 ","  249 ","  537 ","  521 ","  294 ","  62 ","  11 ","  3 ","  473 ","Assis Brasil"," 2 447 ","  194 ","  215 ","  106 ","  4 ","  2 ","- ","- "," 1 927 ",1200054
"Brasiléia"," 17 041 "," 2 390 "," 3 541 "," 2 131 "," 1 052 ","  283 ","  73 ","  12 "," 7 558 ","Brasiléia"," 8 547 "," 1 442 "," 2 416 "," 1 875 ","  965 ","  256 ","  73 ","- "," 1 520 ","Brasiléia"," 8 494 ","  948 "," 1 125 ","  257 ","  87 ","  27 ","- ","  12 "," 6 038 ",1200104
"Bujari"," 6 639 ","  779 "," 1 341 "," 1 080 ","  349 ","  99 ","  23 ","  13 "," 2 955 ","Bujari"," 3 345 ","  368 ","  944 ","  954 ","  329 ","  99 ","  23 ","  8 ","  619 ","Bujari"," 3 294 ","  411 ","  397 ","  126 ","  19 ","- ","- ","  6 "," 2 336 ",1200138
"Capixaba"," 6 821 ","  934 "," 1 423 "," 1 048 ","  394 ","  100 ","  5 ","  9 "," 2 909 ","Capixaba"," 4 038 ","  539 "," 1 061 ","  961 ","  389 ","  100 ","  5 ","  9 ","  975 ","Capixaba"," 2 784 ","  395 ","  362 ","  87 ","  5 ","- ","- ","- "," 1 934 ",1200179
"Cruzeiro do Sul"," 60 278 "," 7 784 "," 11 943 "," 8 471 "," 4 337 "," 1 411 ","  430 ","  201 "," 25 700 ","Cruzeiro do Sul"," 30 252 "," 3 988 "," 8 485 "," 7 229 "," 4 020 "," 1 358 ","  430 ","  201 "," 4 541 ","Cruzeiro do Sul"," 30 026 "," 3 796 "," 3 458 "," 1 242 ","  318 ","  53 ","- ","- "," 21 159 ",1200203
"Epitaciolândia"," 11 987 "," 1 769 "," 2 621 "," 1 688 ","  890 ","  278 ","  134 ","  48 "," 4 560 ","Epitaciolândia"," 6 585 "," 1 152 "," 1 887 "," 1 454 ","  823 ","  263 ","  122 ","  48 ","  836 ","Epitaciolândia"," 5 403 ","  617 ","  734 ","  234 ","  67 ","  16 ","  12 ","- "," 3 725 ",1200252
"Feijó"," 23 542 "," 3 342 "," 3 860 "," 2 321 ","  991 ","  244 ","  21 ","  68 "," 12 694 ","Feijó"," 11 033 "," 1 856 "," 2 726 "," 1 849 ","  930 ","  232 ","  21 ","  68 "," 3 352 ","Feijó"," 12 509 "," 1 486 "," 1 134 ","  473 ","  61 ","  13 ","- ","- "," 9 342 ",1200302
"Jordão"," 4 329 ","  639 ","  598 ","  373 ","  132 ","  44 ","  13 ","  3 "," 2 526 ","Jordão"," 1 804 ","  262 ","  457 ","  358 ","  128 ","  44 ","  13 ","  3 ","  539 ","Jordão"," 2 524 ","  377 ","  141 ","  15 ","  4 ","- ","- ","- "," 1 987 ",1200328
"Mâncio Lima"," 11 383 "," 1 711 "," 2 130 "," 1 476 ","  523 ","  180 ","  41 ","  19 "," 5 304 ","Mâncio Lima"," 5 115 ","  825 "," 1 299 "," 1 215 ","  485 ","  159 ","  41 ","  19 "," 1 071 ","Mâncio Lima"," 6 269 ","  886 ","  830 ","  261 ","  38 ","  21 ","- ","- "," 4 232 ",1200336
"Manoel Urbano"," 5 879 ","  808 "," 1 087 ","  839 ","  307 ","  89 ","  11 ","  17 "," 2 720 ","Manoel Urbano"," 2 980 ","  498 ","  792 ","  751 ","  290 ","  89 ","  11 ","  17 ","  531 ","Manoel Urbano"," 2 898 ","  310 ","  295 ","  88 ","  17 ","- ","- ","- "," 2 189 ",1200344
"Marechal Thaumaturgo"," 9 680 "," 1 288 "," 1 431 ","  828 ","  285 ","  84 ","  11 ","- "," 5 752 ","Marechal Thaumaturgo"," 5 275 ","  838 "," 1 195 ","  780 ","  266 ","  84 ","  11 ","- "," 2 099 ","Marechal Thaumaturgo"," 4 406 ","  449 ","  236 ","  48 ","  19 ","- ","- ","- "," 3 653 ",1200351
"Plácido de Castro"," 13 351 "," 1 724 "," 2 873 "," 1 979 ","  647 ","  186 ","  43 ","  12 "," 5 888 ","Plácido de Castro"," 5 920 ","  730 "," 1 755 "," 1 686 ","  581 ","  177 ","  34 ","  12 ","  945 ","Plácido de Castro"," 7 431 ","  993 "," 1 118 ","  293 ","  66 ","  9 ","  9 ","- "," 4 943 ",1200385
"Porto Acre"," 11 618 "," 1 311 "," 2 703 "," 1 453 ","  425 ","  162 ","  12 ","  5 "," 5 547 ","Porto Acre"," 4 640 ","  516 "," 1 543 "," 1 294 ","  420 ","  152 ","  12 ","  5 ","  699 ","Porto Acre"," 6 978 ","  795 "," 1 160 ","  160 ","  6 ","  10 ","- ","- "," 4 848 ",1200807
"Porto Walter"," 6 163 ","  986 ","  820 ","  736 ","  252 ","  37 ","  11 ","  18 "," 3 304 ","Porto Walter"," 3 486 ","  587 ","  600 ","  624 ","  246 ","  37 ","  11 ","  18 "," 1 364 ","Porto Walter"," 2 677 ","  399 ","  220 ","  112 ","  6 ","- ","- ","- "," 1 940 ",1200393
"Rio Branco"," 273 669 "," 19 938 "," 52 631 "," 50 207 "," 31 251 "," 11 958 "," 4 244 "," 1 776 "," 101 665 ","Rio Branco"," 154 286 "," 7 562 "," 40 902 "," 45 150 "," 28 510 "," 10 751 "," 3 819 "," 1 591 "," 16 001 ","Rio Branco"," 119 383 "," 12 376 "," 11 728 "," 5 056 "," 2 741 "," 1 207 ","  425 ","  185 "," 85 665 ",1200401
"Rodrigues Alves"," 10 277 "," 1 927 "," 1 517 ","  881 ","  274 ","  78 ","  16 ","  10 "," 5 573 ","Rodrigues Alves"," 4 779 "," 1 275 ","  965 ","  760 ","  252 ","  64 ","  5 ","  10 "," 1 447 ","Rodrigues Alves"," 5 497 ","  652 ","  552 ","  121 ","  22 ","  13 ","  11 ","- "," 4 126 ",1200427
"Santa Rosa do Purus"," 3 092 ","  275 ","  298 ","  334 ","  154 ","  44 ","  16 ","  1 "," 1 971 ","Santa Rosa do Purus"," 1 248 ","  143 ","  243 ","  331 ","  154 ","  44 ","  16 ","  1 ","  317 ","Santa Rosa do Purus"," 1 844 ","  132 ","  55 ","  3 ","- ","- ","- ","- "," 1 654 ",1200435
"Sena Madureira"," 29 485 "," 3 672 "," 6 473 "," 3 952 "," 2 153 ","  413 ","  52 ","- "," 12 771 ","Sena Madureira"," 15 941 "," 2 316 "," 5 012 "," 3 395 "," 2 025 ","  404 ","  52 ","- "," 2 738 ","Sena Madureira"," 13 545 "," 1 356 "," 1 461 ","  557 ","  128 ","  9 ","- ","- "," 10 034 ",1200500
"Senador Guiomard"," 15 965 "," 1 792 "," 3 825 "," 2 765 "," 1 222 ","  285 ","  57 ","  72 "," 5 948 ","Senador Guiomard"," 8 289 ","  789 "," 2 753 "," 2 466 "," 1 145 ","  251 ","  48 ","  51 ","  787 ","Senador Guiomard"," 7 675 "," 1 004 "," 1 072 ","  298 ","  77 ","  34 ","  10 ","  21 "," 5 161 ",1200450
"Tarauacá"," 25 580 "," 3 049 "," 4 981 "," 2 691 ","  993 ","  340 ","  57 ","  50 "," 13 418 ","Tarauacá"," 11 961 "," 1 799 "," 3 401 "," 2 344 ","  972 ","  306 ","  57 ","  50 "," 3 032 ","Tarauacá"," 13 619 "," 1 250 "," 1 580 ","  347 ","  21 ","  34 ","- ","- "," 10 386 ",1200609
"Xapuri"," 12 688 "," 1 717 "," 2 730 "," 1 974 ","  818 ","  277 ","  32 ","  14 "," 5 126 ","Xapuri"," 6 895 "," 1 005 "," 1 947 "," 1 706 ","  725 ","  247 ","  32 ","  14 "," 1 220 ","Xapuri"," 5 793 ","  711 ","  784 ","  268 ","  94 ","  30 ","- ","- "," 3 906 ",1200708
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"Fonte: IBGE, Censo Demográfico 2010.",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"(1) Salário mínimo utilizado: R$ 510,00.  (2) Inclusive as pessoas que recebiam somente em benefícios. ",,,,,,,,,,
