"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.3.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Amazonas - 2010",,,,,,,,,,"Tabela 4.3.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Amazonas - 2010",,,,,,,,,,"Tabela 4.3.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Amazonas - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total","2 728 336 "," 283 755 "," 462 522 "," 426 163 "," 230 496 "," 73 801 "," 25 945 "," 11 866 ","1 213 788 ","Total","1 465 911 "," 149 299 "," 347 600 "," 400 875 "," 214 402 "," 68 872 "," 24 199 "," 11 142 "," 249 522 ","Total","1 262 425 "," 134 456 "," 114 923 "," 25 287 "," 16 094 "," 4 928 "," 1 746 ","  725 "," 964 265 ",13
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Centro Amazonense","2 169 679 "," 194 799 "," 372 138 "," 374 982 "," 209 058 "," 67 849 "," 24 394 "," 11 139 "," 915 318 ","Centro Amazonense","1 195 076 "," 96 602 "," 282 155 "," 353 131 "," 194 003 "," 63 157 "," 22 681 "," 10 421 "," 172 925 ","Centro Amazonense"," 974 603 "," 98 197 "," 89 983 "," 21 850 "," 15 055 "," 4 692 "," 1 713 ","  719 "," 742 393 ",1303
"Norte Amazonense"," 89 850 "," 10 732 "," 11 069 "," 7 734 "," 3 008 "," 1 015 ","  298 ","  88 "," 55 908 ","Norte Amazonense"," 36 485 "," 5 515 "," 7 939 "," 7 357 "," 2 904 ","  994 ","  298 ","  88 "," 11 391 ","Norte Amazonense"," 53 365 "," 5 217 "," 3 130 ","  377 ","  104 ","  21 ","- ","- "," 44 517 ",1301
"Sudoeste Amazonense"," 253 581 "," 43 093 "," 41 068 "," 21 637 "," 8 044 "," 2 550 ","  700 ","  297 "," 136 193 ","Sudoeste Amazonense"," 123 526 "," 26 368 "," 29 834 "," 20 091 "," 7 647 "," 2 404 ","  666 ","  291 "," 36 225 ","Sudoeste Amazonense"," 130 055 "," 16 725 "," 11 235 "," 1 545 ","  396 ","  146 ","  33 ","  6 "," 99 968 ",1302
"Sul Amazonense"," 215 226 "," 35 132 "," 38 246 "," 21 811 "," 10 387 "," 2 386 ","  554 ","  342 "," 106 369 ","Sul Amazonense"," 110 824 "," 20 814 "," 27 672 "," 20 296 "," 9 848 "," 2 317 ","  554 ","  342 "," 28 982 ","Sul Amazonense"," 104 402 "," 14 317 "," 10 574 "," 1 515 ","  539 ","  70 ","- ","- "," 77 387 ",1304
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Alto Solimões"," 161 741 "," 25 895 "," 25 336 "," 13 826 "," 5 333 "," 1 819 ","  476 ","  178 "," 88 876 ","Alto Solimões"," 79 780 "," 15 896 "," 18 614 "," 12 904 "," 5 040 "," 1 692 ","  455 ","  178 "," 25 002 ","Alto Solimões"," 81 960 "," 10 000 "," 6 723 ","  923 ","  293 ","  127 ","  21 ","- "," 63 874 ",13003
"Boca do Acre"," 36 463 "," 6 366 "," 6 201 "," 3 532 "," 1 423 ","  342 ","  75 ","  60 "," 18 465 ","Boca do Acre"," 17 681 "," 3 480 "," 4 184 "," 3 077 "," 1 228 ","  318 ","  75 ","  60 "," 5 259 ","Boca do Acre"," 18 783 "," 2 885 "," 2 017 ","  455 ","  195 ","  24 ","- ","- "," 13 206 ",13011
"Coari"," 114 252 "," 16 424 "," 19 512 "," 13 149 "," 5 240 "," 1 251 ","  444 ","  134 "," 58 099 ","Coari"," 56 944 "," 10 449 "," 14 224 "," 12 370 "," 5 034 "," 1 207 ","  444 ","  119 "," 13 096 ","Coari"," 57 308 "," 5 975 "," 5 287 ","  779 ","  206 ","  44 ","- ","  14 "," 45 004 ",13006
"Itacoatiara"," 115 783 "," 17 694 "," 23 119 "," 13 725 "," 6 290 "," 1 513 ","  365 ","  247 "," 52 830 ","Itacoatiara"," 61 287 "," 10 549 "," 16 090 "," 12 768 "," 5 840 "," 1 380 ","  343 ","  247 "," 14 069 ","Itacoatiara"," 54 496 "," 7 145 "," 7 030 ","  956 ","  450 ","  133 ","  21 ","- "," 38 761 ",13009
"Japurá"," 17 765 "," 2 252 "," 2 160 "," 1 522 ","  425 ","  91 ","  15 ","  12 "," 11 288 ","Japurá"," 8 001 "," 1 387 "," 1 646 "," 1 506 ","  401 ","  89 ","  15 ","  12 "," 2 947 ","Japurá"," 9 763 ","  865 ","  514 ","  16 ","  25 ","  2 ","- ","- "," 8 341 ",13002
"Juruá"," 91 840 "," 17 198 "," 15 732 "," 7 810 "," 2 710 ","  731 ","  223 ","  120 "," 47 317 ","Juruá"," 43 746 "," 10 472 "," 11 220 "," 7 188 "," 2 607 ","  712 ","  211 ","  114 "," 11 222 ","Juruá"," 48 095 "," 6 725 "," 4 512 ","  623 ","  103 ","  19 ","  12 ","  6 "," 36 095 ",13004
"Madeira"," 126 572 "," 18 564 "," 22 714 "," 13 452 "," 7 205 "," 1 592 ","  450 ","  243 "," 62 351 ","Madeira"," 64 587 "," 10 503 "," 16 509 "," 12 639 "," 6 954 "," 1 560 ","  450 ","  243 "," 15 729 ","Madeira"," 61 985 "," 8 062 "," 6 206 ","  813 ","  251 ","  31 ","- ","- "," 46 623 ",13013
"Manaus","1 655 080 "," 114 757 "," 276 025 "," 315 613 "," 183 370 "," 61 371 "," 22 520 "," 10 285 "," 671 138 ","Manaus"," 931 831 "," 48 485 "," 213 998 "," 297 808 "," 169 810 "," 57 091 "," 20 896 "," 9 619 "," 114 124 ","Manaus"," 723 249 "," 66 272 "," 62 027 "," 17 805 "," 13 560 "," 4 280 "," 1 624 ","  666 "," 557 014 ",13007
"Parintins"," 179 990 "," 33 464 "," 34 151 "," 17 195 "," 7 410 "," 1 978 ","  479 ","  257 "," 85 057 ","Parintins"," 90 508 "," 20 413 "," 23 224 "," 15 746 "," 6 931 "," 1 798 ","  421 ","  227 "," 21 746 ","Parintins"," 89 482 "," 13 051 "," 10 926 "," 1 449 ","  479 ","  179 ","  57 ","  30 "," 63 311 ",13010
"Purus"," 52 190 "," 10 202 "," 9 331 "," 4 826 "," 1 759 ","  453 ","  29 ","  39 "," 25 552 ","Purus"," 28 556 "," 6 831 "," 6 979 "," 4 580 "," 1 665 ","  438 ","  29 ","  39 "," 7 994 ","Purus"," 23 635 "," 3 370 "," 2 352 ","  246 ","  93 ","  14 ","- ","- "," 17 558 ",13012
"Rio Negro"," 72 086 "," 8 480 "," 8 909 "," 6 212 "," 2 582 ","  924 ","  283 ","  76 "," 44 620 ","Rio Negro"," 28 484 "," 4 128 "," 6 293 "," 5 851 "," 2 503 ","  906 ","  283 ","  76 "," 8 444 ","Rio Negro"," 43 602 "," 4 352 "," 2 616 ","  361 ","  79 ","  18 ","- ","- "," 36 176 ",13001
"Rio Preto da Eva"," 41 276 "," 4 041 "," 8 005 "," 7 185 "," 2 934 ","  541 ","  176 ","  57 "," 18 337 ","Rio Preto da Eva"," 23 596 "," 2 186 "," 6 474 "," 6 889 "," 2 840 ","  541 ","  166 ","  57 "," 4 443 ","Rio Preto da Eva"," 17 680 "," 1 855 "," 1 531 ","  296 ","  94 ","- ","  10 ","- "," 13 895 ",13008
"Tefé"," 63 298 "," 8 419 "," 11 327 "," 8 115 "," 3 814 "," 1 197 ","  410 ","  160 "," 29 857 ","Tefé"," 30 910 "," 4 519 "," 8 145 "," 7 549 "," 3 547 "," 1 140 ","  410 ","  151 "," 5 448 ","Tefé"," 32 388 "," 3 900 "," 3 181 ","  566 ","  267 ","  56 ","- ","  8 "," 24 409 ",13005
"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,
"Alvarães"," 9 684 "," 1 035 "," 1 299 "," 1 106 ","  346 ","  44 ","  11 ","  5 "," 5 839 ","Alvarães"," 3 731 ","  528 ","  925 ","  993 ","  323 ","  44 ","  11 ","  5 ","  903 ","Alvarães"," 5 952 ","  507 ","  374 ","  113 ","  23 ","- ","- ","- "," 4 935 ",1300029
"Amaturá"," 7 064 "," 1 198 ","  831 ","  454 ","  173 ","  41 ","  12 ","  4 "," 4 352 ","Amaturá"," 2 404 ","  532 ","  473 ","  347 ","  144 ","  28 ","  12 ","  4 ","  863 ","Amaturá"," 4 660 ","  666 ","  358 ","  106 ","  29 ","  13 ","- ","- "," 3 489 ",1300060
"Anamã"," 7 687 "," 1 150 "," 1 370 ","  941 ","  227 ","  55 ","  22 ","  6 "," 3 917 ","Anamã"," 4 202 ","  818 ","  913 ","  889 ","  225 ","  49 ","  22 ","  6 "," 1 281 ","Anamã"," 3 485 ","  332 ","  457 ","  53 ","  2 ","  6 ","- ","- "," 2 636 ",1300086
"Anori"," 12 313 "," 2 290 "," 2 064 "," 1 100 ","  481 ","  161 ","  47 ","- "," 6 171 ","Anori"," 6 669 "," 1 465 "," 1 405 ","  975 ","  455 ","  158 ","  47 ","- "," 2 163 ","Anori"," 5 644 ","  825 ","  659 ","  124 ","  25 ","  3 ","- ","- "," 4 007 ",1300102
"Apuí"," 14 528 "," 2 071 "," 2 722 "," 2 472 ","  871 ","  230 ","  72 ","  25 "," 6 065 ","Apuí"," 8 184 "," 1 123 "," 2 222 "," 2 356 ","  856 ","  230 ","  72 ","  25 "," 1 301 ","Apuí"," 6 344 ","  949 ","  500 ","  116 ","  15 ","- ","- ","- "," 4 764 ",1300144
"Atalaia do Norte"," 11 078 "," 1 667 "," 1 584 ","  705 ","  390 ","  94 ","  15 ","  2 "," 6 621 ","Atalaia do Norte"," 5 611 ","  933 "," 1 247 ","  663 ","  390 ","  90 ","  15 ","  2 "," 2 270 ","Atalaia do Norte"," 5 467 ","  733 ","  338 ","  42 ","- ","  4 ","- ","- "," 4 351 ",1300201
"Autazes"," 23 718 "," 3 931 "," 4 545 "," 2 467 ","  943 ","  234 ","  63 ","- "," 11 535 ","Autazes"," 11 988 "," 2 262 "," 3 385 "," 2 365 ","  876 ","  226 ","  63 ","- "," 2 810 ","Autazes"," 11 730 "," 1 668 "," 1 160 ","  102 ","  67 ","  9 ","- ","- "," 8 725 ",1300300
"Barcelos"," 20 240 "," 2 221 "," 2 245 "," 1 520 ","  653 ","  178 ","  53 ","  36 "," 13 335 ","Barcelos"," 7 077 ","  906 "," 1 646 "," 1 431 ","  626 ","  178 ","  53 ","  36 "," 2 200 ","Barcelos"," 13 163 "," 1 315 ","  599 ","  88 ","  26 ","- ","- ","- "," 11 135 ",1300409
"Barreirinha"," 19 282 "," 4 122 "," 2 851 "," 1 287 ","  443 ","  72 ","  26 ","- "," 10 481 ","Barreirinha"," 9 776 "," 3 132 "," 1 646 "," 1 094 ","  400 ","  72 ","  26 ","- "," 3 405 ","Barreirinha"," 9 506 ","  990 "," 1 205 ","  193 ","  43 ","- ","- ","- "," 7 076 ",1300508
"Benjamin Constant"," 23 985 "," 4 147 "," 4 914 "," 2 385 ","  706 ","  214 ","  39 ","  23 "," 11 557 ","Benjamin Constant"," 12 549 "," 2 302 "," 3 792 "," 2 274 ","  665 ","  194 ","  39 ","  23 "," 3 260 ","Benjamin Constant"," 11 436 "," 1 845 "," 1 123 ","  111 ","  41 ","  20 ","- ","- "," 8 297 ",1300607
"Beruri"," 10 744 "," 1 892 "," 1 587 ","  810 ","  423 ","  114 ","  32 ","  5 "," 5 883 ","Beruri"," 5 172 "," 1 216 ","  977 ","  744 ","  390 ","  114 ","  32 ","  5 "," 1 694 ","Beruri"," 5 573 ","  675 ","  610 ","  66 ","  33 ","- ","- ","- "," 4 188 ",1300631
"Boa Vista do Ramos"," 10 901 "," 1 550 "," 1 695 "," 1 002 ","  226 ","  96 ","  17 ","  6 "," 6 310 ","Boa Vista do Ramos"," 5 333 ","  908 "," 1 238 ","  908 ","  223 ","  90 ","  17 ","  6 "," 1 944 ","Boa Vista do Ramos"," 5 568 ","  642 ","  457 ","  94 ","  2 ","  6 ","- ","- "," 4 366 ",1300680
"Boca do Acre"," 23 432 "," 4 181 "," 4 589 "," 2 510 ","  955 ","  260 ","  66 ","  34 "," 10 836 ","Boca do Acre"," 10 919 "," 2 160 "," 3 021 "," 2 242 ","  876 ","  252 ","  66 ","  34 "," 2 268 ","Boca do Acre"," 12 512 "," 2 022 "," 1 568 ","  268 ","  79 ","  8 ","- ","- "," 8 568 ",1300706
"Borba"," 25 571 "," 4 142 "," 4 564 "," 2 130 "," 1 037 ","  138 ","  59 ","  42 "," 13 458 ","Borba"," 13 464 "," 2 500 "," 3 302 "," 1 960 ","  975 ","  138 ","  59 ","  42 "," 4 488 ","Borba"," 12 107 "," 1 642 "," 1 262 ","  170 ","  62 ","- ","- ","- "," 8 971 ",1300805
"Caapiranga"," 8 219 "," 1 096 "," 1 543 ","  818 ","  326 ","  86 ","  19 ","- "," 4 332 ","Caapiranga"," 3 615 ","  563 "," 1 238 ","  772 ","  319 ","  81 ","  19 ","- ","  623 ","Caapiranga"," 4 605 ","  532 ","  305 ","  46 ","  7 ","  5 ","- ","- "," 3 709 ",1300839
"Canutama"," 10 051 "," 1 411 "," 1 690 ","  896 ","  292 ","  81 ","  11 ","  5 "," 5 665 ","Canutama"," 4 957 ","  823 "," 1 317 ","  856 ","  267 ","  67 ","  11 ","  5 "," 1 611 ","Canutama"," 5 094 ","  587 ","  373 ","  40 ","  25 ","  14 ","- ","- "," 4 055 ",1300904
"Carauari"," 18 914 "," 3 841 "," 3 431 "," 2 157 ","  679 ","  98 ","  42 ","  15 "," 8 653 ","Carauari"," 9 711 "," 2 279 "," 2 635 "," 2 057 ","  650 ","  98 ","  42 ","  15 "," 1 936 ","Carauari"," 9 203 "," 1 563 ","  795 ","  100 ","  29 ","- ","- ","- "," 6 717 ",1301001
"Careiro"," 25 066 "," 3 595 "," 3 594 "," 1 867 "," 1 010 ","  207 ","  9 ","  36 "," 14 748 ","Careiro"," 9 118 "," 1 572 "," 2 526 "," 1 734 ","  963 ","  207 ","  9 ","  36 "," 2 070 ","Careiro"," 15 948 "," 2 022 "," 1 068 ","  133 ","  47 ","- ","- ","- "," 12 678 ",1301100
"Careiro da Várzea"," 18 865 "," 3 292 "," 3 740 "," 1 499 ","  797 ","  123 ","- ","- "," 9 414 ","Careiro da Várzea"," 8 395 "," 1 857 "," 2 503 "," 1 360 ","  772 ","  115 ","- ","- "," 1 787 ","Careiro da Várzea"," 10 471 "," 1 434 "," 1 237 ","  139 ","  25 ","  8 ","- ","- "," 7 628 ",1301159
"Coari"," 57 724 "," 6 997 "," 9 666 "," 8 013 "," 3 117 ","  707 ","  293 ","  108 "," 28 822 ","Coari"," 28 863 "," 4 335 "," 7 274 "," 7 593 "," 3 017 ","  690 ","  293 ","  94 "," 5 568 ","Coari"," 28 861 "," 2 662 "," 2 393 ","  420 ","  100 ","  18 ","- ","  14 "," 23 255 ",1301209
"Codajás"," 17 565 "," 2 999 "," 3 282 "," 1 468 ","  667 ","  128 ","  32 ","  14 "," 8 975 ","Codajás"," 8 424 "," 2 050 "," 2 418 "," 1 398 ","  628 ","  117 ","  32 ","  14 "," 1 767 ","Codajás"," 9 140 ","  949 ","  863 ","  70 ","  39 ","  11 ","- ","- "," 7 208 ",1301308
"Eirunepé"," 22 171 "," 5 257 "," 4 077 "," 1 913 ","  760 ","  249 ","  112 ","  28 "," 9 774 ","Eirunepé"," 12 309 "," 3 532 "," 3 032 "," 1 754 ","  741 ","  241 ","  112 ","  28 "," 2 870 ","Eirunepé"," 9 861 "," 1 725 "," 1 046 ","  159 ","  19 ","  8 ","- ","- "," 6 904 ",1301407
