"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.4.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Roraima - 2010",,,,,,,,,,"Tabela 4.4.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Roraima - 2010",,,,,,,,,,"Tabela 4.4.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Roraima - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total"," 353 679 "," 33 293 "," 66 559 "," 54 827 "," 33 998 "," 15 125 "," 4 598 "," 1 829 "," 143 451 ","Total"," 196 509 "," 14 563 "," 51 293 "," 51 242 "," 32 059 "," 14 345 "," 4 366 "," 1 791 "," 26 849 ","Total"," 157 170 "," 18 730 "," 15 266 "," 3 584 "," 1 939 ","  779 ","  232 ","  38 "," 116 601 ",14
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Norte de Roraima"," 284 685 "," 23 294 "," 52 690 "," 46 012 "," 30 249 "," 14 065 "," 4 380 "," 1 733 "," 112 262 ","Norte de Roraima"," 161 684 "," 10 013 "," 40 922 "," 43 056 "," 28 433 "," 13 327 "," 4 148 "," 1 694 "," 20 091 ","Norte de Roraima"," 123 001 "," 13 280 "," 11 768 "," 2 956 "," 1 816 ","  739 ","  232 ","  38 "," 92 171 ",1401
"Sul de Roraima"," 68 994 "," 9 999 "," 13 869 "," 8 814 "," 3 749 "," 1 059 ","  218 ","  96 "," 31 189 ","Sul de Roraima"," 34 825 "," 4 550 "," 10 371 "," 8 187 "," 3 626 "," 1 019 ","  218 ","  96 "," 6 758 ","Sul de Roraima"," 34 169 "," 5 449 "," 3 498 ","  628 ","  123 ","  41 ","- ","- "," 24 431 ",1402
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Boa Vista"," 255 165 "," 19 158 "," 48 192 "," 43 340 "," 28 859 "," 13 641 "," 4 261 "," 1 697 "," 96 016 ","Boa Vista"," 147 408 "," 7 893 "," 37 790 "," 40 589 "," 27 161 "," 12 911 "," 4 029 "," 1 663 "," 15 372 ","Boa Vista"," 107 757 "," 11 265 "," 10 401 "," 2 751 "," 1 698 ","  730 ","  232 ","  35 "," 80 644 ",14001
"Caracaraí"," 32 613 "," 4 053 "," 6 647 "," 4 018 "," 1 817 ","  483 ","  155 ","  55 "," 15 384 ","Caracaraí"," 15 599 "," 1 532 "," 4 931 "," 3 798 "," 1 745 ","  463 ","  155 ","  55 "," 2 921 ","Caracaraí"," 17 013 "," 2 521 "," 1 716 ","  220 ","  72 ","  21 ","- ","- "," 12 464 ",14003
"Nordeste de Roraima"," 29 520 "," 4 136 "," 4 498 "," 2 672 "," 1 389 ","  424 ","  119 ","  35 "," 16 246 ","Nordeste de Roraima"," 14 276 "," 2 120 "," 3 131 "," 2 467 "," 1 272 ","  415 ","  119 ","  32 "," 4 719 ","Nordeste de Roraima"," 15 244 "," 2 016 "," 1 367 ","  205 ","  117 ","  9 ","- ","  4 "," 11 527 ",14002
"Sudeste de Roraima"," 36 381 "," 5 947 "," 7 222 "," 4 796 "," 1 932 ","  576 ","  63 ","  41 "," 15 804 ","Sudeste de Roraima"," 19 225 "," 3 018 "," 5 440 "," 4 388 "," 1 881 ","  556 ","  63 ","  41 "," 3 837 ","Sudeste de Roraima"," 17 156 "," 2 928 "," 1 782 ","  408 ","  51 ","  20 ","- ","- "," 11 967 ",14004
"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,
"Alto Alegre"," 11 547 "," 1 161 "," 1 773 ","  815 ","  512 ","  140 ","  29 ","  5 "," 7 114 ","Alto Alegre"," 5 910 ","  509 "," 1 327 ","  723 ","  476 ","  123 ","  29 ","  5 "," 2 718 ","Alto Alegre"," 5 638 ","  652 ","  446 ","  91 ","  36 ","  17 ","- ","- "," 4 395 ",1400050
"Amajari"," 6 432 ","  548 ","  824 ","  366 ","  189 ","  32 ","  7 ","- "," 4 468 ","Amajari"," 1 904 ","  223 ","  502 ","  343 ","  183 ","  29 ","  7 ","- ","  619 ","Amajari"," 4 528 ","  325 ","  321 ","  23 ","  6 ","  4 ","- ","- "," 3 849 ",1400027
"Boa Vista"," 229 760 "," 16 602 "," 44 527 "," 41 347 "," 27 606 "," 13 341 "," 4 180 "," 1 664 "," 80 494 ","Boa Vista"," 135 995 "," 6 839 "," 35 112 "," 38 766 "," 25 997 "," 12 641 "," 3 947 "," 1 630 "," 11 064 ","Boa Vista"," 93 764 "," 9 763 "," 9 415 "," 2 581 "," 1 609 ","  700 ","  232 ","  35 "," 69 430 ",1400100
"Bonfim"," 7 776 "," 1 189 "," 1 379 ","  793 ","  377 ","  120 ","  38 ","  10 "," 3 870 ","Bonfim"," 4 041 ","  681 "," 1 067 ","  738 ","  345 ","  120 ","  38 ","  6 "," 1 046 ","Bonfim"," 3 735 ","  508 ","  312 ","  54 ","  32 ","- ","- ","  4 "," 2 824 ",1400159
"Cantá"," 10 522 "," 1 384 "," 2 080 "," 1 024 ","  560 ","  192 ","  50 ","  17 "," 5 216 ","Cantá"," 4 540 ","  581 "," 1 368 ","  943 ","  505 ","  192 ","  50 ","  17 ","  883 ","Cantá"," 5 982 ","  802 ","  712 ","  81 ","  54 ","- ","- ","- "," 4 333 ",1400175
"Caracaraí"," 14 156 "," 1 773 "," 3 032 "," 1 833 ","  945 ","  184 ","  71 ","  6 "," 6 312 ","Caracaraí"," 6 972 ","  643 "," 2 270 "," 1 743 ","  901 ","  178 ","  71 ","  6 "," 1 159 ","Caracaraí"," 7 185 "," 1 130 ","  762 ","  90 ","  44 ","  5 ","- ","- "," 5 153 ",1400209
"Caroebe"," 6 273 "," 1 125 "," 1 311 "," 1 015 ","  333 ","  77 ","  17 ","  13 "," 2 383 ","Caroebe"," 3 509 ","  605 "," 1 026 ","  894 ","  326 ","  77 ","  17 ","  13 ","  552 ","Caroebe"," 2 764 ","  520 ","  285 ","  121 ","  7 ","- ","- ","- "," 1 831 ",1400233
"Iracema"," 6 767 ","  792 "," 1 223 ","  832 ","  268 ","  99 ","  17 ","  3 "," 3 533 ","Iracema"," 3 453 ","  392 ","  995 ","  770 ","  261 ","  99 ","  17 ","  3 ","  917 ","Iracema"," 3 314 ","  401 ","  227 ","  62 ","  7 ","- ","- ","- "," 2 616 ",1400282
"Mucajaí"," 11 689 "," 1 487 "," 2 392 "," 1 352 ","  604 ","  201 ","  67 ","  46 "," 5 539 ","Mucajaí"," 5 174 ","  497 "," 1 666 "," 1 285 ","  583 ","  186 ","  67 ","  46 ","  844 ","Mucajaí"," 6 515 ","  990 ","  726 ","  67 ","  21 ","  15 ","- ","- "," 4 695 ",1400308
"Normandia"," 5 953 ","  805 ","  645 ","  599 ","  281 ","  74 ","  19 ","  6 "," 3 524 ","Normandia"," 2 831 ","  346 ","  410 ","  548 ","  271 ","  68 ","  19 ","  6 "," 1 162 ","Normandia"," 3 122 ","  459 ","  235 ","  51 ","  9 ","  6 ","- ","- "," 2 362 ",1400407
"Pacaraima"," 7 426 ","  847 "," 1 069 ","  813 ","  553 ","  129 ","  46 ","  28 "," 3 941 ","Pacaraima"," 3 599 ","  322 ","  849 ","  757 ","  506 ","  119 ","  46 ","  28 ","  971 ","Pacaraima"," 3 827 ","  525 ","  220 ","  56 ","  47 ","  10 ","- ","- "," 2 970 ",1400456
"Rorainópolis"," 19 200 "," 3 327 "," 3 771 "," 2 269 "," 1 038 ","  261 ","  20 ","  12 "," 8 503 ","Rorainópolis"," 10 353 "," 1 757 "," 2 718 "," 2 101 "," 1 017 ","  261 ","  20 ","  12 "," 2 467 ","Rorainópolis"," 8 847 "," 1 571 "," 1 053 ","  168 ","  20 ","- ","- ","- "," 6 036 ",1400472
"São João da Baliza"," 5 305 ","  861 "," 1 135 ","  863 ","  286 ","  119 ","  24 ","  6 "," 2 011 ","São João da Baliza"," 3 141 ","  453 ","  952 ","  836 ","  275 ","  113 ","  24 ","  6 ","  483 ","São João da Baliza"," 2 165 ","  409 ","  184 ","  27 ","  12 ","  6 ","- ","- "," 1 528 ",1400506
"São Luiz"," 5 602 ","  633 "," 1 005 ","  650 ","  275 ","  120 ","  2 ","  11 "," 2 906 ","São Luiz"," 2 222 ","  204 ","  745 ","  558 ","  263 ","  106 ","  2 ","  11 ","  334 ","São Luiz"," 3 380 ","  429 ","  261 ","  92 ","  12 ","  14 ","- ","- "," 2 572 ",1400605
"Uiramutã"," 5 269 ","  757 ","  394 ","  257 ","  172 ","  37 ","  13 ","  3 "," 3 635 ","Uiramutã"," 2 864 ","  511 ","  286 ","  239 ","  150 ","  34 ","  13 ","  3 "," 1 628 ","Uiramutã"," 2 405 ","  246 ","  108 ","  18 ","  22 ","  3 ","- ","- "," 2 007 ",1400704
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"Fonte: IBGE, Censo Demográfico 2010.",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"(1) Salário mínimo utilizado: R$ 510,00.  (2) Inclusive as pessoas que recebiam somente em benefícios. ",,,,,,,,,,
