"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.5.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Pará - 2010",,,,,,,,,,"Tabela 4.5.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Pará - 2010",,,,,,,,,,"Tabela 4.5.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Pará - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total","6 062 304 "," 828 823 ","1 246 642 "," 822 332 "," 420 907 "," 130 647 "," 43 640 "," 20 945 ","2 548 368 ","Total","3 194 159 "," 473 376 "," 914 072 "," 755 139 "," 382 114 "," 115 102 "," 39 559 "," 19 494 "," 495 303 ","Total","2 868 145 "," 355 446 "," 332 570 "," 67 194 "," 38 793 "," 15 546 "," 4 081 "," 1 451 ","2 053 065 ",15
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Baixo Amazonas"," 569 556 "," 97 531 "," 117 291 "," 61 962 "," 29 649 "," 7 545 "," 2 432 ","  915 "," 252 232 ","Baixo Amazonas"," 295 477 "," 61 062 "," 80 748 "," 55 819 "," 27 400 "," 6 811 "," 2 284 ","  915 "," 60 438 ","Baixo Amazonas"," 274 078 "," 36 469 "," 36 543 "," 6 143 "," 2 249 ","  734 ","  147 ","- "," 191 794 ",1501
"Marajó"," 360 103 "," 68 236 "," 67 748 "," 28 033 "," 12 431 "," 2 540 ","  584 ","  242 "," 180 290 ","Marajó"," 170 098 "," 43 583 "," 48 547 "," 25 946 "," 10 947 "," 2 398 ","  559 ","  242 "," 37 875 ","Marajó"," 190 005 "," 24 652 "," 19 201 "," 2 086 "," 1 484 ","  142 ","  25 ","- "," 142 414 ",1502
"Metropolitana de Belém","2 045 161 "," 177 742 "," 426 493 "," 341 632 "," 201 465 "," 76 065 "," 28 636 "," 15 029 "," 778 098 ","Metropolitana de Belém","1 132 003 "," 91 740 "," 328 721 "," 311 052 "," 176 008 "," 63 843 "," 25 082 "," 13 737 "," 121 821 ","Metropolitana de Belém"," 913 158 "," 86 003 "," 97 772 "," 30 581 "," 25 458 "," 12 222 "," 3 553 "," 1 293 "," 656 277 ",1503
"Nordeste Paraense","1 398 918 "," 277 918 "," 293 436 "," 136 960 "," 51 466 "," 12 224 "," 2 887 ","  999 "," 623 027 ","Nordeste Paraense"," 695 228 "," 178 273 "," 198 747 "," 122 956 "," 46 440 "," 10 813 "," 2 686 ","  963 "," 134 352 ","Nordeste Paraense"," 703 690 "," 99 646 "," 94 689 "," 14 004 "," 5 026 "," 1 411 ","  201 ","  36 "," 488 675 ",1504
"Sudeste Paraense","1 306 660 "," 150 183 "," 264 325 "," 201 878 "," 99 472 "," 25 847 "," 7 325 "," 2 975 "," 554 654 ","Sudeste Paraense"," 697 378 "," 69 163 "," 199 114 "," 190 770 "," 95 808 "," 25 051 "," 7 217 "," 2 864 "," 107 391 ","Sudeste Paraense"," 609 282 "," 81 019 "," 65 211 "," 11 109 "," 3 664 ","  796 ","  108 ","  111 "," 447 264 ",1506
"Sudoeste Paraense"," 381 906 "," 57 212 "," 77 349 "," 51 867 "," 26 424 "," 6 428 "," 1 777 ","  784 "," 160 067 ","Sudoeste Paraense"," 203 975 "," 29 555 "," 58 196 "," 48 596 "," 25 512 "," 6 186 "," 1 730 ","  774 "," 33 426 ","Sudoeste Paraense"," 177 931 "," 27 657 "," 19 153 "," 3 271 ","  912 ","  241 ","  46 ","  10 "," 126 641 ",1505
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Almeirim"," 50 155 "," 7 694 "," 8 013 "," 4 969 "," 3 172 ","  794 ","  346 ","  137 "," 25 029 ","Almeirim"," 27 433 "," 5 143 "," 6 087 "," 4 654 "," 3 033 ","  794 ","  346 ","  137 "," 7 238 ","Almeirim"," 22 722 "," 2 551 "," 1 927 ","  315 ","  139 ","- ","- ","- "," 17 791 ",15003
"Altamira"," 216 436 "," 33 069 "," 43 939 "," 28 586 "," 14 199 "," 3 557 "," 1 142 ","  367 "," 91 577 ","Altamira"," 116 713 "," 18 091 "," 33 399 "," 26 778 "," 13 692 "," 3 402 "," 1 106 ","  356 "," 19 889 ","Altamira"," 99 723 "," 14 978 "," 10 540 "," 1 808 ","  508 ","  155 ","  36 ","  10 "," 71 688 ",15015
"Arari"," 118 857 "," 22 149 "," 23 191 "," 9 748 "," 5 315 ","  974 ","  197 ","  74 "," 57 209 ","Arari"," 55 430 "," 13 525 "," 15 979 "," 8 766 "," 4 157 ","  878 ","  180 ","  74 "," 11 871 ","Arari"," 63 427 "," 8 624 "," 7 212 ","  982 "," 1 158 ","  96 ","  17 ","- "," 45 339 ",15006
"Belém","1 805 342 "," 144 757 "," 370 765 "," 307 000 "," 186 342 "," 71 936 "," 27 314 "," 14 589 "," 682 639 ","Belém","1 007 580 "," 73 804 "," 287 069 "," 279 381 "," 162 241 "," 60 219 "," 23 867 "," 13 309 "," 107 691 ","Belém"," 797 762 "," 70 954 "," 83 696 "," 27 620 "," 24 101 "," 11 717 "," 3 447 "," 1 280 "," 574 948 ",15007
"Bragantina"," 305 101 "," 63 898 "," 68 404 "," 29 208 "," 12 144 "," 3 955 ","  836 ","  223 "," 126 433 ","Bragantina"," 150 483 "," 39 998 "," 44 587 "," 24 947 "," 10 665 "," 3 237 ","  771 ","  218 "," 26 060 ","Bragantina"," 154 618 "," 23 900 "," 23 817 "," 4 262 "," 1 479 ","  717 ","  65 ","  5 "," 100 373 ",15010
"Cametá"," 340 444 "," 71 361 "," 66 411 "," 30 819 "," 13 430 "," 2 640 ","  553 ","  224 "," 155 006 ","Cametá"," 178 745 "," 50 913 "," 45 723 "," 28 107 "," 12 175 "," 2 402 ","  502 ","  209 "," 38 715 ","Cametá"," 161 699 "," 20 448 "," 20 688 "," 2 712 "," 1 255 ","  238 ","  51 ","  15 "," 116 291 ",15011
"Castanhal"," 239 819 "," 32 985 "," 55 728 "," 34 632 "," 15 123 "," 4 129 "," 1 322 ","  441 "," 95 459 ","Castanhal"," 124 423 "," 17 936 "," 41 652 "," 31 671 "," 13 767 "," 3 624 "," 1 215 ","  428 "," 14 129 ","Castanhal"," 115 396 "," 15 049 "," 14 076 "," 2 961 "," 1 357 ","  504 ","  107 ","  13 "," 81 330 ",15008
"Conceição do Araguaia"," 109 554 "," 14 551 "," 22 467 "," 16 760 "," 6 567 "," 1 246 ","  298 ","  109 "," 47 555 ","Conceição do Araguaia"," 57 696 "," 7 137 "," 15 690 "," 15 745 "," 6 372 "," 1 165 ","  298 ","  99 "," 11 189 ","Conceição do Araguaia"," 51 858 "," 7 414 "," 6 776 "," 1 015 ","  195 ","  81 ","- ","  10 "," 36 366 ",15022
"Furos de Breves"," 148 902 "," 28 605 "," 28 504 "," 10 863 "," 4 564 "," 1 143 ","  283 ","  98 "," 74 843 ","Furos de Breves"," 70 335 "," 18 448 "," 20 738 "," 10 227 "," 4 312 "," 1 112 ","  283 ","  98 "," 15 119 ","Furos de Breves"," 78 566 "," 10 157 "," 7 766 ","  636 ","  252 ","  31 ","- ","- "," 59 724 ",15005
"Guamá"," 334 790 "," 68 769 "," 66 657 "," 28 838 "," 9 086 "," 2 178 ","  655 ","  180 "," 158 426 ","Guamá"," 157 284 "," 42 800 "," 43 752 "," 25 878 "," 8 397 "," 2 064 ","  612 ","  170 "," 33 612 ","Guamá"," 177 506 "," 25 969 "," 22 906 "," 2 961 ","  689 ","  114 ","  43 ","  11 "," 124 814 ",15013
"Itaituba"," 165 470 "," 24 144 "," 33 409 "," 23 281 "," 12 224 "," 2 871 ","  634 ","  417 "," 68 490 ","Itaituba"," 87 262 "," 11 464 "," 24 796 "," 21 818 "," 11 820 "," 2 785 ","  624 ","  417 "," 13 537 ","Itaituba"," 78 208 "," 12 679 "," 8 613 "," 1 463 ","  404 ","  86 ","  10 ","- "," 54 953 ",15014
"Marabá"," 225 231 "," 24 263 "," 44 815 "," 35 571 "," 19 830 "," 5 825 "," 1 827 ","  566 "," 92 534 ","Marabá"," 122 891 "," 10 858 "," 33 880 "," 33 323 "," 18 955 "," 5 653 "," 1 785 ","  545 "," 17 891 ","Marabá"," 102 340 "," 13 405 "," 10 935 "," 2 247 ","  875 ","  172 ","  41 ","  21 "," 74 644 ",15020
"Óbidos"," 139 568 "," 27 292 "," 28 635 "," 13 985 "," 5 942 "," 1 377 ","  473 ","  232 "," 61 631 ","Óbidos"," 70 828 "," 16 299 "," 19 350 "," 12 540 "," 5 677 "," 1 306 ","  473 ","  232 "," 14 950 ","Óbidos"," 68 740 "," 10 993 "," 9 285 "," 1 445 ","  265 ","  71 ","- ","- "," 46 681 ",15001
"Paragominas"," 230 151 "," 28 818 "," 51 292 "," 34 033 "," 13 925 "," 3 697 ","  917 ","  460 "," 97 007 ","Paragominas"," 121 020 "," 12 579 "," 39 922 "," 32 531 "," 13 478 "," 3 635 ","  917 ","  460 "," 17 498 ","Paragominas"," 109 131 "," 16 239 "," 11 370 "," 1 502 ","  448 ","  63 ","- ","- "," 79 509 ",15017
"Parauapebas"," 203 116 "," 19 176 "," 34 463 "," 34 687 "," 23 103 "," 5 740 "," 1 695 ","  551 "," 83 701 ","Parauapebas"," 112 401 "," 8 183 "," 26 283 "," 32 710 "," 22 437 "," 5 626 "," 1 684 ","  508 "," 14 970 ","Parauapebas"," 90 714 "," 10 993 "," 8 179 "," 1 977 ","  666 ","  114 ","  11 ","  42 "," 68 731 ",15019
"Portel"," 92 345 "," 17 482 "," 16 053 "," 7 422 "," 2 552 ","  423 ","  104 ","  70 "," 48 238 ","Portel"," 44 333 "," 11 610 "," 11 830 "," 6 953 "," 2 479 ","  408 ","  97 ","  70 "," 10 886 ","Portel"," 48 012 "," 5 872 "," 4 223 ","  468 ","  73 ","  15 ","  8 ","- "," 37 352 ",15004
"Redenção"," 148 073 "," 17 579 "," 35 881 "," 24 111 "," 11 004 "," 3 301 ","  864 ","  409 "," 54 924 ","Redenção"," 81 990 "," 8 376 "," 26 727 "," 22 664 "," 10 682 "," 3 180 ","  832 ","  409 "," 9 120 ","Redenção"," 66 082 "," 9 203 "," 9 154 "," 1 447 ","  323 ","  121 ","  31 ","- "," 45 803 ",15021
"Salgado"," 197 915 "," 38 374 "," 46 410 "," 20 420 "," 7 867 "," 1 979 ","  401 ","  135 "," 82 330 ","Salgado"," 94 936 "," 22 857 "," 30 649 "," 17 984 "," 6 641 "," 1 659 ","  371 ","  129 "," 14 647 ","Salgado"," 102 978 "," 15 517 "," 15 761 "," 2 436 "," 1 226 ","  320 ","  30 ","  5 "," 67 683 ",15009
"Santarém"," 379 832 "," 62 544 "," 80 642 "," 43 008 "," 20 534 "," 5 373 "," 1 613 ","  546 "," 165 572 ","Santarém"," 197 215 "," 39 620 "," 55 311 "," 38 624 "," 18 689 "," 4 711 "," 1 465 ","  546 "," 38 250 ","Santarém"," 182 617 "," 22 925 "," 25 331 "," 4 384 "," 1 845 ","  663 ","  147 ","- "," 127 322 ",15002
"São Félix do Xingu"," 133 795 "," 11 161 "," 23 351 "," 22 554 "," 9 925 "," 2 331 ","  823 ","  387 "," 63 263 ","São Félix do Xingu"," 71 254 "," 5 101 "," 19 135 "," 21 650 "," 9 432 "," 2 249 ","  810 ","  387 "," 12 489 ","São Félix do Xingu"," 62 542 "," 6 060 "," 4 216 ","  903 ","  494 ","  82 ","  13 ","- "," 50 773 ",15018
"Tomé-Açu"," 220 669 "," 35 516 "," 45 555 "," 27 675 "," 8 939 "," 1 472 ","  442 ","  237 "," 100 832 ","Tomé-Açu"," 113 781 "," 21 705 "," 34 037 "," 26 041 "," 8 562 "," 1 451 ","  430 ","  237 "," 21 319 ","Tomé-Açu"," 106 887 "," 13 811 "," 11 518 "," 1 633 ","  377 ","  22 ","  12 ","- "," 79 514 ",15012
"Tucuruí"," 256 741 "," 34 635 "," 52 056 "," 34 162 "," 15 117 "," 3 707 ","  901 ","  494 "," 115 671 ","Tucuruí"," 130 125 "," 16 929 "," 37 475 "," 32 146 "," 14 452 "," 3 544 ","  890 ","  456 "," 24 233 ","Tucuruí"," 126 616 "," 17 706 "," 14 580 "," 2 016 ","  664 ","  163 ","  11 ","  38 "," 91 437 ",15016
"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,
"Abaetetuba"," 113 916 "," 22 507 "," 22 807 "," 12 705 "," 5 543 "," 1 340 ","  333 ","  67 "," 48 614 ","Abaetetuba"," 57 993 "," 14 758 "," 16 136 "," 11 673 "," 5 208 "," 1 187 ","  303 ","  52 "," 8 676 ","Abaetetuba"," 55 923 "," 7 749 "," 6 671 "," 1 032 ","  335 ","  153 ","  30 ","  15 "," 39 938 ",1500107
"Abel Figueiredo"," 5 410 ","  778 "," 1 373 ","  802 ","  276 ","  60 ","  11 ","  15 "," 2 095 ","Abel Figueiredo"," 2 777 ","  320 "," 1 006 ","  718 ","  261 ","  60 ","  11 ","  15 ","  386 ","Abel Figueiredo"," 2 633 ","  458 ","  367 ","  84 ","  15 ","- ","- ","- "," 1 709 ",1500131
"Acará"," 40 926 "," 8 811 "," 8 584 "," 3 623 "," 1 220 ","  198 ","  53 ","- "," 18 438 ","Acará"," 22 695 "," 6 297 "," 6 498 "," 3 318 "," 1 051 ","  187 ","  41 ","- "," 5 305 ","Acará"," 18 231 "," 2 514 "," 2 086 ","  306 ","  169 ","  11 ","  12 ","- "," 13 133 ",1500206
"Afuá"," 25 480 "," 3 909 "," 3 883 "," 1 885 ","  691 ","  161 ","  20 ","  21 "," 14 910 ","Afuá"," 11 234 "," 2 614 "," 2 982 "," 1 831 ","  671 ","  161 ","  20 ","  21 "," 2 934 ","Afuá"," 14 246 "," 1 295 ","  900 ","  54 ","  20 ","- ","- ","- "," 11 977 ",1500305
"Água Azul do Norte"," 20 651 "," 2 528 "," 3 346 "," 3 233 ","  829 ","  96 ","- ","  15 "," 10 605 ","Água Azul do Norte"," 9 561 ","  804 "," 2 690 "," 3 131 ","  800 ","  88 ","- ","  7 "," 2 043 ","Água Azul do Norte"," 11 089 "," 1 723 ","  656 ","  103 ","  29 ","  8 ","- ","  8 "," 8 562 ",1500347
"Alenquer"," 39 784 "," 8 905 "," 7 870 "," 2 978 "," 1 332 ","  262 ","  76 ","  12 "," 18 349 ","Alenquer"," 19 679 "," 6 088 "," 5 032 "," 2 586 "," 1 198 ","  244 ","  65 ","  12 "," 4 454 ","Alenquer"," 20 105 "," 2 818 "," 2 838 ","  391 ","  134 ","  18 ","  11 ","- "," 13 896 ",1500404
"Almeirim"," 25 825 "," 3 391 "," 4 156 "," 2 603 "," 2 417 ","  673 ","  296 ","  127 "," 12 162 ","Almeirim"," 14 260 "," 2 277 "," 3 110 "," 2 380 "," 2 310 ","  673 ","  296 ","  127 "," 3 087 ","Almeirim"," 11 565 "," 1 114 "," 1 045 ","  224 ","  107 ","- ","- ","- "," 9 075 ",1500503
"Altamira"," 79 787 "," 9 380 "," 17 744 "," 12 697 "," 7 581 "," 1 964 ","  570 ","  160 "," 29 691 ","Altamira"," 45 323 "," 5 243 "," 13 393 "," 11 853 "," 7 255 "," 1 841 ","  557 ","  150 "," 5 032 ","Altamira"," 34 464 "," 4 137 "," 4 351 ","  844 ","  327 ","  123 ","  13 ","  10 "," 24 659 ",1500602
"Anajás"," 17 519 "," 4 165 "," 3 283 "," 1 175 ","  480 ","  96 ","  30 ","  47 "," 8 244 ","Anajás"," 8 096 "," 2 540 "," 2 392 "," 1 156 ","  459 ","  96 ","  30 ","  47 "," 1 377 ","Anajás"," 9 423 "," 1 625 ","  891 ","  19 ","  21 ","- ","- ","- "," 6 867 ",1500701
