"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.6.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Amapá - 2010",,,,,,,,,,"Tabela 4.6.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Amapá - 2010",,,,,,,,,,"Tabela 4.6.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Amapá - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total"," 526 975 "," 53 053 "," 92 755 "," 78 170 "," 55 509 "," 22 432 "," 6 481 "," 2 656 "," 215 921 ","Total"," 295 955 "," 25 720 "," 72 924 "," 73 921 "," 51 978 "," 20 887 "," 6 132 "," 2 629 "," 41 764 ","Total"," 231 021 "," 27 332 "," 19 830 "," 4 249 "," 3 531 "," 1 545 ","  349 ","  27 "," 174 157 ",16
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Norte do Amapá"," 40 185 "," 5 084 "," 6 510 "," 4 654 "," 2 947 "," 1 108 ","  326 ","  162 "," 19 393 ","Norte do Amapá"," 21 792 "," 3 159 "," 5 162 "," 4 444 "," 2 810 "," 1 086 ","  322 ","  158 "," 4 650 ","Norte do Amapá"," 18 393 "," 1 924 "," 1 348 ","  210 ","  137 ","  22 ","  5 ","  4 "," 14 743 ",1601
"Sul do Amapá"," 486 791 "," 47 969 "," 86 244 "," 73 516 "," 52 562 "," 21 323 "," 6 155 "," 2 494 "," 196 528 ","Sul do Amapá"," 274 162 "," 22 561 "," 67 762 "," 69 477 "," 49 168 "," 19 801 "," 5 810 "," 2 470 "," 37 113 ","Sul do Amapá"," 212 628 "," 25 408 "," 18 482 "," 4 039 "," 3 394 "," 1 523 ","  344 ","  23 "," 159 414 ",1602
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Amapá"," 18 015 "," 2 706 "," 3 069 "," 1 509 "," 1 010 ","  367 ","  84 ","  23 "," 9 247 ","Amapá"," 8 870 "," 1 730 "," 2 208 "," 1 396 ","  934 ","  354 ","  79 ","  23 "," 2 146 ","Amapá"," 9 145 ","  976 ","  861 ","  113 ","  76 ","  13 ","  5 ","- "," 7 102 ",16002
"Macapá"," 434 249 "," 40 557 "," 77 631 "," 65 260 "," 48 622 "," 20 341 "," 5 794 "," 2 369 "," 173 674 ","Macapá"," 247 125 "," 19 088 "," 61 240 "," 61 698 "," 45 398 "," 18 841 "," 5 455 "," 2 346 "," 33 059 ","Macapá"," 187 123 "," 21 469 "," 16 391 "," 3 562 "," 3 224 "," 1 500 ","  339 ","  23 "," 140 615 ",16003
"Mazagão"," 52 542 "," 7 411 "," 8 613 "," 8 256 "," 3 940 ","  982 ","  361 ","  125 "," 22 854 ","Mazagão"," 27 037 "," 3 473 "," 6 522 "," 7 779 "," 3 769 ","  960 ","  355 ","  125 "," 4 055 ","Mazagão"," 25 505 "," 3 939 "," 2 091 ","  477 ","  170 ","  23 ","  5 ","- "," 18 799 ",16004
"Oiapoque"," 22 169 "," 2 377 "," 3 441 "," 3 144 "," 1 937 ","  742 ","  243 ","  139 "," 10 146 ","Oiapoque"," 12 922 "," 1 429 "," 2 954 "," 3 048 "," 1 876 ","  733 ","  243 ","  136 "," 2 505 ","Oiapoque"," 9 247 ","  948 ","  487 ","  97 ","  61 ","  9 ","- ","  4 "," 7 641 ",16001
"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,
"Amapá"," 6 206 ","  960 "," 1 191 ","  595 ","  393 ","  157 ","  34 ","  21 "," 2 857 ","Amapá"," 3 220 ","  664 ","  827 ","  550 ","  359 ","  146 ","  30 ","  21 ","  625 ","Amapá"," 2 986 ","  296 ","  364 ","  45 ","  34 ","  11 ","  5 ","- "," 2 232 ",1600105
"Calçoene"," 6 738 ","  914 "," 1 165 ","  810 ","  466 ","  179 ","  42 ","  21 "," 3 141 ","Calçoene"," 3 873 ","  527 ","  986 ","  769 ","  445 ","  179 ","  42 ","  17 ","  908 ","Calçoene"," 2 865 ","  388 ","  179 ","  41 ","  20 ","- ","- ","  4 "," 2 233 ",1600204
"Cutias"," 3 448 ","  469 ","  690 ","  316 ","  182 ","  60 ","  11 ","  12 "," 1 707 ","Cutias"," 1 693 ","  243 ","  519 ","  300 ","  157 ","  57 ","  11 ","  12 ","  394 ","Cutias"," 1 755 ","  225 ","  171 ","  17 ","  25 ","  3 ","- ","- "," 1 314 ",1600212
"Ferreira Gomes"," 4 366 ","  560 ","  803 ","  590 ","  334 ","  175 ","  27 ","  13 "," 1 864 ","Ferreira Gomes"," 2 469 ","  287 ","  581 ","  549 ","  304 ","  158 ","  27 ","  13 ","  550 ","Ferreira Gomes"," 1 897 ","  272 ","  222 ","  41 ","  31 ","  17 ","- ","- "," 1 314 ",1600238
"Itaubal"," 3 162 ","  514 ","  549 ","  223 ","  128 ","  36 ","  10 ","- "," 1 701 ","Itaubal"," 1 538 ","  309 ","  410 ","  205 ","  124 ","  26 ","  10 ","- ","  453 ","Itaubal"," 1 624 ","  205 ","  139 ","  18 ","  4 ","  10 ","- ","- "," 1 248 ",1600253
"Laranjal do Jari"," 30 688 "," 4 104 "," 5 316 "," 5 488 "," 2 562 ","  554 ","  279 ","  75 "," 12 310 ","Laranjal do Jari"," 16 494 "," 1 746 "," 4 217 "," 5 230 "," 2 454 ","  545 ","  279 ","  75 "," 1 948 ","Laranjal do Jari"," 14 194 "," 2 358 "," 1 099 ","  258 ","  108 ","  9 ","- ","- "," 10 363 ",1600279
"Macapá"," 319 028 "," 27 256 "," 56 766 "," 49 430 "," 37 952 "," 17 208 "," 5 097 "," 2 119 "," 123 200 ","Macapá"," 185 421 "," 13 136 "," 45 404 "," 46 717 "," 35 246 "," 15 815 "," 4 802 "," 2 095 "," 22 204 ","Macapá"," 133 607 "," 14 120 "," 11 363 "," 2 712 "," 2 706 "," 1 393 ","  294 ","  23 "," 100 996 ",1600303
"Mazagão"," 12 405 "," 1 920 "," 2 218 "," 1 395 ","  771 ","  223 ","  71 ","  31 "," 5 776 ","Mazagão"," 6 185 "," 1 117 "," 1 574 "," 1 283 ","  733 ","  209 ","  66 ","  31 "," 1 171 ","Mazagão"," 6 219 ","  802 ","  644 ","  112 ","  37 ","  14 ","  5 ","- "," 4 604 ",1600402
"Oiapoque"," 15 431 "," 1 463 "," 2 276 "," 2 334 "," 1 471 ","  562 ","  200 ","  119 "," 7 005 ","Oiapoque"," 9 049 ","  902 "," 1 968 "," 2 279 "," 1 430 ","  553 ","  200 ","  119 "," 1 597 ","Oiapoque"," 6 382 ","  561 ","  308 ","  55 ","  41 ","  9 ","- ","- "," 5 408 ",1600501
"Pedra Branca do Amapari"," 8 086 ","  994 "," 1 363 "," 1 282 ","  836 ","  137 ","  44 ","  6 "," 3 424 ","Pedra Branca do Amapari"," 4 916 ","  576 "," 1 079 "," 1 199 ","  827 ","  137 ","  44 ","  6 "," 1 048 ","Pedra Branca do Amapari"," 3 171 ","  418 ","  285 ","  82 ","  9 ","- ","- ","- "," 2 376 ",1600154
"Porto Grande"," 12 781 "," 1 515 "," 2 255 "," 1 938 ","  957 ","  288 ","  66 ","  6 "," 5 756 ","Porto Grande"," 7 234 ","  748 "," 1 814 "," 1 835 ","  928 ","  276 ","  50 ","  6 "," 1 576 ","Porto Grande"," 5 548 ","  767 ","  441 ","  103 ","  29 ","  12 ","  15 ","- "," 4 180 ",1600535
"Pracuúba"," 2 652 ","  368 ","  341 ","  266 ","  146 ","  36 ","  10 ","- "," 1 486 ","Pracuúba"," 1 271 ","  206 ","  250 ","  246 ","  130 ","  34 ","  10 ","- ","  395 ","Pracuúba"," 1 381 ","  162 ","  91 ","  19 ","  16 ","  2 ","- ","- "," 1 091 ",1600550
"Santana"," 80 052 "," 8 956 "," 14 736 "," 10 936 "," 7 853 "," 2 341 ","  528 ","  192 "," 34 511 ","Santana"," 42 094 "," 3 659 "," 11 104 "," 10 377 "," 7 455 "," 2 279 ","  498 ","  192 "," 6 531 ","Santana"," 37 958 "," 5 297 "," 3 632 ","  559 ","  398 ","  62 ","  30 ","- "," 27 980 ",1600600
"Serra do Navio"," 3 326 ","  294 ","  469 ","  546 ","  379 ","  97 ","  11 ","  21 "," 1 510 ","Serra do Navio"," 1 760 ","  129 ","  330 ","  517 ","  357 ","  93 ","  11 ","  21 ","  303 ","Serra do Navio"," 1 565 ","  165 ","  139 ","  29 ","  22 ","  4 ","- ","- "," 1 207 ",1600055
"Tartarugalzinho"," 9 157 "," 1 379 "," 1 537 ","  649 ","  472 ","  174 ","  40 ","  2 "," 4 905 ","Tartarugalzinho"," 4 378 ","  861 "," 1 131 ","  600 ","  446 ","  174 ","  40 ","  2 "," 1 126 ","Tartarugalzinho"," 4 779 ","  518 ","  407 ","  49 ","  25 ","- ","- ","- "," 3 779 ",1600709
"Vitória do Jari"," 9 449 "," 1 388 "," 1 079 "," 1 373 ","  607 ","  206 ","  10 ","  19 "," 4 768 ","Vitória do Jari"," 4 358 ","  609 ","  731 "," 1 266 ","  582 ","  206 ","  10 ","  19 ","  936 ","Vitória do Jari"," 5 091 ","  779 ","  348 ","  107 ","  25 ","- ","- ","- "," 3 833 ",1600808
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"Fonte: IBGE, Censo Demográfico 2010.",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"(1) Salário mínimo utilizado: R$ 510,00.  (2) Inclusive as pessoas que recebiam somente em benefícios. ",,,,,,,,,,
