"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.7.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Tocantins - 2010",,,,,,,,,,"Tabela 4.7.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Tocantins - 2010",,,,,,,,,,"Tabela 4.7.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Tocantins - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total","1 129 714 "," 131 214 "," 267 736 "," 179 906 "," 101 193 "," 36 054 "," 11 350 "," 5 554 "," 396 707 ","Total"," 630 425 "," 62 574 "," 181 453 "," 165 412 "," 95 776 "," 34 583 "," 10 895 "," 5 362 "," 74 370 ","Total"," 499 290 "," 68 640 "," 86 282 "," 14 494 "," 5 417 "," 1 471 ","  456 ","  192 "," 322 338 ",17
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Ocidental do Tocantins"," 712 117 "," 89 044 "," 178 489 "," 110 747 "," 56 362 "," 17 817 "," 4 882 "," 2 421 "," 252 356 ","Ocidental do Tocantins"," 386 872 "," 42 251 "," 119 419 "," 101 410 "," 53 061 "," 17 087 "," 4 673 "," 2 355 "," 46 615 ","Ocidental do Tocantins"," 325 246 "," 46 792 "," 59 070 "," 9 337 "," 3 301 ","  730 ","  208 ","  65 "," 205 742 ",1701
"Oriental do Tocantins"," 417 597 "," 42 170 "," 89 246 "," 69 159 "," 44 831 "," 18 237 "," 6 469 "," 3 134 "," 144 351 ","Oriental do Tocantins"," 243 553 "," 20 323 "," 62 034 "," 64 002 "," 42 715 "," 17 496 "," 6 221 "," 3 007 "," 27 755 ","Oriental do Tocantins"," 174 044 "," 21 847 "," 27 213 "," 5 157 "," 2 116 ","  741 ","  248 ","  127 "," 116 596 ",1702
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Araguaína"," 228 903 "," 24 573 "," 56 261 "," 38 082 "," 20 865 "," 6 959 "," 2 173 "," 1 020 "," 78 971 ","Araguaína"," 127 889 "," 11 187 "," 39 305 "," 34 953 "," 19 495 "," 6 620 "," 2 067 ","  999 "," 13 264 ","Araguaína"," 101 014 "," 13 386 "," 16 955 "," 3 129 "," 1 369 ","  339 ","  107 ","  21 "," 65 707 ",17002
"Bico do Papagaio"," 155 725 "," 26 524 "," 38 182 "," 17 319 "," 7 464 "," 2 095 ","  468 ","  123 "," 63 551 ","Bico do Papagaio"," 72 452 "," 12 446 "," 22 495 "," 14 991 "," 7 042 "," 2 020 ","  456 ","  116 "," 12 886 ","Bico do Papagaio"," 83 273 "," 14 079 "," 15 687 "," 2 328 ","  421 ","  74 ","  12 ","  6 "," 50 665 ",17001
"Dianópolis"," 95 796 "," 14 238 "," 23 976 "," 11 540 "," 5 258 "," 1 885 ","  420 ","  276 "," 38 202 ","Dianópolis"," 47 545 "," 7 386 "," 14 332 "," 10 034 "," 4 839 "," 1 763 ","  392 ","  271 "," 8 529 ","Dianópolis"," 48 251 "," 6 852 "," 9 645 "," 1 506 ","  420 ","  122 ","  28 ","  5 "," 29 673 ",17008
"Gurupi"," 114 727 "," 11 472 "," 28 363 "," 20 933 "," 11 773 "," 4 008 "," 1 163 ","  552 "," 36 465 ","Gurupi"," 68 370 "," 5 929 "," 19 693 "," 19 473 "," 10 988 "," 3 871 "," 1 132 ","  546 "," 6 737 ","Gurupi"," 46 357 "," 5 542 "," 8 669 "," 1 460 ","  785 ","  137 ","  31 ","  5 "," 29 728 ",17005
"Jalapão"," 56 279 "," 9 884 "," 12 225 "," 5 734 "," 2 254 ","  662 ","  168 ","  44 "," 25 306 ","Jalapão"," 25 524 "," 4 970 "," 6 921 "," 5 061 "," 2 170 ","  625 ","  150 ","  44 "," 5 584 ","Jalapão"," 30 755 "," 4 914 "," 5 304 ","  673 ","  85 ","  38 ","  19 ","- "," 19 722 ",17007
"Miracema do Tocantins"," 117 133 "," 16 460 "," 30 639 "," 17 403 "," 7 763 "," 2 405 ","  466 ","  351 "," 41 645 ","Miracema do Tocantins"," 63 088 "," 7 990 "," 20 696 "," 16 069 "," 7 380 "," 2 304 ","  437 ","  349 "," 7 863 ","Miracema do Tocantins"," 54 045 "," 8 471 "," 9 942 "," 1 334 ","  383 ","  101 ","  29 ","  2 "," 33 782 ",17003
"Porto Nacional"," 265 522 "," 18 047 "," 53 045 "," 51 884 "," 37 319 "," 15 690 "," 5 881 "," 2 813 "," 80 843 ","Porto Nacional"," 170 484 "," 7 967 "," 40 781 "," 48 907 "," 35 707 "," 15 108 "," 5 680 "," 2 691 "," 13 642 ","Porto Nacional"," 95 038 "," 10 081 "," 12 264 "," 2 977 "," 1 611 ","  582 ","  201 ","  122 "," 67 201 ",17006
"Rio Formoso"," 95 630 "," 10 015 "," 25 045 "," 17 011 "," 8 498 "," 2 350 ","  612 ","  375 "," 31 725 ","Rio Formoso"," 55 072 "," 4 700 "," 17 230 "," 15 925 "," 8 155 "," 2 271 ","  583 ","  345 "," 5 864 ","Rio Formoso"," 40 557 "," 5 315 "," 7 815 "," 1 086 ","  343 ","  79 ","  29 ","  30 "," 25 860 ",17004
"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,
"Abreulândia"," 1 887 ","  381 ","  452 ","  269 ","  133 ","  37 ","  4 ","  5 ","  607 ","Abreulândia"," 1 144 ","  269 ","  300 ","  260 ","  133 ","  37 ","  4 ","  5 ","  136 ","Abreulândia","  743 ","  112 ","  152 ","  8 ","- ","- ","- ","- ","  471 ",1700251
"Aguiarnópolis"," 3 997 ","  548 ","  951 ","  737 ","  259 ","  60 ","  11 ","  5 "," 1 425 ","Aguiarnópolis"," 2 116 ","  248 ","  646 ","  696 ","  250 ","  60 ","  11 ","  5 ","  199 ","Aguiarnópolis"," 1 881 ","  300 ","  305 ","  41 ","  9 ","- ","- ","- "," 1 226 ",1700301
"Aliança do Tocantins"," 4 749 ","  634 "," 1 211 ","  785 ","  268 ","  50 ","  19 ","  2 "," 1 781 ","Aliança do Tocantins"," 2 349 ","  289 ","  666 ","  734 ","  240 ","  50 ","  16 ","  2 ","  352 ","Aliança do Tocantins"," 2 400 ","  344 ","  545 ","  51 ","  28 ","- ","  3 ","- "," 1 429 ",1700350
"Almas"," 6 061 "," 1 075 "," 1 521 ","  762 ","  340 ","  125 ","  20 ","  10 "," 2 208 ","Almas"," 3 104 ","  568 ","  908 ","  667 ","  321 ","  125 ","  20 ","  10 ","  484 ","Almas"," 2 958 ","  506 ","  613 ","  95 ","  19 ","- ","- ","- "," 1 725 ",1700400
"Alvorada"," 6 968 ","  763 "," 1 960 "," 1 434 ","  651 ","  201 ","  50 ","  12 "," 1 898 ","Alvorada"," 4 168 ","  304 "," 1 411 "," 1 319 ","  627 ","  196 ","  50 ","  12 ","  248 ","Alvorada"," 2 801 ","  458 ","  549 ","  116 ","  23 ","  5 ","- ","- "," 1 649 ",1700707
"Ananás"," 7 940 "," 1 416 "," 2 140 "," 1 226 ","  430 ","  121 ","  37 ","  13 "," 2 558 ","Ananás"," 3 930 ","  538 "," 1 341 "," 1 134 ","  403 ","  121 ","  32 ","  13 ","  348 ","Ananás"," 4 010 ","  878 ","  798 ","  92 ","  27 ","- ","  5 ","- "," 2 210 ",1701002
"Angico"," 2 563 ","  488 ","  704 ","  299 ","  107 ","  6 ","  5 ","  3 ","  950 ","Angico"," 1 246 ","  233 ","  412 ","  277 ","  100 ","  6 ","  5 ","  3 ","  209 ","Angico"," 1 317 ","  255 ","  292 ","  22 ","  7 ","- ","- ","- ","  741 ",1701051
"Aparecida do Rio Negro"," 3 376 ","  458 "," 1 003 ","  404 ","  162 ","  42 ","  6 ","- "," 1 300 ","Aparecida do Rio Negro"," 1 649 ","  254 ","  644 ","  360 ","  155 ","  42 ","  6 ","- ","  188 ","Aparecida do Rio Negro"," 1 728 ","  204 ","  359 ","  44 ","  7 ","- ","- ","- "," 1 113 ",1701101
"Aragominas"," 4 762 ","  942 "," 1 309 ","  665 ","  199 ","  89 ","  5 ","  9 "," 1 544 ","Aragominas"," 2 837 ","  582 ","  922 ","  614 ","  191 ","  78 ","  5 ","  9 ","  436 ","Aragominas"," 1 925 ","  361 ","  386 ","  52 ","  8 ","  11 ","- ","- "," 1 108 ",1701309
"Araguacema"," 5 070 ","  838 "," 1 231 ","  535 ","  275 ","  66 ","  11 ","  5 "," 2 111 ","Araguacema"," 2 785 ","  415 ","  772 ","  501 ","  270 ","  66 ","  11 ","  5 ","  746 ","Araguacema"," 2 285 ","  423 ","  459 ","  34 ","  5 ","- ","- ","- "," 1 364 ",1701903
"Araguaçu"," 7 494 ","  792 "," 2 277 "," 1 156 ","  452 ","  73 ","  36 ","  22 "," 2 686 ","Araguaçu"," 3 994 ","  436 "," 1 335 "," 1 053 ","  433 ","  62 ","  36 ","  22 ","  616 ","Araguaçu"," 3 500 ","  356 ","  942 ","  103 ","  19 ","  11 ","- ","- "," 2 070 ",1702000
"Araguaína"," 124 535 "," 9 909 "," 29 602 "," 23 486 "," 14 593 "," 5 125 "," 1 663 ","  823 "," 39 335 ","Araguaína"," 74 063 "," 4 111 "," 21 404 "," 21 464 "," 13 569 "," 4 856 "," 1 591 ","  801 "," 6 267 ","Araguaína"," 50 471 "," 5 798 "," 8 198 "," 2 022 "," 1 024 ","  269 ","  72 ","  21 "," 33 068 ",1702109
"Araguanã"," 4 016 ","  652 "," 1 082 ","  523 ","  260 ","  37 ","  7 ","  10 "," 1 446 ","Araguanã"," 2 229 ","  312 ","  773 ","  494 ","  249 ","  37 ","  7 ","  10 ","  348 ","Araguanã"," 1 787 ","  340 ","  309 ","  29 ","  10 ","- ","- ","- "," 1 098 ",1702158
"Araguatins"," 24 678 "," 3 817 "," 6 224 "," 2 365 "," 1 419 ","  562 ","  105 ","  8 "," 10 179 ","Araguatins"," 11 710 "," 1 644 "," 3 842 "," 2 076 "," 1 380 ","  551 ","  105 ","  8 "," 2 103 ","Araguatins"," 12 968 "," 2 173 "," 2 382 ","  288 ","  39 ","  10 ","- ","- "," 8 076 ",1702208
"Arapoema"," 5 557 ","  800 "," 1 588 ","  883 ","  353 ","  103 ","  21 ","  11 "," 1 798 ","Arapoema"," 2 986 ","  402 "," 1 041 ","  807 ","  345 ","  98 ","  18 ","  11 ","  266 ","Arapoema"," 2 571 ","  399 ","  547 ","  76 ","  9 ","  5 ","  3 ","- "," 1 532 ",1702307
"Arraias"," 8 805 "," 1 353 "," 2 248 "," 1 024 ","  493 ","  236 ","  18 ","  30 "," 3 403 ","Arraias"," 4 251 ","  597 "," 1 281 ","  918 ","  433 ","  220 ","  18 ","  30 ","  754 ","Arraias"," 4 554 ","  756 ","  968 ","  106 ","  60 ","  16 ","- ","- "," 2 649 ",1702406
"Augustinópolis"," 12 846 "," 2 169 "," 3 577 "," 1 433 ","  736 ","  195 ","  51 ","  28 "," 4 657 ","Augustinópolis"," 6 776 "," 1 177 "," 2 401 "," 1 264 ","  715 ","  190 ","  51 ","  28 ","  950 ","Augustinópolis"," 6 070 ","  992 "," 1 176 ","  169 ","  20 ","  6 ","- ","- "," 3 706 ",1702554
"Aurora do Tocantins"," 2 855 ","  500 ","  765 ","  360 ","  123 ","  44 ","  6 ","  15 "," 1 042 ","Aurora do Tocantins"," 1 425 ","  246 ","  445 ","  300 ","  110 ","  41 ","  3 ","  15 ","  264 ","Aurora do Tocantins"," 1 430 ","  254 ","  319 ","  60 ","  12 ","  3 ","  3 ","- ","  778 ",1702703
"Axixá do Tocantins"," 7 320 "," 1 402 "," 1 742 "," 1 038 ","  454 ","  93 ","  6 ","  5 "," 2 581 ","Axixá do Tocantins"," 3 588 ","  750 ","  980 ","  863 ","  413 ","  93 ","  6 ","  5 ","  479 ","Axixá do Tocantins"," 3 732 ","  653 ","  762 ","  175 ","  40 ","- ","- ","- "," 2 102 ",1702901
"Babaçulândia"," 8 704 "," 1 382 "," 2 002 "," 1 258 ","  419 ","  89 ","  13 ","  6 "," 3 536 ","Babaçulândia"," 4 138 ","  736 "," 1 275 "," 1 146 ","  377 ","  84 ","  13 ","  6 ","  502 ","Babaçulândia"," 4 566 ","  646 ","  728 ","  112 ","  42 ","  5 ","- ","- "," 3 034 ",1703008
"Bandeirantes do Tocantins"," 2 489 ","  212 ","  584 ","  263 ","  125 ","  33 ","- ","- "," 1 272 ","Bandeirantes do Tocantins","  898 ","  70 ","  326 ","  252 ","  125 ","  33 ","- ","- ","  90 ","Bandeirantes do Tocantins"," 1 591 ","  141 ","  257 ","  10 ","- ","- ","- ","- "," 1 182 ",1703057
"Barra do Ouro"," 3 203 ","  563 ","  751 ","  350 ","  106 ","  46 ","  7 ","- "," 1 381 ","Barra do Ouro"," 1 540 ","  301 ","  468 ","  309 ","  100 ","  46 ","  7 ","- ","  309 ","Barra do Ouro"," 1 663 ","  262 ","  283 ","  41 ","  6 ","- ","- ","- "," 1 072 ",1703073
"Barrolândia"," 4 458 ","  639 "," 1 117 ","  648 ","  313 ","  39 ","  6 ","- "," 1 696 ","Barrolândia"," 2 140 ","  260 ","  673 ","  578 ","  305 ","  39 ","  6 ","- ","  279 ","Barrolândia"," 2 318 ","  379 ","  444 ","  70 ","  8 ","- ","- ","- "," 1 418 ",1703107
"Bernardo Sayão"," 3 673 ","  542 "," 1 088 ","  553 ","  211 ","  26 ","  12 ","- "," 1 240 ","Bernardo Sayão"," 1 892 ","  275 ","  686 ","  512 ","  205 ","  26 ","  12 ","- ","  176 ","Bernardo Sayão"," 1 781 ","  267 ","  402 ","  41 ","  7 ","- ","- ","- "," 1 064 ",1703206
"Bom Jesus do Tocantins"," 2 992 ","  473 ","  766 ","  485 ","  226 ","  34 ","  2 ","  9 ","  997 ","Bom Jesus do Tocantins"," 1 758 ","  280 ","  525 ","  440 ","  208 ","  27 ","  2 ","  9 ","  267 ","Bom Jesus do Tocantins"," 1 234 ","  193 ","  241 ","  46 ","  18 ","  7 ","- ","- ","  730 ",1703305
"Brasilândia do Tocantins"," 1 675 ","  271 ","  453 ","  242 ","  103 ","  38 ","  2 ","  8 ","  557 ","Brasilândia do Tocantins","  818 ","  85 ","  292 ","  215 ","  98 ","  38 ","  2 ","  8 ","  80 ","Brasilândia do Tocantins","  857 ","  186 ","  161 ","  28 ","  5 ","- ","- ","- ","  478 ",1703602
"Brejinho de Nazaré"," 4 228 ","  699 "," 1 240 ","  552 ","  206 ","  88 ","  20 ","  13 "," 1 410 ","Brejinho de Nazaré"," 2 141 ","  355 ","  757 ","  511 ","  196 ","  77 ","  14 ","  13 ","  217 ","Brejinho de Nazaré"," 2 088 ","  344 ","  483 ","  41 ","  9 ","  11 ","  6 ","- "," 1 194 ",1703701
"Buriti do Tocantins"," 7 904 "," 1 372 "," 1 723 ","  739 ","  351 ","  98 ","  23 ","  8 "," 3 589 ","Buriti do Tocantins"," 3 359 ","  555 "," 1 025 ","  626 ","  343 ","  98 ","  23 ","  8 ","  682 ","Buriti do Tocantins"," 4 544 ","  817 ","  699 ","  114 ","  9 ","- ","- ","- "," 2 907 ",1703800
"Cachoeirinha"," 1 701 ","  264 ","  373 ","  228 ","  54 ","  12 ","  1 ","- ","  769 ","Cachoeirinha","  822 ","  141 ","  209 ","  181 ","  52 ","  10 ","  1 ","- ","  227 ","Cachoeirinha","  879 ","  123 ","  164 ","  46 ","  2 ","  2 ","- ","- ","  541 ",1703826
"Campos Lindos"," 6 100 ","  923 "," 1 017 ","  646 ","  249 ","  42 ","  27 ","  4 "," 3 193 ","Campos Lindos"," 2 889 ","  582 ","  612 ","  587 ","  244 ","  42 ","  27 ","  4 ","  790 ","Campos Lindos"," 3 211 ","  340 ","  404 ","  59 ","  4 ","- ","- ","- "," 2 402 ",1703842
