"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.8.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Maranhão - 2010",,,,,,,,,,"Tabela 4.8.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Maranhão - 2010",,,,,,,,,,"Tabela 4.8.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Maranhão - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total","5 264 736 "," 947 621 ","1 155 092 "," 595 689 "," 251 769 "," 80 731 "," 28 054 "," 12 769 ","2 193 012 ","Total","2 585 063 "," 509 029 "," 735 379 "," 526 385 "," 233 049 "," 73 907 "," 25 875 "," 11 945 "," 469 493 ","Total","2 679 673 "," 438 592 "," 419 713 "," 69 304 "," 18 720 "," 6 824 "," 2 178 ","  824 ","1 723 519 ",21
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Centro Maranhense"," 727 148 "," 156 437 "," 169 672 "," 66 380 "," 21 977 "," 6 189 "," 1 798 ","  858 "," 303 838 ","Centro Maranhense"," 344 558 "," 88 313 "," 98 386 "," 55 953 "," 20 729 "," 5 881 "," 1 718 ","  845 "," 72 734 ","Centro Maranhense"," 382 590 "," 68 124 "," 71 286 "," 10 426 "," 1 249 ","  308 ","  80 ","  13 "," 231 104 ",2103
"Leste Maranhense","1 055 627 "," 211 514 "," 237 062 "," 95 398 "," 32 350 "," 7 817 "," 2 315 ","  752 "," 468 420 ","Leste Maranhense"," 468 910 "," 113 144 "," 138 252 "," 80 329 "," 29 729 "," 7 055 "," 2 185 ","  752 "," 97 466 ","Leste Maranhense"," 586 717 "," 98 371 "," 98 810 "," 15 069 "," 2 621 ","  762 ","  130 ","- "," 370 954 ",2104
"Norte Maranhense","2 124 425 "," 333 816 "," 435 301 "," 273 258 "," 134 452 "," 48 374 "," 18 735 "," 8 684 "," 871 806 ","Norte Maranhense","1 102 845 "," 182 989 "," 297 204 "," 247 445 "," 122 454 "," 43 270 "," 16 876 "," 7 963 "," 184 645 ","Norte Maranhense","1 021 581 "," 150 828 "," 138 097 "," 25 813 "," 11 998 "," 5 105 "," 1 859 ","  721 "," 687 161 ",2101
"Oeste Maranhense","1 111 073 "," 208 783 "," 256 521 "," 128 533 "," 48 669 "," 13 814 "," 3 951 "," 1 867 "," 448 934 ","Oeste Maranhense"," 546 677 "," 106 924 "," 165 348 "," 113 973 "," 46 333 "," 13 367 "," 3 903 "," 1 792 "," 95 037 ","Oeste Maranhense"," 564 397 "," 101 859 "," 91 173 "," 14 559 "," 2 336 ","  448 ","  48 ","  76 "," 353 897 ",2102
"Sul Maranhense"," 246 462 "," 37 070 "," 56 537 "," 32 121 "," 14 320 "," 4 536 "," 1 254 ","  609 "," 100 015 ","Sul Maranhense"," 122 074 "," 17 660 "," 36 190 "," 28 685 "," 13 805 "," 4 334 "," 1 194 ","  594 "," 19 611 ","Sul Maranhense"," 124 389 "," 19 410 "," 20 347 "," 3 436 ","  515 ","  202 ","  60 ","  15 "," 80 404 ",2105
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Aglomeração Urbana de São Luís","1 105 778 "," 101 053 "," 232 496 "," 188 621 "," 107 076 "," 42 492 "," 17 455 "," 8 348 "," 408 239 ","Aglomeração Urbana de São Luís"," 631 838 "," 43 516 "," 181 200 "," 175 096 "," 97 012 "," 37 801 "," 15 668 "," 7 665 "," 73 879 ","Aglomeração Urbana de São Luís"," 473 941 "," 57 536 "," 51 296 "," 13 524 "," 10 064 "," 4 691 "," 1 786 ","  683 "," 334 360 ",21002
"Alto Mearim e Grajaú"," 243 450 "," 48 793 "," 52 237 "," 19 663 "," 6 023 "," 1 797 ","  501 ","  282 "," 114 156 ","Alto Mearim e Grajaú"," 110 839 "," 24 995 "," 30 763 "," 16 462 "," 5 739 "," 1 681 ","  468 ","  282 "," 30 449 ","Alto Mearim e Grajaú"," 132 611 "," 23 798 "," 21 474 "," 3 200 ","  284 ","  116 ","  33 ","- "," 83 706 ",21011
"Baixada Maranhense"," 446 809 "," 104 100 "," 92 589 "," 38 933 "," 13 304 "," 2 736 ","  557 ","  108 "," 194 482 ","Baixada Maranhense"," 215 660 "," 64 486 "," 52 754 "," 33 271 "," 12 413 "," 2 573 ","  545 ","  87 "," 49 530 ","Baixada Maranhense"," 231 149 "," 39 614 "," 39 835 "," 5 662 ","  891 ","  163 ","  12 ","  21 "," 144 952 ",21005
"Baixo Parnaíba Maranhense"," 109 092 "," 20 864 "," 22 337 "," 7 476 "," 1 872 ","  346 ","  103 ","  12 "," 56 083 ","Baixo Parnaíba Maranhense"," 43 515 "," 10 923 "," 11 572 "," 5 892 "," 1 782 ","  324 ","  89 ","  12 "," 12 921 ","Baixo Parnaíba Maranhense"," 65 578 "," 9 942 "," 10 765 "," 1 584 ","  90 ","  21 ","  14 ","- "," 43 162 ",21013
"Caxias"," 333 447 "," 63 094 "," 85 577 "," 38 511 "," 13 740 "," 3 542 ","  960 ","  336 "," 127 687 ","Caxias"," 162 215 "," 33 448 "," 55 633 "," 33 952 "," 12 488 "," 3 109 ","  881 ","  336 "," 22 368 ","Caxias"," 171 232 "," 29 646 "," 29 943 "," 4 559 "," 1 251 ","  433 ","  79 ","- "," 105 319 ",21017
"Chapadas das Mangabeiras"," 54 594 "," 9 762 "," 12 308 "," 5 040 "," 1 457 ","  456 ","  124 ","  35 "," 25 412 ","Chapadas das Mangabeiras"," 23 404 "," 4 780 "," 6 795 "," 4 085 "," 1 361 ","  417 ","  114 ","  30 "," 5 822 ","Chapadas das Mangabeiras"," 31 190 "," 4 982 "," 5 512 ","  954 ","  96 ","  40 ","  9 ","  4 "," 19 591 ",21021
"Chapadas do Alto Itapecuru"," 168 708 "," 36 663 "," 35 283 "," 15 786 "," 5 397 "," 1 393 ","  399 ","  151 "," 73 636 ","Chapadas do Alto Itapecuru"," 77 970 "," 21 573 "," 19 511 "," 12 366 "," 4 964 "," 1 270 ","  383 ","  151 "," 17 752 ","Chapadas do Alto Itapecuru"," 90 738 "," 15 090 "," 15 772 "," 3 420 ","  433 ","  123 ","  16 ","- "," 55 884 ",21018
"Chapadinha"," 168 539 "," 32 249 "," 33 424 "," 11 503 "," 3 908 ","  916 ","  384 ","  102 "," 86 052 ","Chapadinha"," 67 951 "," 17 333 "," 17 964 "," 9 174 "," 3 520 ","  848 ","  379 ","  102 "," 18 632 ","Chapadinha"," 100 588 "," 14 916 "," 15 460 "," 2 329 ","  389 ","  69 ","  6 ","- "," 67 421 ",21014
"Codó"," 208 556 "," 44 794 "," 46 576 "," 16 538 "," 5 666 "," 1 358 ","  362 ","  130 "," 93 133 ","Codó"," 89 287 "," 23 855 "," 25 490 "," 14 116 "," 5 336 "," 1 248 ","  347 ","  130 "," 18 766 ","Codó"," 119 270 "," 20 940 "," 21 085 "," 2 422 ","  330 ","  110 ","  15 ","- "," 74 367 ",21015
"Coelho Neto"," 67 285 "," 13 850 "," 13 865 "," 5 585 "," 1 767 ","  262 ","  106 ","  21 "," 31 829 ","Coelho Neto"," 27 973 "," 6 013 "," 8 081 "," 4 830 "," 1 639 ","  256 ","  106 ","  21 "," 7 027 ","Coelho Neto"," 39 312 "," 7 837 "," 5 784 ","  756 ","  128 ","  6 ","- ","- "," 24 801 ",21016
"Gerais de Balsas"," 103 399 "," 14 733 "," 23 337 "," 14 418 "," 6 417 "," 2 321 ","  729 ","  379 "," 41 066 ","Gerais de Balsas"," 52 921 "," 6 725 "," 15 707 "," 12 976 "," 6 192 "," 2 204 ","  696 ","  379 "," 8 040 ","Gerais de Balsas"," 50 479 "," 8 007 "," 7 630 "," 1 442 ","  224 ","  117 ","  33 ","- "," 33 026 ",21020
"Gurupi"," 170 188 "," 39 946 "," 33 505 "," 15 622 "," 4 492 ","  862 ","  156 ","  73 "," 75 533 ","Gurupi"," 80 304 "," 23 013 "," 21 571 "," 13 675 "," 4 220 ","  831 ","  156 ","  73 "," 16 764 ","Gurupi"," 89 885 "," 16 933 "," 11 935 "," 1 947 ","  271 ","  31 ","- ","- "," 58 769 ",21007
"Imperatriz"," 456 493 "," 67 911 "," 116 382 "," 67 080 "," 29 645 "," 9 554 "," 2 693 "," 1 326 "," 161 904 ","Imperatriz"," 244 452 "," 29 637 "," 79 993 "," 61 021 "," 28 244 "," 9 234 "," 2 666 "," 1 277 "," 32 380 ","Imperatriz"," 212 041 "," 38 274 "," 36 389 "," 6 058 "," 1 401 ","  320 ","  27 ","  48 "," 129 524 ",21009
"Itapecuru Mirim"," 165 170 "," 32 288 "," 31 767 "," 12 404 "," 3 691 ","  793 ","  132 ","  44 "," 84 052 ","Itapecuru Mirim"," 66 226 "," 16 568 "," 18 258 "," 10 788 "," 3 483 ","  744 ","  132 ","  44 "," 16 209 ","Itapecuru Mirim"," 98 945 "," 15 720 "," 13 509 "," 1 616 ","  208 ","  49 ","- ","- "," 67 843 ",21006
"Lençois Maranhenses"," 132 782 "," 29 466 "," 22 735 "," 10 543 "," 3 206 ","  741 ","  245 ","  57 "," 65 790 ","Lençois Maranhenses"," 62 392 "," 18 122 "," 13 562 "," 8 716 "," 2 928 ","  673 ","  228 ","  57 "," 18 104 ","Lençois Maranhenses"," 70 390 "," 11 343 "," 9 173 "," 1 826 ","  278 ","  68 ","  16 ","- "," 47 685 ",21004
"Litoral Ocidental Maranhense"," 147 162 "," 39 559 "," 30 536 "," 11 377 "," 3 399 ","  794 ","  212 ","  93 "," 61 190 ","Litoral Ocidental Maranhense"," 68 702 "," 24 706 "," 16 450 "," 9 645 "," 3 188 ","  736 ","  178 ","  76 "," 13 723 ","Litoral Ocidental Maranhense"," 78 459 "," 14 853 "," 14 086 "," 1 732 ","  211 ","  59 ","  34 ","  17 "," 47 467 ",21001
"Médio Mearim"," 330 449 "," 74 285 "," 80 925 "," 31 854 "," 10 967 "," 2 949 ","  889 ","  418 "," 128 163 ","Médio Mearim"," 161 894 "," 44 479 "," 46 992 "," 26 771 "," 10 225 "," 2 841 ","  841 ","  412 "," 29 333 ","Médio Mearim"," 168 555 "," 29 806 "," 33 932 "," 5 083 ","  742 ","  108 ","  48 ","  6 "," 98 830 ",21010
"Pindaré"," 484 392 "," 100 927 "," 106 633 "," 45 831 "," 14 533 "," 3 398 "," 1 102 ","  469 "," 211 498 ","Pindaré"," 221 921 "," 54 274 "," 63 784 "," 39 277 "," 13 869 "," 3 302 "," 1 081 ","  442 "," 45 893 ","Pindaré"," 262 471 "," 46 653 "," 42 849 "," 6 554 ","  664 ","  97 ","  21 ","  28 "," 165 605 ",21008
"Porto Franco"," 88 469 "," 12 575 "," 20 893 "," 12 663 "," 6 446 "," 1 759 ","  402 ","  195 "," 33 536 ","Porto Franco"," 45 749 "," 6 155 "," 13 688 "," 11 623 "," 6 251 "," 1 714 ","  384 ","  185 "," 5 749 ","Porto Franco"," 42 721 "," 6 420 "," 7 205 "," 1 040 ","  195 ","  45 ","  18 ","  11 "," 27 787 ",21019
"Presidente Dutra"," 153 249 "," 33 359 "," 36 510 "," 14 863 "," 4 987 "," 1 443 ","  408 ","  158 "," 61 519 ","Presidente Dutra"," 71 825 "," 18 839 "," 20 631 "," 12 720 "," 4 765 "," 1 359 ","  408 ","  151 "," 12 952 ","Presidente Dutra"," 81 424 "," 14 520 "," 15 880 "," 2 143 ","  223 ","  84 ","- ","  7 "," 48 568 ",21012
"Rosário"," 126 723 "," 27 351 "," 25 177 "," 11 381 "," 3 776 ","  818 ","  134 ","  33 "," 58 053 ","Rosário"," 58 026 "," 15 589 "," 14 979 "," 9 929 "," 3 430 ","  742 ","  124 ","  33 "," 13 200 ","Rosário"," 68 697 "," 11 762 "," 10 198 "," 1 452 ","  346 ","  75 ","  11 ","- "," 44 853 ",21003
"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,
"Açailândia"," 83 056 "," 12 243 "," 20 427 "," 12 018 "," 5 222 "," 1 602 ","  498 ","  242 "," 30 803 ","Açailândia"," 43 724 "," 4 615 "," 14 580 "," 11 054 "," 5 051 "," 1 552 ","  498 ","  242 "," 6 131 ","Açailândia"," 39 332 "," 7 628 "," 5 847 ","  964 ","  171 ","  50 ","- ","- "," 24 672 ",2100055
"Afonso Cunha"," 4 430 ","  828 ","  796 ","  277 ","  96 ","  14 ","  2 ","- "," 2 417 ","Afonso Cunha"," 1 164 ","  182 ","  397 ","  246 ","  92 ","  14 ","  2 ","- ","  231 ","Afonso Cunha"," 3 266 ","  646 ","  399 ","  31 ","  4 ","- ","- ","- "," 2 186 ",2100105
"Água Doce do Maranhão"," 9 160 "," 1 464 "," 1 870 ","  656 ","  155 ","  16 ","  14 ","- "," 4 986 ","Água Doce do Maranhão"," 2 922 ","  627 ","  769 ","  510 ","  136 ","  16 ","  14 ","- ","  850 ","Água Doce do Maranhão"," 6 237 ","  836 "," 1 100 ","  146 ","  19 ","- ","- ","- "," 4 136 ",2100154
"Alcântara"," 17 552 "," 4 227 "," 3 336 "," 1 516 ","  443 ","  107 ","  5 ","  7 "," 7 911 ","Alcântara"," 7 692 "," 2 310 "," 1 608 "," 1 360 ","  432 ","  107 ","  5 ","  7 "," 1 863 ","Alcântara"," 9 860 "," 1 917 "," 1 728 ","  156 ","  10 ","- ","- ","- "," 6 048 ",2100204
"Aldeias Altas"," 18 194 "," 4 196 "," 3 588 "," 1 192 ","  339 ","  47 ","  10 ","  12 "," 8 809 ","Aldeias Altas"," 8 121 "," 1 884 "," 2 129 "," 1 081 ","  339 ","  47 ","  10 ","  12 "," 2 618 ","Aldeias Altas"," 10 073 "," 2 312 "," 1 459 ","  111 ","- ","- ","- ","- "," 6 191 ",2100303
"Altamira do Maranhão"," 8 813 "," 1 836 "," 1 549 ","  746 ","  134 ","  17 ","- ","- "," 4 530 ","Altamira do Maranhão"," 2 678 ","  630 ","  770 ","  545 ","  124 ","  17 ","- ","- ","  592 ","Altamira do Maranhão"," 6 135 "," 1 206 ","  780 ","  201 ","  10 ","- ","- ","- "," 3 938 ",2100402
"Alto Alegre do Maranhão"," 19 262 "," 4 169 "," 4 216 "," 1 270 ","  302 ","  74 ","  10 ","- "," 9 222 ","Alto Alegre do Maranhão"," 7 644 "," 2 403 "," 2 378 "," 1 145 ","  293 ","  74 ","  10 ","- "," 1 342 ","Alto Alegre do Maranhão"," 11 617 "," 1 766 "," 1 838 ","  125 ","  9 ","- ","- ","- "," 7 880 ",2100436
"Alto Alegre do Pindaré"," 23 815 "," 5 412 "," 4 161 "," 1 290 ","  334 ","  88 ","- ","- "," 12 530 ","Alto Alegre do Pindaré"," 8 266 "," 2 650 "," 1 748 "," 1 090 ","  326 ","  79 ","- ","- "," 2 373 ","Alto Alegre do Pindaré"," 15 549 "," 2 762 "," 2 413 ","  200 ","  8 ","  8 ","- ","- "," 10 157 ",2100477
"Alto Parnaíba"," 8 462 "," 1 249 "," 2 059 ","  798 ","  364 ","  62 ","  16 ","  38 "," 3 876 ","Alto Parnaíba"," 4 074 ","  612 "," 1 255 ","  683 ","  351 ","  62 ","  16 ","  38 "," 1 058 ","Alto Parnaíba"," 4 388 ","  637 ","  805 ","  115 ","  13 ","- ","- ","- "," 2 819 ",2100501
"Amapá do Maranhão"," 4 850 "," 1 105 ","  919 ","  364 ","  129 ","  22 ","- ","  6 "," 2 305 ","Amapá do Maranhão"," 2 402 ","  662 ","  568 ","  332 ","  129 ","  22 ","- ","  6 ","  682 ","Amapá do Maranhão"," 2 447 ","  442 ","  351 ","  32 ","- ","- ","- ","- "," 1 622 ",2100550
