"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.9.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Piauí - 2010",,,,,,,,,,"Tabela 4.9.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Piauí - 2010",,,,,,,,,,"Tabela 4.9.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Piauí - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total","2 597 953 "," 464 147 "," 612 223 "," 304 199 "," 145 749 "," 45 775 "," 17 316 "," 8 377 ","1 000 168 ","Total","1 319 221 "," 267 118 "," 386 460 "," 254 787 "," 127 697 "," 39 827 "," 15 358 "," 7 547 "," 220 426 ","Total","1 278 733 "," 197 029 "," 225 764 "," 49 412 "," 18 052 "," 5 948 "," 1 958 ","  830 "," 779 742 ",22
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Centro-Norte Piauiense","1 225 927 "," 183 287 "," 292 964 "," 164 753 "," 88 204 "," 31 103 "," 13 037 "," 6 567 "," 446 013 ","Centro-Norte Piauiense"," 644 834 "," 97 318 "," 196 177 "," 143 829 "," 76 820 "," 26 932 "," 11 373 "," 5 873 "," 86 512 ","Centro-Norte Piauiense"," 581 093 "," 85 968 "," 96 787 "," 20 924 "," 11 384 "," 4 171 "," 1 664 ","  694 "," 359 501 ",2202
"Norte Piauiense"," 520 520 "," 107 554 "," 117 601 "," 52 103 "," 21 761 "," 5 577 "," 1 673 ","  683 "," 213 569 ","Norte Piauiense"," 248 229 "," 65 174 "," 70 895 "," 41 899 "," 18 699 "," 4 640 "," 1 455 ","  602 "," 44 864 ","Norte Piauiense"," 272 292 "," 42 380 "," 46 705 "," 10 204 "," 3 061 ","  937 ","  218 ","  81 "," 168 705 ",2201
"Sudeste Piauiense"," 432 524 "," 94 317 "," 104 460 "," 43 085 "," 17 691 "," 4 155 "," 1 266 ","  562 "," 166 987 ","Sudeste Piauiense"," 221 557 "," 58 571 "," 61 347 "," 33 713 "," 15 857 "," 3 705 "," 1 229 ","  539 "," 46 596 ","Sudeste Piauiense"," 210 966 "," 35 747 "," 43 113 "," 9 372 "," 1 834 ","  450 ","  37 ","  23 "," 120 391 ",2204
"Sudoeste Piauiense"," 418 983 "," 78 989 "," 97 199 "," 44 258 "," 18 093 "," 4 940 "," 1 340 ","  565 "," 173 599 ","Sudoeste Piauiense"," 204 601 "," 46 056 "," 58 040 "," 35 346 "," 16 321 "," 4 550 "," 1 300 ","  534 "," 42 454 ","Sudoeste Piauiense"," 214 382 "," 32 934 "," 39 159 "," 8 911 "," 1 773 ","  389 ","  39 ","  32 "," 131 145 ",2203
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Alto Médio Canindé"," 216 009 "," 50 641 "," 48 519 "," 18 928 "," 6 828 "," 1 391 ","  325 ","  167 "," 89 212 ","Alto Médio Canindé"," 107 260 "," 31 434 "," 26 364 "," 14 493 "," 6 147 "," 1 230 ","  296 ","  167 "," 27 129 ","Alto Médio Canindé"," 108 749 "," 19 207 "," 22 155 "," 4 435 ","  681 ","  161 ","  28 ","- "," 62 083 ",22015
"Alto Médio Gurguéia"," 70 633 "," 13 040 "," 15 128 "," 7 026 "," 2 913 ","  921 ","  306 ","  152 "," 31 146 ","Alto Médio Gurguéia"," 34 889 "," 8 142 "," 9 082 "," 5 343 "," 2 714 ","  846 ","  306 ","  147 "," 8 309 ","Alto Médio Gurguéia"," 35 744 "," 4 898 "," 6 046 "," 1 683 ","  199 ","  75 ","- ","  6 "," 22 837 ",22010
"Alto Parnaíba Piauiense"," 34 782 "," 5 197 "," 7 330 "," 4 113 "," 1 508 ","  386 ","  94 ","  41 "," 16 113 ","Alto Parnaíba Piauiense"," 15 476 "," 2 486 "," 4 363 "," 3 470 "," 1 413 ","  363 ","  84 ","  37 "," 3 258 ","Alto Parnaíba Piauiense"," 19 307 "," 2 711 "," 2 966 ","  643 ","  96 ","  23 ","  10 ","  4 "," 12 855 ",22007
"Baixo Parnaíba Piauiense"," 268 723 "," 61 279 "," 58 757 "," 26 950 "," 9 545 "," 1 650 ","  598 ","  162 "," 109 782 ","Baixo Parnaíba Piauiense"," 128 409 "," 36 889 "," 33 699 "," 21 766 "," 8 730 "," 1 519 ","  538 ","  154 "," 25 114 ","Baixo Parnaíba Piauiense"," 140 314 "," 24 390 "," 25 058 "," 5 183 ","  815 ","  131 ","  59 ","  9 "," 84 669 ",22001
"Bertolínia"," 33 587 "," 6 333 "," 8 024 "," 3 214 "," 1 400 ","  260 ","  77 ","  22 "," 14 257 ","Bertolínia"," 14 277 "," 3 245 "," 4 013 "," 2 427 "," 1 253 ","  239 ","  77 ","  22 "," 3 000 ","Bertolínia"," 19 310 "," 3 088 "," 4 011 ","  787 ","  147 ","  20 ","- ","- "," 11 257 ",22008
"Campo Maior"," 183 502 "," 40 075 "," 43 311 "," 16 482 "," 6 440 "," 1 358 ","  307 ","  122 "," 75 408 ","Campo Maior"," 78 055 "," 21 042 "," 22 680 "," 12 473 "," 5 626 "," 1 233 ","  288 ","  109 "," 14 603 ","Campo Maior"," 105 448 "," 19 032 "," 20 631 "," 4 009 ","  814 ","  125 ","  19 ","  13 "," 60 805 ",22004
"Chapadas do Extremo Sul Piauiense"," 66 221 "," 12 887 "," 13 950 "," 6 275 "," 2 436 ","  789 ","  170 ","  49 "," 29 666 ","Chapadas do Extremo Sul Piauiense"," 30 517 "," 7 471 "," 7 857 "," 4 950 "," 2 193 ","  740 ","  170 ","  49 "," 7 088 ","Chapadas do Extremo Sul Piauiense"," 35 704 "," 5 416 "," 6 092 "," 1 325 ","  243 ","  50 ","- ","- "," 22 578 ",22012
"Floriano"," 102 114 "," 17 533 "," 26 102 "," 12 500 "," 5 872 "," 1 794 ","  506 ","  208 "," 37 598 ","Floriano"," 51 559 "," 9 904 "," 16 348 "," 10 063 "," 5 150 "," 1 639 ","  492 ","  186 "," 7 777 ","Floriano"," 50 555 "," 7 629 "," 9 754 "," 2 438 ","  722 ","  156 ","  14 ","  22 "," 29 821 ",22009
"Litoral Piauiense"," 251 797 "," 46 275 "," 58 843 "," 25 153 "," 12 216 "," 3 927 "," 1 076 ","  520 "," 103 786 ","Litoral Piauiense"," 119 820 "," 28 285 "," 37 196 "," 20 132 "," 9 969 "," 3 121 ","  917 ","  448 "," 19 751 ","Litoral Piauiense"," 131 977 "," 17 990 "," 21 647 "," 5 021 "," 2 247 ","  806 ","  159 ","  72 "," 84 036 ",22002
"Médio Parnaíba Piauiense"," 107 848 "," 22 310 "," 26 205 "," 10 085 "," 4 172 ","  923 ","  146 ","  33 "," 43 973 ","Médio Parnaíba Piauiense"," 46 202 "," 11 567 "," 13 219 "," 7 954 "," 3 536 ","  801 ","  125 ","  33 "," 8 968 ","Médio Parnaíba Piauiense"," 61 645 "," 10 743 "," 12 987 "," 2 131 ","  637 ","  122 ","  20 ","- "," 35 006 ",22005
"Picos"," 168 034 "," 31 790 "," 44 611 "," 19 343 "," 8 875 "," 2 408 ","  842 ","  390 "," 59 776 ","Picos"," 91 059 "," 19 424 "," 29 121 "," 15 465 "," 7 894 "," 2 136 ","  833 ","  367 "," 15 820 ","Picos"," 76 975 "," 12 366 "," 15 490 "," 3 878 ","  981 ","  272 ","  8 ","  23 "," 43 956 ",22013
"Pio IX"," 48 480 "," 11 887 "," 11 330 "," 4 814 "," 1 988 ","  357 ","  100 ","  5 "," 18 000 ","Pio IX"," 23 238 "," 7 712 "," 5 862 "," 3 756 "," 1 816 ","  340 ","  100 ","  5 "," 3 647 ","Pio IX"," 25 242 "," 4 174 "," 5 468 "," 1 058 ","  172 ","  17 ","- ","- "," 14 353 ",22014
"São Raimundo Nonato"," 111 645 "," 23 999 "," 26 667 "," 11 129 "," 3 964 ","  789 ","  187 ","  93 "," 44 818 ","São Raimundo Nonato"," 57 884 "," 14 808 "," 16 376 "," 9 093 "," 3 598 ","  723 ","  171 ","  93 "," 13 022 ","São Raimundo Nonato"," 53 762 "," 9 191 "," 10 291 "," 2 036 ","  366 ","  66 ","  16 ","- "," 31 797 ",22011
"Teresina"," 847 028 "," 101 869 "," 201 167 "," 129 755 "," 74 700 "," 28 287 "," 12 420 "," 6 370 "," 292 460 ","Teresina"," 480 801 "," 53 752 "," 149 215 "," 117 230 "," 65 046 "," 24 410 "," 10 800 "," 5 694 "," 54 654 ","Teresina"," 366 227 "," 48 117 "," 51 951 "," 12 525 "," 9 654 "," 3 877 "," 1 620 ","  677 "," 237 806 ",22003
"Valença do Piauí"," 87 549 "," 19 033 "," 22 281 "," 8 432 "," 2 892 ","  534 ","  165 ","  42 "," 34 171 ","Valença do Piauí"," 39 776 "," 10 957 "," 11 064 "," 6 172 "," 2 612 ","  487 ","  160 ","  37 "," 8 287 ","Valença do Piauí"," 47 773 "," 8 076 "," 11 218 "," 2 260 ","  279 ","  47 ","  5 ","  5 "," 25 884 ",22006
"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,
"Acauã"," 5 585 "," 2 004 "," 1 124 ","  491 ","  89 ","  13 ","  3 ","- "," 1 860 ","Acauã"," 3 135 "," 1 514 ","  588 ","  415 ","  84 ","  13 ","  3 ","- ","  518 ","Acauã"," 2 450 ","  490 ","  536 ","  77 ","  5 ","- ","- ","- "," 1 342 ",2200053
"Agricolândia"," 4 299 ","  948 "," 1 087 ","  353 ","  146 ","  21 ","- ","- "," 1 743 ","Agricolândia"," 1 814 ","  552 ","  462 ","  292 ","  112 ","  18 ","- ","- ","  377 ","Agricolândia"," 2 485 ","  396 ","  625 ","  61 ","  34 ","  3 ","- ","- "," 1 366 ",2200103
"Água Branca"," 13 585 "," 2 784 "," 3 746 "," 1 514 ","  709 ","  221 ","  25 ","- "," 4 586 ","Água Branca"," 6 349 "," 1 579 "," 2 191 "," 1 186 ","  601 ","  168 ","  25 ","- ","  598 ","Água Branca"," 7 236 "," 1 205 "," 1 554 ","  327 ","  108 ","  53 ","- ","- "," 3 988 ",2200202
"Alagoinha do Piauí"," 6 261 "," 1 665 "," 1 384 ","  466 ","  147 ","  25 ","- ","- "," 2 574 ","Alagoinha do Piauí"," 2 029 ","  937 ","  467 ","  272 ","  129 ","  23 ","- ","- ","  200 ","Alagoinha do Piauí"," 4 232 ","  728 ","  917 ","  194 ","  17 ","  2 ","- ","- "," 2 374 ",2200251
"Alegrete do Piauí"," 4 289 ","  868 ","  970 ","  471 ","  189 ","  16 ","  7 ","- "," 1 769 ","Alegrete do Piauí"," 1 779 ","  435 ","  440 ","  372 ","  189 ","  16 ","  7 ","- ","  320 ","Alegrete do Piauí"," 2 511 ","  433 ","  530 ","  99 ","- ","- ","- ","- "," 1 449 ",2200277
"Alto Longá"," 11 562 "," 2 872 "," 2 993 ","  894 ","  272 ","  82 ","- ","  10 "," 4 439 ","Alto Longá"," 5 649 "," 1 628 "," 1 614 ","  670 ","  209 ","  71 ","- ","  10 "," 1 447 ","Alto Longá"," 5 913 "," 1 245 "," 1 379 ","  224 ","  63 ","  10 ","- ","- "," 2 992 ",2200301
"Altos"," 32 316 "," 6 025 "," 8 576 "," 3 049 "," 1 503 ","  256 ","  74 ","  50 "," 12 783 ","Altos"," 16 431 "," 3 490 "," 5 448 "," 2 589 "," 1 256 ","  182 ","  57 ","  50 "," 3 360 ","Altos"," 15 885 "," 2 535 "," 3 129 ","  460 ","  247 ","  74 ","  17 ","- "," 9 423 ",2200400
"Alvorada do Gurguéia"," 3 981 ","  872 ","  737 ","  277 ","  102 ","  38 ","  9 ","- "," 1 947 ","Alvorada do Gurguéia"," 1 591 ","  423 ","  340 ","  183 ","  87 ","  36 ","  9 ","- ","  514 ","Alvorada do Gurguéia"," 2 390 ","  449 ","  397 ","  94 ","  15 ","  2 ","- ","- "," 1 432 ",2200459
"Amarante"," 14 209 "," 2 996 "," 3 600 "," 1 451 ","  583 ","  124 ","  33 ","- "," 5 422 ","Amarante"," 6 783 "," 1 617 "," 1 953 "," 1 178 ","  487 ","  124 ","  23 ","- "," 1 401 ","Amarante"," 7 425 "," 1 379 "," 1 647 ","  272 ","  96 ","- ","  10 ","- "," 4 022 ",2200509
"Angical do Piauí"," 5 669 "," 1 027 "," 1 470 ","  539 ","  269 ","  54 ","  8 ","  6 "," 2 295 ","Angical do Piauí"," 2 462 ","  540 ","  768 ","  395 ","  226 ","  48 ","  8 ","  6 ","  472 ","Angical do Piauí"," 3 207 ","  487 ","  703 ","  145 ","  43 ","  6 ","- ","- "," 1 823 ",2200608
"Anísio de Abreu"," 7 445 "," 1 836 "," 1 555 ","  661 ","  279 ","  31 ","- ","- "," 3 084 ","Anísio de Abreu"," 3 546 "," 1 088 ","  919 ","  547 ","  264 ","  25 ","- ","- ","  704 ","Anísio de Abreu"," 3 899 ","  748 ","  636 ","  115 ","  15 ","  5 ","- ","- "," 2 380 ",2200707
"Antônio Almeida"," 2 535 ","  462 ","  500 ","  299 ","  121 ","  28 ","  6 ","- "," 1 119 ","Antônio Almeida"," 1 201 ","  200 ","  304 ","  232 ","  114 ","  28 ","  6 ","- ","  318 ","Antônio Almeida"," 1 334 ","  263 ","  197 ","  67 ","  6 ","- ","- ","- ","  801 ",2200806
"Aroazes"," 4 822 "," 1 113 "," 1 110 ","  491 ","  199 ","  25 ","  3 ","  3 "," 1 877 ","Aroazes"," 1 898 ","  442 ","  476 ","  334 ","  167 ","  25 ","  3 ","  3 ","  448 ","Aroazes"," 2 924 ","  671 ","  634 ","  156 ","  33 ","- ","- ","- "," 1 430 ",2200905
"Aroeiras do Itaim"," 2 137 ","  349 ","  581 ","  116 ","  18 ","- ","- ","- "," 1 072 ","Aroeiras do Itaim"," 1 102 ","  192 ","  293 ","  64 ","  18 ","- ","- ","- ","  535 ","Aroeiras do Itaim"," 1 035 ","  157 ","  288 ","  52 ","- ","- ","- ","- ","  537 ",2200954
"Arraial"," 3 870 ","  659 ","  774 ","  307 ","  93 ","  17 ","- ","- "," 2 019 ","Arraial","  994 ","  197 ","  312 ","  211 ","  80 ","  17 ","- ","- ","  176 ","Arraial"," 2 875 ","  462 ","  462 ","  96 ","  13 ","- ","- ","- "," 1 843 ",2201002
"Assunção do Piauí"," 5 817 "," 1 180 "," 1 168 ","  331 ","  71 ","- ","- ","- "," 3 068 ","Assunção do Piauí"," 1 536 ","  411 ","  419 ","  203 ","  68 ","- ","- ","- ","  435 ","Assunção do Piauí"," 4 281 ","  769 ","  749 ","  127 ","  3 ","- ","- ","- "," 2 633 ",2201051
"Avelino Lopes"," 9 037 "," 1 913 "," 1 988 ","  652 ","  235 ","  36 ","- ","  10 "," 4 203 ","Avelino Lopes"," 3 272 ","  879 ","  859 ","  448 ","  230 ","  24 ","- ","  10 ","  823 ","Avelino Lopes"," 5 765 "," 1 035 "," 1 130 ","  205 ","  4 ","  12 ","- ","- "," 3 379 ",2201101
"Baixa Grande do Ribeiro"," 8 144 "," 1 270 "," 1 445 ","  836 ","  241 ","  53 ","  30 ","- "," 4 270 ","Baixa Grande do Ribeiro"," 3 332 ","  517 ","  844 ","  718 ","  234 ","  53 ","  30 ","- ","  936 ","Baixa Grande do Ribeiro"," 4 812 ","  753 ","  601 ","  118 ","  7 ","- ","- ","- "," 3 333 ",2201150
"Barra D'Alcântara"," 3 204 ","  741 ","  704 ","  289 ","  64 ","  17 ","- ","- "," 1 388 ","Barra D'Alcântara"," 1 250 ","  331 ","  299 ","  215 ","  58 ","  17 ","- ","- ","  330 ","Barra D'Alcântara"," 1 954 ","  411 ","  406 ","  74 ","  6 ","- ","- ","- "," 1 058 ",2201176
