"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.10.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Ceará - 2010",,,,,,,,,,"Tabela 4.10.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Ceará - 2010",,,,,,,,,,"Tabela 4.10.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Ceará - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total","7 111 302 ","1 147 326 ","1 836 877 "," 886 444 "," 393 176 "," 134 410 "," 53 292 "," 26 728 ","2 633 050 ","Total","3 642 506 "," 649 320 ","1 207 633 "," 771 113 "," 344 528 "," 114 350 "," 45 646 "," 23 396 "," 486 520 ","Total","3 468 796 "," 498 005 "," 629 245 "," 115 331 "," 48 649 "," 20 060 "," 7 645 "," 3 332 ","2 146 530 ",23
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Centro-Sul Cearense"," 317 930 "," 66 589 "," 88 442 "," 30 041 "," 11 230 "," 3 006 ","  782 ","  365 "," 117 476 ","Centro-Sul Cearense"," 144 950 "," 37 544 "," 46 309 "," 22 198 "," 9 762 "," 2 728 ","  650 ","  348 "," 25 410 ","Centro-Sul Cearense"," 172 981 "," 29 044 "," 42 133 "," 7 843 "," 1 468 ","  277 ","  132 ","  17 "," 92 065 ",2306
"Jaguaribe"," 449 146 "," 89 539 "," 127 873 "," 48 000 "," 17 044 "," 4 040 "," 1 076 ","  357 "," 161 216 ","Jaguaribe"," 222 677 "," 52 593 "," 77 007 "," 39 285 "," 14 923 "," 3 616 ","  981 ","  357 "," 33 916 ","Jaguaribe"," 226 468 "," 36 946 "," 50 865 "," 8 715 "," 2 122 ","  424 ","  96 ","- "," 127 300 ",2305
"Metropolitana de Fortaleza","2 954 700 "," 272 987 "," 738 350 "," 507 896 "," 255 592 "," 99 518 "," 43 083 "," 22 463 ","1 014 811 ","Metropolitana de Fortaleza","1 665 035 "," 129 166 "," 567 054 "," 468 606 "," 223 246 "," 83 240 "," 36 462 "," 19 365 "," 137 896 ","Metropolitana de Fortaleza","1 289 665 "," 143 821 "," 171 296 "," 39 290 "," 32 347 "," 16 278 "," 6 621 "," 3 098 "," 876 915 ",2303
"Noroeste Cearense","1 095 293 "," 236 562 "," 276 880 "," 91 384 "," 33 608 "," 8 548 "," 2 662 "," 1 225 "," 444 423 ","Noroeste Cearense"," 524 024 "," 146 377 "," 168 514 "," 73 596 "," 29 847 "," 7 666 "," 2 404 "," 1 143 "," 94 477 ","Noroeste Cearense"," 571 269 "," 90 185 "," 108 366 "," 17 788 "," 3 761 ","  882 ","  258 ","  82 "," 349 946 ",2301
"Norte Cearense"," 835 558 "," 175 155 "," 214 184 "," 72 529 "," 24 945 "," 5 106 "," 1 346 ","  509 "," 341 785 ","Norte Cearense"," 386 295 "," 100 686 "," 128 252 "," 59 500 "," 22 132 "," 4 531 "," 1 190 ","  504 "," 69 500 ","Norte Cearense"," 449 263 "," 74 469 "," 85 932 "," 13 029 "," 2 813 ","  575 ","  156 ","  5 "," 272 285 ",2302
"Sertões Cearenses"," 729 758 "," 161 800 "," 190 551 "," 59 817 "," 20 516 "," 4 823 "," 1 460 ","  571 "," 290 219 ","Sertões Cearenses"," 331 010 "," 93 665 "," 97 118 "," 44 089 "," 18 295 "," 4 324 "," 1 331 ","  557 "," 71 632 ","Sertões Cearenses"," 398 748 "," 68 135 "," 93 433 "," 15 729 "," 2 221 ","  499 ","  129 ","  15 "," 218 587 ",2304
"Sul Cearense"," 728 917 "," 144 695 "," 200 597 "," 76 775 "," 30 241 "," 9 369 "," 2 882 "," 1 237 "," 263 120 ","Sul Cearense"," 368 514 "," 89 289 "," 123 378 "," 63 839 "," 26 324 "," 8 245 "," 2 629 "," 1 121 "," 53 689 ","Sul Cearense"," 360 402 "," 55 406 "," 77 219 "," 12 937 "," 3 917 "," 1 124 ","  253 ","  116 "," 209 431 ",2307
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Baixo Curu"," 88 182 "," 17 895 "," 23 269 "," 9 418 "," 3 647 ","  782 ","  234 ","  78 "," 32 858 ","Baixo Curu"," 44 453 "," 10 042 "," 16 091 "," 8 345 "," 3 335 ","  686 ","  186 ","  78 "," 5 690 ","Baixo Curu"," 43 728 "," 7 852 "," 7 177 "," 1 073 ","  312 ","  97 ","  49 ","- "," 27 168 ",23009
"Baixo Jaguaribe"," 267 412 "," 52 189 "," 79 031 "," 30 279 "," 10 658 "," 2 573 ","  640 ","  223 "," 91 819 ","Baixo Jaguaribe"," 133 075 "," 29 283 "," 48 808 "," 24 557 "," 9 290 "," 2 320 ","  606 ","  223 "," 17 988 ","Baixo Jaguaribe"," 134 337 "," 22 906 "," 30 223 "," 5 722 "," 1 368 ","  254 ","  34 ","- "," 73 831 ",23023
"Barro"," 75 914 "," 18 417 "," 18 453 "," 6 324 "," 1 822 ","  430 ","  105 ","  40 "," 30 324 ","Barro"," 32 773 "," 11 138 "," 8 930 "," 4 281 "," 1 645 ","  391 ","  91 ","  40 "," 6 255 ","Barro"," 43 141 "," 7 279 "," 9 523 "," 2 043 ","  176 ","  39 ","  13 ","- "," 24 069 ",23031
"Baturité"," 155 902 "," 32 184 "," 41 916 "," 13 611 "," 4 208 ","  763 ","  197 ","  60 "," 62 964 ","Baturité"," 70 131 "," 18 769 "," 23 916 "," 10 576 "," 3 719 ","  673 ","  180 ","  60 "," 12 239 ","Baturité"," 85 770 "," 13 416 "," 18 000 "," 3 035 ","  489 ","  90 ","  16 ","- "," 50 725 ",23013
"Brejo Santo"," 83 619 "," 18 434 "," 22 545 "," 8 332 "," 2 927 ","  584 ","  153 ","  58 "," 30 586 ","Brejo Santo"," 39 724 "," 11 444 "," 12 877 "," 6 675 "," 2 557 ","  490 ","  147 ","  58 "," 5 476 ","Brejo Santo"," 43 895 "," 6 990 "," 9 668 "," 1 657 ","  370 ","  94 ","  6 ","- "," 25 111 ",23033
"Canindé"," 102 793 "," 21 434 "," 24 020 "," 8 735 "," 2 648 ","  703 ","  202 ","  80 "," 44 972 ","Canindé"," 39 989 "," 10 681 "," 12 138 "," 6 956 "," 2 377 ","  635 ","  163 ","  80 "," 6 958 ","Canindé"," 62 804 "," 10 753 "," 11 881 "," 1 778 ","  271 ","  68 ","  38 ","- "," 38 014 ",23012
"Cariri"," 444 257 "," 76 424 "," 128 452 "," 52 403 "," 22 219 "," 7 633 "," 2 420 "," 1 050 "," 153 658 ","Cariri"," 235 551 "," 46 702 "," 85 853 "," 45 600 "," 19 209 "," 6 671 "," 2 194 ","  941 "," 28 380 ","Cariri"," 208 707 "," 29 721 "," 42 599 "," 6 803 "," 3 010 ","  962 ","  226 ","  108 "," 125 278 ",23032
"Caririaçu"," 47 178 "," 12 115 "," 11 676 "," 3 772 "," 1 304 ","  201 ","  89 ","  8 "," 18 012 ","Caririaçu"," 23 014 "," 7 533 "," 5 885 "," 2 814 "," 1 154 ","  193 ","  81 ","  8 "," 5 346 ","Caririaçu"," 24 163 "," 4 582 "," 5 792 ","  957 ","  150 ","  8 ","  8 ","- "," 12 666 ",23030
"Cascavel"," 113 675 "," 21 916 "," 34 004 "," 11 464 "," 4 002 ","  745 ","  241 ","  63 "," 41 241 ","Cascavel"," 56 835 "," 12 823 "," 21 825 "," 10 036 "," 3 546 ","  633 ","  221 ","  58 "," 7 692 ","Cascavel"," 56 840 "," 9 093 "," 12 178 "," 1 428 ","  456 ","  112 ","  20 ","  5 "," 33 549 ",23015
"Chapada do Araripe"," 77 948 "," 19 305 "," 19 471 "," 5 945 "," 1 970 ","  522 ","  116 ","  81 "," 30 540 ","Chapada do Araripe"," 37 453 "," 12 472 "," 9 833 "," 4 468 "," 1 759 ","  500 ","  116 ","  73 "," 8 232 ","Chapada do Araripe"," 40 496 "," 6 833 "," 9 638 "," 1 477 ","  211 ","  22 ","- ","  7 "," 22 308 ",23029
"Chorozinho"," 52 581 "," 11 051 "," 13 827 "," 4 345 "," 1 260 ","  185 ","  47 ","  36 "," 21 830 ","Chorozinho"," 21 886 "," 5 601 "," 7 699 "," 3 243 "," 1 104 ","  165 ","  47 ","  36 "," 3 991 ","Chorozinho"," 30 695 "," 5 450 "," 6 128 "," 1 102 ","  157 ","  20 ","- ","- "," 17 839 ",23014
"Coreaú"," 46 189 "," 11 392 "," 10 734 "," 3 650 ","  951 ","  186 ","  19 ","- "," 19 258 ","Coreaú"," 20 987 "," 6 791 "," 5 836 "," 2 806 ","  863 ","  166 ","  19 ","- "," 4 505 ","Coreaú"," 25 202 "," 4 601 "," 4 898 ","  844 ","  87 ","  20 ","- ","- "," 14 753 ",23003
"Fortaleza","2 857 350 "," 260 573 "," 706 251 "," 493 719 "," 251 718 "," 98 600 "," 42 900 "," 22 395 "," 981 196 ","Fortaleza","1 611 750 "," 123 232 "," 542 819 "," 455 537 "," 219 672 "," 82 399 "," 36 279 "," 19 297 "," 132 516 ","Fortaleza","1 245 600 "," 137 341 "," 163 431 "," 38 182 "," 32 046 "," 16 201 "," 6 621 "," 3 098 "," 848 680 ",23016
"Ibiapaba"," 241 041 "," 59 197 "," 61 922 "," 20 342 "," 6 846 "," 1 881 ","  588 ","  265 "," 89 998 ","Ibiapaba"," 125 544 "," 40 444 "," 38 779 "," 15 846 "," 6 194 "," 1 686 ","  520 ","  243 "," 21 832 ","Ibiapaba"," 115 497 "," 18 753 "," 23 143 "," 4 496 ","  653 ","  196 ","  68 ","  22 "," 68 166 ",23002
"Iguatu"," 188 518 "," 37 236 "," 54 115 "," 18 978 "," 8 261 "," 2 125 ","  584 ","  284 "," 66 935 ","Iguatu"," 91 929 "," 21 498 "," 30 677 "," 14 908 "," 7 248 "," 1 974 ","  470 ","  284 "," 14 869 ","Iguatu"," 96 589 "," 15 739 "," 23 438 "," 4 070 "," 1 013 ","  150 ","  114 ","- "," 52 066 ",23026
"Ipu"," 114 107 "," 27 715 "," 28 898 "," 8 963 "," 3 006 ","  652 ","  258 ","  101 "," 44 515 ","Ipu"," 49 426 "," 15 758 "," 14 418 "," 6 161 "," 2 468 ","  551 ","  212 ","  91 "," 9 768 ","Ipu"," 64 680 "," 11 957 "," 14 480 "," 2 802 ","  538 ","  101 ","  46 ","  9 "," 34 748 ",23006
"Itapipoca"," 168 100 "," 36 447 "," 38 687 "," 13 572 "," 4 946 ","  998 ","  238 ","  98 "," 73 115 ","Itapipoca"," 83 404 "," 22 327 "," 23 249 "," 11 502 "," 4 462 ","  924 ","  216 ","  98 "," 20 627 ","Itapipoca"," 84 695 "," 14 119 "," 15 438 "," 2 070 ","  484 ","  74 ","  22 ","- "," 52 489 ",23008
"Lavras da Mangabeira"," 47 798 "," 10 816 "," 12 291 "," 4 136 "," 1 149 ","  366 ","  109 ","  56 "," 18 875 ","Lavras da Mangabeira"," 18 854 "," 5 722 "," 5 515 "," 2 635 ","  969 ","  306 ","  100 ","  48 "," 3 558 ","Lavras da Mangabeira"," 28 944 "," 5 094 "," 6 775 "," 1 501 ","  180 ","  60 ","  9 ","  8 "," 15 317 ",23028
"Litoral de Aracati"," 93 069 "," 18 081 "," 25 237 "," 9 698 "," 3 804 ","  949 ","  303 ","  72 "," 34 924 ","Litoral de Aracati"," 47 135 "," 11 097 "," 15 930 "," 8 218 "," 3 298 ","  823 ","  253 ","  72 "," 7 444 ","Litoral de Aracati"," 45 935 "," 6 984 "," 9 307 "," 1 480 ","  506 ","  127 ","  51 ","- "," 27 481 ",23022
"Litoral de Camocim e Acaraú"," 295 386 "," 69 395 "," 66 505 "," 21 492 "," 8 110 "," 1 928 ","  470 ","  267 "," 127 218 ","Litoral de Camocim e Acaraú"," 140 778 "," 44 273 "," 39 975 "," 17 548 "," 7 289 "," 1 782 ","  431 ","  232 "," 29 248 ","Litoral de Camocim e Acaraú"," 154 607 "," 25 123 "," 26 530 "," 3 945 ","  821 ","  146 ","  40 ","  34 "," 97 970 ",23001
"Médio Curu"," 70 553 "," 16 282 "," 17 120 "," 5 364 "," 2 141 ","  473 ","  47 ","  38 "," 29 088 ","Médio Curu"," 30 916 "," 9 733 "," 9 646 "," 4 099 "," 1 789 ","  401 ","  47 ","  38 "," 5 163 ","Médio Curu"," 39 636 "," 6 549 "," 7 474 "," 1 264 ","  352 ","  72 ","- ","- "," 23 925 ",23011
"Médio Jaguaribe"," 52 859 "," 11 164 "," 14 503 "," 4 741 "," 1 667 ","  360 ","  82 ","  38 "," 20 304 ","Médio Jaguaribe"," 25 066 "," 7 300 "," 7 647 "," 3 939 "," 1 481 ","  325 ","  76 ","  38 "," 4 260 ","Médio Jaguaribe"," 27 793 "," 3 864 "," 6 856 ","  802 ","  186 ","  35 ","  6 ","- "," 16 044 ",23024
"Meruoca"," 20 427 "," 4 202 "," 5 565 "," 2 007 ","  534 ","  89 ","  22 ","  5 "," 8 005 ","Meruoca"," 9 549 "," 2 634 "," 3 291 "," 1 580 ","  485 ","  80 ","  17 ","  5 "," 1 458 ","Meruoca"," 10 878 "," 1 568 "," 2 274 ","  427 ","  49 ","  9 ","  5 ","- "," 6 547 ",23004
"Pacajus"," 97 350 "," 12 413 "," 32 100 "," 14 177 "," 3 875 ","  918 ","  183 ","  68 "," 33 615 ","Pacajus"," 53 285 "," 5 934 "," 24 235 "," 13 070 "," 3 574 ","  841 ","  183 ","  68 "," 5 381 ","Pacajus"," 44 064 "," 6 479 "," 7 865 "," 1 107 ","  301 ","  77 ","- ","- "," 28 235 ",23017
"Santa Quitéria"," 59 828 "," 13 931 "," 14 676 "," 4 889 "," 1 383 ","  277 ","  95 ","  17 "," 24 559 ","Santa Quitéria"," 25 484 "," 7 970 "," 6 985 "," 3 703 "," 1 230 ","  277 ","  78 ","  17 "," 5 224 ","Santa Quitéria"," 34 344 "," 5 962 "," 7 690 "," 1 186 ","  154 ","- ","  17 ","- "," 19 335 ",23007
"Serra do Pereiro"," 35 805 "," 8 105 "," 9 102 "," 3 282 ","  915 ","  158 ","  51 ","  24 "," 14 169 ","Serra do Pereiro"," 17 401 "," 4 913 "," 4 622 "," 2 571 ","  853 ","  149 ","  46 ","  24 "," 4 224 ","Serra do Pereiro"," 18 404 "," 3 192 "," 4 479 ","  711 ","  62 ","  9 ","  5 ","- "," 9 945 ",23025
"Sertão de Cratéus"," 202 789 "," 46 439 "," 50 774 "," 16 396 "," 6 630 "," 1 498 ","  517 ","  204 "," 80 332 ","Sertão de Cratéus"," 89 448 "," 26 700 "," 24 381 "," 12 204 "," 5 855 "," 1 366 ","  482 ","  193 "," 18 266 ","Sertão de Cratéus"," 113 341 "," 19 738 "," 26 392 "," 4 192 ","  775 ","  132 ","  35 ","  11 "," 62 066 ",23018
"Sertão de Inhamuns"," 121 908 "," 27 926 "," 31 390 "," 9 787 "," 2 811 ","  594 ","  221 ","  141 "," 49 039 ","Sertão de Inhamuns"," 58 662 "," 17 709 "," 16 206 "," 7 078 "," 2 576 ","  569 ","  196 ","  141 "," 14 187 ","Sertão de Inhamuns"," 63 247 "," 10 217 "," 15 184 "," 2 709 ","  236 ","  25 ","  25 ","- "," 34 852 ",23020
"Sertão de Quixeramobim"," 221 209 "," 45 594 "," 59 378 "," 18 142 "," 6 857 "," 1 777 ","  520 ","  173 "," 88 769 ","Sertão de Quixeramobim"," 100 938 "," 24 990 "," 33 555 "," 14 162 "," 6 005 "," 1 533 ","  462 ","  169 "," 20 062 ","Sertão de Quixeramobim"," 120 271 "," 20 604 "," 25 823 "," 3 980 ","  852 ","  243 ","  59 ","  4 "," 68 707 ",23019
