"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.11.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Rio Grande do Norte - 2010",,,,,,,,,,"Tabela 4.11.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Rio Grande do Norte - 2010",,,,,,,,,,"Tabela 4.11.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Rio Grande do Norte - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total","2 676 308 "," 350 070 "," 661 813 "," 392 489 "," 198 395 "," 67 860 "," 28 617 "," 11 752 "," 965 313 ","Total","1 375 041 "," 175 235 "," 421 070 "," 339 702 "," 168 797 "," 56 053 "," 23 748 "," 10 157 "," 180 279 ","Total","1 301 266 "," 174 834 "," 240 742 "," 52 787 "," 29 598 "," 11 807 "," 4 869 "," 1 595 "," 785 034 ",24
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Agreste Potiguar"," 354 002 "," 66 295 "," 95 194 "," 34 286 "," 12 431 "," 2 313 ","  618 ","  230 "," 142 635 ","Agreste Potiguar"," 158 871 "," 34 010 "," 53 533 "," 27 066 "," 10 769 "," 2 059 ","  560 ","  197 "," 30 677 ","Agreste Potiguar"," 195 131 "," 32 285 "," 41 662 "," 7 220 "," 1 661 ","  254 ","  57 ","  33 "," 111 958 ",2403
"Central Potiguar"," 324 812 "," 52 690 "," 91 901 "," 41 941 "," 19 270 "," 4 545 "," 1 376 ","  509 "," 112 580 ","Central Potiguar"," 162 228 "," 27 839 "," 55 927 "," 35 161 "," 16 524 "," 3 912 "," 1 204 ","  449 "," 21 213 ","Central Potiguar"," 162 584 "," 24 851 "," 35 974 "," 6 781 "," 2 747 ","  632 ","  172 ","  60 "," 91 367 ",2402
"Leste Potiguar","1 299 979 "," 122 154 "," 290 573 "," 222 115 "," 123 196 "," 49 889 "," 22 976 "," 9 639 "," 459 437 ","Leste Potiguar"," 709 436 "," 59 661 "," 204 174 "," 198 239 "," 103 527 "," 40 097 "," 18 610 "," 8 223 "," 76 905 ","Leste Potiguar"," 590 542 "," 62 493 "," 86 399 "," 23 877 "," 19 669 "," 9 792 "," 4 365 "," 1 415 "," 382 532 ",2404
"Oeste Potiguar"," 697 514 "," 108 930 "," 184 144 "," 94 146 "," 43 499 "," 11 113 "," 3 648 "," 1 374 "," 250 660 ","Oeste Potiguar"," 344 505 "," 53 726 "," 107 437 "," 79 237 "," 37 978 "," 9 984 "," 3 373 "," 1 288 "," 51 483 ","Oeste Potiguar"," 353 009 "," 55 205 "," 76 707 "," 14 910 "," 5 521 "," 1 129 ","  274 ","  86 "," 199 177 ",2401
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Agreste Potiguar"," 190 369 "," 36 439 "," 51 232 "," 18 670 "," 6 359 "," 1 261 ","  273 ","  156 "," 75 978 ","Agreste Potiguar"," 86 113 "," 19 214 "," 28 608 "," 14 808 "," 5 506 "," 1 157 ","  250 ","  126 "," 16 443 ","Agreste Potiguar"," 104 257 "," 17 225 "," 22 624 "," 3 862 ","  853 ","  104 ","  23 ","  30 "," 59 535 ",24015
"Angicos"," 43 014 "," 7 721 "," 11 574 "," 4 167 "," 1 577 ","  318 ","  82 ","  39 "," 17 535 ","Angicos"," 17 740 "," 3 472 "," 6 066 "," 3 307 "," 1 344 ","  291 ","  62 ","  35 "," 3 162 ","Angicos"," 25 274 "," 4 249 "," 5 508 ","  860 ","  233 ","  27 ","  20 ","  4 "," 14 373 ",24009
"Baixa Verde"," 51 480 "," 8 630 "," 13 851 "," 5 377 "," 1 900 ","  344 ","  170 ","  37 "," 21 172 ","Baixa Verde"," 23 034 "," 4 017 "," 8 100 "," 4 422 "," 1 737 ","  316 ","  159 ","  37 "," 4 246 ","Baixa Verde"," 28 446 "," 4 613 "," 5 751 ","  954 ","  163 ","  28 ","  11 ","- "," 16 926 ",24013
"Borborema Potiguar"," 112 153 "," 21 226 "," 30 111 "," 10 239 "," 4 171 ","  708 ","  175 ","  37 "," 45 486 ","Borborema Potiguar"," 49 725 "," 10 779 "," 16 825 "," 7 835 "," 3 526 ","  586 ","  152 ","  34 "," 9 989 ","Borborema Potiguar"," 62 428 "," 10 447 "," 13 286 "," 2 404 ","  645 ","  122 ","  24 ","  3 "," 35 497 ",24014
"Chapada do Apodi"," 62 149 "," 12 217 "," 16 176 "," 6 810 "," 2 756 ","  569 ","  144 ","  57 "," 23 419 ","Chapada do Apodi"," 29 255 "," 6 431 "," 8 706 "," 5 277 "," 2 493 ","  491 ","  144 ","  57 "," 5 657 ","Chapada do Apodi"," 32 894 "," 5 786 "," 7 470 "," 1 533 ","  264 ","  78 ","- ","- "," 17 763 ",24002
"Litoral Nordeste"," 68 031 "," 14 402 "," 17 184 "," 6 546 "," 2 004 ","  528 ","  72 ","  36 "," 27 259 ","Litoral Nordeste"," 32 322 "," 8 441 "," 10 406 "," 5 238 "," 1 810 ","  476 ","  53 ","  36 "," 5 861 ","Litoral Nordeste"," 35 709 "," 5 961 "," 6 778 "," 1 307 ","  194 ","  52 ","  19 ","- "," 21 398 ",24016
"Litoral Sul"," 105 336 "," 15 572 "," 25 330 "," 12 911 "," 4 463 ","  882 ","  211 ","  126 "," 45 841 ","Litoral Sul"," 47 013 "," 7 176 "," 15 753 "," 10 741 "," 3 807 ","  728 ","  184 ","  117 "," 8 507 ","Litoral Sul"," 58 323 "," 8 396 "," 9 577 "," 2 170 ","  656 ","  154 ","  27 ","  9 "," 37 334 ",24019
"Macaíba"," 238 879 "," 30 205 "," 62 569 "," 34 501 "," 12 843 "," 2 712 ","  685 ","  185 "," 95 178 ","Macaíba"," 116 601 "," 13 912 "," 42 659 "," 31 054 "," 11 097 "," 2 132 ","  589 ","  142 "," 15 018 ","Macaíba"," 122 277 "," 16 293 "," 19 911 "," 3 448 "," 1 746 ","  580 ","  96 ","  44 "," 80 161 ",24017
"Macau"," 43 748 "," 5 904 "," 10 272 "," 6 543 "," 3 162 ","  807 ","  205 ","  45 "," 16 810 ","Macau"," 21 309 "," 2 784 "," 6 375 "," 5 576 "," 2 746 ","  737 ","  192 ","  45 "," 2 854 ","Macau"," 22 439 "," 3 120 "," 3 896 ","  967 ","  416 ","  71 ","  13 ","- "," 13 956 ",24008
"Médio Oeste"," 32 568 "," 6 872 "," 8 541 "," 3 197 "," 1 206 ","  174 ","  36 ","  27 "," 12 516 ","Médio Oeste"," 13 883 "," 3 387 "," 4 456 "," 2 369 "," 1 029 ","  162 ","  18 ","  12 "," 2 449 ","Médio Oeste"," 18 685 "," 3 484 "," 4 085 ","  828 ","  177 ","  12 ","  18 ","  15 "," 10 067 ",24003
"Mossoró"," 281 043 "," 29 701 "," 69 196 "," 49 417 "," 25 377 "," 7 338 "," 2 586 ","  920 "," 96 506 ","Mossoró"," 152 192 "," 13 058 "," 45 895 "," 44 146 "," 22 250 "," 6 567 "," 2 414 ","  871 "," 16 991 ","Mossoró"," 128 851 "," 16 643 "," 23 302 "," 5 271 "," 3 127 ","  771 ","  172 ","  50 "," 79 515 ",24001
"Natal"," 887 733 "," 61 976 "," 185 489 "," 168 157 "," 103 886 "," 45 768 "," 22 007 "," 9 291 "," 291 159 ","Natal"," 513 500 "," 30 133 "," 135 356 "," 151 205 "," 86 813 "," 36 761 "," 17 784 "," 7 928 "," 47 519 ","Natal"," 374 233 "," 31 843 "," 50 133 "," 16 952 "," 17 073 "," 9 007 "," 4 223 "," 1 363 "," 243 640 ",24018
"Pau dos Ferros"," 96 869 "," 18 659 "," 28 036 "," 10 157 "," 4 411 ","  903 ","  241 ","  124 "," 34 338 ","Pau dos Ferros"," 44 288 "," 10 000 "," 14 747 "," 7 725 "," 3 770 ","  797 ","  207 ","  120 "," 6 921 ","Pau dos Ferros"," 52 581 "," 8 660 "," 13 289 "," 2 432 ","  641 ","  106 ","  34 ","  4 "," 27 417 ",24006
"Seridó Ocidental"," 84 107 "," 11 687 "," 25 755 "," 12 292 "," 6 181 "," 1 626 ","  559 ","  224 "," 25 784 ","Seridó Ocidental"," 45 615 "," 6 384 "," 16 937 "," 10 644 "," 5 481 "," 1 423 ","  467 ","  185 "," 4 095 ","Seridó Ocidental"," 38 492 "," 5 303 "," 8 818 "," 1 648 ","  700 ","  204 ","  93 ","  39 "," 21 689 ",24011
"Seridó Oriental"," 102 113 "," 16 669 "," 30 813 "," 14 251 "," 6 445 "," 1 390 ","  468 ","  165 "," 31 913 ","Seridó Oriental"," 52 120 "," 9 267 "," 19 150 "," 12 132 "," 5 258 "," 1 118 ","  432 ","  156 "," 4 607 ","Seridó Oriental"," 49 993 "," 7 402 "," 11 663 "," 2 119 "," 1 186 ","  271 ","  37 ","  9 "," 27 306 ",24012
"Serra de Santana"," 51 830 "," 10 709 "," 13 487 "," 4 689 "," 1 906 ","  403 ","  61 ","  35 "," 20 539 ","Serra de Santana"," 25 444 "," 5 931 "," 7 398 "," 3 503 "," 1 694 ","  344 ","  51 ","  28 "," 6 496 ","Serra de Santana"," 26 386 "," 4 778 "," 6 089 "," 1 186 ","  212 ","  60 ","  10 ","  8 "," 14 044 ",24010
"Serra de São Miguel"," 52 108 "," 10 524 "," 14 240 "," 4 548 "," 1 600 ","  227 ","  89 ","  34 "," 20 846 ","Serra de São Miguel"," 24 326 "," 5 710 "," 6 968 "," 3 355 "," 1 419 ","  199 ","  78 ","  32 "," 6 566 ","Serra de São Miguel"," 27 782 "," 4 814 "," 7 273 "," 1 193 ","  181 ","  28 ","  10 ","  3 "," 14 280 ",24005
"Umarizal"," 55 092 "," 10 477 "," 15 769 "," 5 212 "," 2 106 ","  385 ","  107 ","  36 "," 21 000 ","Umarizal"," 23 061 "," 5 349 "," 7 510 "," 3 610 "," 1 690 ","  337 ","  90 ","  30 "," 4 445 ","Umarizal"," 32 031 "," 5 128 "," 8 259 "," 1 602 ","  416 ","  48 ","  17 ","  5 "," 16 555 ",24007
"Vale do Açu"," 117 686 "," 20 481 "," 32 185 "," 14 805 "," 6 043 "," 1 518 ","  445 ","  175 "," 42 035 ","Vale do Açu"," 57 501 "," 9 791 "," 19 155 "," 12 755 "," 5 328 "," 1 431 ","  422 ","  165 "," 8 454 ","Vale do Açu"," 60 185 "," 10 690 "," 13 030 "," 2 050 ","  715 ","  87 ","  23 ","  10 "," 33 581 ",24004
"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,
"Acari"," 9 544 "," 1 417 "," 3 039 "," 1 223 ","  552 ","  120 ","  60 ","  9 "," 3 123 ","Acari"," 4 233 ","  716 "," 1 793 ","  992 ","  436 ","  102 ","  39 ","  5 ","  150 ","Acari"," 5 311 ","  701 "," 1 246 ","  231 ","  116 ","  18 ","  21 ","  4 "," 2 974 ",2400109
"Açu"," 44 656 "," 6 897 "," 12 301 "," 6 138 "," 2 647 ","  735 ","  276 ","  107 "," 15 554 ","Açu"," 23 192 "," 3 599 "," 7 751 "," 5 497 "," 2 315 ","  690 ","  257 ","  97 "," 2 986 ","Açu"," 21 463 "," 3 298 "," 4 549 ","  642 ","  332 ","  45 ","  19 ","  10 "," 12 568 ",2400208
"Afonso Bezerra"," 8 905 "," 1 841 "," 2 319 ","  811 ","  271 ","  29 ","  26 ","  4 "," 3 603 ","Afonso Bezerra"," 3 554 ","  794 "," 1 139 ","  578 ","  215 ","  23 ","  26 ","  4 ","  774 ","Afonso Bezerra"," 5 351 "," 1 047 "," 1 180 ","  233 ","  56 ","  6 ","- ","- "," 2 829 ",2400307
"Água Nova"," 2 522 ","  378 ","  677 ","  188 ","  45 ","  10 ","- ","- "," 1 224 ","Água Nova"," 1 236 ","  161 ","  405 ","  167 ","  43 ","  10 ","- ","- ","  450 ","Água Nova"," 1 286 ","  217 ","  272 ","  20 ","  2 ","- ","- ","- ","  774 ",2400406
"Alexandria"," 11 476 "," 2 336 "," 3 215 "," 1 007 ","  478 ","  73 ","- ","  18 "," 4 350 ","Alexandria"," 4 918 "," 1 238 "," 1 515 ","  719 ","  371 ","  73 ","- ","  18 ","  984 ","Alexandria"," 6 558 "," 1 098 "," 1 700 ","  287 ","  107 ","- ","- ","- "," 3 367 ",2400505
"Almino Afonso"," 4 133 ","  788 "," 1 076 ","  487 ","  165 ","  23 ","  8 ","- "," 1 587 ","Almino Afonso"," 1 845 ","  428 ","  535 ","  358 ","  129 ","  19 ","  8 ","- ","  369 ","Almino Afonso"," 2 288 ","  361 ","  541 ","  129 ","  36 ","  3 ","- ","- "," 1 218 ",2400604
"Alto do Rodrigues"," 10 263 "," 1 579 "," 2 157 "," 1 746 "," 1 014 ","  196 ","  70 ","  11 "," 3 490 ","Alto do Rodrigues"," 5 370 ","  651 "," 1 345 "," 1 507 ","  933 ","  187 ","  66 ","  11 ","  670 ","Alto do Rodrigues"," 4 893 ","  927 ","  813 ","  239 ","  81 ","  9 ","  4 ","- "," 2 820 ",2400703
"Angicos"," 9 789 "," 1 537 "," 2 662 "," 1 160 ","  415 ","  98 ","  19 ","  26 "," 3 872 ","Angicos"," 4 380 ","  855 "," 1 497 ","  975 ","  368 ","  85 ","  14 ","  21 ","  565 ","Angicos"," 5 409 ","  683 "," 1 165 ","  186 ","  47 ","  13 ","  5 ","  4 "," 3 307 ",2400802
"Antônio Martins"," 5 833 "," 1 306 "," 1 448 ","  571 ","  159 ","  35 ","  5 ","- "," 2 309 ","Antônio Martins"," 2 356 ","  653 ","  636 ","  362 ","  118 ","  35 ","  5 ","- ","  547 ","Antônio Martins"," 3 477 ","  653 ","  812 ","  210 ","  40 ","- ","- ","- "," 1 762 ",2400901
"Apodi"," 30 087 "," 6 423 "," 7 807 "," 3 327 "," 1 405 ","  323 ","  97 ","  41 "," 10 665 ","Apodi"," 15 230 "," 3 569 "," 4 504 "," 2 742 "," 1 281 ","  289 ","  97 ","  41 "," 2 708 ","Apodi"," 14 857 "," 2 854 "," 3 303 ","  586 ","  124 ","  34 ","- ","- "," 7 957 ",2401008
"Areia Branca"," 21 534 "," 2 628 "," 5 043 "," 3 332 "," 1 942 ","  520 ","  128 ","  11 "," 7 931 ","Areia Branca"," 10 834 "," 1 227 "," 3 270 "," 2 762 "," 1 483 ","  461 ","  97 ","  11 "," 1 523 ","Areia Branca"," 10 700 "," 1 401 "," 1 773 ","  570 ","  459 ","  58 ","  31 ","- "," 6 408 ",2401107
"Arês"," 10 690 "," 1 829 "," 2 512 "," 1 140 ","  584 ","  85 ","  22 ","  9 "," 4 510 ","Arês"," 4 929 ","  841 "," 1 498 ","  931 ","  521 ","  59 ","  6 ","- "," 1 073 ","Arês"," 5 761 ","  987 "," 1 013 ","  209 ","  63 ","  26 ","  17 ","  9 "," 3 436 ",2401206
"Augusto Severo"," 7 803 "," 1 758 "," 2 016 ","  566 ","  282 ","  56 ","  18 ","  16 "," 3 091 ","Augusto Severo"," 3 321 "," 1 020 "," 1 055 ","  372 ","  228 ","  56 ","- ","  10 ","  580 ","Augusto Severo"," 4 482 ","  738 ","  961 ","  194 ","  55 ","- ","  18 ","  6 "," 2 511 ",2401305
"Baía Formosa"," 7 036 ","  996 "," 1 844 ","  917 ","  355 ","  63 ","  6 ","  9 "," 2 845 ","Baía Formosa"," 3 166 ","  471 "," 1 141 ","  819 ","  312 ","  59 ","  6 ","  9 ","  350 ","Baía Formosa"," 3 869 ","  526 ","  702 ","  98 ","  43 ","  4 ","- ","- "," 2 496 ",2401404
