"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.12.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Paraíba - 2010",,,,,,,,,,"Tabela 4.12.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Paraíba - 2010",,,,,,,,,,"Tabela 4.12.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Paraíba - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total","3 161 232 "," 506 682 "," 823 609 "," 401 054 "," 185 270 "," 63 375 "," 26 010 "," 12 563 ","1 142 669 ","Total","1 617 710 "," 283 570 "," 511 984 "," 337 257 "," 156 595 "," 53 443 "," 22 029 "," 10 710 "," 242 120 ","Total","1 543 522 "," 223 111 "," 311 625 "," 63 797 "," 28 674 "," 9 931 "," 3 981 "," 1 853 "," 900 549 ",25
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Agreste Paraibano","1 014 992 "," 166 908 "," 273 966 "," 118 180 "," 49 266 "," 15 503 "," 5 807 "," 2 331 "," 383 030 ","Agreste Paraibano"," 516 715 "," 97 464 "," 167 298 "," 97 473 "," 41 778 "," 13 300 "," 4 999 "," 2 010 "," 92 392 ","Agreste Paraibano"," 498 277 "," 69 444 "," 106 668 "," 20 707 "," 7 488 "," 2 204 ","  809 ","  320 "," 290 637 ",2503
"Borborema"," 249 279 "," 52 221 "," 74 272 "," 25 962 "," 8 419 "," 1 616 ","  497 ","  193 "," 86 099 ","Borborema"," 131 860 "," 34 207 "," 44 945 "," 19 870 "," 7 287 "," 1 384 ","  405 ","  163 "," 23 599 ","Borborema"," 117 419 "," 18 014 "," 29 327 "," 6 092 "," 1 131 ","  232 ","  92 ","  30 "," 62 500 ",2502
"Mata Paraibana","1 172 670 "," 143 794 "," 273 159 "," 177 577 "," 97 355 "," 38 827 "," 17 440 "," 8 966 "," 415 551 ","Mata Paraibana"," 619 547 "," 68 738 "," 186 262 "," 156 175 "," 81 096 "," 31 986 "," 14 509 "," 7 528 "," 73 253 ","Mata Paraibana"," 553 122 "," 75 057 "," 86 896 "," 21 402 "," 16 259 "," 6 841 "," 2 931 "," 1 439 "," 342 298 ",2504
"Sertão Paraibano"," 724 291 "," 143 758 "," 202 212 "," 79 335 "," 30 230 "," 7 428 "," 2 266 "," 1 073 "," 257 989 ","Sertão Paraibano"," 349 588 "," 83 161 "," 113 478 "," 63 740 "," 26 434 "," 6 774 "," 2 116 "," 1 010 "," 52 875 ","Sertão Paraibano"," 374 704 "," 60 596 "," 88 734 "," 15 596 "," 3 796 ","  654 ","  150 ","  63 "," 205 114 ",2501
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Brejo Paraibano"," 96 004 "," 18 655 "," 25 457 "," 8 141 "," 2 921 ","  809 ","  199 ","  52 "," 39 770 ","Brejo Paraibano"," 46 209 "," 11 822 "," 14 504 "," 6 284 "," 2 431 ","  634 ","  156 ","  37 "," 10 341 ","Brejo Paraibano"," 49 795 "," 6 833 "," 10 953 "," 1 857 ","  490 ","  175 ","  43 ","  14 "," 29 429 ",25015
"Cajazeiras"," 142 274 "," 27 466 "," 39 856 "," 16 660 "," 6 873 "," 1 784 ","  462 ","  290 "," 48 882 ","Cajazeiras"," 69 436 "," 15 113 "," 22 389 "," 12 920 "," 6 052 "," 1 590 ","  446 ","  276 "," 10 649 ","Cajazeiras"," 72 838 "," 12 353 "," 17 467 "," 3 740 ","  821 ","  194 ","  16 ","  14 "," 38 233 ",25002
"Campina Grande"," 424 662 "," 51 244 "," 110 988 "," 64 248 "," 31 364 "," 11 337 "," 4 832 "," 1 908 "," 148 740 ","Campina Grande"," 231 328 "," 28 107 "," 75 319 "," 56 632 "," 26 343 "," 9 744 "," 4 191 "," 1 673 "," 29 318 ","Campina Grande"," 193 334 "," 23 137 "," 35 669 "," 7 616 "," 5 021 "," 1 593 ","  641 ","  235 "," 119 422 ",25017
"Cariri Ocidental"," 102 149 "," 21 564 "," 30 494 "," 10 393 "," 3 600 ","  732 ","  235 ","  104 "," 35 028 ","Cariri Ocidental"," 54 875 "," 14 957 "," 18 118 "," 7 664 "," 3 073 ","  616 ","  164 ","  84 "," 10 198 ","Cariri Ocidental"," 47 274 "," 6 607 "," 12 376 "," 2 728 ","  526 ","  116 ","  71 ","  20 "," 24 830 ",25010
"Cariri Oriental"," 53 442 "," 10 676 "," 16 759 "," 5 917 "," 1 695 ","  283 ","  68 ","  22 "," 18 022 ","Cariri Oriental"," 29 020 "," 7 241 "," 10 617 "," 4 576 "," 1 444 ","  233 ","  65 ","  19 "," 4 826 ","Cariri Oriental"," 24 422 "," 3 435 "," 6 143 "," 1 342 ","  251 ","  50 ","  3 ","  3 "," 13 196 ",25011
"Catolé do Rocha"," 97 608 "," 21 813 "," 29 734 "," 10 177 "," 3 037 ","  725 ","  172 ","  104 "," 31 846 ","Catolé do Rocha"," 48 377 "," 14 258 "," 17 021 "," 8 238 "," 2 810 ","  678 ","  145 ","  104 "," 5 124 ","Catolé do Rocha"," 49 231 "," 7 555 "," 12 713 "," 1 940 ","  227 ","  47 ","  27 ","- "," 26 722 ",25001
"Curimataú Ocidental"," 99 332 "," 21 481 "," 27 567 "," 9 821 "," 3 049 ","  591 ","  155 ","  50 "," 36 619 ","Curimataú Ocidental"," 50 099 "," 13 550 "," 15 633 "," 7 224 "," 2 628 ","  516 ","  139 ","  31 "," 10 378 ","Curimataú Ocidental"," 49 233 "," 7 931 "," 11 934 "," 2 597 ","  421 ","  75 ","  15 ","  19 "," 26 240 ",25012
"Curimataú Oriental"," 77 141 "," 16 688 "," 19 526 "," 6 419 "," 2 027 ","  379 ","  69 ","  88 "," 31 945 ","Curimataú Oriental"," 35 025 "," 9 852 "," 9 820 "," 4 589 "," 1 708 ","  330 ","  69 ","  88 "," 8 569 ","Curimataú Oriental"," 42 116 "," 6 836 "," 9 706 "," 1 830 ","  319 ","  49 ","- ","- "," 23 376 ",25013
"Esperança"," 44 428 "," 8 306 "," 13 042 "," 4 448 "," 1 554 ","  341 ","  90 ","  27 "," 16 620 ","Esperança"," 24 755 "," 5 341 "," 8 073 "," 3 460 "," 1 399 ","  320 ","  65 ","  17 "," 6 080 ","Esperança"," 19 672 "," 2 966 "," 4 969 ","  988 ","  154 ","  21 ","  25 ","  10 "," 10 540 ",25014
"Guarabira"," 138 146 "," 24 475 "," 40 438 "," 13 501 "," 4 872 "," 1 432 ","  304 ","  177 "," 52 947 ","Guarabira"," 65 220 "," 13 589 "," 23 399 "," 10 555 "," 4 300 "," 1 227 ","  245 ","  156 "," 11 750 ","Guarabira"," 72 926 "," 10 885 "," 17 039 "," 2 946 ","  572 ","  205 ","  59 ","  21 "," 41 197 ",25016
"Itabaiana"," 90 704 "," 17 306 "," 25 983 "," 8 379 "," 2 689 ","  461 ","  116 ","  14 "," 35 756 ","Itabaiana"," 42 721 "," 9 570 "," 14 798 "," 6 348 "," 2 266 ","  390 ","  101 ","- "," 9 247 ","Itabaiana"," 47 984 "," 7 736 "," 11 185 "," 2 030 ","  423 ","  71 ","  15 ","  14 "," 26 509 ",25018
"Itaporanga"," 70 161 "," 14 184 "," 18 059 "," 7 277 "," 2 440 ","  458 ","  107 ","  59 "," 27 577 ","Itaporanga"," 32 653 "," 8 138 "," 9 809 "," 5 685 "," 2 115 ","  415 ","  103 ","  51 "," 6 336 ","Itaporanga"," 37 508 "," 6 046 "," 8 250 "," 1 592 ","  325 ","  43 ","  4 ","  7 "," 21 240 ",25006
"João Pessoa"," 879 050 "," 88 588 "," 194 256 "," 151 063 "," 89 014 "," 37 172 "," 17 154 "," 8 850 "," 292 952 ","João Pessoa"," 485 175 "," 39 483 "," 138 712 "," 134 642 "," 73 981 "," 30 517 "," 14 244 "," 7 419 "," 46 178 ","João Pessoa"," 393 874 "," 49 105 "," 55 545 "," 16 421 "," 15 032 "," 6 655 "," 2 910 "," 1 432 "," 246 774 ",25022
"Litoral Norte"," 116 502 "," 22 037 "," 30 401 "," 10 872 "," 3 442 ","  815 ","  148 ","  34 "," 48 752 ","Litoral Norte"," 54 009 "," 11 889 "," 18 309 "," 8 387 "," 2 853 ","  719 ","  131 ","  31 "," 11 690 ","Litoral Norte"," 62 493 "," 10 148 "," 12 092 "," 2 485 ","  589 ","  96 ","  17 ","  3 "," 37 062 ",25020
"Litoral Sul"," 66 863 "," 12 988 "," 17 504 "," 6 471 "," 2 144 ","  338 ","  55 ","  52 "," 27 312 ","Litoral Sul"," 32 237 "," 6 951 "," 11 759 "," 5 741 "," 1 970 ","  307 ","  55 ","  52 "," 5 404 ","Litoral Sul"," 34 626 "," 6 037 "," 5 745 ","  730 ","  174 ","  32 ","- ","- "," 21 908 ",25023
"Patos"," 106 271 "," 16 424 "," 30 415 "," 13 484 "," 6 368 "," 1 883 ","  635 ","  327 "," 36 736 ","Patos"," 54 695 "," 8 894 "," 20 020 "," 11 941 "," 5 516 "," 1 710 ","  571 ","  302 "," 5 741 ","Patos"," 51 576 "," 7 530 "," 10 395 "," 1 542 ","  852 ","  173 ","  64 ","  25 "," 30 995 ",25004
"Piancó"," 59 358 "," 13 153 "," 15 680 "," 5 676 "," 2 074 ","  377 ","  119 ","  38 "," 22 241 ","Piancó"," 27 658 "," 7 879 "," 8 068 "," 4 388 "," 1 781 ","  348 ","  107 ","  35 "," 5 053 ","Piancó"," 31 700 "," 5 274 "," 7 612 "," 1 288 ","  293 ","  29 ","  12 ","  3 "," 17 188 ",25005
"Sapé"," 110 255 "," 20 181 "," 30 998 "," 9 171 "," 2 755 ","  502 ","  83 ","  30 "," 46 536 ","Sapé"," 48 126 "," 10 414 "," 17 483 "," 7 405 "," 2 292 ","  444 ","  79 ","  26 "," 9 982 ","Sapé"," 62 129 "," 9 767 "," 13 515 "," 1 766 ","  463 ","  58 ","  3 ","  4 "," 36 553 ",25021
"Seridó Ocidental Paraibano"," 32 864 "," 6 545 "," 10 375 "," 3 569 "," 1 345 ","  296 ","  110 ","  22 "," 10 603 ","Seridó Ocidental Paraibano"," 16 000 "," 3 580 "," 5 969 "," 2 919 "," 1 185 ","  283 ","  107 ","  18 "," 1 938 ","Seridó Ocidental Paraibano"," 16 864 "," 2 965 "," 4 406 ","  650 ","  159 ","  12 ","  3 ","  4 "," 8 665 ",25008
"Seridó Oriental Paraibano"," 60 824 "," 13 437 "," 16 645 "," 6 083 "," 1 779 ","  305 ","  84 ","  45 "," 22 446 ","Seridó Oriental Paraibano"," 31 965 "," 8 429 "," 10 242 "," 4 710 "," 1 585 ","  251 ","  69 ","  42 "," 6 637 ","Seridó Oriental Paraibano"," 28 858 "," 5 008 "," 6 403 "," 1 372 ","  195 ","  53 ","  15 ","  4 "," 15 809 ",25009
"Serra do Teixeira"," 94 712 "," 19 854 "," 23 197 "," 9 683 "," 3 101 ","  469 ","  124 ","  40 "," 38 243 ","Serra do Teixeira"," 45 150 "," 11 731 "," 12 744 "," 7 343 "," 2 734 ","  435 ","  122 ","  36 "," 10 006 ","Serra do Teixeira"," 49 562 "," 8 123 "," 10 454 "," 2 341 ","  367 ","  33 ","  3 ","  4 "," 28 237 ",25007
"Sousa"," 153 907 "," 30 863 "," 45 271 "," 16 378 "," 6 336 "," 1 732 ","  648 ","  216 "," 52 464 ","Sousa"," 71 619 "," 17 148 "," 23 428 "," 13 225 "," 5 424 "," 1 597 ","  623 ","  206 "," 9 966 ","Sousa"," 82 288 "," 13 715 "," 21 842 "," 3 153 ","  911 ","  135 ","  25 ","  10 "," 42 498 ",25003
"Umbuzeiro"," 44 576 "," 8 755 "," 10 967 "," 3 224 ","  789 ","  153 ","  42 ","  15 "," 20 632 ","Umbuzeiro"," 21 359 "," 5 634 "," 5 753 "," 2 380 ","  703 ","  139 ","  32 ","  9 "," 6 708 ","Umbuzeiro"," 23 217 "," 3 120 "," 5 213 ","  844 ","  87 ","  14 ","  10 ","  6 "," 13 924 ",25019
"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,
"Água Branca"," 7 801 "," 1 429 "," 1 654 ","  761 ","  271 ","  48 ","  4 ","- "," 3 635 ","Água Branca"," 3 449 ","  807 ","  918 ","  549 ","  229 ","  48 ","  4 ","- ","  894 ","Água Branca"," 4 352 ","  622 ","  736 ","  212 ","  42 ","- ","- ","- "," 2 740 ",2500106
"Aguiar"," 4 633 "," 1 159 "," 1 242 ","  522 ","  154 ","  15 ","  6 ","  14 "," 1 522 ","Aguiar"," 2 360 ","  757 ","  612 ","  371 ","  133 ","  15 ","  3 ","  14 ","  455 ","Aguiar"," 2 273 ","  402 ","  630 ","  151 ","  21 ","- ","  3 ","- "," 1 066 ",2500205
"Alagoa Grande"," 23 555 "," 4 215 "," 7 001 "," 1 916 ","  689 ","  155 ","  10 ","  27 "," 9 541 ","Alagoa Grande"," 11 222 "," 2 352 "," 4 081 "," 1 560 ","  595 ","  155 ","  10 ","  16 "," 2 453 ","Alagoa Grande"," 12 334 "," 1 863 "," 2 920 ","  357 ","  94 ","- ","- ","  11 "," 7 088 ",2500304
"Alagoa Nova"," 16 184 "," 3 429 "," 4 471 "," 1 486 ","  461 ","  68 ","  43 ","  5 "," 6 221 ","Alagoa Nova"," 8 293 "," 2 437 "," 2 510 "," 1 134 ","  379 ","  51 ","  28 ","  5 "," 1 749 ","Alagoa Nova"," 7 891 ","  992 "," 1 962 ","  352 ","  82 ","  16 ","  15 ","- "," 4 472 ",2500403
"Alagoinha"," 11 140 "," 2 356 "," 3 102 "," 1 061 ","  367 ","  58 ","  14 ","  16 "," 4 167 ","Alagoinha"," 5 452 "," 1 335 "," 1 901 ","  806 ","  333 ","  53 ","  14 ","  16 ","  994 ","Alagoinha"," 5 688 "," 1 020 "," 1 201 ","  254 ","  34 ","  5 ","- ","- "," 3 173 ",2500502
"Alcantil"," 4 383 ","  985 "," 1 283 ","  367 ","  119 ","  18 ","  3 ","- "," 1 607 ","Alcantil"," 2 079 ","  637 ","  748 ","  294 ","  110 ","  15 ","  3 ","- ","  272 ","Alcantil"," 2 304 ","  347 ","  535 ","  73 ","  10 ","  3 ","- ","- "," 1 335 ",2500536
"Algodão de Jandaíra"," 1 904 ","  416 ","  581 ","  127 ","  43 ","  6 ","- ","- ","  730 ","Algodão de Jandaíra","  873 ","  202 ","  363 ","  81 ","  35 ","  4 ","- ","- ","  188 ","Algodão de Jandaíra"," 1 031 ","  214 ","  218 ","  47 ","  8 ","  2 ","- ","- ","  542 ",2500577
"Alhandra"," 14 593 "," 2 424 "," 4 002 "," 1 535 ","  378 ","  40 ","  8 ","- "," 6 207 ","Alhandra"," 6 638 "," 1 152 "," 2 690 "," 1 290 ","  354 ","  36 ","  8 ","- "," 1 108 ","Alhandra"," 7 955 "," 1 272 "," 1 312 ","  245 ","  24 ","  4 ","- ","- "," 5 099 ",2500601
"Amparo"," 1 714 ","  360 ","  492 ","  151 ","  35 ","  1 ","  2 ","- ","  673 ","Amparo"," 1 065 ","  287 ","  331 ","  110 ","  29 ","  1 ","  2 ","- ","  304 ","Amparo","  649 ","  73 ","  160 ","  42 ","  5 ","- ","- ","- ","  369 ",2500734
"Aparecida"," 6 443 "," 1 406 "," 1 932 ","  538 ","  161 ","  31 ","  9 ","  6 "," 2 359 ","Aparecida"," 2 625 ","  739 ","  790 ","  444 ","  138 ","  28 ","  9 ","  6 ","  471 ","Aparecida"," 3 818 ","  667 "," 1 143 ","  94 ","  23 ","  3 ","- ","- "," 1 888 ",2500775
