"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.13.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Pernambuco - 2010",,,,,,,,,,"Tabela 4.13.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Pernambuco - 2010",,,,,,,,,,"Tabela 4.13.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Pernambuco - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total","7 373 671 ","1 019 958 ","1 821 117 ","1 028 864 "," 491 274 "," 164 074 "," 64 964 "," 35 031 ","2 748 391 ","Total","3 827 308 "," 559 514 ","1 191 253 "," 890 911 "," 411 178 "," 140 256 "," 55 891 "," 30 652 "," 547 653 ","Total","3 546 363 "," 460 443 "," 629 863 "," 137 953 "," 80 096 "," 23 818 "," 9 073 "," 4 379 ","2 200 738 ",26
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Agreste Pernambucano","1 838 559 "," 311 445 "," 522 307 "," 224 318 "," 81 832 "," 19 837 "," 6 003 "," 2 334 "," 670 483 ","Agreste Pernambucano"," 964 065 "," 195 352 "," 327 765 "," 190 638 "," 71 682 "," 17 820 "," 5 377 "," 2 067 "," 153 364 ","Agreste Pernambucano"," 874 494 "," 116 093 "," 194 542 "," 33 680 "," 10 150 "," 2 017 ","  626 ","  267 "," 517 118 ",2603
"Mata Pernambucana","1 085 892 "," 168 323 "," 287 704 "," 116 998 "," 43 998 "," 10 162 "," 2 350 ","  834 "," 455 524 ","Mata Pernambucana"," 474 982 "," 72 523 "," 182 491 "," 99 003 "," 37 024 "," 8 907 "," 2 109 ","  727 "," 72 199 ","Mata Pernambucana"," 610 910 "," 95 801 "," 105 212 "," 17 995 "," 6 974 "," 1 254 ","  242 ","  108 "," 383 325 ",2604
"Metropolitana de Recife","3 167 549 "," 303 426 "," 697 109 "," 537 531 "," 304 389 "," 116 893 "," 51 493 "," 29 626 ","1 127 082 ","Metropolitana de Recife","1 723 625 "," 144 451 "," 482 614 "," 474 383 "," 248 498 "," 98 011 "," 43 687 "," 25 753 "," 206 229 ","Metropolitana de Recife","1 443 924 "," 158 975 "," 214 496 "," 63 148 "," 55 891 "," 18 882 "," 7 806 "," 3 873 "," 920 853 ",2605
"São Francisco Pernambucano"," 467 750 "," 71 708 "," 114 621 "," 64 113 "," 27 364 "," 8 628 "," 2 769 "," 1 265 "," 177 282 ","São Francisco Pernambucano"," 261 583 "," 45 551 "," 81 694 "," 57 535 "," 24 918 "," 7 964 "," 2 586 "," 1 199 "," 40 135 ","São Francisco Pernambucano"," 206 167 "," 26 157 "," 32 928 "," 6 578 "," 2 445 ","  664 ","  182 ","  66 "," 137 147 ",2602
"Sertão Pernambucano"," 813 922 "," 165 055 "," 199 375 "," 85 904 "," 33 692 "," 8 554 "," 2 350 ","  971 "," 318 020 ","Sertão Pernambucano"," 403 054 "," 101 637 "," 116 690 "," 69 352 "," 29 056 "," 7 553 "," 2 132 ","  907 "," 75 726 ","Sertão Pernambucano"," 410 868 "," 63 418 "," 82 686 "," 16 551 "," 4 635 "," 1 001 ","  218 ","  64 "," 242 294 ",2601
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Alto Capibaribe"," 227 509 "," 28 730 "," 76 849 "," 39 951 "," 12 073 "," 2 333 ","  726 ","  256 "," 66 590 ","Alto Capibaribe"," 137 135 "," 17 461 "," 55 503 "," 36 622 "," 11 312 "," 2 197 ","  682 ","  246 "," 13 111 ","Alto Capibaribe"," 90 374 "," 11 269 "," 21 346 "," 3 329 ","  761 ","  136 ","  44 ","  10 "," 53 479 ",26009
"Araripina"," 246 121 "," 54 580 "," 58 581 "," 24 421 "," 8 035 "," 1 897 ","  573 ","  262 "," 97 773 ","Araripina"," 120 301 "," 34 345 "," 34 817 "," 20 164 "," 7 416 "," 1 805 ","  544 ","  249 "," 20 961 ","Araripina"," 125 821 "," 20 235 "," 23 764 "," 4 258 ","  619 ","  92 ","  29 ","  12 "," 76 811 ",26001
"Brejo Pernambucano"," 179 713 "," 36 350 "," 52 259 "," 15 707 "," 4 922 "," 1 172 ","  213 ","  104 "," 68 986 ","Brejo Pernambucano"," 82 570 "," 21 566 "," 29 488 "," 12 116 "," 4 186 "," 1 036 ","  170 ","  79 "," 13 929 ","Brejo Pernambucano"," 97 143 "," 14 784 "," 22 771 "," 3 590 ","  736 ","  136 ","  43 ","  25 "," 55 058 ",26012
"Fernando de Noronha"," 2 246 ","  44 ","  217 ","  611 ","  596 ","  171 ","  57 ","  16 ","  533 ","Fernando de Noronha"," 1 700 ","  27 ","  187 ","  599 ","  564 ","  166 ","  57 ","  16 ","  83 ","Fernando de Noronha","  546 ","  17 ","  30 ","  12 ","  32 ","  5 ","- ","- ","  450 ",26019
"Garanhuns"," 362 938 "," 68 727 "," 91 635 "," 36 229 "," 15 837 "," 4 249 "," 1 235 ","  486 "," 144 541 ","Garanhuns"," 187 550 "," 47 603 "," 53 230 "," 29 356 "," 13 469 "," 3 736 "," 1 177 ","  453 "," 38 525 ","Garanhuns"," 175 388 "," 21 124 "," 38 405 "," 6 873 "," 2 367 ","  512 ","  58 ","  32 "," 106 016 ",26011
"Itamaracá"," 139 021 "," 20 633 "," 32 659 "," 20 409 "," 7 742 "," 1 308 ","  239 ","  77 "," 55 953 ","Itamaracá"," 67 212 "," 9 296 "," 21 985 "," 18 227 "," 6 453 "," 1 116 ","  177 ","  73 "," 9 885 ","Itamaracá"," 71 809 "," 11 338 "," 10 674 "," 2 182 "," 1 289 ","  192 ","  62 ","  4 "," 46 068 ",26016
"Itaparica"," 107 623 "," 20 224 "," 25 517 "," 11 486 "," 4 705 "," 1 126 ","  340 ","  110 "," 44 114 ","Itaparica"," 57 858 "," 13 438 "," 16 737 "," 9 682 "," 4 221 ","  995 ","  328 ","  110 "," 12 347 ","Itaparica"," 49 765 "," 6 786 "," 8 780 "," 1 804 ","  484 ","  131 ","  12 ","- "," 31 767 ",26006
"Mata Meridional Pernambucana"," 456 915 "," 69 935 "," 113 887 "," 48 511 "," 16 757 "," 3 383 ","  779 ","  247 "," 203 416 ","Mata Meridional Pernambucana"," 184 407 "," 26 064 "," 71 229 "," 40 245 "," 14 236 "," 2 972 ","  680 ","  247 "," 28 734 ","Mata Meridional Pernambucana"," 272 508 "," 43 871 "," 42 657 "," 8 266 "," 2 521 ","  411 ","  99 ","- "," 174 682 ",26015
"Mata Setentrional Pernambucana"," 447 330 "," 66 455 "," 123 149 "," 48 143 "," 18 683 "," 4 645 "," 1 052 ","  403 "," 184 799 ","Mata Setentrional Pernambucana"," 199 975 "," 29 265 "," 78 685 "," 40 960 "," 15 511 "," 4 071 ","  937 ","  323 "," 30 223 ","Mata Setentrional Pernambucana"," 247 355 "," 37 189 "," 44 465 "," 7 183 "," 3 173 ","  574 ","  115 ","  80 "," 154 577 ",26013
"Médio Capibaribe"," 213 698 "," 36 576 "," 60 073 "," 21 738 "," 6 495 "," 1 410 ","  269 ","  122 "," 87 014 ","Médio Capibaribe"," 97 388 "," 19 968 "," 34 041 "," 16 181 "," 5 694 "," 1 296 ","  256 ","  105 "," 19 848 ","Médio Capibaribe"," 116 309 "," 16 609 "," 26 032 "," 5 556 ","  802 ","  114 ","  13 ","  18 "," 67 166 ",26010
"Pajeú"," 262 591 "," 52 573 "," 68 930 "," 29 536 "," 11 518 "," 2 741 ","  833 ","  285 "," 96 175 ","Pajeú"," 136 162 "," 33 718 "," 39 942 "," 22 793 "," 9 894 "," 2 385 ","  756 ","  248 "," 26 427 ","Pajeú"," 126 429 "," 18 855 "," 28 988 "," 6 744 "," 1 625 ","  356 ","  76 ","  37 "," 69 748 ",26003
"Petrolina"," 360 127 "," 51 483 "," 89 104 "," 52 627 "," 22 658 "," 7 502 "," 2 429 "," 1 155 "," 133 169 ","Petrolina"," 203 725 "," 32 113 "," 64 957 "," 47 853 "," 20 697 "," 6 969 "," 2 258 "," 1 089 "," 27 788 ","Petrolina"," 156 402 "," 19 370 "," 24 148 "," 4 774 "," 1 961 ","  533 ","  170 ","  66 "," 105 380 ",26005
"Recife","2 805 341 "," 261 053 "," 613 752 "," 478 151 "," 280 167 "," 112 671 "," 50 375 "," 29 250 "," 979 922 ","Recife","1 540 429 "," 125 704 "," 424 979 "," 420 731 "," 227 497 "," 94 343 "," 42 686 "," 25 397 "," 179 094 ","Recife","1 264 912 "," 135 350 "," 188 773 "," 57 419 "," 52 670 "," 18 329 "," 7 689 "," 3 853 "," 800 829 ",26017
"Salgueiro"," 132 221 "," 25 408 "," 31 658 "," 13 404 "," 5 502 "," 1 646 ","  471 ","  147 "," 53 986 ","Salgueiro"," 61 780 "," 14 279 "," 18 289 "," 10 867 "," 4 669 "," 1 378 ","  406 ","  147 "," 11 745 ","Salgueiro"," 70 441 "," 11 129 "," 13 369 "," 2 537 ","  833 ","  267 ","  65 ","- "," 42 241 ",26002
"Sertão do Moxotó"," 172 988 "," 32 495 "," 40 206 "," 18 542 "," 8 637 "," 2 271 ","  473 ","  278 "," 70 087 ","Sertão do Moxotó"," 84 811 "," 19 295 "," 23 642 "," 15 529 "," 7 078 "," 1 984 ","  427 ","  263 "," 16 593 ","Sertão do Moxotó"," 88 178 "," 13 199 "," 16 564 "," 3 013 "," 1 559 ","  287 ","  47 ","  15 "," 53 494 ",26004
"Suape"," 220 941 "," 21 696 "," 50 480 "," 38 360 "," 15 884 "," 2 742 ","  822 ","  283 "," 90 673 ","Suape"," 114 284 "," 9 425 "," 35 462 "," 34 825 "," 13 984 "," 2 386 ","  767 ","  267 "," 17 167 ","Suape"," 106 658 "," 12 271 "," 15 018 "," 3 535 "," 1 900 ","  356 ","  55 ","  16 "," 73 507 ",26018
"Vale do Ipanema"," 142 951 "," 31 627 "," 33 563 "," 10 253 "," 3 539 ","  619 ","  155 ","  75 "," 63 119 ","Vale do Ipanema"," 69 048 "," 20 585 "," 18 260 "," 7 787 "," 3 107 ","  570 ","  142 ","  75 "," 18 523 ","Vale do Ipanema"," 73 903 "," 11 042 "," 15 303 "," 2 466 ","  432 ","  50 ","  14 ","- "," 44 596 ",26007
"Vale do Ipojuca"," 711 750 "," 109 436 "," 207 928 "," 100 441 "," 38 965 "," 10 054 "," 3 403 "," 1 291 "," 240 232 ","Vale do Ipojuca"," 390 374 "," 68 170 "," 137 243 "," 88 575 "," 33 914 "," 8 985 "," 2 950 "," 1 108 "," 49 428 ","Vale do Ipojuca"," 321 377 "," 41 266 "," 70 685 "," 11 865 "," 5 052 "," 1 069 ","  453 ","  182 "," 190 804 ",26008
"Vitória de Santo Antão"," 181 648 "," 31 934 "," 50 667 "," 20 344 "," 8 557 "," 2 133 ","  519 ","  185 "," 67 308 ","Vitória de Santo Antão"," 90 600 "," 17 193 "," 32 577 "," 17 798 "," 7 277 "," 1 865 ","  492 ","  156 "," 13 242 ","Vitória de Santo Antão"," 91 048 "," 14 741 "," 18 090 "," 2 546 "," 1 280 ","  269 ","  27 ","  28 "," 54 066 ",26014
"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,
"Abreu e Lima"," 80 277 "," 9 723 "," 19 052 "," 14 195 "," 6 026 "," 1 162 ","  115 ","  22 "," 29 982 ","Abreu e Lima"," 42 798 "," 4 818 "," 12 496 "," 12 301 "," 5 142 "," 1 042 ","  107 ","  22 "," 6 872 ","Abreu e Lima"," 37 478 "," 4 905 "," 6 556 "," 1 894 ","  884 ","  120 ","  9 ","- "," 23 111 ",2600054
"Afogados da Ingazeira"," 29 302 "," 5 081 "," 8 167 "," 3 164 "," 1 772 ","  492 ","  104 ","  57 "," 10 466 ","Afogados da Ingazeira"," 15 462 "," 3 172 "," 5 081 "," 2 607 "," 1 444 ","  430 ","  104 ","  57 "," 2 567 ","Afogados da Ingazeira"," 13 840 "," 1 909 "," 3 085 ","  557 ","  328 ","  62 ","- ","- "," 7 899 ",2600104
"Afrânio"," 14 292 "," 3 007 "," 3 769 "," 1 288 ","  269 ","  65 ","  13 ","  5 "," 5 877 ","Afrânio"," 7 044 "," 1 837 "," 2 235 "," 1 037 ","  255 ","  60 ","  13 ","  5 "," 1 604 ","Afrânio"," 7 248 "," 1 170 "," 1 534 ","  251 ","  14 ","  5 ","- ","- "," 4 273 ",2600203
"Agrestina"," 18 998 "," 3 301 "," 5 714 "," 2 014 ","  651 ","  107 ","  23 ","  8 "," 7 181 ","Agrestina"," 8 808 "," 1 782 "," 3 359 "," 1 659 ","  585 ","  107 ","  23 ","  8 "," 1 286 ","Agrestina"," 10 190 "," 1 519 "," 2 355 ","  355 ","  66 ","- ","- ","- "," 5 895 ",2600302
"Água Preta"," 26 956 "," 4 348 "," 6 007 "," 1 948 ","  510 ","  111 ","  30 ","- "," 14 002 ","Água Preta"," 8 797 "," 1 304 "," 3 006 "," 1 520 ","  420 ","  111 ","  30 ","- "," 2 406 ","Água Preta"," 18 159 "," 3 044 "," 3 001 ","  428 ","  90 ","- ","- ","- "," 11 596 ",2600401
"Águas Belas"," 31 885 "," 7 057 "," 7 678 "," 2 498 ","  840 ","  197 ","  96 ","  30 "," 13 488 ","Águas Belas"," 16 081 "," 4 422 "," 4 090 "," 2 035 ","  774 ","  180 ","  96 ","  30 "," 4 453 ","Águas Belas"," 15 804 "," 2 635 "," 3 588 ","  462 ","  66 ","  17 ","- ","- "," 9 036 ",2600500
"Alagoinha"," 11 417 "," 2 677 "," 3 093 "," 1 267 ","  360 ","  44 ","  32 ","- "," 3 945 ","Alagoinha"," 6 083 "," 2 014 "," 1 635 ","  976 ","  299 ","  33 ","  25 ","- "," 1 101 ","Alagoinha"," 5 334 ","  664 "," 1 458 ","  291 ","  61 ","  11 ","  6 ","- "," 2 843 ",2600609
"Aliança"," 31 159 "," 4 336 "," 8 391 "," 3 193 ","  681 ","  156 ","  21 ","  33 "," 14 349 ","Aliança"," 11 850 "," 1 196 "," 5 021 "," 2 638 ","  577 ","  138 ","  21 ","  16 "," 2 242 ","Aliança"," 19 310 "," 3 140 "," 3 371 ","  555 ","  104 ","  17 ","- ","  17 "," 12 106 ",2600708
"Altinho"," 19 032 "," 4 202 "," 5 575 "," 1 653 ","  300 ","  169 ","- ","- "," 7 133 ","Altinho"," 8 960 "," 2 801 "," 3 011 "," 1 195 ","  216 ","  146 ","- ","- "," 1 591 ","Altinho"," 10 072 "," 1 401 "," 2 563 ","  458 ","  84 ","  23 ","- ","- "," 5 542 ",2600807
"Amaraji"," 17 977 "," 4 244 "," 5 125 "," 1 883 ","  549 ","  100 ","  27 ","  24 "," 6 025 ","Amaraji"," 8 398 "," 1 931 "," 3 280 "," 1 545 ","  505 ","  88 ","  27 ","  24 ","  998 ","Amaraji"," 9 579 "," 2 313 "," 1 845 ","  338 ","  44 ","  12 ","- ","- "," 5 026 ",2600906
"Angelim"," 8 302 "," 1 559 "," 2 147 ","  614 ","  274 ","  63 ","  9 ","  6 "," 3 631 ","Angelim"," 3 980 ","  990 "," 1 164 ","  446 ","  209 ","  48 ","  9 ","  6 "," 1 109 ","Angelim"," 4 323 ","  569 ","  983 ","  169 ","  65 ","  15 ","- ","- "," 2 522 ",2601003
"Araçoiaba"," 14 868 "," 2 663 "," 3 769 "," 1 661 ","  363 ","  53 ","  14 ","  5 "," 6 339 ","Araçoiaba"," 6 406 ","  874 "," 2 317 "," 1 520 ","  333 ","  44 ","  14 ","  5 "," 1 298 ","Araçoiaba"," 8 462 "," 1 789 "," 1 452 ","  141 ","  30 ","  9 ","- ","- "," 5 040 ",2601052
