"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.14.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Alagoas - 2010",,,,,,,,,,"Tabela 4.14.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Alagoas - 2010",,,,,,,,,,"Tabela 4.14.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Alagoas - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total","2 547 711 "," 395 982 "," 599 774 "," 303 759 "," 142 493 "," 54 063 "," 18 217 "," 7 868 ","1 025 556 ","Total","1 256 913 "," 201 737 "," 387 164 "," 262 966 "," 122 233 "," 44 689 "," 15 591 "," 6 832 "," 215 701 ","Total","1 290 797 "," 194 244 "," 212 610 "," 40 793 "," 20 260 "," 9 374 "," 2 625 "," 1 036 "," 809 855 ",27
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Agreste Alagoano"," 510 896 "," 94 037 "," 128 113 "," 50 632 "," 19 848 "," 5 969 "," 1 591 ","  478 "," 210 228 ","Agreste Alagoano"," 255 675 "," 56 423 "," 77 065 "," 43 037 "," 17 745 "," 5 177 "," 1 523 ","  437 "," 54 267 ","Agreste Alagoano"," 255 220 "," 37 614 "," 51 048 "," 7 594 "," 2 103 ","  792 ","  68 ","  41 "," 155 961 ",2702
"Leste Alagoano","1 692 348 "," 229 910 "," 394 548 "," 224 301 "," 112 535 "," 45 648 "," 16 098 "," 7 155 "," 662 153 ","Leste Alagoano"," 829 386 "," 101 441 "," 265 592 "," 196 753 "," 95 634 "," 37 428 "," 13 569 "," 6 169 "," 112 799 ","Leste Alagoano"," 862 962 "," 128 469 "," 128 957 "," 27 549 "," 16 901 "," 8 219 "," 2 529 ","  985 "," 549 354 ",2703
"Sertão Alagoano"," 344 467 "," 72 035 "," 77 112 "," 28 826 "," 10 110 "," 2 446 ","  528 ","  235 "," 153 175 ","Sertão Alagoano"," 171 852 "," 43 873 "," 44 507 "," 23 176 "," 8 854 "," 2 083 ","  499 ","  226 "," 48 635 ","Sertão Alagoano"," 172 615 "," 28 162 "," 32 606 "," 5 650 "," 1 256 ","  363 ","  29 ","  10 "," 104 540 ",2701
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Alagoana do Sertão do São Francisco"," 63 800 "," 11 191 "," 14 828 "," 6 709 "," 2 903 ","  760 ","  166 ","  53 "," 27 190 ","Alagoana do Sertão do São Francisco"," 31 324 "," 6 471 "," 9 249 "," 5 402 "," 2 528 ","  668 ","  166 ","  53 "," 6 786 ","Alagoana do Sertão do São Francisco"," 32 476 "," 4 719 "," 5 579 "," 1 307 ","  375 ","  93 ","- ","- "," 20 403 ",27002
"Arapiraca"," 336 552 "," 60 140 "," 84 018 "," 35 308 "," 13 939 "," 4 220 "," 1 121 ","  305 "," 137 501 ","Arapiraca"," 173 389 "," 37 089 "," 52 758 "," 30 872 "," 12 697 "," 3 724 "," 1 083 ","  274 "," 34 893 ","Arapiraca"," 163 163 "," 23 051 "," 31 260 "," 4 436 "," 1 242 ","  496 ","  38 ","  31 "," 102 609 ",27006
"Batalha"," 74 672 "," 16 626 "," 18 687 "," 6 328 "," 1 843 ","  552 ","  105 ","  64 "," 30 468 ","Batalha"," 36 837 "," 10 015 "," 11 414 "," 5 013 "," 1 622 ","  480 ","  96 ","  54 "," 8 144 ","Batalha"," 37 835 "," 6 611 "," 7 273 "," 1 315 ","  220 ","  73 ","  9 ","  10 "," 22 324 ",27004
"Litoral Norte Alagoano"," 52 657 "," 10 031 "," 13 087 "," 5 022 "," 1 627 ","  341 ","  124 ","  26 "," 22 400 ","Litoral Norte Alagoano"," 23 280 "," 4 339 "," 9 071 "," 4 490 "," 1 393 ","  267 ","  81 ","  22 "," 3 616 ","Litoral Norte Alagoano"," 29 377 "," 5 691 "," 4 016 ","  532 ","  234 ","  74 ","  43 ","  4 "," 18 784 ",27010
"Maceió"," 954 151 "," 102 250 "," 220 137 "," 150 338 "," 86 966 "," 40 032 "," 14 626 "," 6 721 "," 333 082 ","Maceió"," 521 781 "," 48 715 "," 157 564 "," 134 082 "," 73 364 "," 32 628 "," 12 230 "," 5 774 "," 57 424 ","Maceió"," 432 370 "," 53 534 "," 62 572 "," 16 256 "," 13 602 "," 7 404 "," 2 396 ","  947 "," 275 658 ",27011
"Mata Alagoana"," 237 974 "," 41 712 "," 58 225 "," 22 575 "," 7 198 "," 1 406 ","  273 ","  88 "," 106 498 ","Mata Alagoana"," 94 290 "," 14 284 "," 37 838 "," 18 986 "," 6 422 "," 1 165 ","  257 ","  88 "," 15 250 ","Mata Alagoana"," 143 684 "," 27 428 "," 20 386 "," 3 588 ","  777 ","  241 ","  16 ","- "," 91 248 ",27009
"Palmeira dos Índios"," 144 684 "," 27 476 "," 38 339 "," 13 769 "," 5 375 "," 1 563 ","  420 ","  157 "," 57 584 ","Palmeira dos Índios"," 69 569 "," 15 800 "," 21 465 "," 10 920 "," 4 582 "," 1 322 ","  401 ","  147 "," 14 930 ","Palmeira dos Índios"," 75 115 "," 11 676 "," 16 874 "," 2 849 ","  792 ","  241 ","  18 ","  10 "," 42 655 ",27005
"Penedo"," 102 200 "," 19 489 "," 23 427 "," 9 010 "," 3 402 "," 1 036 ","  361 ","  61 "," 45 414 ","Penedo"," 45 303 "," 9 968 "," 12 932 "," 7 607 "," 2 873 ","  850 ","  356 ","  61 "," 10 655 ","Penedo"," 56 897 "," 9 520 "," 10 496 "," 1 403 ","  528 ","  185 ","  5 ","- "," 34 759 ",27013
"Santana do Ipanema"," 135 725 "," 29 508 "," 28 526 "," 10 704 "," 3 888 ","  895 ","  205 ","  101 "," 61 898 ","Santana do Ipanema"," 68 004 "," 18 127 "," 16 051 "," 8 813 "," 3 445 ","  718 ","  190 ","  101 "," 20 559 ","Santana do Ipanema"," 67 721 "," 11 381 "," 12 474 "," 1 891 ","  442 ","  177 ","  15 ","- "," 41 340 ",27003
"São Miguel dos Campos"," 227 400 "," 35 590 "," 49 632 "," 27 440 "," 9 075 "," 1 802 ","  440 ","  195 "," 103 226 ","São Miguel dos Campos"," 97 420 "," 14 974 "," 31 434 "," 23 189 "," 7 959 "," 1 631 ","  411 ","  175 "," 17 649 ","São Miguel dos Campos"," 129 980 "," 20 615 "," 18 199 "," 4 252 "," 1 116 ","  171 ","  29 ","  20 "," 85 577 ",27012
"Serrana do Sertão Alagoano"," 70 270 "," 14 711 "," 15 071 "," 5 084 "," 1 477 ","  239 ","  52 ","  17 "," 33 619 ","Serrana do Sertão Alagoano"," 35 687 "," 9 260 "," 7 792 "," 3 948 "," 1 258 ","  218 ","  47 ","  17 "," 13 146 ","Serrana do Sertão Alagoano"," 34 583 "," 5 450 "," 7 279 "," 1 137 ","  218 ","  20 ","  5 ","- "," 20 473 ",27001
"Serrana dos Quilombos"," 117 966 "," 20 839 "," 30 040 "," 9 916 "," 4 267 "," 1 031 ","  275 ","  64 "," 51 533 ","Serrana dos Quilombos"," 47 312 "," 9 160 "," 16 752 "," 8 399 "," 3 624 ","  887 ","  235 ","  50 "," 8 205 ","Serrana dos Quilombos"," 70 654 "," 11 680 "," 13 288 "," 1 517 ","  643 ","  144 ","  40 ","  14 "," 43 327 ",27008
"Traipu"," 29 660 "," 6 421 "," 5 756 "," 1 554 ","  535 ","  186 ","  51 ","  15 "," 15 142 ","Traipu"," 12 718 "," 3 534 "," 2 842 "," 1 246 ","  466 ","  131 ","  39 ","  15 "," 4 445 ","Traipu"," 16 942 "," 2 886 "," 2 914 ","  309 ","  69 ","  55 ","  12 ","- "," 10 698 ",27007
"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,
"Água Branca"," 15 409 "," 2 696 "," 3 571 "," 1 306 ","  398 ","  40 ","  20 ","  5 "," 7 373 ","Água Branca"," 8 769 "," 1 779 "," 2 016 "," 1 045 ","  324 ","  36 ","  20 ","  5 "," 3 543 ","Água Branca"," 6 641 ","  917 "," 1 555 ","  260 ","  74 ","  4 ","- ","- "," 3 829 ",2700102
"Anadia"," 14 205 "," 2 353 "," 3 579 "," 1 405 ","  292 ","  113 ","  20 ","- "," 6 443 ","Anadia"," 5 203 ","  902 "," 1 777 "," 1 163 ","  227 ","  104 ","  20 ","- "," 1 010 ","Anadia"," 9 002 "," 1 451 "," 1 802 ","  242 ","  65 ","  9 ","- ","- "," 5 433 ",2700201
"Arapiraca"," 177 219 "," 26 712 "," 47 578 "," 22 959 "," 10 777 "," 3 614 ","  968 ","  253 "," 64 357 ","Arapiraca"," 93 089 "," 15 718 "," 32 084 "," 20 602 "," 9 746 "," 3 159 ","  931 ","  244 "," 10 605 ","Arapiraca"," 84 130 "," 10 994 "," 15 494 "," 2 357 "," 1 031 ","  455 ","  38 ","  9 "," 53 752 ",2700300
"Atalaia"," 35 017 "," 6 399 "," 7 920 "," 3 504 "," 1 079 ","  171 ","  53 ","  24 "," 15 868 ","Atalaia"," 13 200 "," 1 711 "," 5 111 "," 2 959 ","  944 ","  153 ","  43 ","  24 "," 2 254 ","Atalaia"," 21 818 "," 4 688 "," 2 809 ","  545 ","  135 ","  18 ","  10 ","- "," 13 614 ",2700409
"Barra de Santo Antônio"," 11 330 "," 1 710 "," 2 693 "," 1 096 ","  347 ","  76 ","  40 ","- "," 5 367 ","Barra de Santo Antônio"," 4 637 ","  745 "," 1 844 ","  968 ","  286 ","  71 ","  40 ","- ","  682 ","Barra de Santo Antônio"," 6 693 ","  965 ","  849 ","  128 ","  61 ","  5 ","- ","- "," 4 685 ",2700508
"Barra de São Miguel"," 6 171 ","  820 "," 1 871 ","  780 ","  347 ","  92 ","  44 ","  25 "," 2 193 ","Barra de São Miguel"," 3 397 ","  422 "," 1 560 ","  741 ","  305 ","  76 ","  24 ","  25 ","  244 ","Barra de São Miguel"," 2 773 ","  398 ","  311 ","  39 ","  41 ","  16 ","  20 ","- "," 1 948 ",2700607
"Batalha"," 13 837 "," 2 769 "," 3 965 "," 1 414 ","  406 ","  103 ","  8 ","  10 "," 5 162 ","Batalha"," 6 789 "," 1 542 "," 2 566 "," 1 201 ","  368 ","  92 ","  8 ","  10 "," 1 002 ","Batalha"," 7 049 "," 1 227 "," 1 399 ","  213 ","  38 ","  11 ","- ","- "," 4 161 ",2700706
"Belém"," 3 797 ","  789 "," 1 064 ","  350 ","  122 ","  25 ","- ","  7 "," 1 440 ","Belém"," 2 196 ","  527 ","  703 ","  283 ","  112 ","  25 ","- ","  7 ","  540 ","Belém"," 1 601 ","  263 ","  361 ","  67 ","  10 ","- ","- ","- ","  900 ",2700805
"Belo Monte"," 5 717 "," 1 126 ","  967 ","  366 ","  102 ","  15 ","  7 ","  7 "," 3 127 ","Belo Monte"," 2 297 ","  549 ","  494 ","  265 ","  88 ","  15 ","  7 ","  7 ","  871 ","Belo Monte"," 3 421 ","  576 ","  474 ","  101 ","  14 ","- ","- ","- "," 2 256 ",2700904
"Boca da Mata"," 20 806 "," 3 583 "," 4 719 "," 2 099 ","  884 ","  174 ","  50 ","- "," 9 297 ","Boca da Mata"," 9 000 "," 1 451 "," 3 071 "," 1 848 ","  811 ","  155 ","  41 ","- "," 1 622 ","Boca da Mata"," 11 807 "," 2 132 "," 1 648 ","  250 ","  73 ","  19 ","  9 ","- "," 7 675 ",2701001
"Branquinha"," 8 354 "," 1 253 "," 2 341 ","  821 ","  121 ","  30 ","- ","- "," 3 787 ","Branquinha"," 3 419 ","  428 "," 1 449 ","  705 ","  113 ","  26 ","- ","- ","  699 ","Branquinha"," 4 935 ","  825 ","  892 ","  116 ","  9 ","  4 ","- ","- "," 3 088 ",2701100
"Cacimbinhas"," 8 303 "," 1 930 "," 2 016 ","  612 ","  228 ","  59 ","  19 ","  12 "," 3 426 ","Cacimbinhas"," 3 574 "," 1 023 "," 1 096 ","  426 ","  182 ","  54 ","  14 ","  12 ","  766 ","Cacimbinhas"," 4 729 ","  907 ","  921 ","  185 ","  46 ","  5 ","  5 ","- "," 2 660 ",2701209
"Cajueiro"," 16 110 "," 2 742 "," 3 790 "," 1 445 ","  458 ","  108 ","  15 ","- "," 7 552 ","Cajueiro"," 5 712 ","  716 "," 2 277 "," 1 280 ","  399 ","  92 ","  15 ","- ","  933 ","Cajueiro"," 10 398 "," 2 026 "," 1 514 ","  165 ","  59 ","  15 ","- ","- "," 6 619 ",2701308
"Campestre"," 5 239 ","  912 "," 1 207 ","  544 ","  206 ","  52 ","  3 ","- "," 2 315 ","Campestre"," 2 038 ","  327 ","  725 ","  457 ","  184 ","  47 ","  3 ","- ","  294 ","Campestre"," 3 201 ","  585 ","  482 ","  87 ","  22 ","  4 ","- ","- "," 2 021 ",2701357
"Campo Alegre"," 40 316 "," 4 524 "," 7 243 "," 4 986 "," 1 111 ","  109 ","  26 ","  25 "," 22 291 ","Campo Alegre"," 13 317 "," 1 135 "," 4 247 "," 3 988 ","  876 ","  94 ","  26 ","  25 "," 2 926 ","Campo Alegre"," 26 999 "," 3 389 "," 2 996 ","  998 ","  235 ","  15 ","- ","- "," 19 365 ",2701407
"Campo Grande"," 7 366 "," 1 536 "," 1 493 ","  478 ","  96 ","  20 ","  6 ","  6 "," 3 731 ","Campo Grande"," 3 446 ","  871 ","  763 ","  353 ","  96 ","  20 ","  6 ","  6 "," 1 331 ","Campo Grande"," 3 920 ","  665 ","  730 ","  125 ","- ","- ","- ","- "," 2 400 ",2701506
"Canapi"," 13 382 "," 3 605 "," 2 690 ","  918 ","  239 ","  63 ","  11 ","  4 "," 5 854 ","Canapi"," 6 727 "," 2 260 "," 1 375 ","  723 ","  204 ","  47 ","  6 ","  4 "," 2 109 ","Canapi"," 6 655 "," 1 345 "," 1 314 ","  195 ","  35 ","  16 ","  5 ","- "," 3 745 ",2701605
"Capela"," 13 576 "," 2 418 "," 3 662 "," 1 182 ","  432 ","  64 ","  35 ","- "," 5 783 ","Capela"," 5 503 ","  982 "," 2 388 ","  955 ","  393 ","  64 ","  29 ","- ","  691 ","Capela"," 8 073 "," 1 436 "," 1 274 ","  227 ","  39 ","- ","  6 ","- "," 5 092 ",2701704
"Carneiros"," 6 332 "," 1 591 "," 1 247 ","  614 ","  115 ","  27 ","  17 ","- "," 2 722 ","Carneiros"," 3 593 "," 1 067 ","  745 ","  515 ","  109 ","  21 ","  17 ","- "," 1 119 ","Carneiros"," 2 740 ","  524 ","  501 ","  99 ","  5 ","  6 ","- ","- "," 1 603 ",2701803
"Chã Preta"," 5 629 "," 1 139 "," 1 501 ","  353 ","  154 ","  16 ","  12 ","  1 "," 2 452 ","Chã Preta"," 2 271 ","  595 ","  836 ","  281 ","  132 ","  8 ","  9 ","- ","  410 ","Chã Preta"," 3 357 ","  545 ","  664 ","  72 ","  22 ","  8 ","  4 ","  1 "," 2 042 ",2701902
"Coité do Nóia"," 8 928 "," 1 938 "," 2 171 ","  716 ","  172 ","  31 ","- ","- "," 3 899 ","Coité do Nóia"," 4 437 "," 1 241 "," 1 165 ","  562 ","  166 ","  31 ","- ","- "," 1 272 ","Coité do Nóia"," 4 491 ","  698 "," 1 007 ","  154 ","  6 ","- ","- ","- "," 2 627 ",2702009
"Colônia Leopoldina"," 15 730 "," 3 093 "," 3 347 "," 1 842 ","  557 ","  118 ","- ","  9 "," 6 765 ","Colônia Leopoldina"," 6 332 "," 1 147 "," 2 018 "," 1 587 ","  476 ","  118 ","- ","  9 ","  978 ","Colônia Leopoldina"," 9 398 "," 1 946 "," 1 330 ","  254 ","  81 ","- ","- ","- "," 5 787 ",2702108
