"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.15.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Sergipe - 2010",,,,,,,,,,"Tabela 4.15.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Sergipe - 2010",,,,,,,,,,"Tabela 4.15.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Sergipe - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total","1 720 016 "," 262 529 "," 422 287 "," 224 557 "," 114 535 "," 44 449 "," 18 483 "," 7 759 "," 625 417 ","Total"," 927 790 "," 155 587 "," 293 451 "," 197 779 "," 98 376 "," 36 109 "," 15 654 "," 6 434 "," 124 401 ","Total"," 792 226 "," 106 942 "," 128 836 "," 26 778 "," 16 159 "," 8 340 "," 2 829 "," 1 325 "," 501 016 ",28
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Agreste Sergipano"," 372 463 "," 75 960 "," 107 099 "," 43 148 "," 16 750 "," 4 393 "," 1 215 ","  312 "," 123 586 ","Agreste Sergipano"," 203 949 "," 50 883 "," 70 736 "," 36 977 "," 15 119 "," 3 917 "," 1 112 ","  274 "," 24 930 ","Agreste Sergipano"," 168 514 "," 25 076 "," 36 363 "," 6 170 "," 1 631 ","  475 ","  103 ","  38 "," 98 657 ",2802
"Leste Sergipano","1 164 273 "," 147 620 "," 269 249 "," 164 064 "," 91 575 "," 38 380 "," 16 963 "," 7 329 "," 429 094 ","Leste Sergipano"," 629 470 "," 80 583 "," 193 302 "," 145 840 "," 77 617 "," 30 695 "," 14 256 "," 6 054 "," 81 123 ","Leste Sergipano"," 534 803 "," 67 037 "," 75 946 "," 18 224 "," 13 958 "," 7 684 "," 2 707 "," 1 275 "," 347 971 ",2803
"Sertão Sergipano"," 183 280 "," 38 949 "," 45 939 "," 17 346 "," 6 209 "," 1 676 ","  305 ","  118 "," 72 737 ","Sertão Sergipano"," 94 371 "," 24 120 "," 29 412 "," 14 962 "," 5 640 "," 1 496 ","  285 ","  106 "," 18 348 ","Sertão Sergipano"," 88 910 "," 14 829 "," 16 527 "," 2 384 ","  569 ","  180 ","  20 ","  12 "," 54 389 ",2801
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Agreste de Itabaiana"," 133 942 "," 24 760 "," 40 581 "," 17 607 "," 6 999 "," 1 903 ","  522 ","  172 "," 41 398 ","Agreste de Itabaiana"," 76 990 "," 16 714 "," 28 611 "," 15 755 "," 6 355 "," 1 684 ","  492 ","  142 "," 7 237 ","Agreste de Itabaiana"," 56 952 "," 8 047 "," 11 970 "," 1 853 ","  644 ","  218 ","  30 ","  29 "," 34 161 ",28004
"Agreste de Lagarto"," 95 353 "," 21 057 "," 26 382 "," 11 283 "," 4 223 "," 1 171 ","  291 ","  83 "," 30 863 ","Agreste de Lagarto"," 51 715 "," 14 114 "," 17 277 "," 9 515 "," 3 807 "," 1 093 ","  235 ","  74 "," 5 599 ","Agreste de Lagarto"," 43 639 "," 6 943 "," 9 105 "," 1 768 ","  416 ","  78 ","  56 ","  9 "," 25 264 ",28006
"Aracaju"," 707 126 "," 60 308 "," 154 611 "," 115 971 "," 72 638 "," 33 742 "," 15 783 "," 7 080 "," 246 992 ","Aracaju"," 401 982 "," 29 679 "," 117 953 "," 104 303 "," 60 957 "," 26 697 "," 13 244 "," 5 818 "," 43 330 ","Aracaju"," 305 144 "," 30 629 "," 36 658 "," 11 668 "," 11 680 "," 7 045 "," 2 539 "," 1 262 "," 203 662 ",28011
"Baixo Cotinguiba"," 72 806 "," 9 660 "," 15 936 "," 9 269 "," 4 113 ","  900 ","  263 ","  43 "," 32 622 ","Baixo Cotinguiba"," 34 428 "," 4 018 "," 11 006 "," 8 207 "," 3 685 ","  767 ","  224 ","  38 "," 6 484 ","Baixo Cotinguiba"," 38 378 "," 5 642 "," 4 930 "," 1 062 ","  428 ","  133 ","  39 ","  5 "," 26 138 ",28010
"Boquim"," 126 426 "," 31 659 "," 34 328 "," 11 420 "," 4 346 ","  945 ","  210 ","  25 "," 43 493 ","Boquim"," 66 955 "," 21 036 "," 22 799 "," 9 627 "," 4 037 ","  827 ","  138 ","  19 "," 8 471 ","Boquim"," 59 472 "," 10 623 "," 11 529 "," 1 793 ","  309 ","  118 ","  72 ","  6 "," 35 021 ",28012
"Carira"," 57 436 "," 11 190 "," 17 798 "," 6 897 "," 2 228 ","  533 ","  143 ","  22 "," 18 625 ","Carira"," 31 648 "," 7 363 "," 11 621 "," 6 052 "," 2 030 ","  488 ","  125 ","  22 "," 3 946 ","Carira"," 25 787 "," 3 826 "," 6 177 ","  844 ","  198 ","  45 ","  18 ","- "," 14 679 ",28002
"Cotinguiba"," 37 909 "," 5 752 "," 10 032 "," 4 047 "," 1 493 ","  368 ","  117 ","  21 "," 16 078 ","Cotinguiba"," 16 870 "," 2 397 "," 6 510 "," 3 564 "," 1 359 ","  297 ","  117 ","  21 "," 2 605 ","Cotinguiba"," 21 039 "," 3 355 "," 3 523 ","  483 ","  134 ","  72 ","- ","- "," 13 473 ",28008
"Estância"," 100 812 "," 17 049 "," 24 568 "," 12 255 "," 4 504 "," 1 047 ","  315 ","  105 "," 40 970 ","Estância"," 51 583 "," 9 749 "," 16 476 "," 10 719 "," 3 850 ","  881 ","  291 ","  105 "," 9 514 ","Estância"," 49 229 "," 7 301 "," 8 092 "," 1 536 ","  654 ","  166 ","  24 ","- "," 31 456 ",28013
"Japaratuba"," 44 455 "," 8 628 "," 10 959 "," 4 121 "," 1 205 ","  392 ","  93 ","  11 "," 19 045 ","Japaratuba"," 22 251 "," 5 156 "," 6 990 "," 3 542 "," 1 069 ","  363 ","  88 ","  11 "," 5 032 ","Japaratuba"," 22 204 "," 3 471 "," 3 970 ","  579 ","  136 ","  30 ","  5 ","- "," 14 013 ",28009
"Nossa Senhora das Dores"," 52 179 "," 10 225 "," 14 157 "," 4 880 "," 2 074 ","  467 ","  68 ","  14 "," 20 294 ","Nossa Senhora das Dores"," 25 304 "," 6 068 "," 8 659 "," 4 041 "," 1 845 ","  381 ","  68 ","  14 "," 4 227 ","Nossa Senhora das Dores"," 26 875 "," 4 157 "," 5 497 ","  839 ","  228 ","  86 ","- ","- "," 16 068 ",28003
"Propriá"," 74 738 "," 14 563 "," 18 813 "," 6 981 "," 3 277 ","  985 ","  182 ","  44 "," 29 894 ","Propriá"," 35 401 "," 8 548 "," 11 569 "," 5 879 "," 2 660 ","  864 ","  154 ","  41 "," 5 685 ","Propriá"," 39 338 "," 6 015 "," 7 244 "," 1 101 ","  617 ","  121 ","  28 ","  3 "," 24 208 ",28007
"Sergipana do Sertão do São Francisco"," 125 845 "," 27 759 "," 28 141 "," 10 449 "," 3 982 "," 1 143 ","  162 ","  96 "," 54 112 ","Sergipana do Sertão do São Francisco"," 62 723 "," 16 757 "," 17 792 "," 8 910 "," 3 611 "," 1 008 ","  159 ","  84 "," 14 402 ","Sergipana do Sertão do São Francisco"," 63 122 "," 11 002 "," 10 350 "," 1 539 ","  371 ","  135 ","  3 ","  12 "," 39 710 ",28001
"Tobias Barreto"," 90 989 "," 19 917 "," 25 979 "," 9 377 "," 3 455 ","  852 ","  333 ","  44 "," 31 031 ","Tobias Barreto"," 49 941 "," 13 987 "," 16 189 "," 7 667 "," 3 111 ","  759 ","  317 ","  44 "," 7 867 ","Tobias Barreto"," 41 048 "," 5 930 "," 9 790 "," 1 711 ","  343 ","  93 ","  16 ","- "," 23 165 ",28005
"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,
"Amparo de São Francisco"," 1 871 ","  475 ","  535 ","  164 ","  58 ","  13 ","  2 ","  4 ","  620 ","Amparo de São Francisco","  985 ","  327 ","  315 ","  152 ","  48 ","  13 ","  2 ","  4 ","  124 ","Amparo de São Francisco","  886 ","  148 ","  220 ","  12 ","  10 ","- ","- ","- ","  496 ",2800100
"Aquidabã"," 16 641 "," 3 335 "," 4 313 "," 1 547 ","  675 ","  171 ","  6 ","- "," 6 595 ","Aquidabã"," 7 854 "," 1 974 "," 2 395 "," 1 258 ","  588 ","  135 ","  6 ","- "," 1 498 ","Aquidabã"," 8 787 "," 1 361 "," 1 918 ","  289 ","  86 ","  35 ","- ","- "," 5 097 ",2800209
"Aracaju"," 490 097 "," 35 226 "," 102 760 "," 79 754 "," 58 528 "," 30 211 "," 15 162 "," 6 944 "," 161 512 ","Aracaju"," 283 333 "," 17 323 "," 77 333 "," 70 896 "," 48 282 "," 23 585 "," 12 722 "," 5 716 "," 27 476 ","Aracaju"," 206 764 "," 17 903 "," 25 427 "," 8 858 "," 10 247 "," 6 626 "," 2 440 "," 1 228 "," 134 036 ",2800308
"Arauá"," 8 913 "," 2 125 "," 2 609 ","  571 ","  188 ","  53 ","  11 ","  7 "," 3 349 ","Arauá"," 4 258 "," 1 310 "," 1 738 ","  480 ","  181 ","  38 ","  11 ","  7 ","  494 ","Arauá"," 4 655 ","  815 ","  872 ","  91 ","  7 ","  15 ","- ","- "," 2 855 ",2800407
"Areia Branca"," 13 852 "," 2 463 "," 3 795 "," 1 680 ","  471 ","  161 ","  43 ","- "," 5 239 ","Areia Branca"," 7 332 "," 1 513 "," 2 609 "," 1 484 ","  422 ","  122 ","  36 ","- "," 1 145 ","Areia Branca"," 6 520 ","  949 "," 1 186 ","  196 ","  49 ","  39 ","  6 ","- "," 4 094 ",2800506
"Barra dos Coqueiros"," 20 556 "," 2 245 "," 4 239 "," 2 756 "," 1 499 ","  462 ","  89 ","  33 "," 9 233 ","Barra dos Coqueiros"," 10 007 "," 1 088 "," 3 142 "," 2 547 "," 1 352 ","  399 ","  66 ","  29 "," 1 385 ","Barra dos Coqueiros"," 10 549 "," 1 157 "," 1 097 ","  209 ","  147 ","  63 ","  23 ","  5 "," 7 848 ",2800605
"Boquim"," 21 140 "," 5 144 "," 5 371 "," 2 230 ","  960 ","  199 ","  30 ","- "," 7 205 ","Boquim"," 11 290 "," 3 295 "," 3 316 "," 1 933 ","  938 ","  178 ","  30 ","- "," 1 600 ","Boquim"," 9 850 "," 1 850 "," 2 055 ","  297 ","  22 ","  21 ","- ","- "," 5 605 ",2800670
"Brejo Grande"," 6 136 "," 1 862 "," 1 302 ","  387 ","  139 ","  39 ","- ","- "," 2 407 ","Brejo Grande"," 3 047 "," 1 404 ","  772 ","  306 ","  122 ","  39 ","- ","- ","  405 ","Brejo Grande"," 3 089 ","  458 ","  530 ","  82 ","  17 ","- ","- ","- "," 2 002 ",2800704
"Campo do Brito"," 13 989 "," 2 754 "," 4 660 "," 1 546 ","  633 ","  165 ","  56 ","  41 "," 4 134 ","Campo do Brito"," 7 755 "," 1 843 "," 3 264 "," 1 362 ","  530 ","  156 ","  52 ","  30 ","  518 ","Campo do Brito"," 6 235 ","  911 "," 1 396 ","  184 ","  103 ","  9 ","  5 ","  11 "," 3 617 ",2801009
"Canhoba"," 3 217 ","  798 ","  903 ","  212 ","  100 ","  29 ","- ","  3 "," 1 172 ","Canhoba"," 1 814 ","  604 ","  604 ","  180 ","  77 ","  13 ","- ","- ","  336 ","Canhoba"," 1 403 ","  194 ","  299 ","  32 ","  23 ","  16 ","- ","  3 ","  836 ",2801108
"Canindé de São Francisco"," 19 296 "," 4 081 "," 4 242 "," 1 807 ","  623 ","  293 ","  33 ","  18 "," 8 198 ","Canindé de São Francisco"," 10 077 "," 2 631 "," 2 945 "," 1 658 ","  604 ","  266 ","  33 ","  18 "," 1 923 ","Canindé de São Francisco"," 9 219 "," 1 451 "," 1 297 ","  149 ","  19 ","  27 ","- ","- "," 6 276 ",2801207
"Capela"," 24 916 "," 3 642 "," 6 525 "," 2 582 "," 1 072 ","  255 ","  114 ","  21 "," 10 704 ","Capela"," 11 244 "," 1 570 "," 4 240 "," 2 277 ","  988 ","  207 ","  114 ","  21 "," 1 826 ","Capela"," 13 672 "," 2 072 "," 2 285 ","  304 ","  84 ","  48 ","- ","- "," 8 878 ",2801306
"Carira"," 16 451 "," 3 550 "," 5 135 "," 1 757 ","  541 ","  116 ","  31 ","  12 "," 5 309 ","Carira"," 8 307 "," 1 960 "," 3 301 "," 1 521 ","  478 ","  111 ","  26 ","  12 ","  897 ","Carira"," 8 144 "," 1 589 "," 1 834 ","  236 ","  63 ","  5 ","  5 ","- "," 4 412 ",2801405
"Carmópolis"," 10 843 "," 1 295 "," 2 213 "," 1 632 ","  714 ","  193 ","  54 ","  7 "," 4 735 ","Carmópolis"," 5 610 ","  582 "," 1 557 "," 1 463 ","  668 ","  187 ","  41 ","  7 "," 1 105 ","Carmópolis"," 5 233 ","  713 ","  656 ","  169 ","  46 ","  6 ","  14 ","- "," 3 629 ",2801504
"Cedro de São João"," 4 693 ","  960 "," 1 302 ","  480 ","  206 ","  59 ","  23 ","  11 "," 1 651 ","Cedro de São João"," 2 179 ","  617 ","  698 ","  377 ","  170 ","  43 ","  20 ","  11 ","  244 ","Cedro de São João"," 2 513 ","  343 ","  604 ","  103 ","  36 ","  17 ","  3 ","- "," 1 408 ",2801603
"Cristinápolis"," 13 143 "," 3 277 "," 3 249 "," 1 073 ","  426 ","  99 ","  17 ","- "," 5 001 ","Cristinápolis"," 6 565 "," 1 996 "," 2 288 ","  920 ","  426 ","  89 ","  17 ","- ","  828 ","Cristinápolis"," 6 578 "," 1 281 ","  961 ","  153 ","- ","  10 ","- ","- "," 4 173 ",2801702
"Cumbe"," 3 207 ","  642 ","  987 ","  281 ","  139 ","  15 ","- ","  3 "," 1 140 ","Cumbe"," 1 656 ","  369 ","  635 ","  232 ","  124 ","  13 ","- ","  3 ","  280 ","Cumbe"," 1 551 ","  273 ","  352 ","  49 ","  14 ","  2 ","- ","- ","  860 ",2801900
"Divina Pastora"," 3 481 ","  504 ","  820 ","  613 ","  128 ","  33 ","- ","- "," 1 384 ","Divina Pastora"," 1 701 ","  230 ","  538 ","  544 ","  120 ","  33 ","- ","- ","  236 ","Divina Pastora"," 1 781 ","  274 ","  282 ","  69 ","  8 ","- ","- ","- "," 1 148 ",2802007
"Estância"," 53 518 "," 7 865 "," 13 343 "," 7 941 "," 3 150 ","  795 ","  296 ","  95 "," 20 034 ","Estância"," 28 537 "," 4 272 "," 8 887 "," 6 935 "," 2 674 ","  683 ","  279 ","  95 "," 4 712 ","Estância"," 24 980 "," 3 593 "," 4 456 "," 1 005 ","  475 ","  112 ","  17 ","- "," 15 322 ",2802106
"Feira Nova"," 4 367 ","  769 "," 1 214 ","  320 ","  117 ","  33 ","  2 ","- "," 1 914 ","Feira Nova"," 1 899 ","  336 ","  756 ","  240 ","  105 ","  23 ","  2 ","- ","  438 ","Feira Nova"," 2 468 ","  433 ","  458 ","  80 ","  12 ","  10 ","- ","- "," 1 475 ",2802205
"Frei Paulo"," 11 654 "," 1 479 "," 3 975 "," 1 566 ","  506 ","  159 ","  40 ","  8 "," 3 922 ","Frei Paulo"," 6 473 ","  992 "," 2 740 "," 1 407 ","  459 ","  138 ","  40 ","  8 ","  689 ","Frei Paulo"," 5 181 ","  487 "," 1 235 ","  159 ","  46 ","  21 ","- ","- "," 3 233 ",2802304
"Gararu"," 9 244 "," 2 243 "," 1 881 ","  529 ","  225 ","  105 ","  15 ","  10 "," 4 235 ","Gararu"," 3 877 "," 1 312 ","  949 ","  413 ","  205 ","  105 ","  15 ","  10 ","  867 ","Gararu"," 5 366 ","  932 ","  931 ","  115 ","  20 ","- ","- ","- "," 3 368 ",2802403
