"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.16.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Bahia - 2010",,,,,,,,,,"Tabela 4.16.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Bahia - 2010",,,,,,,,,,"Tabela 4.16.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Bahia - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total","11 764 109 ","1 831 647 ","2 953 448 ","1 560 217 "," 771 120 "," 252 050 "," 94 772 "," 45 378 ","4 255 479 ","Total","6 555 397 ","1 153 131 ","2 014 002 ","1 367 401 "," 667 531 "," 220 003 "," 85 228 "," 41 446 ","1 006 655 ","Total","5 208 712 "," 678 516 "," 939 445 "," 192 816 "," 103 588 "," 32 048 "," 9 543 "," 3 932 ","3 248 824 ",29
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Centro Norte Baiano","1 854 602 "," 350 298 "," 484 537 "," 222 759 "," 90 929 "," 25 570 "," 7 027 "," 3 198 "," 670 282 ","Centro Norte Baiano","1 027 271 "," 231 815 "," 322 176 "," 191 233 "," 80 042 "," 23 159 "," 6 496 "," 3 040 "," 169 309 ","Centro Norte Baiano"," 827 331 "," 118 484 "," 162 361 "," 31 526 "," 10 888 "," 2 411 ","  531 ","  158 "," 500 973 ",2903
"Centro Sul Baiano","2 081 652 "," 391 794 "," 601 772 "," 224 883 "," 87 181 "," 22 092 "," 6 682 "," 2 812 "," 744 435 ","Centro Sul Baiano","1 111 128 "," 254 803 "," 385 721 "," 191 975 "," 77 317 "," 20 365 "," 6 306 "," 2 729 "," 171 911 ","Centro Sul Baiano"," 970 524 "," 136 991 "," 216 051 "," 32 908 "," 9 864 "," 1 727 ","  376 ","  83 "," 572 524 ",2906
"Extremo Oeste Baiano"," 477 921 "," 74 131 "," 113 553 "," 61 094 "," 27 761 "," 8 063 "," 2 711 ","  985 "," 189 622 ","Extremo Oeste Baiano"," 248 889 "," 40 810 "," 72 170 "," 53 932 "," 26 016 "," 7 509 "," 2 554 ","  968 "," 44 930 ","Extremo Oeste Baiano"," 229 031 "," 33 321 "," 41 383 "," 7 163 "," 1 745 ","  554 ","  157 ","  17 "," 144 692 ",2901
"Metropolitana de Salvador","3 622 928 "," 337 226 "," 785 861 "," 625 165 "," 378 932 "," 145 939 "," 63 555 "," 31 907 ","1 254 343 ","Metropolitana de Salvador","2 178 300 "," 210 491 "," 593 985 "," 557 796 "," 320 962 "," 124 416 "," 56 312 "," 28 581 "," 285 756 ","Metropolitana de Salvador","1 444 628 "," 126 736 "," 191 876 "," 67 369 "," 57 970 "," 21 523 "," 7 242 "," 3 326 "," 968 587 ",2905
"Nordeste Baiano","1 282 190 "," 280 592 "," 328 756 "," 119 650 "," 45 162 "," 11 311 "," 3 020 ","  990 "," 492 709 ","Nordeste Baiano"," 684 836 "," 189 078 "," 204 518 "," 100 036 "," 38 680 "," 9 713 "," 2 756 ","  963 "," 139 092 ","Nordeste Baiano"," 597 354 "," 91 514 "," 124 238 "," 19 614 "," 6 482 "," 1 598 ","  264 ","  28 "," 353 617 ",2904
"Sul Baiano","1 660 519 "," 256 241 "," 451 692 "," 220 489 "," 106 194 "," 29 683 "," 9 007 "," 4 162 "," 583 052 ","Sul Baiano"," 906 120 "," 142 742 "," 314 906 "," 198 799 "," 94 563 "," 26 519 "," 8 226 "," 3 928 "," 116 438 ","Sul Baiano"," 754 400 "," 113 500 "," 136 786 "," 21 691 "," 11 631 "," 3 164 ","  780 ","  235 "," 466 614 ",2907
"Vale São-Franciscano da Bahia"," 784 298 "," 141 363 "," 187 277 "," 86 176 "," 34 961 "," 9 393 "," 2 770 "," 1 322 "," 321 036 ","Vale São-Franciscano da Bahia"," 398 854 "," 83 392 "," 120 526 "," 73 629 "," 29 952 "," 8 321 "," 2 578 "," 1 236 "," 79 219 ","Vale São-Franciscano da Bahia"," 385 444 "," 57 971 "," 66 751 "," 12 546 "," 5 009 "," 1 071 ","  193 ","  86 "," 241 817 ",2902
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Alagoinhas"," 257 718 "," 46 039 "," 63 733 "," 28 736 "," 15 080 "," 4 290 "," 1 102 ","  347 "," 98 390 ","Alagoinhas"," 141 849 "," 30 999 "," 43 317 "," 24 737 "," 12 298 "," 3 522 ","  979 ","  343 "," 25 655 ","Alagoinhas"," 115 869 "," 15 040 "," 20 416 "," 4 000 "," 2 782 ","  768 ","  123 ","  5 "," 72 735 ",29017
"Barra"," 137 931 "," 29 170 "," 30 297 "," 11 852 "," 3 925 ","  958 ","  239 ","  69 "," 61 422 ","Barra"," 69 887 "," 18 451 "," 18 205 "," 9 665 "," 3 513 ","  851 ","  228 ","  69 "," 18 906 ","Barra"," 68 044 "," 10 719 "," 12 091 "," 2 187 ","  412 ","  107 ","  11 ","- "," 42 516 ",29006
"Barreiras"," 234 088 "," 25 752 "," 51 465 "," 39 393 "," 20 407 "," 6 348 "," 2 212 ","  780 "," 87 730 ","Barreiras"," 131 833 "," 12 044 "," 37 914 "," 36 454 "," 19 335 "," 5 933 "," 2 082 ","  763 "," 17 308 ","Barreiras"," 102 254 "," 13 709 "," 13 551 "," 2 939 "," 1 072 ","  415 ","  130 ","  17 "," 70 423 ",29001
"Bom Jesus da Lapa"," 138 671 "," 27 490 "," 33 881 "," 11 720 "," 4 108 "," 1 097 ","  263 ","  137 "," 59 974 ","Bom Jesus da Lapa"," 66 891 "," 16 350 "," 20 520 "," 10 077 "," 3 672 "," 1 002 ","  238 ","  137 "," 14 896 ","Bom Jesus da Lapa"," 71 780 "," 11 140 "," 13 362 "," 1 643 ","  435 ","  95 ","  26 ","- "," 45 078 ",29007
"Boquira"," 157 858 "," 33 570 "," 40 795 "," 13 581 "," 3 895 ","  704 ","  261 ","  83 "," 64 970 ","Boquira"," 75 547 "," 20 656 "," 21 131 "," 10 441 "," 3 294 ","  654 ","  238 ","  83 "," 19 049 ","Boquira"," 82 311 "," 12 913 "," 19 664 "," 3 140 ","  600 ","  50 ","  22 ","- "," 45 921 ",29022
"Brumado"," 201 592 "," 39 927 "," 57 541 "," 21 158 "," 6 858 "," 1 360 ","  450 ","  76 "," 74 222 ","Brumado"," 103 011 "," 25 957 "," 33 802 "," 17 007 "," 5 789 "," 1 235 ","  423 ","  76 "," 18 723 ","Brumado"," 98 581 "," 13 970 "," 23 739 "," 4 151 "," 1 070 ","  125 ","  27 ","- "," 55 499 ",29027
"Catu"," 178 406 "," 21 525 "," 40 450 "," 24 804 "," 13 481 "," 2 877 ","  673 ","  242 "," 74 354 ","Catu"," 92 287 "," 11 458 "," 28 137 "," 21 824 "," 11 525 "," 2 592 ","  636 ","  242 "," 15 872 ","Catu"," 86 120 "," 10 067 "," 12 313 "," 2 980 "," 1 956 ","  285 ","  37 ","- "," 58 483 ",29019
"Cotegipe"," 95 144 "," 19 903 "," 22 705 "," 7 854 "," 2 181 ","  440 ","  180 ","  93 "," 41 789 ","Cotegipe"," 44 496 "," 11 842 "," 12 168 "," 6 132 "," 1 994 ","  403 ","  167 ","  93 "," 11 697 ","Cotegipe"," 50 648 "," 8 061 "," 10 537 "," 1 723 ","  187 ","  37 ","  12 ","- "," 30 092 ",29002
"Entre Rios"," 93 164 "," 17 594 "," 21 339 "," 8 170 "," 3 322 ","  728 ","  343 ","  155 "," 41 514 ","Entre Rios"," 44 346 "," 10 259 "," 14 042 "," 7 270 "," 2 860 ","  607 ","  298 ","  155 "," 8 856 ","Entre Rios"," 48 818 "," 7 335 "," 7 297 ","  900 ","  463 ","  121 ","  45 ","- "," 32 658 ",29018
"Euclides da Cunha"," 246 218 "," 61 591 "," 60 849 "," 18 715 "," 6 034 "," 1 240 ","  342 ","  131 "," 97 317 ","Euclides da Cunha"," 127 265 "," 41 196 "," 33 566 "," 15 208 "," 5 260 "," 1 097 ","  332 ","  121 "," 30 486 ","Euclides da Cunha"," 118 953 "," 20 395 "," 27 282 "," 3 507 ","  774 ","  143 ","  10 ","  10 "," 66 832 ",29014
"Feira de Santana"," 834 178 "," 117 195 "," 221 770 "," 122 212 "," 55 799 "," 16 688 "," 4 778 "," 2 130 "," 293 606 ","Feira de Santana"," 491 862 "," 75 503 "," 158 318 "," 108 838 "," 49 537 "," 15 132 "," 4 372 "," 2 016 "," 78 147 ","Feira de Santana"," 342 316 "," 41 693 "," 63 453 "," 13 374 "," 6 262 "," 1 556 ","  406 ","  114 "," 215 459 ",29012
"Guanambi"," 315 178 "," 64 797 "," 91 275 "," 34 929 "," 12 508 "," 3 086 ","  920 ","  476 "," 107 187 ","Guanambi"," 175 272 "," 43 623 "," 59 068 "," 29 991 "," 11 436 "," 2 889 ","  916 ","  460 "," 26 888 ","Guanambi"," 139 906 "," 21 174 "," 32 207 "," 4 937 "," 1 072 ","  197 ","  4 ","  16 "," 80 299 ",29026
"Ilhéus-Itabuna"," 850 210 "," 132 147 "," 236 207 "," 106 174 "," 52 038 "," 14 881 "," 4 569 "," 2 057 "," 302 138 ","Ilhéus-Itabuna"," 441 514 "," 67 043 "," 160 081 "," 93 165 "," 44 088 "," 12 847 "," 4 038 "," 1 910 "," 58 342 ","Ilhéus-Itabuna"," 408 696 "," 65 103 "," 76 126 "," 13 009 "," 7 950 "," 2 034 ","  531 ","  147 "," 243 796 ",29031
"Irecê"," 306 498 "," 74 975 "," 77 012 "," 30 915 "," 9 846 "," 2 259 ","  695 ","  380 "," 110 417 ","Irecê"," 159 405 "," 51 392 "," 46 519 "," 24 986 "," 8 983 "," 2 166 ","  683 ","  376 "," 24 301 ","Irecê"," 147 093 "," 23 582 "," 30 493 "," 5 929 ","  863 ","  93 ","  13 ","  4 "," 86 116 ",29009
"Itaberaba"," 205 813 "," 41 521 "," 57 791 "," 18 852 "," 6 105 "," 1 630 ","  370 ","  238 "," 79 306 ","Itaberaba"," 105 914 "," 25 865 "," 37 173 "," 15 791 "," 5 319 "," 1 401 ","  320 ","  214 "," 19 832 ","Itaberaba"," 99 899 "," 15 655 "," 20 619 "," 3 060 ","  786 ","  230 ","  51 ","  24 "," 59 474 ",29011
"Itapetinga"," 164 693 "," 22 971 "," 55 981 "," 21 305 "," 7 859 "," 1 823 ","  456 ","  282 "," 54 017 ","Itapetinga"," 89 345 "," 12 600 "," 38 956 "," 19 460 "," 7 148 "," 1 753 ","  426 ","  282 "," 8 721 ","Itapetinga"," 75 348 "," 10 371 "," 17 025 "," 1 845 ","  711 ","  70 ","  31 ","- "," 45 296 ",29029
"Jacobina"," 270 767 "," 62 280 "," 73 172 "," 28 249 "," 9 305 "," 2 611 ","  520 ","  160 "," 94 471 ","Jacobina"," 149 415 "," 42 747 "," 46 733 "," 23 230 "," 7 902 "," 2 313 ","  507 ","  157 "," 25 827 ","Jacobina"," 121 352 "," 19 534 "," 26 439 "," 5 019 "," 1 402 ","  298 ","  13 ","  4 "," 68 644 ",29010
"Jequié"," 425 382 "," 83 810 "," 125 707 "," 41 849 "," 17 383 "," 4 906 "," 1 293 ","  577 "," 149 855 ","Jequié"," 228 977 "," 56 728 "," 81 912 "," 35 784 "," 15 284 "," 4 501 "," 1 224 ","  535 "," 33 010 ","Jequié"," 196 405 "," 27 082 "," 43 796 "," 6 065 "," 2 099 ","  405 ","  69 ","  43 "," 116 845 ",29024
"Jeremoabo"," 81 212 "," 21 687 "," 19 128 "," 7 771 "," 1 891 ","  525 ","  73 ","  23 "," 30 115 ","Jeremoabo"," 44 755 "," 14 671 "," 11 369 "," 6 346 "," 1 702 ","  484 ","  73 ","  23 "," 10 087 ","Jeremoabo"," 36 457 "," 7 016 "," 7 760 "," 1 424 ","  189 ","  41 ","- ","- "," 20 028 ",29013
"Juazeiro"," 369 053 "," 63 945 "," 90 874 "," 44 983 "," 17 391 "," 4 538 "," 1 356 ","  751 "," 145 215 ","Juazeiro"," 192 228 "," 37 051 "," 61 056 "," 38 969 "," 15 307 "," 4 120 "," 1 289 ","  697 "," 33 738 ","Juazeiro"," 176 825 "," 26 894 "," 29 817 "," 6 014 "," 2 084 ","  418 ","  67 ","  53 "," 111 478 ",29004
"Livramento do Brumado"," 83 792 "," 15 721 "," 23 918 "," 8 392 "," 2 715 ","  592 ","  138 ","  90 "," 32 225 ","Livramento do Brumado"," 42 221 "," 10 360 "," 14 073 "," 6 858 "," 2 319 ","  538 ","  138 ","  90 "," 7 846 ","Livramento do Brumado"," 41 571 "," 5 361 "," 9 846 "," 1 535 ","  396 ","  54 ","- ","- "," 24 380 ",29025
"Paulo Afonso"," 138 644 "," 20 759 "," 32 225 "," 17 620 "," 9 537 "," 2 800 ","  912 ","  366 "," 54 425 ","Paulo Afonso"," 69 848 "," 11 541 "," 20 745 "," 14 918 "," 7 460 "," 2 348 ","  824 ","  333 "," 11 680 ","Paulo Afonso"," 68 796 "," 9 218 "," 11 481 "," 2 702 "," 2 077 ","  451 ","  89 ","  33 "," 42 745 ",29005
"Porto Seguro"," 596 001 "," 77 851 "," 157 727 "," 91 096 "," 44 770 "," 12 595 "," 3 888 "," 1 859 "," 206 214 ","Porto Seguro"," 341 888 "," 43 129 "," 113 199 "," 84 653 "," 42 027 "," 11 780 "," 3 679 "," 1 802 "," 41 620 ","Porto Seguro"," 254 113 "," 34 722 "," 44 529 "," 6 443 "," 2 744 ","  815 ","  209 ","  58 "," 164 595 ",29032
"Ribeira do Pombal"," 257 817 "," 58 191 "," 64 913 "," 22 494 "," 6 634 "," 1 726 ","  425 ","  136 "," 103 298 ","Ribeira do Pombal"," 129 742 "," 39 324 "," 36 531 "," 17 747 "," 5 842 "," 1 461 ","  367 ","  133 "," 28 337 ","Ribeira do Pombal"," 128 075 "," 18 867 "," 28 382 "," 4 747 ","  792 ","  265 ","  57 ","  4 "," 74 961 ",29015
"Salvador","2 986 678 "," 233 207 "," 619 745 "," 548 281 "," 343 343 "," 137 114 "," 61 111 "," 30 907 ","1 012 970 ","Salvador","1 830 231 "," 139 232 "," 483 255 "," 493 307 "," 291 576 "," 116 709 "," 54 155 "," 27 678 "," 224 319 ","Salvador","1 156 447 "," 93 975 "," 136 489 "," 54 973 "," 51 768 "," 20 405 "," 6 956 "," 3 229 "," 788 651 ",29021
"Santa Maria da Vitória"," 148 689 "," 28 476 "," 39 383 "," 13 847 "," 5 173 "," 1 275 ","  319 ","  113 "," 60 103 ","Santa Maria da Vitória"," 72 560 "," 16 924 "," 22 088 "," 11 346 "," 4 687 "," 1 173 ","  305 ","  113 "," 15 925 ","Santa Maria da Vitória"," 76 128 "," 11 552 "," 17 295 "," 2 501 ","  486 ","  102 ","  15 ","- "," 44 178 ",29003
"Santo Antônio de Jesus"," 457 844 "," 82 494 "," 125 667 "," 52 081 "," 22 108 "," 5 948 "," 1 771 ","  758 "," 167 018 ","Santo Antônio de Jesus"," 255 782 "," 59 801 "," 82 593 "," 42 665 "," 17 862 "," 5 115 "," 1 522 ","  661 "," 45 565 ","Santo Antônio de Jesus"," 202 061 "," 22 694 "," 43 074 "," 9 416 "," 4 246 ","  833 ","  249 ","  97 "," 121 454 ",29020
"Seabra"," 209 786 "," 44 093 "," 55 615 "," 20 730 "," 6 755 "," 1 772 ","  373 ","  213 "," 80 236 ","Seabra"," 112 907 "," 31 109 "," 35 656 "," 17 030 "," 5 949 "," 1 641 ","  352 ","  206 "," 20 962 ","Seabra"," 96 880 "," 12 984 "," 19 958 "," 3 700 ","  806 ","  131 ","  21 ","  6 "," 59 273 ",29023
