"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.17.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Minas Gerais - 2010",,,,,,,,,,"Tabela 4.17.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Minas Gerais - 2010",,,,,,,,,,"Tabela 4.17.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Minas Gerais - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total","16 890 981 ","1 255 728 ","4 067 927 ","3 556 579 ","2 019 921 "," 604 624 "," 216 283 "," 106 011 ","5 063 908 ","Total","9 939 731 "," 712 821 ","2 707 394 ","3 141 546 ","1 747 596 "," 516 917 "," 187 699 "," 94 108 "," 831 650 ","Total","6 951 251 "," 542 907 ","1 360 533 "," 415 034 "," 272 325 "," 87 706 "," 28 584 "," 11 903 ","4 232 258 ",31
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Campo das Vertentes"," 483 907 "," 38 287 "," 132 609 "," 92 299 "," 51 356 "," 14 956 "," 5 564 "," 2 146 "," 146 689 ","Campo das Vertentes"," 265 258 "," 21 170 "," 86 104 "," 77 260 "," 41 017 "," 11 271 "," 4 419 "," 1 848 "," 22 169 ","Campo das Vertentes"," 218 650 "," 17 117 "," 46 506 "," 15 039 "," 10 340 "," 3 685 "," 1 145 ","  297 "," 124 520 ",3111
"Central Mineira"," 355 315 "," 28 194 "," 101 722 "," 75 076 "," 35 096 "," 9 017 "," 2 657 "," 1 344 "," 102 210 ","Central Mineira"," 208 168 "," 15 754 "," 68 176 "," 66 790 "," 30 895 "," 7 572 "," 2 175 "," 1 091 "," 15 715 ","Central Mineira"," 147 147 "," 12 440 "," 33 546 "," 8 286 "," 4 200 "," 1 445 ","  481 ","  253 "," 86 495 ",3106
"Jequitinhonha"," 584 171 "," 92 921 "," 167 367 "," 73 003 "," 27 252 "," 6 595 "," 1 877 ","  643 "," 214 512 ","Jequitinhonha"," 312 783 "," 61 271 "," 107 823 "," 60 891 "," 24 485 "," 5 622 "," 1 742 ","  579 "," 50 368 ","Jequitinhonha"," 271 389 "," 31 650 "," 59 544 "," 12 111 "," 2 767 ","  973 ","  135 ","  64 "," 164 144 ",3103
"Metropolitana de Belo Horizonte","5 402 775 "," 262 862 ","1 068 684 ","1 233 265 "," 799 706 "," 270 908 "," 110 275 "," 59 596 ","1 597 479 ","Metropolitana de Belo Horizonte","3 294 370 "," 134 615 "," 746 097 ","1 100 257 "," 689 946 "," 232 806 "," 95 990 "," 52 857 "," 241 803 ","Metropolitana de Belo Horizonte","2 108 406 "," 128 247 "," 322 587 "," 133 008 "," 109 761 "," 38 102 "," 14 285 "," 6 739 ","1 355 676 ",3107
"Noroeste de Minas"," 308 885 "," 30 117 "," 79 330 "," 60 927 "," 31 393 "," 7 738 "," 2 381 "," 1 039 "," 95 960 ","Noroeste de Minas"," 185 067 "," 17 788 "," 53 445 "," 55 892 "," 29 370 "," 6 926 "," 2 172 ","  987 "," 18 487 ","Noroeste de Minas"," 123 818 "," 12 329 "," 25 885 "," 5 035 "," 2 024 ","  812 ","  208 ","  52 "," 77 473 ",3101
"Norte de Minas","1 348 229 "," 190 378 "," 372 538 "," 189 529 "," 78 845 "," 20 488 "," 6 503 "," 2 810 "," 487 139 ","Norte de Minas"," 749 687 "," 123 643 "," 251 671 "," 165 070 "," 69 913 "," 17 991 "," 5 974 "," 2 626 "," 112 799 ","Norte de Minas"," 598 542 "," 66 734 "," 120 867 "," 24 459 "," 8 932 "," 2 496 ","  529 ","  183 "," 374 340 ",3102
"Oeste de Minas"," 832 602 "," 45 935 "," 216 862 "," 214 824 "," 106 575 "," 25 115 "," 7 016 "," 3 193 "," 213 082 ","Oeste de Minas"," 516 622 "," 24 876 "," 145 268 "," 193 157 "," 94 978 "," 22 347 "," 6 351 "," 2 951 "," 26 694 ","Oeste de Minas"," 315 980 "," 21 060 "," 71 594 "," 21 667 "," 11 596 "," 2 767 ","  665 ","  243 "," 186 388 ",3109
"Sul/Sudoeste de Minas","2 117 074 "," 138 144 "," 557 145 "," 497 372 "," 252 728 "," 66 720 "," 20 851 "," 9 029 "," 575 085 ","Sul/Sudoeste de Minas","1 279 453 "," 72 533 "," 378 498 "," 445 405 "," 218 438 "," 56 889 "," 17 893 "," 7 959 "," 81 838 ","Sul/Sudoeste de Minas"," 837 621 "," 65 611 "," 178 647 "," 51 967 "," 34 291 "," 9 830 "," 2 958 "," 1 070 "," 493 247 ",3110
"Triângulo Mineiro/Alto Paranaíba","1 861 234 "," 93 407 "," 390 830 "," 462 448 "," 295 285 "," 78 967 "," 25 286 "," 12 114 "," 502 898 ","Triângulo Mineiro/Alto Paranaíba","1 156 439 "," 46 874 "," 248 652 "," 418 913 "," 266 802 "," 70 772 "," 22 846 "," 11 009 "," 70 572 ","Triângulo Mineiro/Alto Paranaíba"," 704 795 "," 46 533 "," 142 178 "," 43 535 "," 28 484 "," 8 195 "," 2 440 "," 1 105 "," 432 326 ",3105
"Vale do Mucuri"," 323 850 "," 40 506 "," 93 388 "," 43 378 "," 19 476 "," 5 747 "," 1 729 ","  782 "," 118 844 ","Vale do Mucuri"," 168 095 "," 25 009 "," 58 873 "," 36 626 "," 17 286 "," 4 989 "," 1 504 ","  736 "," 23 074 ","Vale do Mucuri"," 155 755 "," 15 497 "," 34 515 "," 6 753 "," 2 191 ","  759 ","  225 ","  46 "," 95 770 ",3104
"Vale do Rio Doce","1 384 231 "," 133 160 "," 358 354 "," 242 756 "," 131 745 "," 37 776 "," 10 149 "," 4 397 "," 465 893 ","Vale do Rio Doce"," 739 706 "," 74 595 "," 222 424 "," 208 027 "," 108 504 "," 31 404 "," 9 004 "," 4 044 "," 81 704 ","Vale do Rio Doce"," 644 524 "," 58 565 "," 135 930 "," 34 729 "," 23 241 "," 6 372 "," 1 145 ","  353 "," 384 189 ",3108
"Zona da Mata","1 888 708 "," 161 817 "," 529 099 "," 371 701 "," 190 463 "," 60 598 "," 21 995 "," 8 918 "," 544 117 ","Zona da Mata","1 064 084 "," 94 694 "," 340 363 "," 313 258 "," 155 964 "," 48 328 "," 17 628 "," 7 421 "," 86 428 ","Zona da Mata"," 824 624 "," 67 124 "," 188 736 "," 58 443 "," 34 499 "," 12 269 "," 4 367 "," 1 497 "," 457 689 ",3112
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Aimorés"," 128 293 "," 15 909 "," 40 405 "," 19 010 "," 8 352 "," 2 376 ","  492 ","  233 "," 41 516 ","Aimorés"," 66 476 "," 9 132 "," 23 672 "," 16 118 "," 7 279 "," 1 917 ","  475 ","  211 "," 7 672 ","Aimorés"," 61 818 "," 6 777 "," 16 733 "," 2 892 "," 1 073 ","  458 ","  18 ","  23 "," 33 844 ",31041
"Alfenas"," 194 909 "," 12 912 "," 54 058 "," 45 169 "," 21 813 "," 5 483 "," 2 042 ","  783 "," 52 647 ","Alfenas"," 118 213 "," 6 718 "," 36 402 "," 40 669 "," 19 037 "," 4 740 "," 1 832 ","  737 "," 8 077 ","Alfenas"," 76 696 "," 6 194 "," 17 655 "," 4 500 "," 2 777 ","  743 ","  211 ","  46 "," 44 570 ",31049
"Almenara"," 150 644 "," 26 542 "," 46 893 "," 15 881 "," 6 490 "," 1 564 ","  342 ","  150 "," 52 782 ","Almenara"," 80 465 "," 17 509 "," 29 044 "," 13 448 "," 5 880 "," 1 359 ","  311 ","  127 "," 12 788 ","Almenara"," 70 179 "," 9 034 "," 17 850 "," 2 433 ","  609 ","  205 ","  31 ","  23 "," 39 994 ",31014
"Andrelândia"," 64 694 "," 7 316 "," 19 957 "," 10 852 "," 4 881 "," 1 180 ","  294 ","  155 "," 20 060 ","Andrelândia"," 35 671 "," 4 165 "," 13 642 "," 9 093 "," 3 938 ","  957 ","  272 ","  128 "," 3 478 ","Andrelândia"," 29 023 "," 3 151 "," 6 315 "," 1 760 ","  943 ","  223 ","  22 ","  27 "," 16 582 ",31055
"Araçuaí"," 129 290 "," 22 099 "," 34 539 "," 14 202 "," 5 228 ","  915 ","  227 ","  110 "," 51 971 ","Araçuaí"," 65 063 "," 14 538 "," 20 602 "," 11 414 "," 4 682 ","  779 ","  192 ","  110 "," 12 746 ","Araçuaí"," 64 227 "," 7 560 "," 13 937 "," 2 789 ","  546 ","  136 ","  34 ","- "," 39 224 ",31012
"Araxá"," 176 502 "," 8 189 "," 38 632 "," 43 624 "," 28 261 "," 6 282 "," 2 095 ","  912 "," 48 507 ","Araxá"," 110 181 "," 3 783 "," 25 668 "," 40 001 "," 25 642 "," 5 741 "," 1 961 ","  826 "," 6 559 ","Araxá"," 66 321 "," 4 406 "," 12 964 "," 3 622 "," 2 619 ","  542 ","  134 ","  86 "," 41 948 ",31023
"Barbacena"," 193 663 "," 17 318 "," 51 598 "," 32 819 "," 19 419 "," 5 945 "," 1 931 ","  837 "," 63 795 ","Barbacena"," 103 595 "," 9 762 "," 33 314 "," 26 949 "," 15 157 "," 4 373 "," 1 483 ","  714 "," 11 843 ","Barbacena"," 90 068 "," 7 556 "," 18 284 "," 5 871 "," 4 262 "," 1 572 ","  448 ","  123 "," 51 952 ",31059
"Belo Horizonte","4 139 138 "," 171 337 "," 755 930 "," 974 726 "," 644 737 "," 233 965 "," 99 501 "," 55 055 ","1 203 887 ","Belo Horizonte","2 564 629 "," 81 681 "," 533 740 "," 876 727 "," 560 870 "," 201 345 "," 86 418 "," 48 690 "," 175 158 ","Belo Horizonte","1 574 509 "," 89 656 "," 222 191 "," 97 999 "," 83 867 "," 32 620 "," 13 083 "," 6 365 ","1 028 729 ",31030
"Bocaiúva"," 57 570 "," 7 341 "," 16 961 "," 9 443 "," 3 347 ","  725 ","  254 ","  116 "," 19 384 ","Bocaiúva"," 33 464 "," 4 392 "," 12 426 "," 8 162 "," 2 978 ","  637 ","  237 ","  109 "," 4 523 ","Bocaiúva"," 24 105 "," 2 949 "," 4 535 "," 1 281 ","  369 ","  88 ","  17 ","  7 "," 14 861 ",31009
"Bom Despacho"," 142 794 "," 9 360 "," 37 541 "," 34 894 "," 17 850 "," 4 636 "," 1 434 ","  549 "," 36 531 ","Bom Despacho"," 88 322 "," 5 030 "," 25 134 "," 31 333 "," 16 070 "," 3 818 "," 1 200 ","  440 "," 5 297 ","Bom Despacho"," 54 472 "," 4 329 "," 12 407 "," 3 560 "," 1 780 ","  818 ","  234 ","  109 "," 31 235 ",31026
"Campo Belo"," 97 845 "," 7 796 "," 31 526 "," 20 907 "," 8 971 "," 2 484 ","  716 ","  270 "," 25 175 ","Campo Belo"," 57 317 "," 4 012 "," 20 941 "," 18 029 "," 7 686 "," 2 163 ","  610 ","  232 "," 3 645 ","Campo Belo"," 40 528 "," 3 784 "," 10 586 "," 2 878 "," 1 285 ","  320 ","  106 ","  38 "," 21 530 ",31045
"Capelinha"," 164 064 "," 25 167 "," 45 461 "," 25 381 "," 7 777 "," 1 716 ","  547 ","  190 "," 57 825 ","Capelinha"," 94 527 "," 17 347 "," 32 121 "," 21 370 "," 7 196 "," 1 578 ","  510 ","  190 "," 14 215 ","Capelinha"," 69 538 "," 7 820 "," 13 340 "," 4 011 ","  581 ","  138 ","  38 ","- "," 43 610 ",31011
"Caratinga"," 215 906 "," 24 871 "," 67 064 "," 32 894 "," 14 742 "," 3 526 ","  914 ","  403 "," 71 492 ","Caratinga"," 110 246 "," 14 326 "," 39 207 "," 27 049 "," 12 499 "," 3 001 ","  799 ","  376 "," 12 989 ","Caratinga"," 105 659 "," 10 545 "," 27 857 "," 5 845 "," 2 243 ","  525 ","  115 ","  26 "," 58 503 ",31040
"Cataguases"," 189 879 "," 13 884 "," 55 775 "," 37 474 "," 19 771 "," 5 279 "," 1 589 ","  609 "," 55 498 ","Cataguases"," 101 497 "," 7 117 "," 35 090 "," 30 668 "," 15 388 "," 4 286 "," 1 257 ","  530 "," 7 162 ","Cataguases"," 88 382 "," 6 767 "," 20 685 "," 6 807 "," 4 383 ","  993 ","  333 ","  79 "," 48 336 ",31066
"Conceição do Mato Dentro"," 70 520 "," 11 009 "," 21 273 "," 7 720 "," 2 825 ","  797 ","  213 ","  170 "," 26 513 ","Conceição do Mato Dentro"," 35 801 "," 7 532 "," 13 039 "," 6 317 "," 2 454 ","  714 ","  205 ","  161 "," 5 379 ","Conceição do Mato Dentro"," 34 719 "," 3 477 "," 8 234 "," 1 403 ","  371 ","  83 ","  8 ","  9 "," 21 133 ",31028
"Conselheiro Lafaiete"," 214 837 "," 12 547 "," 47 268 "," 42 184 "," 32 562 "," 7 506 "," 2 166 "," 1 042 "," 69 562 ","Conselheiro Lafaiete"," 120 457 "," 7 008 "," 31 917 "," 35 558 "," 26 297 "," 6 473 "," 1 900 ","  975 "," 10 330 ","Conselheiro Lafaiete"," 94 380 "," 5 539 "," 15 352 "," 6 626 "," 6 265 "," 1 032 ","  266 ","  67 "," 59 232 ",31034
"Curvelo"," 129 243 "," 11 814 "," 40 969 "," 22 423 "," 9 245 "," 2 458 ","  715 ","  367 "," 41 253 ","Curvelo"," 70 817 "," 6 801 "," 27 431 "," 19 392 "," 7 626 "," 2 050 ","  529 ","  280 "," 6 707 ","Curvelo"," 58 426 "," 5 013 "," 13 538 "," 3 030 "," 1 619 ","  408 ","  186 ","  86 "," 34 547 ",31025
"Diamantina"," 70 675 "," 7 889 "," 21 449 "," 9 863 "," 4 591 "," 1 452 ","  603 ","  130 "," 24 698 ","Diamantina"," 39 126 "," 5 288 "," 14 664 "," 8 297 "," 3 875 "," 1 113 ","  571 ","  97 "," 5 221 ","Diamantina"," 31 549 "," 2 601 "," 6 785 "," 1 566 ","  716 ","  339 ","  32 ","  32 "," 19 477 ",31010
"Divinópolis"," 418 849 "," 16 580 "," 89 645 "," 124 239 "," 63 828 "," 14 533 "," 4 190 "," 1 926 "," 103 908 ","Divinópolis"," 274 542 "," 8 958 "," 62 353 "," 114 127 "," 57 653 "," 13 091 "," 3 855 "," 1 813 "," 12 692 ","Divinópolis"," 144 307 "," 7 622 "," 27 291 "," 10 112 "," 6 175 "," 1 442 ","  335 ","  113 "," 91 216 ",31043
"Formiga"," 134 243 "," 7 907 "," 37 688 "," 31 015 "," 15 980 "," 3 843 ","  966 ","  493 "," 36 352 ","Formiga"," 78 102 "," 4 559 "," 23 413 "," 27 128 "," 14 003 "," 3 388 ","  870 ","  452 "," 4 290 ","Formiga"," 56 141 "," 3 348 "," 14 276 "," 3 887 "," 1 977 ","  455 ","  96 ","  41 "," 32 062 ",31044
"Frutal"," 155 516 "," 9 959 "," 34 847 "," 35 542 "," 22 984 "," 4 979 "," 1 293 ","  474 "," 45 438 ","Frutal"," 93 507 "," 5 556 "," 21 377 "," 32 338 "," 21 541 "," 4 620 "," 1 214 ","  417 "," 6 444 ","Frutal"," 62 009 "," 4 403 "," 13 470 "," 3 204 "," 1 443 ","  359 ","  79 ","  57 "," 38 994 ",31021
"Governador Valadares"," 353 721 "," 32 207 "," 90 658 "," 65 761 "," 31 979 "," 9 609 "," 2 781 "," 1 142 "," 119 584 ","Governador Valadares"," 190 230 "," 17 408 "," 57 094 "," 57 619 "," 26 942 "," 7 810 "," 2 394 "," 1 003 "," 19 958 ","Governador Valadares"," 163 491 "," 14 799 "," 33 564 "," 8 142 "," 5 037 "," 1 799 ","  386 ","  139 "," 99 626 ",31037
