"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.18.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Espírito Santo - 2010",,,,,,,,,,"Tabela 4.18.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Espírito Santo - 2010",,,,,,,,,,"Tabela 4.18.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Espírito Santo - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total","3 005 851 "," 213 803 "," 613 246 "," 666 493 "," 399 794 "," 134 725 "," 47 950 "," 21 043 "," 908 797 ","Total","1 827 434 "," 125 519 "," 418 070 "," 597 838 "," 348 892 "," 115 299 "," 41 355 "," 18 687 "," 161 773 ","Total","1 178 416 "," 88 284 "," 195 176 "," 68 654 "," 50 902 "," 19 426 "," 6 595 "," 2 356 "," 747 024 ",32
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Central Espírito-santense","1 705 026 "," 92 533 "," 298 027 "," 391 965 "," 258 502 "," 95 664 "," 37 188 "," 16 878 "," 514 270 ","Central Espírito-santense","1 045 131 "," 52 378 "," 206 706 "," 352 026 "," 222 986 "," 80 461 "," 31 709 "," 14 818 "," 84 047 ","Central Espírito-santense"," 659 895 "," 40 154 "," 91 321 "," 39 939 "," 35 516 "," 15 203 "," 5 478 "," 2 059 "," 430 224 ",3203
"Litoral Norte Espírito-santense"," 459 927 "," 39 647 "," 100 414 "," 97 358 "," 55 326 "," 15 729 "," 4 832 "," 1 696 "," 144 923 ","Litoral Norte Espírito-santense"," 282 059 "," 21 958 "," 69 958 "," 89 663 "," 50 621 "," 14 528 "," 4 441 "," 1 649 "," 29 243 ","Litoral Norte Espírito-santense"," 177 867 "," 17 689 "," 30 456 "," 7 696 "," 4 706 "," 1 202 ","  392 ","  48 "," 115 680 ",3202
"Noroeste Espírito-santense"," 355 835 "," 37 160 "," 92 253 "," 77 568 "," 35 341 "," 9 220 "," 2 229 ","  937 "," 101 126 ","Noroeste Espírito-santense"," 216 811 "," 23 120 "," 59 775 "," 69 091 "," 32 086 "," 8 165 "," 2 029 ","  883 "," 21 663 ","Noroeste Espírito-santense"," 139 024 "," 14 040 "," 32 478 "," 8 478 "," 3 255 "," 1 055 ","  200 ","  54 "," 79 463 ",3201
"Sul Espírito-santense"," 485 063 "," 44 464 "," 122 551 "," 99 601 "," 50 625 "," 14 112 "," 3 701 "," 1 532 "," 148 477 ","Sul Espírito-santense"," 283 433 "," 28 063 "," 81 631 "," 87 059 "," 43 199 "," 12 145 "," 3 176 "," 1 338 "," 26 821 ","Sul Espírito-santense"," 201 630 "," 16 401 "," 40 921 "," 12 542 "," 7 425 "," 1 967 ","  525 ","  194 "," 121 657 ",3204
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Afonso Cláudio"," 113 387 "," 15 471 "," 32 987 "," 23 308 "," 9 966 "," 2 606 ","  747 ","  318 "," 27 984 ","Afonso Cláudio"," 76 635 "," 12 118 "," 23 966 "," 20 491 "," 9 003 "," 2 396 ","  699 ","  296 "," 7 666 ","Afonso Cláudio"," 36 752 "," 3 353 "," 9 021 "," 2 817 ","  963 ","  210 ","  47 ","  23 "," 20 317 ",32007
"Alegre"," 134 245 "," 18 092 "," 39 625 "," 23 871 "," 10 845 "," 3 344 ","  951 ","  256 "," 37 261 ","Alegre"," 81 920 "," 12 409 "," 27 213 "," 20 817 "," 9 247 "," 2 832 ","  848 ","  191 "," 8 363 ","Alegre"," 52 324 "," 5 684 "," 12 411 "," 3 054 "," 1 598 ","  512 ","  103 ","  65 "," 28 897 ",32011
"Barra de São Francisco"," 76 153 "," 10 798 "," 20 865 "," 12 290 "," 5 659 "," 1 440 ","  358 ","  75 "," 24 668 ","Barra de São Francisco"," 42 257 "," 6 643 "," 12 566 "," 10 685 "," 5 172 "," 1 216 ","  293 ","  75 "," 5 607 ","Barra de São Francisco"," 33 896 "," 4 155 "," 8 300 "," 1 605 ","  488 ","  223 ","  64 ","- "," 19 061 ",32001
"Cachoeiro de Itapemirim"," 286 890 "," 20 371 "," 66 615 "," 63 851 "," 34 854 "," 9 326 "," 2 371 "," 1 195 "," 88 306 ","Cachoeiro de Itapemirim"," 168 826 "," 13 088 "," 43 436 "," 55 729 "," 29 954 "," 8 167 "," 2 007 "," 1 075 "," 15 370 ","Cachoeiro de Itapemirim"," 118 064 "," 7 283 "," 23 179 "," 8 122 "," 4 900 "," 1 159 ","  365 ","  121 "," 72 936 ",32012
"Colatina"," 173 287 "," 14 868 "," 42 975 "," 42 391 "," 19 080 "," 5 155 "," 1 372 ","  547 "," 46 900 ","Colatina"," 105 165 "," 8 316 "," 27 474 "," 37 666 "," 17 026 "," 4 573 "," 1 264 ","  512 "," 8 334 ","Colatina"," 68 122 "," 6 551 "," 15 502 "," 4 725 "," 2 054 ","  582 ","  107 ","  35 "," 38 565 ",32003
"Guarapari"," 158 889 "," 10 929 "," 35 206 "," 35 822 "," 19 884 "," 5 994 "," 1 762 ","  825 "," 48 467 ","Guarapari"," 95 355 "," 6 288 "," 24 461 "," 32 285 "," 17 154 "," 4 867 "," 1 368 ","  581 "," 8 350 ","Guarapari"," 63 534 "," 4 641 "," 10 745 "," 3 537 "," 2 730 "," 1 127 ","  394 ","  244 "," 40 117 ",32010
"Itapemirim"," 63 928 "," 6 000 "," 16 311 "," 11 879 "," 4 925 "," 1 442 ","  379 ","  81 "," 22 910 ","Itapemirim"," 32 686 "," 2 566 "," 10 981 "," 10 513 "," 3 998 "," 1 146 ","  322 ","  72 "," 3 088 ","Itapemirim"," 31 242 "," 3 434 "," 5 330 "," 1 366 ","  927 ","  296 ","  57 ","  9 "," 19 823 ",32013
"Linhares"," 259 110 "," 18 709 "," 51 986 "," 60 174 "," 35 145 "," 10 024 "," 3 050 "," 1 018 "," 79 005 ","Linhares"," 161 640 "," 10 113 "," 35 878 "," 55 528 "," 32 059 "," 9 271 "," 2 824 ","  970 "," 14 998 ","Linhares"," 97 470 "," 8 596 "," 16 108 "," 4 646 "," 3 087 ","  753 ","  226 ","  48 "," 64 007 ",32006
"Montanha"," 45 885 "," 5 969 "," 13 958 "," 7 790 "," 3 389 ","  927 ","  301 ","  80 "," 13 470 ","Montanha"," 26 717 "," 3 181 "," 9 404 "," 7 086 "," 3 138 ","  860 ","  290 ","  80 "," 2 678 ","Montanha"," 19 168 "," 2 789 "," 4 554 ","  705 ","  251 ","  67 ","  11 ","- "," 10 792 ",32004
"Nova Venécia"," 106 395 "," 11 494 "," 28 413 "," 22 887 "," 10 602 "," 2 626 ","  499 ","  315 "," 29 559 ","Nova Venécia"," 69 389 "," 8 161 "," 19 736 "," 20 739 "," 9 888 "," 2 376 ","  471 ","  295 "," 7 722 ","Nova Venécia"," 37 006 "," 3 333 "," 8 677 "," 2 148 ","  714 ","  249 ","  28 ","  20 "," 21 837 ",32002
"Santa Teresa"," 90 603 "," 10 844 "," 25 787 "," 20 420 "," 8 544 "," 2 315 ","  548 ","  268 "," 21 877 ","Santa Teresa"," 61 895 "," 8 715 "," 19 272 "," 18 049 "," 7 827 "," 2 057 ","  500 ","  234 "," 5 241 ","Santa Teresa"," 28 707 "," 2 128 "," 6 515 "," 2 371 ","  717 ","  258 ","  49 ","  34 "," 16 636 ",32008
"São Mateus"," 154 932 "," 14 969 "," 34 470 "," 29 394 "," 16 792 "," 4 778 "," 1 481 ","  598 "," 52 448 ","São Mateus"," 93 703 "," 8 664 "," 24 676 "," 27 049 "," 15 424 "," 4 398 "," 1 326 ","  598 "," 11 567 ","São Mateus"," 61 229 "," 6 305 "," 9 794 "," 2 345 "," 1 368 ","  381 ","  155 ","- "," 40 881 ",32005
"Vitória","1 342 147 "," 55 289 "," 204 047 "," 312 415 "," 220 108 "," 84 748 "," 34 130 "," 15 466 "," 415 943 ","Vitória"," 811 246 "," 25 257 "," 139 006 "," 281 201 "," 189 001 "," 71 141 "," 29 142 "," 13 708 "," 62 790 ","Vitória"," 530 901 "," 30 031 "," 65 041 "," 31 214 "," 31 106 "," 13 608 "," 4 988 "," 1 759 "," 353 154 ",32009
"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,
"Afonso Cláudio"," 26 642 "," 4 422 "," 7 920 "," 4 783 "," 2 132 ","  512 ","  188 ","  30 "," 6 655 ","Afonso Cláudio"," 17 311 "," 3 291 "," 5 466 "," 3 924 "," 1 854 ","  465 ","  167 ","  30 "," 2 113 ","Afonso Cláudio"," 9 330 "," 1 131 "," 2 453 ","  859 ","  277 ","  47 ","  20 ","- "," 4 542 ",3200102
"Água Doce do Norte"," 10 034 "," 1 690 "," 2 882 "," 1 347 ","  581 ","  133 ","  40 ","  5 "," 3 357 ","Água Doce do Norte"," 5 291 "," 1 112 "," 1 675 "," 1 135 ","  527 ","  108 ","  40 ","  5 ","  691 ","Água Doce do Norte"," 4 743 ","  578 "," 1 207 ","  212 ","  54 ","  25 ","- ","- "," 2 666 ",3200169
"Águia Branca"," 8 086 "," 1 211 "," 2 285 "," 1 375 ","  652 ","  129 ","  37 ","  26 "," 2 372 ","Águia Branca"," 5 680 ","  998 "," 1 624 "," 1 271 ","  606 ","  118 ","  37 ","  26 "," 1 002 ","Águia Branca"," 2 406 ","  214 ","  662 ","  104 ","  46 ","  11 ","- ","- "," 1 370 ",3200136
"Alegre"," 26 724 "," 2 573 "," 7 618 "," 4 841 "," 2 740 "," 1 059 ","  373 ","  69 "," 7 451 ","Alegre"," 15 867 "," 1 578 "," 4 836 "," 4 288 "," 2 152 ","  857 ","  310 ","  41 "," 1 804 ","Alegre"," 10 857 ","  995 "," 2 782 ","  552 ","  587 ","  202 ","  63 ","  28 "," 5 647 ",3200201
"Alfredo Chaves"," 12 186 "," 1 719 "," 3 624 "," 2 690 "," 1 198 ","  349 ","  77 ","  52 "," 2 477 ","Alfredo Chaves"," 8 121 "," 1 182 "," 2 583 "," 2 390 "," 1 060 ","  289 ","  71 ","  47 ","  501 ","Alfredo Chaves"," 4 065 ","  538 "," 1 042 ","  300 ","  138 ","  60 ","  6 ","  5 "," 1 976 ",3200300
"Alto Rio Novo"," 6 181 ","  795 "," 1 891 ","  953 ","  390 ","  75 ","  29 ","  6 "," 2 043 ","Alto Rio Novo"," 3 257 ","  467 "," 1 201 ","  757 ","  369 ","  73 ","  29 ","  6 ","  355 ","Alto Rio Novo"," 2 924 ","  329 ","  689 ","  195 ","  21 ","  2 ","- ","- "," 1 687 ",3200359
"Anchieta"," 20 457 "," 1 264 "," 4 393 "," 4 886 "," 2 893 ","  575 ","  148 ","  33 "," 6 266 ","Anchieta"," 12 636 ","  804 "," 2 837 "," 4 451 "," 2 592 ","  530 ","  120 ","  10 "," 1 292 ","Anchieta"," 7 821 ","  459 "," 1 556 ","  435 ","  301 ","  45 ","  28 ","  22 "," 4 974 ",3200409
"Apiacá"," 6 524 "," 1 075 "," 1 925 "," 1 016 ","  468 ","  130 ","  21 ","  24 "," 1 866 ","Apiacá"," 3 616 ","  837 "," 1 201 ","  791 ","  352 ","  95 ","  12 ","  10 ","  318 ","Apiacá"," 2 908 ","  238 ","  724 ","  225 ","  115 ","  34 ","  10 ","  14 "," 1 548 ",3200508
"Aracruz"," 68 819 "," 4 420 "," 11 588 "," 15 978 "," 9 980 "," 2 904 ","  915 ","  282 "," 22 751 ","Aracruz"," 42 923 "," 2 463 "," 7 935 "," 14 775 "," 9 142 "," 2 706 ","  834 ","  259 "," 4 808 ","Aracruz"," 25 896 "," 1 957 "," 3 653 "," 1 203 ","  839 ","  197 ","  81 ","  23 "," 17 943 ",3200607
"Atilio Vivacqua"," 8 414 ","  606 "," 2 054 "," 2 072 ","  750 ","  109 ","  25 ","  16 "," 2 782 ","Atilio Vivacqua"," 4 788 ","  302 "," 1 312 "," 1 840 ","  667 ","  109 ","  25 ","  16 ","  517 ","Atilio Vivacqua"," 3 626 ","  304 ","  742 ","  232 ","  83 ","- ","- ","- "," 2 265 ",3200706
"Baixo Guandu"," 25 075 "," 2 887 "," 7 068 "," 4 929 "," 2 344 ","  436 ","  85 ","  77 "," 7 248 ","Baixo Guandu"," 14 311 "," 1 566 "," 4 281 "," 4 178 "," 2 014 ","  360 ","  85 ","  77 "," 1 749 ","Baixo Guandu"," 10 764 "," 1 321 "," 2 787 ","  750 ","  330 ","  77 ","- ","- "," 5 499 ",3200805
"Barra de São Francisco"," 34 796 "," 4 488 "," 8 664 "," 6 402 "," 3 143 ","  785 ","  232 ","  41 "," 11 043 ","Barra de São Francisco"," 19 886 "," 2 756 "," 5 149 "," 5 574 "," 2 901 ","  664 ","  186 ","  41 "," 2 616 ","Barra de São Francisco"," 14 910 "," 1 732 "," 3 515 ","  828 ","  241 ","  121 ","  46 ","- "," 8 427 ",3200904
"Boa Esperança"," 11 940 "," 1 322 "," 3 725 "," 2 277 ","  945 ","  245 ","  34 ","  16 "," 3 376 ","Boa Esperança"," 7 732 ","  862 "," 2 639 "," 2 100 ","  892 ","  204 ","  30 ","  16 ","  990 ","Boa Esperança"," 4 208 ","  460 "," 1 085 ","  177 ","  54 ","  42 ","  4 ","- "," 2 386 ",3201001
"Bom Jesus do Norte"," 8 170 ","  581 "," 2 589 "," 1 509 ","  845 ","  250 ","  61 ","  16 "," 2 320 ","Bom Jesus do Norte"," 4 373 ","  299 "," 1 586 "," 1 277 ","  648 ","  204 ","  48 ","  11 ","  299 ","Bom Jesus do Norte"," 3 797 ","  282 "," 1 003 ","  232 ","  197 ","  45 ","  13 ","  5 "," 2 021 ",3201100
"Brejetuba"," 9 780 "," 1 597 "," 3 095 "," 1 674 ","  668 ","  122 ","  21 ","  10 "," 2 593 ","Brejetuba"," 7 007 "," 1 246 "," 2 488 "," 1 566 ","  644 ","  116 ","  21 ","  10 ","  915 ","Brejetuba"," 2 773 ","  351 ","  607 ","  108 ","  24 ","  6 ","- ","- "," 1 677 ",3201159
"Cachoeiro de Itapemirim"," 163 807 "," 7 327 "," 31 699 "," 38 765 "," 23 426 "," 6 422 "," 1 620 ","  897 "," 53 651 ","Cachoeiro de Itapemirim"," 95 456 "," 4 238 "," 20 234 "," 34 070 "," 20 347 "," 5 837 "," 1 399 ","  822 "," 8 507 ","Cachoeiro de Itapemirim"," 68 352 "," 3 089 "," 11 464 "," 4 694 "," 3 079 ","  585 ","  221 ","  75 "," 45 144 ",3201209
"Cariacica"," 294 798 "," 14 148 "," 55 071 "," 75 172 "," 41 390 "," 9 419 "," 1 695 ","  460 "," 97 444 ","Cariacica"," 172 676 "," 6 397 "," 37 335 "," 68 094 "," 36 197 "," 8 359 "," 1 450 ","  429 "," 14 415 ","Cariacica"," 122 122 "," 7 750 "," 17 736 "," 7 078 "," 5 193 "," 1 060 ","  246 ","  30 "," 83 029 ",3201308
"Castelo"," 30 466 "," 2 385 "," 8 249 "," 7 355 "," 3 560 ","  948 ","  266 ","  34 "," 7 669 ","Castelo"," 19 514 "," 1 869 "," 5 760 "," 6 444 "," 3 086 ","  775 ","  221 ","  28 "," 1 332 ","Castelo"," 10 953 ","  517 "," 2 489 ","  911 ","  475 ","  173 ","  45 ","  6 "," 6 337 ",3201407
"Colatina"," 97 909 "," 6 179 "," 20 994 "," 27 365 "," 12 832 "," 3 844 "," 1 078 ","  386 "," 25 231 ","Colatina"," 61 722 "," 3 461 "," 13 238 "," 24 731 "," 11 354 "," 3 421 ","  971 ","  356 "," 4 191 ","Colatina"," 36 187 "," 2 718 "," 7 757 "," 2 635 "," 1 478 ","  423 ","  107 ","  30 "," 21 040 ",3201506
