"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.19.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Rio de Janeiro - 2010",,,,,,,,,,"Tabela 4.19.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Rio de Janeiro - 2010",,,,,,,,,,"Tabela 4.19.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Rio de Janeiro - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total","13 908 173 "," 622 937 ","2 290 376 ","3 028 256 ","2 095 566 "," 777 622 "," 335 270 "," 160 402 ","4 597 744 ","Total","7 814 727 "," 279 737 ","1 528 260 ","2 632 301 ","1 702 032 "," 625 793 "," 272 267 "," 135 792 "," 638 545 ","Total","6 093 446 "," 343 200 "," 762 116 "," 395 954 "," 393 534 "," 151 829 "," 63 003 "," 24 610 ","3 959 199 ",33
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Baixadas"," 599 462 "," 34 243 "," 108 553 "," 133 223 "," 84 948 "," 29 814 "," 9 722 "," 3 073 "," 195 888 ","Baixadas"," 344 089 "," 15 951 "," 76 206 "," 118 870 "," 68 213 "," 22 460 "," 7 634 "," 2 449 "," 32 306 ","Baixadas"," 255 373 "," 18 291 "," 32 347 "," 14 353 "," 16 735 "," 7 354 "," 2 088 ","  624 "," 163 581 ",3304
"Centro Fluminense"," 418 416 "," 23 934 "," 101 645 "," 102 017 "," 53 117 "," 15 271 "," 4 509 "," 1 859 "," 116 065 ","Centro Fluminense"," 244 653 "," 13 400 "," 67 937 "," 88 311 "," 42 803 "," 12 176 "," 3 702 "," 1 462 "," 14 862 ","Centro Fluminense"," 173 763 "," 10 533 "," 33 708 "," 13 706 "," 10 314 "," 3 095 ","  807 ","  397 "," 101 203 ",3303
"Metropolitana do Rio de Janeiro","10 965 493 "," 454 183 ","1 691 093 ","2 389 943 ","1 689 066 "," 651 349 "," 294 519 "," 146 296 ","3 649 042 ","Metropolitana do Rio de Janeiro","6 148 387 "," 196 013 ","1 125 683 ","2 074 711 ","1 370 359 "," 522 431 "," 237 403 "," 123 394 "," 498 391 ","Metropolitana do Rio de Janeiro","4 817 106 "," 258 170 "," 565 410 "," 315 232 "," 318 707 "," 128 918 "," 57 116 "," 22 902 ","3 150 651 ",3306
"Noroeste Fluminense"," 276 797 "," 21 655 "," 79 204 "," 52 505 "," 29 197 "," 8 955 "," 2 388 ","  826 "," 82 067 ","Noroeste Fluminense"," 154 496 "," 12 314 "," 50 331 "," 44 791 "," 23 930 "," 7 144 "," 1 991 ","  716 "," 13 278 ","Noroeste Fluminense"," 122 301 "," 9 342 "," 28 873 "," 7 714 "," 5 267 "," 1 811 ","  397 ","  110 "," 68 788 ",3301
"Norte Fluminense"," 726 978 "," 42 696 "," 146 394 "," 143 750 "," 92 071 "," 30 372 "," 11 120 "," 4 179 "," 256 398 ","Norte Fluminense"," 402 247 "," 19 773 "," 97 724 "," 127 575 "," 79 327 "," 26 545 "," 10 177 "," 3 896 "," 37 229 ","Norte Fluminense"," 324 731 "," 22 923 "," 48 670 "," 16 174 "," 12 743 "," 3 826 ","  943 ","  283 "," 219 169 ",3302
"Sul Fluminense"," 921 026 "," 46 227 "," 163 488 "," 206 817 "," 147 167 "," 41 861 "," 13 013 "," 4 169 "," 298 284 ","Sul Fluminense"," 520 855 "," 22 286 "," 110 379 "," 178 042 "," 117 399 "," 35 036 "," 11 359 "," 3 875 "," 42 478 ","Sul Fluminense"," 400 171 "," 23 941 "," 53 108 "," 28 775 "," 29 768 "," 6 825 "," 1 653 ","  294 "," 255 807 ",3305
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Bacia de São João"," 137 799 "," 7 145 "," 21 056 "," 30 653 "," 22 810 "," 9 142 "," 3 080 ","  923 "," 42 989 ","Bacia de São João"," 83 753 "," 3 228 "," 14 641 "," 27 789 "," 19 431 "," 7 858 "," 2 777 ","  802 "," 7 228 ","Bacia de São João"," 54 046 "," 3 916 "," 6 416 "," 2 865 "," 3 380 "," 1 284 ","  303 ","  121 "," 35 762 ",33009
"Baía da Ilha Grande"," 176 164 "," 7 664 "," 26 574 "," 38 248 "," 29 842 "," 8 120 "," 2 466 ","  943 "," 62 305 ","Baía da Ilha Grande"," 102 574 "," 3 242 "," 19 247 "," 34 592 "," 26 640 "," 7 361 "," 2 212 ","  872 "," 8 409 ","Baía da Ilha Grande"," 73 589 "," 4 422 "," 7 327 "," 3 656 "," 3 203 ","  760 ","  254 ","  71 "," 53 896 ",33013
"Barra do Piraí"," 152 417 "," 10 393 "," 34 173 "," 34 309 "," 19 507 "," 5 305 "," 1 569 ","  457 "," 46 704 ","Barra do Piraí"," 84 239 "," 5 149 "," 21 813 "," 29 096 "," 14 614 "," 4 207 "," 1 279 ","  347 "," 7 734 ","Barra do Piraí"," 68 178 "," 5 244 "," 12 360 "," 5 212 "," 4 893 "," 1 098 ","  290 ","  111 "," 38 970 ",33012
"Campos dos Goytacazes"," 504 404 "," 32 833 "," 114 684 "," 92 068 "," 53 103 "," 17 264 "," 5 733 "," 2 046 "," 186 674 ","Campos dos Goytacazes"," 263 684 "," 15 696 "," 75 693 "," 80 568 "," 44 393 "," 14 433 "," 5 047 "," 1 857 "," 25 998 ","Campos dos Goytacazes"," 240 720 "," 17 136 "," 38 991 "," 11 500 "," 8 710 "," 2 830 ","  687 ","  189 "," 160 676 ",33003
"Cantagalo-Cordeiro"," 54 392 "," 3 314 "," 13 652 "," 12 661 "," 6 532 "," 1 656 ","  444 ","  160 "," 15 972 ","Cantagalo-Cordeiro"," 31 040 "," 1 727 "," 9 192 "," 10 949 "," 5 105 "," 1 367 ","  408 ","  115 "," 2 177 ","Cantagalo-Cordeiro"," 23 352 "," 1 587 "," 4 461 "," 1 712 "," 1 427 ","  290 ","  36 ","  45 "," 13 795 ",33006
"Itaguaí"," 190 874 "," 11 321 "," 33 153 "," 42 169 "," 27 219 "," 6 692 "," 1 534 ","  531 "," 68 255 ","Itaguaí"," 107 040 "," 4 823 "," 22 687 "," 37 092 "," 23 227 "," 5 476 "," 1 293 ","  494 "," 11 947 ","Itaguaí"," 83 833 "," 6 498 "," 10 466 "," 5 077 "," 3 992 "," 1 215 ","  241 ","  37 "," 56 307 ",33017
"Itaperuna"," 169 815 "," 12 383 "," 45 822 "," 34 250 "," 18 592 "," 5 967 "," 1 585 ","  498 "," 50 718 ","Itaperuna"," 94 307 "," 6 505 "," 28 726 "," 29 072 "," 15 262 "," 4 820 "," 1 339 ","  441 "," 8 141 ","Itaperuna"," 75 508 "," 5 879 "," 17 095 "," 5 178 "," 3 329 "," 1 147 ","  246 ","  57 "," 42 577 ",33001
"Lagos"," 461 663 "," 27 098 "," 87 496 "," 102 570 "," 62 137 "," 20 672 "," 6 642 "," 2 150 "," 152 898 ","Lagos"," 260 336 "," 12 723 "," 61 565 "," 91 081 "," 48 782 "," 14 601 "," 4 857 "," 1 647 "," 25 079 ","Lagos"," 201 327 "," 14 375 "," 25 931 "," 11 488 "," 13 355 "," 6 070 "," 1 784 ","  503 "," 127 820 ",33010
"Macacu-Caceribu"," 95 153 "," 6 481 "," 22 532 "," 20 052 "," 10 838 "," 3 100 ","  803 ","  191 "," 31 156 ","Macacu-Caceribu"," 53 352 "," 3 092 "," 15 197 "," 17 967 "," 8 997 "," 2 504 ","  634 ","  138 "," 4 824 ","Macacu-Caceribu"," 41 801 "," 3 389 "," 7 335 "," 2 085 "," 1 841 ","  596 ","  169 ","  54 "," 26 332 ",33016
"Macaé"," 222 575 "," 9 863 "," 31 710 "," 51 682 "," 38 967 "," 13 108 "," 5 387 "," 2 134 "," 69 724 ","Macaé"," 138 563 "," 4 077 "," 22 031 "," 47 008 "," 34 934 "," 12 112 "," 5 131 "," 2 040 "," 11 231 ","Macaé"," 84 012 "," 5 786 "," 9 679 "," 4 675 "," 4 033 ","  996 ","  256 ","  94 "," 58 492 ",33004
"Nova Friburgo"," 204 042 "," 9 791 "," 46 588 "," 56 948 "," 28 674 "," 8 637 "," 2 584 "," 1 141 "," 49 679 ","Nova Friburgo"," 127 492 "," 6 335 "," 30 910 "," 50 498 "," 23 659 "," 6 898 "," 2 065 ","  857 "," 6 271 ","Nova Friburgo"," 76 550 "," 3 455 "," 15 678 "," 6 450 "," 5 014 "," 1 739 ","  520 ","  285 "," 43 408 ",33007
"Rio de Janeiro","10 117 034 "," 407 250 ","1 516 066 ","2 193 872 ","1 578 492 "," 618 088 "," 283 445 "," 141 703 ","3 378 118 ","Rio de Janeiro","5 666 341 "," 174 235 ","1 008 349 ","1 904 676 ","1 278 769 "," 495 353 "," 228 672 "," 119 512 "," 456 775 ","Rio de Janeiro","4 450 692 "," 233 015 "," 507 717 "," 289 195 "," 299 723 "," 122 735 "," 54 773 "," 22 190 ","2 921 344 ",33018
"Santa Maria Madalena"," 25 529 "," 2 227 "," 8 545 "," 4 111 "," 1 979 ","  477 ","  145 ","  22 "," 8 023 ","Santa Maria Madalena"," 13 655 "," 1 259 "," 5 952 "," 3 505 "," 1 500 ","  365 ","  107 ","  15 ","  954 ","Santa Maria Madalena"," 11 873 ","  968 "," 2 594 ","  606 ","  480 ","  112 ","  38 ","  7 "," 7 070 ",33008
"Santo Antônio de Pádua"," 106 982 "," 9 272 "," 33 382 "," 18 255 "," 10 606 "," 2 988 ","  803 ","  328 "," 31 348 ","Santo Antônio de Pádua"," 60 189 "," 5 809 "," 21 605 "," 15 719 "," 8 668 "," 2 324 ","  652 ","  275 "," 5 137 ","Santo Antônio de Pádua"," 46 793 "," 3 463 "," 11 778 "," 2 536 "," 1 938 ","  664 ","  150 ","  53 "," 26 211 ",33002
"Serrana"," 418 652 "," 18 726 "," 84 370 "," 104 275 "," 56 392 "," 19 477 "," 7 185 "," 3 467 "," 124 760 ","Serrana"," 244 666 "," 9 172 "," 56 329 "," 90 655 "," 47 076 "," 15 957 "," 5 557 "," 2 933 "," 16 986 ","Serrana"," 173 987 "," 9 554 "," 28 041 "," 13 621 "," 9 316 "," 3 520 "," 1 628 ","  534 "," 107 774 ",33015
"Três Rios"," 134 453 "," 8 602 "," 32 859 "," 28 298 "," 15 931 "," 4 501 "," 1 336 ","  536 "," 42 391 ","Três Rios"," 72 465 "," 4 079 "," 21 884 "," 23 359 "," 12 539 "," 3 546 "," 1 122 ","  476 "," 5 460 ","Três Rios"," 61 988 "," 4 523 "," 10 976 "," 4 938 "," 3 393 ","  954 ","  213 ","  60 "," 36 931 ",33005
"Vale do Paraíba Fluminense"," 592 446 "," 28 170 "," 102 740 "," 134 261 "," 97 818 "," 28 435 "," 8 977 "," 2 768 "," 189 275 ","Vale do Paraíba Fluminense"," 334 042 "," 13 894 "," 69 319 "," 114 354 "," 76 146 "," 23 468 "," 7 869 "," 2 656 "," 26 335 ","Vale do Paraíba Fluminense"," 258 404 "," 14 276 "," 33 421 "," 19 906 "," 21 672 "," 4 967 "," 1 109 ","  112 "," 162 940 ",33011
"Vassouras"," 143 780 "," 10 405 "," 34 973 "," 29 575 "," 16 125 "," 3 992 "," 1 553 ","  405 "," 46 753 ","Vassouras"," 76 988 "," 4 691 "," 23 121 "," 24 322 "," 12 290 "," 3 140 "," 1 247 ","  317 "," 7 859 ","Vassouras"," 66 793 "," 5 714 "," 11 852 "," 5 254 "," 3 835 ","  852 ","  305 ","  87 "," 38 894 ",33014
"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,
"Angra dos Reis"," 144 603 "," 6 053 "," 20 942 "," 30 575 "," 25 385 "," 6 743 "," 2 030 ","  806 "," 52 068 ","Angra dos Reis"," 83 070 "," 2 448 "," 15 088 "," 27 497 "," 22 668 "," 6 064 "," 1 819 ","  766 "," 6 720 ","Angra dos Reis"," 61 533 "," 3 605 "," 5 855 "," 3 079 "," 2 717 ","  679 ","  210 ","  40 "," 45 348 ",3300100
"Aperibé"," 8 960 ","  489 "," 2 697 "," 1 839 ","  723 ","  150 ","  48 ","  21 "," 2 993 ","Aperibé"," 4 967 ","  264 "," 1 817 "," 1 686 ","  622 ","  111 ","  43 ","  21 ","  405 ","Aperibé"," 3 993 ","  225 ","  880 ","  153 ","  101 ","  39 ","  6 ","- "," 2 588 ",3300159
"Araruama"," 96 235 "," 6 862 "," 20 782 "," 19 853 "," 11 065 "," 3 882 "," 1 154 ","  405 "," 32 232 ","Araruama"," 51 420 "," 3 151 "," 13 934 "," 17 326 "," 8 276 "," 2 431 ","  763 ","  315 "," 5 224 ","Araruama"," 44 815 "," 3 711 "," 6 848 "," 2 527 "," 2 788 "," 1 451 ","  391 ","  90 "," 27 007 ",3300209
"Areal"," 9 847 ","  756 "," 2 290 "," 2 161 "," 1 231 ","  215 ","  82 ","  10 "," 3 101 ","Areal"," 5 609 ","  297 "," 1 601 "," 1 934 ","  982 ","  183 ","  47 ","  6 ","  558 ","Areal"," 4 238 ","  459 ","  689 ","  227 ","  249 ","  32 ","  35 ","  4 "," 2 543 ",3300225
"Armação dos Búzios"," 23 537 ","  685 "," 3 154 "," 6 453 "," 3 916 ","  922 ","  496 ","  136 "," 7 775 ","Armação dos Búzios"," 14 454 ","  317 "," 2 318 "," 5 976 "," 3 576 ","  740 ","  383 ","  115 "," 1 030 ","Armação dos Búzios"," 9 084 ","  369 ","  837 ","  477 ","  340 ","  181 ","  114 ","  22 "," 6 744 ",3300233
"Arraial do Cabo"," 23 952 "," 1 471 "," 4 529 "," 5 270 "," 3 781 "," 1 138 ","  243 ","  47 "," 7 474 ","Arraial do Cabo"," 14 070 ","  677 "," 3 296 "," 4 641 "," 2 874 ","  822 ","  213 ","  40 "," 1 507 ","Arraial do Cabo"," 9 882 ","  795 "," 1 232 ","  629 ","  908 ","  315 ","  30 ","  7 "," 5 966 ",3300258
"Barra do Piraí"," 82 354 "," 5 318 "," 16 239 "," 18 764 "," 11 769 "," 2 973 ","  873 ","  241 "," 26 177 ","Barra do Piraí"," 45 189 "," 2 745 "," 10 235 "," 15 667 "," 8 758 "," 2 337 ","  701 ","  178 "," 4 568 ","Barra do Piraí"," 37 165 "," 2 573 "," 6 004 "," 3 097 "," 3 011 ","  635 ","  172 ","  63 "," 21 609 ",3300308
"Barra Mansa"," 155 072 "," 7 239 "," 29 463 "," 35 213 "," 23 521 "," 5 540 "," 1 656 ","  521 "," 51 920 ","Barra Mansa"," 86 317 "," 3 717 "," 20 252 "," 29 804 "," 18 816 "," 4 677 "," 1 513 ","  514 "," 7 025 ","Barra Mansa"," 68 755 "," 3 522 "," 9 211 "," 5 409 "," 4 704 ","  863 ","  144 ","  7 "," 44 895 ",3300407
"Belford Roxo"," 398 520 "," 27 609 "," 70 585 "," 96 501 "," 43 455 "," 6 555 ","  882 ","  361 "," 152 573 ","Belford Roxo"," 213 611 "," 11 819 "," 49 763 "," 86 401 "," 38 557 "," 5 821 ","  840 ","  297 "," 20 113 ","Belford Roxo"," 184 909 "," 15 789 "," 20 822 "," 10 101 "," 4 898 ","  733 ","  42 ","  64 "," 132 460 ",3300456
"Bom Jardim"," 21 943 "," 1 418 "," 5 529 "," 5 605 "," 2 411 ","  674 ","  180 ","  63 "," 6 062 ","Bom Jardim"," 13 171 ","  756 "," 3 802 "," 5 103 "," 2 069 ","  550 ","  160 ","  28 ","  704 ","Bom Jardim"," 8 771 ","  662 "," 1 727 ","  502 ","  342 ","  124 ","  20 ","  35 "," 5 358 ",3300506
