"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.20.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - São Paulo - 2010",,,,,,,,,,"Tabela 4.20.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - São Paulo - 2010",,,,,,,,,,"Tabela 4.20.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - São Paulo - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total","35 723 254 ","1 282 458 ","4 595 985 ","9 125 794 ","6 493 311 ","2 083 747 "," 765 874 "," 386 653 ","10 989 432 ","Total","21 639 776 "," 617 590 ","2 810 343 ","8 126 808 ","5 534 951 ","1 867 403 "," 699 150 "," 357 243 ","1 626 288 ","Total","14 083 478 "," 664 867 ","1 785 642 "," 998 986 "," 958 360 "," 216 344 "," 66 724 "," 29 410 ","9 363 144 ",35
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Araçatuba"," 612 567 "," 28 676 "," 106 064 "," 173 556 "," 101 813 "," 24 367 "," 6 418 "," 3 209 "," 168 463 ","Araçatuba"," 362 666 "," 14 294 "," 55 908 "," 153 033 "," 87 139 "," 20 547 "," 5 622 "," 2 829 "," 23 293 ","Araçatuba"," 249 901 "," 14 381 "," 50 156 "," 20 523 "," 14 674 "," 3 820 ","  797 ","  380 "," 145 170 ",3503
"Araraquara"," 709 981 "," 24 819 "," 100 419 "," 203 561 "," 134 963 "," 36 724 "," 11 075 "," 4 553 "," 193 867 ","Araraquara"," 437 451 "," 12 319 "," 58 936 "," 178 702 "," 112 753 "," 31 870 "," 9 913 "," 4 108 "," 28 849 ","Araraquara"," 272 530 "," 12 501 "," 41 482 "," 24 858 "," 22 209 "," 4 854 "," 1 162 ","  446 "," 165 017 ",3505
"Assis"," 479 991 "," 27 234 "," 91 259 "," 127 446 "," 75 457 "," 18 755 "," 4 968 "," 1 868 "," 133 004 ","Assis"," 278 814 "," 13 151 "," 52 001 "," 109 926 "," 62 987 "," 15 665 "," 4 291 "," 1 613 "," 19 181 ","Assis"," 201 177 "," 14 082 "," 39 258 "," 17 521 "," 12 470 "," 3 090 ","  677 ","  255 "," 113 824 ",3510
"Bauru","1 263 037 "," 52 749 "," 188 774 "," 351 409 "," 231 317 "," 60 542 "," 17 196 "," 7 401 "," 353 650 ","Bauru"," 760 142 "," 25 071 "," 110 428 "," 311 151 "," 194 295 "," 50 904 "," 14 734 "," 6 544 "," 47 014 ","Bauru"," 502 896 "," 27 678 "," 78 346 "," 40 258 "," 37 022 "," 9 638 "," 2 462 ","  857 "," 306 636 ",3504
"Campinas","3 305 588 "," 101 119 "," 404 890 "," 878 375 "," 663 741 "," 201 620 "," 70 045 "," 30 772 "," 955 024 ","Campinas","2 039 943 "," 45 135 "," 234 067 "," 781 977 "," 570 679 "," 182 475 "," 63 937 "," 28 058 "," 133 614 ","Campinas","1 265 645 "," 55 985 "," 170 823 "," 96 398 "," 93 062 "," 19 145 "," 6 108 "," 2 714 "," 821 410 ",3507
"Itapetininga"," 701 969 "," 53 706 "," 135 757 "," 172 066 "," 92 362 "," 22 394 "," 5 690 "," 2 222 "," 217 773 ","Itapetininga"," 398 748 "," 26 872 "," 82 974 "," 151 577 "," 77 720 "," 19 347 "," 4 995 "," 2 006 "," 33 256 ","Itapetininga"," 303 221 "," 26 834 "," 52 783 "," 20 489 "," 14 642 "," 3 047 ","  695 ","  215 "," 184 517 ",3511
"Litoral Sul Paulista"," 389 436 "," 30 847 "," 75 963 "," 84 677 "," 50 115 "," 12 036 "," 3 129 "," 1 016 "," 131 654 ","Litoral Sul Paulista"," 209 206 "," 15 415 "," 48 605 "," 73 391 "," 38 273 "," 9 648 "," 2 612 ","  792 "," 20 471 ","Litoral Sul Paulista"," 180 230 "," 15 433 "," 27 358 "," 11 287 "," 11 842 "," 2 387 ","  517 ","  224 "," 111 183 ",3514
"Macro Metropolitana Paulista","2 288 447 "," 80 341 "," 296 971 "," 607 996 "," 434 099 "," 127 408 "," 40 559 "," 17 791 "," 683 283 ","Macro Metropolitana Paulista","1 391 695 "," 38 224 "," 178 041 "," 540 159 "," 365 540 "," 115 235 "," 36 593 "," 16 007 "," 101 897 ","Macro Metropolitana Paulista"," 896 752 "," 42 117 "," 118 930 "," 67 837 "," 68 559 "," 12 174 "," 3 967 "," 1 784 "," 581 385 ",3512
"Marília"," 385 875 "," 19 782 "," 69 019 "," 105 147 "," 60 869 "," 17 073 "," 5 274 "," 2 435 "," 106 275 ","Marília"," 228 293 "," 9 357 "," 36 983 "," 93 105 "," 51 289 "," 14 435 "," 4 567 "," 2 163 "," 16 394 ","Marília"," 157 582 "," 10 426 "," 32 037 "," 12 042 "," 9 580 "," 2 638 ","  707 ","  272 "," 89 881 ",3509
"Metropolitana de São Paulo","18 245 108 "," 535 322 ","2 019 477 ","4 465 714 ","3 310 982 ","1 196 172 "," 485 591 "," 264 940 ","5 966 911 ","Metropolitana de São Paulo","11 074 485 "," 254 559 ","1 307 055 ","3 997 520 ","2 827 225 ","1 085 014 "," 448 541 "," 247 437 "," 907 133 ","Metropolitana de São Paulo","7 170 624 "," 280 763 "," 712 422 "," 468 193 "," 483 758 "," 111 157 "," 37 050 "," 17 503 ","5 059 778 ",3515
"Piracicaba","1 199 132 "," 41 577 "," 148 553 "," 331 144 "," 239 070 "," 64 391 "," 18 968 "," 7 938 "," 347 491 ","Piracicaba"," 735 934 "," 19 632 "," 89 443 "," 294 204 "," 205 235 "," 57 636 "," 16 812 "," 7 171 "," 45 801 ","Piracicaba"," 463 198 "," 21 944 "," 59 110 "," 36 940 "," 33 835 "," 6 756 "," 2 156 ","  767 "," 301 690 ",3506
"Presidente Prudente"," 744 071 "," 48 089 "," 139 341 "," 192 271 "," 111 609 "," 28 942 "," 8 249 "," 3 649 "," 211 921 ","Presidente Prudente"," 426 190 "," 25 277 "," 74 125 "," 165 340 "," 93 752 "," 24 733 "," 7 218 "," 3 351 "," 32 395 ","Presidente Prudente"," 317 881 "," 22 812 "," 65 217 "," 26 931 "," 17 857 "," 4 209 "," 1 030 ","  299 "," 179 526 ",3508
"Ribeirão Preto","2 061 215 "," 86 533 "," 299 797 "," 568 792 "," 395 860 "," 103 277 "," 32 849 "," 15 403 "," 558 703 ","Ribeirão Preto","1 278 545 "," 42 103 "," 170 947 "," 507 383 "," 345 024 "," 92 356 "," 29 739 "," 13 942 "," 77 051 ","Ribeirão Preto"," 782 669 "," 44 429 "," 128 850 "," 61 409 "," 50 836 "," 10 921 "," 3 110 "," 1 461 "," 481 653 ",3502
"São José do Rio Preto","1 385 572 "," 59 637 "," 238 933 "," 394 011 "," 260 445 "," 61 114 "," 18 558 "," 7 703 "," 345 172 ","São José do Rio Preto"," 851 777 "," 28 997 "," 124 285 "," 349 776 "," 227 883 "," 52 816 "," 16 570 "," 6 875 "," 44 576 ","São José do Rio Preto"," 533 794 "," 30 640 "," 114 648 "," 44 236 "," 32 561 "," 8 298 "," 1 988 ","  828 "," 300 596 ",3501
"Vale do Paraíba Paulista","1 951 265 "," 92 027 "," 280 767 "," 469 629 "," 330 609 "," 108 930 "," 37 306 "," 15 752 "," 616 243 ","Vale do Paraíba Paulista","1 165 888 "," 47 185 "," 186 546 "," 419 563 "," 275 157 "," 94 720 "," 33 007 "," 14 346 "," 95 364 ","Vale do Paraíba Paulista"," 785 377 "," 44 843 "," 94 222 "," 50 066 "," 55 452 "," 14 211 "," 4 299 "," 1 406 "," 520 879 ",3513
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Adamantina"," 141 011 "," 9 034 "," 30 520 "," 34 279 "," 19 102 "," 4 562 "," 1 362 ","  426 "," 41 726 ","Adamantina"," 77 390 "," 5 123 "," 15 893 "," 29 564 "," 16 247 "," 4 029 "," 1 208 ","  392 "," 4 933 ","Adamantina"," 63 621 "," 3 912 "," 14 627 "," 4 715 "," 2 855 ","  534 ","  153 ","  33 "," 36 792 ",35035
"Amparo"," 157 984 "," 5 770 "," 30 313 "," 49 707 "," 26 704 "," 6 803 "," 1 855 ","  747 "," 36 086 ","Amparo"," 100 534 "," 3 271 "," 18 626 "," 44 423 "," 22 056 "," 5 597 "," 1 523 ","  585 "," 4 454 ","Amparo"," 57 450 "," 2 499 "," 11 687 "," 5 284 "," 4 648 "," 1 206 ","  332 ","  162 "," 31 632 ",35033
"Andradina"," 160 124 "," 9 983 "," 28 970 "," 37 974 "," 26 691 "," 6 091 "," 1 654 ","  673 "," 48 089 ","Andradina"," 90 817 "," 5 165 "," 15 478 "," 32 751 "," 22 538 "," 4 915 "," 1 412 ","  588 "," 7 970 ","Andradina"," 69 307 "," 4 819 "," 13 492 "," 5 222 "," 4 154 "," 1 175 ","  241 ","  85 "," 40 119 ",35016
"Araçatuba"," 226 984 "," 8 731 "," 36 005 "," 61 199 "," 39 109 "," 10 231 "," 3 081 "," 1 657 "," 66 970 ","Araçatuba"," 132 116 "," 4 484 "," 19 198 "," 53 906 "," 33 339 "," 8 740 "," 2 729 "," 1 474 "," 8 246 ","Araçatuba"," 94 868 "," 4 247 "," 16 807 "," 7 293 "," 5 771 "," 1 491 ","  351 ","  183 "," 58 724 ",35017
"Araraquara"," 439 901 "," 15 553 "," 65 020 "," 128 109 "," 81 067 "," 21 235 "," 5 969 "," 2 539 "," 120 408 ","Araraquara"," 272 723 "," 7 830 "," 39 194 "," 113 647 "," 68 451 "," 18 318 "," 5 292 "," 2 319 "," 17 670 ","Araraquara"," 167 178 "," 7 723 "," 25 826 "," 14 462 "," 12 616 "," 2 917 ","  676 ","  220 "," 102 738 ",35024
"Assis"," 229 866 "," 13 583 "," 41 690 "," 59 125 "," 37 270 "," 9 087 "," 2 414 ","  963 "," 65 734 ","Assis"," 130 387 "," 6 410 "," 22 153 "," 50 551 "," 31 145 "," 7 693 "," 2 074 ","  785 "," 9 576 ","Assis"," 99 479 "," 7 173 "," 19 537 "," 8 573 "," 6 125 "," 1 394 ","  341 ","  178 "," 56 158 ",35039
"Auriflama"," 40 938 "," 2 176 "," 9 851 "," 11 850 "," 5 991 "," 1 195 ","  292 ","  134 "," 9 448 ","Auriflama"," 24 860 "," 1 206 "," 5 254 "," 10 438 "," 5 304 "," 1 032 ","  265 ","  120 "," 1 240 ","Auriflama"," 16 078 ","  970 "," 4 597 "," 1 412 ","  688 ","  162 ","  27 ","  14 "," 8 208 ",35006
"Avaré"," 153 080 "," 8 450 "," 26 656 "," 40 865 "," 23 998 "," 5 949 "," 1 304 ","  538 "," 45 319 ","Avaré"," 87 741 "," 3 732 "," 15 727 "," 36 291 "," 20 386 "," 5 031 "," 1 087 ","  506 "," 4 980 ","Avaré"," 65 339 "," 4 718 "," 10 929 "," 4 575 "," 3 612 ","  918 ","  217 ","  32 "," 40 339 ",35022
"Bananal"," 22 388 "," 2 452 "," 5 751 "," 4 761 "," 2 095 ","  431 ","  115 ","  31 "," 6 751 ","Bananal"," 12 306 "," 1 245 "," 3 736 "," 4 200 "," 1 711 ","  290 ","  88 ","  6 "," 1 031 ","Bananal"," 10 082 "," 1 207 "," 2 015 ","  562 ","  384 ","  141 ","  27 ","  26 "," 5 720 ",35052
"Barretos"," 118 534 "," 5 361 "," 19 506 "," 34 005 "," 21 668 "," 5 545 "," 1 475 ","  757 "," 30 217 ","Barretos"," 72 644 "," 2 212 "," 10 879 "," 29 770 "," 18 504 "," 4 837 "," 1 291 ","  687 "," 4 464 ","Barretos"," 45 889 "," 3 148 "," 8 627 "," 4 235 "," 3 164 ","  709 ","  184 ","  70 "," 25 753 ",35009
"Batatais"," 92 528 "," 4 704 "," 16 626 "," 24 019 "," 16 377 "," 3 548 ","  948 ","  388 "," 25 918 ","Batatais"," 55 587 "," 2 039 "," 10 166 "," 21 650 "," 14 412 "," 3 098 ","  775 ","  322 "," 3 126 ","Batatais"," 36 942 "," 2 665 "," 6 460 "," 2 370 "," 1 966 ","  450 ","  173 ","  66 "," 22 792 ",35015
"Bauru"," 490 543 "," 20 811 "," 69 113 "," 132 763 "," 91 745 "," 26 112 "," 8 490 "," 3 620 "," 137 889 ","Bauru"," 297 317 "," 10 535 "," 41 666 "," 117 617 "," 76 269 "," 21 558 "," 7 218 "," 3 166 "," 19 288 ","Bauru"," 193 226 "," 10 276 "," 27 447 "," 15 146 "," 15 476 "," 4 553 "," 1 272 ","  454 "," 118 602 ",35020
"Birigui"," 225 459 "," 9 962 "," 41 089 "," 74 383 "," 36 013 "," 8 046 "," 1 684 ","  879 "," 53 404 ","Birigui"," 139 733 "," 4 646 "," 21 232 "," 66 376 "," 31 263 "," 6 892 "," 1 480 ","  767 "," 7 078 ","Birigui"," 85 726 "," 5 316 "," 19 857 "," 8 007 "," 4 750 "," 1 154 ","  204 ","  112 "," 46 326 ",35018
"Botucatu"," 179 155 "," 6 635 "," 26 606 "," 46 632 "," 33 915 "," 9 483 "," 2 845 "," 1 301 "," 51 738 ","Botucatu"," 105 006 "," 2 852 "," 15 654 "," 40 602 "," 27 311 "," 7 783 "," 2 430 "," 1 138 "," 7 237 ","Botucatu"," 74 149 "," 3 783 "," 10 952 "," 6 030 "," 6 604 "," 1 700 ","  415 ","  163 "," 44 501 ",35023
"Bragança Paulista"," 432 854 "," 14 347 "," 62 073 "," 123 514 "," 74 430 "," 21 877 "," 7 366 "," 3 453 "," 125 794 ","Bragança Paulista"," 264 133 "," 6 350 "," 37 337 "," 111 517 "," 63 647 "," 19 629 "," 6 624 "," 3 079 "," 15 949 ","Bragança Paulista"," 168 721 "," 7 996 "," 24 736 "," 11 997 "," 10 783 "," 2 248 ","  742 ","  374 "," 109 845 ",35048
"Campinas","2 295 448 "," 59 251 "," 234 282 "," 592 148 "," 488 590 "," 157 347 "," 58 027 "," 26 124 "," 679 679 ","Campinas","1 431 231 "," 24 861 "," 134 607 "," 529 917 "," 423 511 "," 144 019 "," 53 551 "," 24 068 "," 96 698 ","Campinas"," 864 217 "," 34 390 "," 99 675 "," 62 231 "," 65 079 "," 13 328 "," 4 477 "," 2 056 "," 582 981 ",35032
"Campos do Jordão"," 58 820 "," 3 483 "," 11 283 "," 18 129 "," 7 464 "," 1 615 ","  527 ","  272 "," 16 047 ","Campos do Jordão"," 36 999 "," 1 697 "," 7 811 "," 16 783 "," 6 565 "," 1 431 ","  484 ","  242 "," 1 986 ","Campos do Jordão"," 21 821 "," 1 786 "," 3 471 "," 1 346 ","  899 ","  184 ","  43 ","  30 "," 14 062 ",35049
"Capão Bonito"," 113 314 "," 15 111 "," 27 431 "," 20 057 "," 9 516 "," 2 135 ","  494 ","  229 "," 38 341 ","Capão Bonito"," 61 391 "," 7 939 "," 17 555 "," 17 732 "," 8 207 "," 1 917 ","  484 ","  191 "," 7 367 ","Capão Bonito"," 51 922 "," 7 173 "," 9 876 "," 2 325 "," 1 309 ","  218 ","  10 ","  38 "," 30 974 ",35044
"Caraguatatuba"," 239 288 "," 13 222 "," 36 745 "," 67 139 "," 37 371 "," 10 305 "," 3 077 "," 1 109 "," 70 320 ","Caraguatatuba"," 151 501 "," 6 876 "," 26 817 "," 61 441 "," 32 246 "," 8 781 "," 2 496 ","  991 "," 11 853 ","Caraguatatuba"," 87 787 "," 6 346 "," 9 929 "," 5 698 "," 5 125 "," 1 524 ","  580 ","  117 "," 58 468 ",35054
"Catanduva"," 194 372 "," 8 367 "," 32 132 "," 56 103 "," 38 211 "," 7 720 "," 2 093 "," 1 049 "," 48 696 ","Catanduva"," 118 356 "," 4 000 "," 16 377 "," 49 183 "," 33 684 "," 6 672 "," 1 894 ","  898 "," 5 648 ","Catanduva"," 76 016 "," 4 368 "," 15 755 "," 6 921 "," 4 527 "," 1 047 ","  200 ","  151 "," 43 048 ",35005
