"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.21.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Paraná - 2010",,,,,,,,,,"Tabela 4.21.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Paraná - 2010",,,,,,,,,,"Tabela 4.21.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Paraná - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total","8 962 586 "," 525 667 ","1 574 760 ","2 294 864 ","1 444 254 "," 437 305 "," 145 688 "," 66 202 ","2 473 845 ","Total","5 587 963 "," 293 641 "," 971 488 ","2 052 348 ","1 296 200 "," 394 518 "," 132 157 "," 60 369 "," 387 242 ","Total","3 374 623 "," 232 026 "," 603 272 "," 242 516 "," 148 054 "," 42 787 "," 13 531 "," 5 833 ","2 086 603 ",41
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Centro Ocidental Paranaense"," 288 832 "," 24 567 "," 70 883 "," 68 594 "," 33 886 "," 8 422 "," 2 564 "," 1 060 "," 78 856 ","Centro Ocidental Paranaense"," 171 210 "," 14 200 "," 41 038 "," 60 225 "," 30 953 "," 7 793 "," 2 381 "," 1 011 "," 13 609 ","Centro Ocidental Paranaense"," 117 622 "," 10 367 "," 29 845 "," 8 369 "," 2 933 ","  629 ","  183 ","  49 "," 65 247 ",4102
"Centro Oriental Paranaense"," 577 322 "," 37 857 "," 96 487 "," 134 652 "," 84 102 "," 22 512 "," 7 178 "," 3 030 "," 191 503 ","Centro Oriental Paranaense"," 323 126 "," 18 692 "," 57 974 "," 116 491 "," 72 417 "," 20 134 "," 6 645 "," 2 797 "," 27 975 ","Centro Oriental Paranaense"," 254 195 "," 19 165 "," 38 513 "," 18 161 "," 11 685 "," 2 377 ","  533 ","  233 "," 163 528 ",4105
"Centro-Sul Paranaense"," 453 168 "," 52 283 "," 98 296 "," 94 013 "," 45 800 "," 12 341 "," 3 729 "," 1 534 "," 145 172 ","Centro-Sul Paranaense"," 274 046 "," 32 567 "," 65 668 "," 84 112 "," 42 158 "," 11 409 "," 3 575 "," 1 484 "," 33 073 ","Centro-Sul Paranaense"," 179 122 "," 19 716 "," 32 629 "," 9 901 "," 3 643 ","  932 ","  154 ","  49 "," 112 098 ",4108
"Metropolitana de Curitiba","2 993 183 "," 113 303 "," 358 698 "," 766 470 "," 597 663 "," 205 369 "," 76 481 "," 36 478 "," 838 720 ","Metropolitana de Curitiba","1 896 259 "," 52 463 "," 228 754 "," 689 737 "," 531 531 "," 182 463 "," 67 863 "," 32 286 "," 111 163 ","Metropolitana de Curitiba","1 096 924 "," 60 840 "," 129 944 "," 76 733 "," 66 131 "," 22 907 "," 8 619 "," 4 193 "," 727 557 ",4110
"Noroeste Paranaense"," 588 539 "," 37 199 "," 137 539 "," 166 212 "," 78 120 "," 18 437 "," 4 839 "," 2 170 "," 144 021 ","Noroeste Paranaense"," 364 729 "," 21 158 "," 77 815 "," 149 001 "," 71 610 "," 16 767 "," 4 530 "," 2 036 "," 21 813 ","Noroeste Paranaense"," 223 810 "," 16 041 "," 59 725 "," 17 211 "," 6 510 "," 1 670 ","  310 ","  135 "," 122 208 ",4101
"Norte Central Paranaense","1 773 398 "," 83 661 "," 318 425 "," 494 554 "," 293 929 "," 84 742 "," 26 567 "," 11 321 "," 460 198 ","Norte Central Paranaense","1 112 959 "," 45 345 "," 184 818 "," 444 533 "," 263 369 "," 76 639 "," 24 193 "," 10 656 "," 63 407 ","Norte Central Paranaense"," 660 438 "," 38 317 "," 133 608 "," 50 021 "," 30 560 "," 8 103 "," 2 374 ","  666 "," 396 791 ",4103
"Norte Pioneiro Paranaense"," 471 688 "," 40 666 "," 124 435 "," 109 532 "," 50 007 "," 13 042 "," 3 531 "," 1 545 "," 128 928 ","Norte Pioneiro Paranaense"," 274 083 "," 23 544 "," 75 773 "," 94 503 "," 43 235 "," 11 262 "," 3 157 "," 1 459 "," 21 150 ","Norte Pioneiro Paranaense"," 197 605 "," 17 123 "," 48 662 "," 15 029 "," 6 772 "," 1 781 ","  373 ","  86 "," 107 779 ",4104
"Oeste Paranaense","1 046 455 "," 63 684 "," 195 954 "," 275 491 "," 163 091 "," 47 451 "," 13 592 "," 6 352 "," 280 840 ","Oeste Paranaense"," 675 792 "," 36 906 "," 125 781 "," 250 228 "," 150 914 "," 44 594 "," 12 985 "," 6 021 "," 48 363 ","Oeste Paranaense"," 370 663 "," 26 777 "," 70 173 "," 25 263 "," 12 177 "," 2 857 ","  606 ","  332 "," 232 478 ",4106
"Sudeste Paranaense"," 341 768 "," 36 874 "," 80 848 "," 75 720 "," 35 180 "," 8 484 "," 2 263 ","  775 "," 101 625 ","Sudeste Paranaense"," 211 118 "," 24 883 "," 54 617 "," 66 033 "," 31 772 "," 7 806 "," 2 079 ","  740 "," 23 188 ","Sudeste Paranaense"," 130 650 "," 11 991 "," 26 231 "," 9 687 "," 3 408 ","  678 ","  183 ","  35 "," 78 437 ",4109
"Sudoeste Paranaense"," 428 233 "," 35 572 "," 93 194 "," 109 627 "," 62 474 "," 16 505 "," 4 943 "," 1 937 "," 103 981 ","Sudoeste Paranaense"," 284 639 "," 23 883 "," 59 252 "," 97 486 "," 58 238 "," 15 651 "," 4 748 "," 1 880 "," 23 501 ","Sudoeste Paranaense"," 143 594 "," 11 690 "," 33 942 "," 12 142 "," 4 236 ","  853 ","  195 ","  57 "," 80 480 ",4107
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Apucarana"," 248 346 "," 10 782 "," 45 462 "," 76 855 "," 39 168 "," 10 262 "," 2 902 ","  935 "," 61 978 ","Apucarana"," 159 287 "," 5 550 "," 26 668 "," 70 731 "," 35 442 "," 9 398 "," 2 721 ","  925 "," 7 853 ","Apucarana"," 89 059 "," 5 233 "," 18 794 "," 6 124 "," 3 727 ","  864 ","  181 ","  11 "," 54 125 ",41010
"Assaí"," 61 341 "," 6 042 "," 17 164 "," 12 905 "," 5 434 "," 1 437 ","  362 ","  147 "," 17 851 ","Assaí"," 34 311 "," 3 502 "," 10 287 "," 11 117 "," 4 788 "," 1 252 ","  343 ","  134 "," 2 889 ","Assaí"," 27 031 "," 2 539 "," 6 878 "," 1 789 ","  645 ","  185 ","  19 ","  13 "," 14 962 ",41014
"Astorga"," 160 541 "," 9 455 "," 36 344 "," 48 070 "," 21 188 "," 5 240 "," 1 124 ","  512 "," 38 608 ","Astorga"," 100 588 "," 5 223 "," 20 625 "," 43 464 "," 19 270 "," 4 695 "," 1 020 ","  496 "," 5 796 ","Astorga"," 59 952 "," 4 232 "," 15 719 "," 4 606 "," 1 917 ","  545 ","  104 ","  17 "," 32 812 ",41006
"Campo Mourão"," 187 824 "," 14 529 "," 43 141 "," 46 486 "," 23 695 "," 5 776 "," 1 856 ","  804 "," 51 538 ","Campo Mourão"," 112 665 "," 8 326 "," 24 682 "," 41 380 "," 21 637 "," 5 307 "," 1 708 ","  764 "," 8 863 ","Campo Mourão"," 75 159 "," 6 204 "," 18 459 "," 5 106 "," 2 058 ","  468 ","  149 ","  40 "," 42 675 ",41005
"Capanema"," 82 629 "," 8 106 "," 21 399 "," 21 152 "," 9 549 "," 2 369 ","  628 ","  217 "," 19 209 ","Capanema"," 54 947 "," 5 986 "," 13 840 "," 18 549 "," 8 878 "," 2 253 ","  603 ","  212 "," 4 625 ","Capanema"," 27 682 "," 2 121 "," 7 558 "," 2 603 ","  671 ","  115 ","  25 ","  5 "," 14 584 ",41025
"Cascavel"," 371 270 "," 22 455 "," 66 169 "," 96 801 "," 61 245 "," 17 888 "," 5 251 "," 2 486 "," 98 973 ","Cascavel"," 240 701 "," 12 818 "," 42 205 "," 88 579 "," 56 553 "," 16 887 "," 5 065 "," 2 377 "," 16 215 ","Cascavel"," 130 569 "," 9 637 "," 23 964 "," 8 222 "," 4 692 "," 1 001 ","  186 ","  109 "," 82 758 ",41023
"Cerro Azul"," 23 985 "," 3 721 "," 6 325 "," 3 939 "," 1 121 ","  217 ","  65 ","  32 "," 8 565 ","Cerro Azul"," 12 803 "," 2 231 "," 4 018 "," 3 393 "," 1 004 ","  213 ","  58 ","  32 "," 1 853 ","Cerro Azul"," 11 182 "," 1 490 "," 2 307 ","  546 ","  117 ","  4 ","  6 ","- "," 6 712 ",41035
"Cianorte"," 123 510 "," 5 215 "," 24 028 "," 40 695 "," 19 357 "," 4 288 ","  852 ","  391 "," 28 685 ","Cianorte"," 80 703 "," 3 036 "," 13 397 "," 37 176 "," 17 978 "," 3 885 ","  801 ","  347 "," 4 082 ","Cianorte"," 42 807 "," 2 179 "," 10 631 "," 3 518 "," 1 379 ","  402 ","  51 ","  44 "," 24 604 ",41003
"Cornélio Procópio"," 153 524 "," 12 503 "," 39 490 "," 36 700 "," 17 821 "," 4 671 "," 1 250 ","  550 "," 40 538 ","Cornélio Procópio"," 89 011 "," 7 029 "," 23 097 "," 31 312 "," 15 401 "," 4 052 "," 1 087 ","  539 "," 6 493 ","Cornélio Procópio"," 64 513 "," 5 474 "," 16 393 "," 5 388 "," 2 420 ","  619 ","  164 ","  11 "," 34 046 ",41015
"Curitiba","2 628 165 "," 84 840 "," 291 262 "," 683 751 "," 547 901 "," 191 950 "," 73 161 "," 35 165 "," 720 134 ","Curitiba","1 687 844 "," 36 913 "," 183 745 "," 617 960 "," 489 744 "," 171 144 "," 65 094 "," 31 133 "," 92 110 ","Curitiba"," 940 321 "," 47 927 "," 107 517 "," 65 791 "," 58 157 "," 20 806 "," 8 067 "," 4 032 "," 628 024 ",41037
"Faxinal"," 40 386 "," 3 667 "," 12 486 "," 9 474 "," 3 688 ","  965 ","  258 ","  69 "," 9 779 ","Faxinal"," 24 361 "," 2 308 "," 7 745 "," 8 299 "," 3 398 ","  903 ","  246 ","  62 "," 1 401 ","Faxinal"," 16 025 "," 1 359 "," 4 741 "," 1 175 ","  290 ","  62 ","  12 ","  7 "," 8 378 ",41012
"Floraí"," 30 757 "," 1 505 "," 7 231 "," 9 107 "," 3 944 ","  883 ","  180 ","  74 "," 7 834 ","Floraí"," 17 984 ","  745 "," 3 809 "," 7 990 "," 3 581 ","  778 ","  160 ","  66 ","  856 ","Floraí"," 12 773 ","  760 "," 3 422 "," 1 117 ","  363 ","  105 ","  20 ","  8 "," 6 979 ",41008
"Foz do Iguaçu"," 347 100 "," 20 937 "," 61 105 "," 86 783 "," 51 860 "," 16 342 "," 4 384 "," 2 204 "," 103 485 ","Foz do Iguaçu"," 218 111 "," 11 362 "," 40 918 "," 79 454 "," 48 187 "," 15 188 "," 4 101 "," 2 063 "," 16 838 ","Foz do Iguaçu"," 128 989 "," 9 574 "," 20 187 "," 7 328 "," 3 673 "," 1 154 ","  283 ","  141 "," 86 647 ",41024
"Francisco Beltrão"," 208 322 "," 18 289 "," 44 863 "," 53 349 "," 31 057 "," 8 033 "," 2 297 ","  975 "," 49 460 ","Francisco Beltrão"," 141 468 "," 12 622 "," 29 133 "," 47 747 "," 29 087 "," 7 628 "," 2 208 ","  950 "," 12 093 ","Francisco Beltrão"," 66 854 "," 5 667 "," 15 730 "," 5 601 "," 1 970 ","  405 ","  89 ","  25 "," 37 367 ",41026
"Goioerê"," 101 008 "," 10 038 "," 27 742 "," 22 108 "," 10 191 "," 2 646 ","  708 ","  256 "," 27 318 ","Goioerê"," 58 545 "," 5 875 "," 16 356 "," 18 845 "," 9 316 "," 2 486 ","  674 ","  247 "," 4 746 ","Goioerê"," 42 463 "," 4 163 "," 11 386 "," 3 262 ","  875 ","  161 ","  34 ","  9 "," 22 572 ",41004
"Guarapuava"," 315 426 "," 35 822 "," 65 424 "," 66 250 "," 33 544 "," 8 962 "," 2 890 "," 1 171 "," 101 362 ","Guarapuava"," 189 679 "," 22 014 "," 43 268 "," 59 404 "," 30 719 "," 8 215 "," 2 762 "," 1 136 "," 22 161 ","Guarapuava"," 125 746 "," 13 808 "," 22 156 "," 6 846 "," 2 825 ","  747 ","  128 ","  35 "," 79 201 ",41029
"Ibaiti"," 65 951 "," 6 903 "," 17 574 "," 14 169 "," 6 349 "," 1 440 ","  374 ","  194 "," 18 949 ","Ibaiti"," 37 938 "," 4 121 "," 10 796 "," 11 867 "," 5 570 "," 1 285 ","  359 ","  182 "," 3 758 ","Ibaiti"," 28 013 "," 2 782 "," 6 778 "," 2 302 ","  779 ","  155 ","  15 ","  12 "," 15 191 ",41017
"Irati"," 83 375 "," 7 106 "," 20 116 "," 19 256 "," 9 351 "," 2 343 ","  628 ","  193 "," 24 381 ","Irati"," 51 628 "," 5 134 "," 12 975 "," 16 991 "," 8 365 "," 2 110 ","  588 ","  193 "," 5 272 ","Irati"," 31 747 "," 1 972 "," 7 141 "," 2 265 ","  986 ","  233 ","  40 ","- "," 19 109 ",41032
"Ivaiporã"," 118 655 "," 15 022 "," 33 807 "," 23 053 "," 9 828 "," 2 699 ","  797 ","  257 "," 33 192 ","Ivaiporã"," 72 556 "," 10 849 "," 20 420 "," 19 756 "," 9 053 "," 2 518 ","  779 ","  253 "," 8 929 ","Ivaiporã"," 46 099 "," 4 174 "," 13 387 "," 3 298 ","  775 ","  181 ","  17 ","  4 "," 24 263 ",41013
"Jacarezinho"," 105 273 "," 6 689 "," 24 454 "," 26 655 "," 12 930 "," 3 474 "," 1 034 ","  461 "," 29 576 ","Jacarezinho"," 62 054 "," 3 683 "," 14 940 "," 23 657 "," 11 057 "," 2 897 ","  911 ","  418 "," 4 491 ","Jacarezinho"," 43 219 "," 3 006 "," 9 514 "," 2 998 "," 1 873 ","  578 ","  123 ","  43 "," 25 085 ",41016
"Jaguariaíva"," 83 439 "," 6 576 "," 16 857 "," 17 592 "," 9 448 "," 2 663 ","  648 ","  359 "," 29 296 ","Jaguariaíva"," 43 853 "," 2 571 "," 10 233 "," 15 260 "," 8 170 "," 2 416 ","  627 ","  341 "," 4 235 ","Jaguariaíva"," 39 586 "," 4 005 "," 6 624 "," 2 332 "," 1 278 ","  246 ","  21 ","  18 "," 25 061 ",41020
"Lapa"," 42 022 "," 3 385 "," 8 808 "," 10 347 "," 5 107 "," 1 272 ","  272 ","  121 "," 12 707 ","Lapa"," 24 866 "," 1 927 "," 5 757 "," 8 990 "," 4 506 "," 1 109 ","  264 ","  98 "," 2 216 ","Lapa"," 17 155 "," 1 458 "," 3 051 "," 1 357 ","  601 ","  164 ","  9 ","  23 "," 10 491 ",41036
"Londrina"," 628 926 "," 22 937 "," 98 178 "," 171 361 "," 114 154 "," 35 846 "," 11 883 "," 5 231 "," 169 336 ","Londrina"," 393 360 "," 11 236 "," 57 571 "," 153 870 "," 100 623 "," 32 180 "," 10 770 "," 4 873 "," 22 238 ","Londrina"," 235 566 "," 11 702 "," 40 608 "," 17 491 "," 13 531 "," 3 666 "," 1 113 ","  359 "," 147 098 ",41011
"Maringá"," 473 671 "," 15 912 "," 68 503 "," 137 077 "," 92 536 "," 26 738 "," 8 944 "," 4 065 "," 119 897 ","Maringá"," 302 943 "," 7 265 "," 38 540 "," 123 269 "," 83 711 "," 24 316 "," 8 046 "," 3 813 "," 13 984 ","Maringá"," 170 728 "," 8 647 "," 29 964 "," 13 808 "," 8 825 "," 2 422 ","  897 ","  251 "," 105 914 ",41009
"Palmas"," 74 162 "," 6 925 "," 15 690 "," 16 938 "," 7 489 "," 1 884 ","  536 ","  234 "," 24 465 ","Palmas"," 43 553 "," 3 670 "," 10 425 "," 15 221 "," 7 002 "," 1 761 ","  510 ","  225 "," 4 740 ","Palmas"," 30 608 "," 3 255 "," 5 265 "," 1 717 ","  487 ","  124 ","  26 ","  9 "," 19 725 ",41030
