"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.22.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Santa Catarina - 2010",,,,,,,,,,"Tabela 4.22.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Santa Catarina - 2010",,,,,,,,,,"Tabela 4.22.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Santa Catarina - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total","5 404 884 "," 203 273 "," 775 618 ","1 564 884 ","1 125 366 "," 296 318 "," 92 486 "," 39 168 ","1 307 772 ","Total","3 543 218 "," 112 007 "," 465 426 ","1 385 875 "," 998 320 "," 264 731 "," 81 272 "," 35 030 "," 200 555 ","Total","1 861 666 "," 91 266 "," 310 191 "," 179 008 "," 127 046 "," 31 587 "," 11 213 "," 4 137 ","1 107 217 ",42
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Grande Florianópolis"," 870 732 "," 21 716 "," 95 345 "," 233 259 "," 200 113 "," 70 888 "," 28 738 "," 12 483 "," 208 190 ","Grande Florianópolis"," 567 336 "," 10 203 "," 57 538 "," 207 454 "," 172 930 "," 58 724 "," 22 986 "," 10 354 "," 27 146 ","Grande Florianópolis"," 303 396 "," 11 512 "," 37 806 "," 25 805 "," 27 183 "," 12 164 "," 5 751 "," 2 129 "," 181 044 ",4205
"Norte Catarinense","1 039 735 "," 35 504 "," 133 050 "," 296 939 "," 222 085 "," 54 387 "," 15 968 "," 6 693 "," 275 110 ","Norte Catarinense"," 672 984 "," 19 392 "," 81 875 "," 264 539 "," 196 252 "," 49 990 "," 14 884 "," 6 331 "," 39 720 ","Norte Catarinense"," 366 751 "," 16 112 "," 51 175 "," 32 399 "," 25 833 "," 4 397 "," 1 084 ","  362 "," 235 391 ",4202
"Oeste Catarinense","1 037 085 "," 60 161 "," 194 962 "," 299 402 "," 184 475 "," 45 569 "," 13 047 "," 5 472 "," 233 999 ","Oeste Catarinense"," 708 801 "," 38 257 "," 121 056 "," 266 691 "," 171 553 "," 43 128 "," 12 492 "," 5 211 "," 50 413 ","Oeste Catarinense"," 328 284 "," 21 903 "," 73 907 "," 32 711 "," 12 922 "," 2 441 ","  554 ","  260 "," 183 586 ",4201
"Serrana"," 345 997 "," 23 408 "," 72 537 "," 82 159 "," 46 844 "," 12 732 "," 3 489 "," 1 503 "," 103 326 ","Serrana"," 201 576 "," 12 467 "," 44 938 "," 71 313 "," 40 674 "," 11 340 "," 3 139 "," 1 316 "," 16 390 ","Serrana"," 144 421 "," 10 941 "," 27 599 "," 10 845 "," 6 170 "," 1 392 ","  350 ","  187 "," 86 937 ",4203
"Sul Catarinense"," 804 015 "," 31 823 "," 131 886 "," 240 929 "," 153 137 "," 36 483 "," 9 644 "," 4 111 "," 196 002 ","Sul Catarinense"," 509 542 "," 16 465 "," 77 585 "," 209 448 "," 131 795 "," 32 526 "," 8 706 "," 3 786 "," 29 232 ","Sul Catarinense"," 294 472 "," 15 358 "," 54 301 "," 31 481 "," 21 342 "," 3 957 ","  938 ","  324 "," 166 770 ",4206
"Vale do Itajaí","1 307 320 "," 30 662 "," 147 837 "," 412 196 "," 318 713 "," 76 259 "," 21 601 "," 8 907 "," 291 144 ","Vale do Itajaí"," 882 979 "," 15 223 "," 82 434 "," 366 430 "," 285 116 "," 69 024 "," 19 065 "," 8 032 "," 37 655 ","Vale do Itajaí"," 424 341 "," 15 439 "," 65 404 "," 45 766 "," 33 597 "," 7 235 "," 2 536 ","  875 "," 253 490 ",4204
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Araranguá"," 155 606 "," 8 255 "," 31 350 "," 46 575 "," 24 997 "," 5 481 "," 1 491 ","  561 "," 36 896 ","Araranguá"," 102 396 "," 4 624 "," 19 939 "," 41 241 "," 22 132 "," 4 869 "," 1 364 ","  519 "," 7 706 ","Araranguá"," 53 210 "," 3 631 "," 11 410 "," 5 334 "," 2 864 ","  611 ","  127 ","  42 "," 29 191 ",42020
"Blumenau"," 591 978 "," 9 654 "," 54 248 "," 203 238 "," 158 554 "," 34 860 "," 9 763 "," 4 025 "," 117 636 ","Blumenau"," 409 757 "," 4 365 "," 27 361 "," 179 341 "," 141 945 "," 32 419 "," 8 889 "," 3 708 "," 11 730 ","Blumenau"," 182 221 "," 5 290 "," 26 887 "," 23 897 "," 16 609 "," 2 441 ","  874 ","  318 "," 105 906 ",42012
"Campos de Lages"," 242 784 "," 16 448 "," 50 417 "," 57 040 "," 33 230 "," 9 447 "," 2 648 "," 1 261 "," 72 293 ","Campos de Lages"," 143 032 "," 9 085 "," 32 211 "," 49 672 "," 28 568 "," 8 362 "," 2 348 "," 1 117 "," 11 671 ","Campos de Lages"," 99 752 "," 7 363 "," 18 207 "," 7 368 "," 4 662 "," 1 085 ","  300 ","  145 "," 60 623 ",42010
"Canoinhas"," 206 032 "," 15 414 "," 44 577 "," 49 146 "," 27 260 "," 6 300 "," 1 732 ","  832 "," 60 771 ","Canoinhas"," 126 820 "," 9 350 "," 30 372 "," 43 047 "," 24 014 "," 5 501 "," 1 642 ","  798 "," 12 096 ","Canoinhas"," 79 212 "," 6 064 "," 14 204 "," 6 099 "," 3 246 ","  800 ","  90 ","  34 "," 48 675 ",42006
"Chapecó"," 350 892 "," 21 316 "," 65 117 "," 102 007 "," 66 071 "," 17 113 "," 4 568 "," 1 840 "," 72 859 ","Chapecó"," 248 719 "," 13 722 "," 41 555 "," 91 559 "," 62 401 "," 16 278 "," 4 395 "," 1 756 "," 17 053 ","Chapecó"," 102 172 "," 7 594 "," 23 562 "," 10 449 "," 3 669 ","  835 ","  173 ","  84 "," 55 806 ",42002
"Concórdia"," 124 359 "," 5 845 "," 22 307 "," 39 531 "," 23 841 "," 5 739 "," 1 775 ","  866 "," 24 457 ","Concórdia"," 89 070 "," 3 989 "," 13 690 "," 35 515 "," 22 063 "," 5 517 "," 1 736 ","  814 "," 5 746 ","Concórdia"," 35 289 "," 1 855 "," 8 617 "," 4 016 "," 1 778 ","  223 ","  39 ","  52 "," 18 710 ",42005
"Criciúma"," 321 141 "," 10 637 "," 40 660 "," 97 002 "," 69 470 "," 16 830 "," 4 133 "," 1 969 "," 80 440 ","Criciúma"," 205 337 "," 5 421 "," 23 033 "," 84 138 "," 60 826 "," 15 368 "," 3 761 "," 1 841 "," 10 949 ","Criciúma"," 115 804 "," 5 216 "," 17 627 "," 12 864 "," 8 644 "," 1 462 ","  372 ","  129 "," 69 491 ",42019
"Curitibanos"," 103 214 "," 6 961 "," 22 119 "," 25 118 "," 13 614 "," 3 285 ","  841 ","  242 "," 31 033 ","Curitibanos"," 58 544 "," 3 382 "," 12 727 "," 21 642 "," 12 106 "," 2 978 ","  791 ","  199 "," 4 719 ","Curitibanos"," 44 669 "," 3 579 "," 9 392 "," 3 477 "," 1 508 ","  307 ","  50 ","  42 "," 26 314 ",42009
"Florianópolis"," 770 630 "," 17 477 "," 78 341 "," 201 720 "," 180 943 "," 67 466 "," 27 999 "," 12 278 "," 184 405 ","Florianópolis"," 500 607 "," 7 280 "," 47 436 "," 179 477 "," 155 368 "," 55 587 "," 22 322 "," 10 170 "," 22 967 ","Florianópolis"," 270 023 "," 10 197 "," 30 904 "," 22 243 "," 25 576 "," 11 879 "," 5 677 "," 2 108 "," 161 439 ",42016
"Itajaí"," 491 021 "," 12 335 "," 55 337 "," 136 467 "," 114 769 "," 31 969 "," 9 367 "," 3 813 "," 126 963 ","Itajaí"," 314 532 "," 5 228 "," 31 833 "," 121 926 "," 101 016 "," 27 748 "," 7 809 "," 3 324 "," 15 648 ","Itajaí"," 176 489 "," 7 107 "," 23 504 "," 14 541 "," 13 753 "," 4 221 "," 1 558 ","  489 "," 111 315 ",42013
"Ituporanga"," 47 706 "," 2 958 "," 10 134 "," 14 303 "," 8 191 "," 1 619 ","  462 ","  162 "," 9 877 ","Ituporanga"," 34 682 "," 2 210 "," 7 091 "," 12 865 "," 7 730 "," 1 502 ","  441 ","  162 "," 2 680 ","Ituporanga"," 13 025 ","  748 "," 3 043 "," 1 438 ","  461 ","  117 ","  20 ","- "," 7 197 ",42014
"Joaçaba"," 279 186 "," 12 924 "," 47 679 "," 81 997 "," 50 626 "," 11 720 "," 3 425 "," 1 507 "," 69 309 ","Joaçaba"," 179 122 "," 6 654 "," 27 509 "," 72 506 "," 45 996 "," 10 911 "," 3 263 "," 1 430 "," 10 854 ","Joaçaba"," 100 064 "," 6 269 "," 20 170 "," 9 491 "," 4 630 ","  809 ","  161 ","  77 "," 58 455 ",42004
"Joinville"," 726 435 "," 16 161 "," 73 886 "," 212 201 "," 176 662 "," 44 038 "," 13 137 "," 5 326 "," 185 024 ","Joinville"," 477 048 "," 7 947 "," 42 349 "," 189 333 "," 155 872 "," 40 746 "," 12 200 "," 5 013 "," 23 587 ","Joinville"," 249 387 "," 8 213 "," 31 537 "," 22 868 "," 20 790 "," 3 292 ","  937 ","  313 "," 161 437 ",42008
"Rio do Sul"," 176 615 "," 5 714 "," 28 118 "," 58 188 "," 37 199 "," 7 811 "," 2 010 ","  906 "," 36 668 ","Rio do Sul"," 124 008 "," 3 420 "," 16 149 "," 52 299 "," 34 425 "," 7 355 "," 1 926 ","  837 "," 7 596 ","Rio do Sul"," 52 607 "," 2 294 "," 11 969 "," 5 890 "," 2 774 ","  456 ","  84 ","  68 "," 29 072 ",42011
"São Bento do Sul"," 107 268 "," 3 929 "," 14 587 "," 35 592 "," 18 163 "," 4 048 "," 1 099 ","  535 "," 29 315 ","São Bento do Sul"," 69 116 "," 2 096 "," 9 153 "," 32 159 "," 16 366 "," 3 743 "," 1 042 ","  520 "," 4 037 ","São Bento do Sul"," 38 152 "," 1 834 "," 5 433 "," 3 433 "," 1 797 ","  305 ","  57 ","  14 "," 25 278 ",42007
"São Miguel do Oeste"," 152 908 "," 11 376 "," 34 962 "," 40 997 "," 24 475 "," 6 511 "," 1 913 ","  734 "," 31 938 ","São Miguel do Oeste"," 109 881 "," 8 613 "," 23 149 "," 35 877 "," 22 965 "," 6 137 "," 1 791 ","  701 "," 10 648 ","São Miguel do Oeste"," 43 026 "," 2 764 "," 11 813 "," 5 120 "," 1 510 ","  374 ","  122 ","  33 "," 21 290 ",42001
"Tabuleiro"," 20 888 "," 1 760 "," 5 038 "," 5 764 "," 2 821 ","  616 ","  83 ","  62 "," 4 745 ","Tabuleiro"," 14 943 "," 1 483 "," 3 514 "," 5 106 "," 2 580 ","  557 ","  62 ","  54 "," 1 586 ","Tabuleiro"," 5 945 ","  277 "," 1 523 ","  658 ","  241 ","  59 ","  21 ","  8 "," 3 158 ",42017
"Tijucas"," 79 214 "," 2 479 "," 11 966 "," 25 775 "," 16 350 "," 2 806 ","  655 ","  143 "," 19 040 ","Tijucas"," 51 786 "," 1 440 "," 6 588 "," 22 871 "," 14 982 "," 2 580 ","  602 ","  130 "," 2 593 ","Tijucas"," 27 428 "," 1 039 "," 5 379 "," 2 904 "," 1 367 ","  226 ","  54 ","  13 "," 16 447 ",42015
"Tubarão"," 327 268 "," 12 931 "," 59 876 "," 97 352 "," 58 670 "," 14 173 "," 4 020 "," 1 580 "," 78 666 ","Tubarão"," 201 810 "," 6 420 "," 34 613 "," 84 069 "," 48 836 "," 12 289 "," 3 580 "," 1 426 "," 10 578 ","Tubarão"," 125 458 "," 6 511 "," 25 263 "," 13 283 "," 9 835 "," 1 884 ","  440 ","  154 "," 68 088 ",42018
"Xanxerê"," 129 741 "," 8 700 "," 24 897 "," 34 870 "," 19 462 "," 4 485 "," 1 366 ","  525 "," 35 437 ","Xanxerê"," 82 008 "," 5 279 "," 15 152 "," 31 234 "," 18 128 "," 4 285 "," 1 308 ","  510 "," 6 112 ","Xanxerê"," 47 732 "," 3 420 "," 9 745 "," 3 636 "," 1 334 ","  200 ","  58 ","  14 "," 29 325 ",42003
"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,
"Abdon Batista"," 2 298 ","  298 ","  605 ","  373 ","  250 ","  53 ","  7 ","- ","  713 ","Abdon Batista"," 1 116 ","  169 ","  265 ","  285 ","  238 ","  53 ","  7 ","- ","  100 ","Abdon Batista"," 1 182 ","  130 ","  340 ","  87 ","  12 ","- ","- ","- ","  613 ",4200051
"Abelardo Luz"," 14 197 "," 1 449 "," 3 010 "," 3 040 "," 1 525 ","  376 ","  62 ","  40 "," 4 695 ","Abelardo Luz"," 9 013 ","  921 "," 1 970 "," 2 743 "," 1 431 ","  370 ","  62 ","  40 "," 1 477 ","Abelardo Luz"," 5 184 ","  528 "," 1 040 ","  298 ","  95 ","  6 ","- ","- "," 3 218 ",4200101
"Agrolândia"," 7 994 ","  331 "," 1 369 "," 2 775 "," 1 593 ","  264 ","  44 ","  14 "," 1 604 ","Agrolândia"," 5 720 ","  203 ","  893 "," 2 501 "," 1 490 ","  259 ","  44 ","  14 ","  315 ","Agrolândia"," 2 273 ","  128 ","  476 ","  273 ","  103 ","  5 ","- ","- "," 1 289 ",4200200
"Agronômica"," 4 191 ","  108 ","  784 "," 1 287 "," 1 012 ","  176 ","  56 ","  19 ","  750 ","Agronômica"," 3 069 ","  65 ","  506 "," 1 164 ","  973 ","  174 ","  54 ","  19 ","  115 ","Agronômica"," 1 123 ","  43 ","  278 ","  123 ","  39 ","  2 ","  2 ","- ","  635 ",4200309
"Água Doce"," 5 868 ","  489 "," 1 227 "," 1 434 ","  800 ","  257 ","  69 ","  22 "," 1 569 ","Água Doce"," 3 866 ","  300 ","  832 "," 1 247 ","  728 ","  231 ","  69 ","  22 ","  436 ","Água Doce"," 2 002 ","  189 ","  395 ","  186 ","  72 ","  26 ","- ","- "," 1 133 ",4200408
"Águas de Chapecó"," 5 310 ","  365 "," 1 304 "," 1 270 ","  835 ","  152 ","  39 ","  12 "," 1 332 ","Águas de Chapecó"," 3 514 ","  251 ","  796 "," 1 098 ","  790 ","  143 ","  36 ","  12 ","  388 ","Águas de Chapecó"," 1 796 ","  114 ","  508 ","  172 ","  45 ","  10 ","  3 ","- ","  943 ",4200507
"Águas Frias"," 2 121 ","  159 ","  527 ","  648 ","  359 ","  65 ","  12 ","  6 ","  345 ","Águas Frias"," 1 465 ","  96 ","  320 ","  536 ","  329 ","  65 ","  12 ","  6 ","  101 ","Águas Frias","  656 ","  62 ","  207 ","  113 ","  30 ","- ","- ","- ","  244 ",4200556
"Águas Mornas"," 4 927 ","  300 "," 1 009 "," 1 640 ","  943 ","  129 ","  20 ","  7 ","  878 ","Águas Mornas"," 3 766 ","  268 ","  707 "," 1 522 ","  886 ","  110 ","  20 ","  7 ","  246 ","Águas Mornas"," 1 161 ","  33 ","  302 ","  118 ","  57 ","  19 ","- ","- ","  631 ",4200606
"Alfredo Wagner"," 8 067 ","  668 "," 1 809 "," 1 985 ","  918 ","  252 ","  23 ","  15 "," 2 397 ","Alfredo Wagner"," 5 366 ","  536 "," 1 140 "," 1 734 ","  852 ","  242 ","  17 ","  15 ","  828 ","Alfredo Wagner"," 2 702 ","  132 ","  669 ","  251 ","  66 ","  10 ","  6 ","- "," 1 569 ",4200705
"Alto Bela Vista"," 1 777 ","  183 ","  403 ","  550 ","  250 ","  39 ","  13 ","  12 ","  328 ","Alto Bela Vista"," 1 271 ","  150 ","  235 ","  473 ","  217 ","  37 ","  13 ","  9 ","  136 ","Alto Bela Vista","  506 ","  33 ","  168 ","  77 ","  32 ","  2 ","- ","  2 ","  191 ",4200754
