"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.23.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Rio Grande do Sul - 2010",,,,,,,,,,"Tabela 4.23.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Rio Grande do Sul - 2010",,,,,,,,,,"Tabela 4.23.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Rio Grande do Sul - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total","9 327 696 "," 516 920 ","1 667 379 ","2 454 276 ","1 605 195 "," 482 101 "," 169 965 "," 74 465 ","2 357 396 ","Total","5 818 585 "," 295 301 ","1 027 588 ","2 104 434 ","1 361 670 "," 414 865 "," 146 096 "," 65 712 "," 402 918 ","Total","3 509 111 "," 221 618 "," 639 791 "," 349 842 "," 243 524 "," 67 236 "," 23 869 "," 8 752 ","1 954 478 ",43
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Centro Ocidental Rio-grandense"," 472 247 "," 35 958 "," 97 676 "," 104 481 "," 67 704 "," 24 725 "," 9 270 "," 3 627 "," 128 807 ","Centro Ocidental Rio-grandense"," 275 717 "," 20 782 "," 59 659 "," 87 083 "," 54 559 "," 19 564 "," 7 259 "," 2 964 "," 23 848 ","Centro Ocidental Rio-grandense"," 196 530 "," 15 176 "," 38 017 "," 17 398 "," 13 144 "," 5 161 "," 2 011 ","  664 "," 104 959 ",4303
"Centro Oriental Rio-grandense"," 685 333 "," 39 720 "," 142 379 "," 204 245 "," 115 780 "," 28 193 "," 7 641 "," 3 246 "," 144 129 ","Centro Oriental Rio-grandense"," 462 199 "," 26 362 "," 93 875 "," 176 340 "," 100 518 "," 24 691 "," 6 650 "," 2 911 "," 30 852 ","Centro Oriental Rio-grandense"," 223 134 "," 13 358 "," 48 504 "," 27 906 "," 15 262 "," 3 502 ","  990 ","  335 "," 113 277 ",4304
"Metropolitana de Porto Alegre","4 116 204 "," 162 276 "," 616 343 ","1 128 458 "," 755 936 "," 245 686 "," 96 926 "," 44 457 ","1 066 122 ","Metropolitana de Porto Alegre","2 551 163 "," 81 570 "," 381 026 "," 977 086 "," 632 240 "," 209 238 "," 82 396 "," 38 896 "," 148 711 ","Metropolitana de Porto Alegre","1 565 041 "," 80 706 "," 235 317 "," 151 372 "," 123 695 "," 36 448 "," 14 530 "," 5 561 "," 917 411 ",4305
"Nordeste Rio-grandense"," 926 978 "," 30 502 "," 122 516 "," 270 979 "," 222 549 "," 60 734 "," 16 633 "," 6 745 "," 196 319 ","Nordeste Rio-grandense"," 631 048 "," 15 637 "," 74 832 "," 237 810 "," 197 169 "," 55 855 "," 15 436 "," 6 205 "," 28 104 ","Nordeste Rio-grandense"," 295 930 "," 14 865 "," 47 684 "," 33 169 "," 25 380 "," 4 878 "," 1 198 ","  541 "," 168 215 ",4302
"Noroeste Rio-grandense","1 708 609 "," 133 539 "," 368 900 "," 432 950 "," 266 134 "," 70 397 "," 22 031 "," 9 392 "," 405 267 ","Noroeste Rio-grandense","1 106 711 "," 88 153 "," 228 107 "," 366 258 "," 235 410 "," 63 340 "," 19 913 "," 8 594 "," 96 936 ","Noroeste Rio-grandense"," 601 897 "," 45 386 "," 140 792 "," 66 692 "," 30 724 "," 7 056 "," 2 118 ","  798 "," 308 331 ",4301
"Sudeste Rio-grandense"," 796 732 "," 61 794 "," 177 138 "," 179 510 "," 106 232 "," 31 357 "," 10 232 "," 3 831 "," 226 638 ","Sudeste Rio-grandense"," 448 549 "," 34 748 "," 104 571 "," 145 206 "," 84 145 "," 25 330 "," 8 372 "," 3 316 "," 42 861 ","Sudeste Rio-grandense"," 348 183 "," 27 045 "," 72 568 "," 34 304 "," 22 087 "," 6 028 "," 1 861 ","  514 "," 183 777 ",4307
"Sudoeste Rio-grandense"," 621 594 "," 53 131 "," 142 428 "," 133 652 "," 70 861 "," 21 009 "," 7 232 "," 3 166 "," 190 115 ","Sudoeste Rio-grandense"," 343 198 "," 28 049 "," 85 518 "," 114 651 "," 57 629 "," 16 846 "," 6 071 "," 2 827 "," 31 606 ","Sudoeste Rio-grandense"," 278 396 "," 25 082 "," 56 910 "," 19 001 "," 13 232 "," 4 162 "," 1 162 ","  338 "," 158 508 ",4306
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Cachoeira do Sul"," 133 616 "," 10 539 "," 31 733 "," 32 080 "," 16 867 "," 4 563 "," 1 477 ","  427 "," 35 930 ","Cachoeira do Sul"," 77 581 "," 6 276 "," 19 367 "," 26 395 "," 13 497 "," 3 583 "," 1 133 ","  367 "," 6 964 ","Cachoeira do Sul"," 56 035 "," 4 263 "," 12 367 "," 5 685 "," 3 370 ","  980 ","  344 ","  60 "," 28 966 ",43022
"Camaquã"," 112 317 "," 9 869 "," 28 686 "," 24 471 "," 12 546 "," 2 978 ","  717 ","  293 "," 32 757 ","Camaquã"," 65 789 "," 6 233 "," 18 340 "," 20 694 "," 10 795 "," 2 477 ","  613 ","  284 "," 6 354 ","Camaquã"," 46 528 "," 3 637 "," 10 346 "," 3 777 "," 1 751 ","  500 ","  105 ","  9 "," 26 403 ",43028
"Campanha Central"," 159 961 "," 14 844 "," 39 952 "," 32 560 "," 17 663 "," 5 433 "," 1 762 ","  774 "," 46 973 ","Campanha Central"," 88 690 "," 8 495 "," 23 522 "," 27 433 "," 14 230 "," 4 156 "," 1 459 ","  629 "," 8 767 ","Campanha Central"," 71 271 "," 6 349 "," 16 430 "," 5 127 "," 3 433 "," 1 278 ","  303 ","  145 "," 38 206 ",43030
"Campanha Meridional"," 150 190 "," 11 607 "," 35 167 "," 32 902 "," 18 010 "," 5 579 "," 2 155 ","  781 "," 43 987 ","Campanha Meridional"," 82 432 "," 5 932 "," 20 913 "," 27 808 "," 14 032 "," 4 487 "," 1 839 ","  673 "," 6 748 ","Campanha Meridional"," 67 758 "," 5 675 "," 14 254 "," 5 094 "," 3 978 "," 1 092 ","  316 ","  108 "," 37 239 ",43031
"Campanha Ocidental"," 311 443 "," 26 681 "," 67 308 "," 68 190 "," 35 188 "," 9 996 "," 3 315 "," 1 611 "," 99 154 ","Campanha Ocidental"," 172 076 "," 13 623 "," 41 083 "," 59 410 "," 29 367 "," 8 204 "," 2 773 "," 1 525 "," 16 092 ","Campanha Ocidental"," 139 367 "," 13 058 "," 26 225 "," 8 780 "," 5 821 "," 1 792 ","  543 ","  86 "," 83 062 ",43029
"Carazinho"," 139 714 "," 10 707 "," 30 045 "," 34 832 "," 21 042 "," 5 119 "," 1 649 ","  879 "," 35 442 ","Carazinho"," 87 680 "," 6 734 "," 18 317 "," 28 954 "," 18 231 "," 4 622 "," 1 485 ","  812 "," 8 525 ","Carazinho"," 52 034 "," 3 973 "," 11 728 "," 5 878 "," 2 811 ","  497 ","  164 ","  67 "," 26 916 ",43009
"Caxias do Sul"," 678 762 "," 17 171 "," 71 627 "," 200 787 "," 179 324 "," 50 233 "," 14 123 "," 5 612 "," 139 885 ","Caxias do Sul"," 467 808 "," 7 962 "," 42 277 "," 176 193 "," 158 469 "," 46 122 "," 13 131 "," 5 171 "," 18 482 ","Caxias do Sul"," 210 954 "," 9 209 "," 29 351 "," 24 594 "," 20 856 "," 4 111 ","  992 ","  441 "," 121 402 ",43016
"Cerro Largo"," 58 887 "," 5 922 "," 15 316 "," 13 855 "," 7 755 "," 1 532 ","  398 ","  172 "," 13 939 ","Cerro Largo"," 38 514 "," 4 306 "," 9 558 "," 11 204 "," 6 980 "," 1 394 ","  379 ","  165 "," 4 528 ","Cerro Largo"," 20 373 "," 1 615 "," 5 758 "," 2 651 ","  775 ","  138 ","  18 ","  7 "," 9 411 ",43006
"Cruz Alta"," 130 885 "," 10 161 "," 27 359 "," 31 267 "," 20 051 "," 5 762 "," 1 859 ","  790 "," 33 635 ","Cruz Alta"," 81 395 "," 5 887 "," 17 007 "," 26 877 "," 17 394 "," 4 986 "," 1 654 ","  786 "," 6 804 ","Cruz Alta"," 49 491 "," 4 275 "," 10 352 "," 4 390 "," 2 657 ","  777 ","  205 ","  4 "," 26 831 ",43011
"Erechim"," 187 902 "," 11 695 "," 37 221 "," 51 872 "," 33 889 "," 8 662 "," 2 698 "," 1 068 "," 40 797 ","Erechim"," 123 469 "," 7 491 "," 22 032 "," 43 710 "," 30 299 "," 7 927 "," 2 424 ","  986 "," 8 600 ","Erechim"," 64 432 "," 4 204 "," 15 188 "," 8 162 "," 3 590 ","  735 ","  274 ","  82 "," 32 197 ",43004
"Frederico Westphalen"," 152 499 "," 17 617 "," 38 458 "," 34 277 "," 18 846 "," 4 622 "," 1 556 ","  501 "," 36 623 ","Frederico Westphalen"," 103 959 "," 13 219 "," 25 516 "," 28 934 "," 17 151 "," 4 370 "," 1 458 ","  478 "," 12 832 ","Frederico Westphalen"," 48 540 "," 4 398 "," 12 942 "," 5 343 "," 1 695 ","  252 ","  98 ","  23 "," 23 791 ",43003
"Gramado-Canela"," 257 496 "," 8 832 "," 42 175 "," 95 837 "," 47 323 "," 10 042 "," 3 065 "," 1 254 "," 48 967 ","Gramado-Canela"," 180 370 "," 5 056 "," 27 042 "," 86 355 "," 42 680 "," 9 010 "," 2 830 "," 1 149 "," 6 248 ","Gramado-Canela"," 77 126 "," 3 776 "," 15 134 "," 9 482 "," 4 643 "," 1 032 ","  235 ","  105 "," 42 719 ",43024
"Guaporé"," 113 416 "," 4 608 "," 21 589 "," 36 087 "," 24 694 "," 5 513 "," 1 254 ","  645 "," 19 027 ","Guaporé"," 82 541 "," 3 205 "," 14 052 "," 31 977 "," 22 658 "," 5 226 "," 1 178 ","  598 "," 3 647 ","Guaporé"," 30 875 "," 1 403 "," 7 537 "," 4 110 "," 2 037 ","  287 ","  76 ","  47 "," 15 380 ",43014
"Ijuí"," 161 467 "," 11 008 "," 32 234 "," 40 194 "," 26 880 "," 7 785 "," 2 420 "," 1 065 "," 39 881 ","Ijuí"," 103 128 "," 6 900 "," 19 162 "," 34 205 "," 24 041 "," 7 155 "," 2 286 ","  991 "," 8 389 ","Ijuí"," 58 338 "," 4 108 "," 13 072 "," 5 990 "," 2 838 ","  630 ","  134 ","  75 "," 31 492 ",43008
"Jaguarão"," 46 034 "," 4 548 "," 12 583 "," 10 194 "," 3 848 "," 1 337 ","  314 ","  133 "," 13 079 ","Jaguarão"," 24 195 "," 2 497 "," 7 067 "," 8 048 "," 3 023 "," 1 014 ","  273 ","  111 "," 2 163 ","Jaguarão"," 21 839 "," 2 051 "," 5 516 "," 2 147 ","  825 ","  323 ","  41 ","  22 "," 10 915 ",43034
"Lajeado-Estrela"," 270 356 "," 10 586 "," 48 616 "," 91 769 "," 54 816 "," 12 727 "," 2 884 "," 1 371 "," 47 586 ","Lajeado-Estrela"," 193 171 "," 7 066 "," 32 223 "," 80 617 "," 48 716 "," 11 670 "," 2 647 "," 1 246 "," 8 986 ","Lajeado-Estrela"," 77 185 "," 3 520 "," 16 394 "," 11 152 "," 6 100 "," 1 057 ","  236 ","  125 "," 38 600 ",43021
"Litoral Lagunar"," 225 303 "," 14 763 "," 46 121 "," 49 230 "," 33 560 "," 10 461 "," 3 424 "," 1 165 "," 66 580 ","Litoral Lagunar"," 119 757 "," 7 041 "," 25 972 "," 39 404 "," 25 063 "," 8 238 "," 2 706 "," 1 024 "," 10 309 ","Litoral Lagunar"," 105 546 "," 7 722 "," 20 148 "," 9 826 "," 8 497 "," 2 223 ","  718 ","  141 "," 56 271 ",43035
"Montenegro"," 177 197 "," 7 112 "," 31 909 "," 58 532 "," 32 662 "," 6 664 "," 1 893 ","  577 "," 37 848 ","Montenegro"," 118 945 "," 4 168 "," 20 166 "," 51 720 "," 28 868 "," 5 957 "," 1 744 ","  523 "," 5 798 ","Montenegro"," 58 252 "," 2 944 "," 11 743 "," 6 811 "," 3 794 ","  708 ","  149 ","  53 "," 32 049 ",43023
"Não-Me-Toque"," 37 256 "," 1 964 "," 7 535 "," 11 040 "," 6 694 "," 1 789 ","  530 ","  236 "," 7 469 ","Não-Me-Toque"," 25 654 "," 1 230 "," 4 613 "," 9 579 "," 6 100 "," 1 694 ","  500 ","  227 "," 1 710 ","Não-Me-Toque"," 11 602 ","  734 "," 2 922 "," 1 460 ","  594 ","  94 ","  30 ","  9 "," 5 758 ",43012
"Osório"," 295 026 "," 18 041 "," 60 800 "," 75 730 "," 45 415 "," 11 989 "," 3 257 "," 1 057 "," 78 737 ","Osório"," 175 523 "," 9 812 "," 38 739 "," 64 221 "," 36 541 "," 9 436 "," 2 556 ","  902 "," 13 317 ","Osório"," 119 503 "," 8 229 "," 22 062 "," 11 509 "," 8 874 "," 2 554 ","  701 ","  155 "," 65 421 ",43027
"Passo Fundo"," 286 238 "," 12 757 "," 49 492 "," 81 038 "," 55 068 "," 15 627 "," 4 952 "," 2 204 "," 65 100 ","Passo Fundo"," 187 262 "," 6 961 "," 30 504 "," 70 417 "," 48 431 "," 13 761 "," 4 399 "," 2 033 "," 10 755 ","Passo Fundo"," 98 976 "," 5 797 "," 18 988 "," 10 620 "," 6 636 "," 1 866 ","  553 ","  171 "," 54 345 ",43010
"Pelotas"," 424 072 "," 30 251 "," 91 790 "," 99 559 "," 58 970 "," 16 992 "," 5 875 "," 2 327 "," 118 308 ","Pelotas"," 246 410 "," 17 777 "," 55 393 "," 81 127 "," 48 066 "," 13 922 "," 4 863 "," 2 004 "," 23 259 ","Pelotas"," 177 663 "," 12 475 "," 36 397 "," 18 432 "," 10 904 "," 3 070 "," 1 012 ","  324 "," 95 049 ",43033
"Porto Alegre","3 150 061 "," 108 636 "," 428 981 "," 845 605 "," 599 977 "," 209 854 "," 87 122 "," 41 002 "," 828 883 ","Porto Alegre","1 941 254 "," 50 043 "," 262 294 "," 731 222 "," 498 739 "," 178 897 "," 73 868 "," 35 811 "," 110 381 ","Porto Alegre","1 208 807 "," 58 593 "," 166 687 "," 114 384 "," 101 238 "," 30 957 "," 13 254 "," 5 191 "," 718 502 ",43026
"Restinga Seca"," 56 220 "," 5 112 "," 14 188 "," 13 096 "," 7 387 "," 1 936 ","  483 ","  279 "," 13 741 ","Restinga Seca"," 35 551 "," 3 173 "," 9 003 "," 10 978 "," 6 673 "," 1 760 ","  448 ","  261 "," 3 255 ","Restinga Seca"," 20 670 "," 1 939 "," 5 184 "," 2 117 ","  715 ","  176 ","  35 ","  18 "," 10 485 ",43019
"Sananduva"," 53 830 "," 5 052 "," 13 314 "," 12 841 "," 7 842 "," 1 826 ","  616 ","  172 "," 12 168 ","Sananduva"," 36 632 "," 3 604 "," 8 577 "," 10 860 "," 7 238 "," 1 708 ","  594 ","  159 "," 3 892 ","Sananduva"," 17 198 "," 1 448 "," 4 737 "," 1 981 ","  604 ","  118 ","  22 ","  12 "," 8 275 ",43005
"Santa Cruz do Sul"," 281 361 "," 18 595 "," 62 029 "," 80 396 "," 44 097 "," 10 904 "," 3 280 "," 1 448 "," 60 613 ","Santa Cruz do Sul"," 191 447 "," 13 020 "," 42 286 "," 69 328 "," 38 305 "," 9 438 "," 2 871 "," 1 298 "," 14 902 ","Santa Cruz do Sul"," 89 914 "," 5 575 "," 19 743 "," 11 068 "," 5 792 "," 1 466 ","  410 ","  150 "," 45 711 ",43020
"Santa Maria"," 319 658 "," 21 950 "," 60 343 "," 71 701 "," 49 159 "," 18 810 "," 7 696 "," 2 867 "," 87 132 ","Santa Maria"," 183 391 "," 12 040 "," 36 682 "," 59 440 "," 38 296 "," 14 701 "," 5 867 "," 2 298 "," 14 067 ","Santa Maria"," 136 267 "," 9 910 "," 23 661 "," 12 261 "," 10 863 "," 4 110 "," 1 829 ","  569 "," 73 065 ",43018
