"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.24.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Mato Grosso do Sul - 2010",,,,,,,,,,"Tabela 4.24.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Mato Grosso do Sul - 2010",,,,,,,,,,"Tabela 4.24.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Mato Grosso do Sul - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total","2 059 723 "," 146 623 "," 394 969 "," 483 734 "," 278 825 "," 91 301 "," 30 886 "," 14 259 "," 619 126 ","Total","1 258 710 "," 73 265 "," 261 791 "," 446 319 "," 255 425 "," 82 216 "," 27 552 "," 13 193 "," 98 948 ","Total"," 801 013 "," 73 358 "," 133 178 "," 37 414 "," 23 400 "," 9 084 "," 3 334 "," 1 066 "," 520 179 ",50
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Centro Norte de Mato Grosso do Sul"," 845 807 "," 46 955 "," 144 208 "," 211 591 "," 130 638 "," 48 815 "," 18 029 "," 8 666 "," 236 904 ","Centro Norte de Mato Grosso do Sul"," 541 508 "," 22 035 "," 98 261 "," 196 376 "," 118 326 "," 43 670 "," 15 841 "," 7 859 "," 39 139 ","Centro Norte de Mato Grosso do Sul"," 304 299 "," 24 920 "," 45 947 "," 15 215 "," 12 312 "," 5 146 "," 2 188 ","  807 "," 197 765 ",5002
"Leste de Mato Grosso do Sul"," 322 833 "," 22 241 "," 62 606 "," 84 374 "," 47 005 "," 12 217 "," 3 468 "," 1 423 "," 89 500 ","Leste de Mato Grosso do Sul"," 201 123 "," 10 458 "," 39 596 "," 77 599 "," 43 453 "," 11 136 "," 3 135 "," 1 361 "," 14 385 ","Leste de Mato Grosso do Sul"," 121 710 "," 11 783 "," 23 010 "," 6 775 "," 3 552 "," 1 081 ","  333 ","  62 "," 75 115 ",5003
"Pantanais Sul Mato-grossense"," 200 834 "," 18 108 "," 43 195 "," 37 857 "," 19 414 "," 6 905 "," 1 944 ","  677 "," 72 734 ","Pantanais Sul Mato-grossense"," 109 308 "," 9 211 "," 29 560 "," 34 454 "," 17 188 "," 5 850 "," 1 668 ","  623 "," 10 754 ","Pantanais Sul Mato-grossense"," 91 526 "," 8 898 "," 13 635 "," 3 403 "," 2 226 "," 1 055 ","  276 ","  54 "," 61 979 ",5001
"Sudoeste de Mato Grosso do Sul"," 690 248 "," 59 319 "," 144 959 "," 149 912 "," 81 768 "," 23 363 "," 7 445 "," 3 493 "," 219 989 ","Sudoeste de Mato Grosso do Sul"," 406 771 "," 31 562 "," 94 373 "," 137 890 "," 76 458 "," 21 560 "," 6 908 "," 3 350 "," 34 669 ","Sudoeste de Mato Grosso do Sul"," 283 478 "," 27 757 "," 50 586 "," 12 021 "," 5 310 "," 1 803 ","  537 ","  143 "," 185 320 ",5004
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Alto Taquari"," 99 102 "," 8 546 "," 20 825 "," 24 131 "," 12 683 "," 3 359 ","  931 ","  496 "," 28 131 ","Alto Taquari"," 61 710 "," 3 910 "," 14 052 "," 22 746 "," 12 017 "," 3 146 ","  897 ","  496 "," 4 445 ","Alto Taquari"," 37 393 "," 4 636 "," 6 773 "," 1 385 ","  666 ","  214 ","  34 ","- "," 23 686 ",50003
"Aquidauana"," 87 150 "," 8 833 "," 20 596 "," 16 322 "," 7 212 "," 2 261 ","  668 ","  212 "," 31 046 ","Aquidauana"," 46 241 "," 4 498 "," 13 428 "," 14 798 "," 6 578 "," 2 003 ","  553 ","  192 "," 4 190 ","Aquidauana"," 40 909 "," 4 335 "," 7 167 "," 1 525 ","  634 ","  258 ","  114 ","  20 "," 26 856 ",50002
"Baixo Pantanal"," 113 685 "," 9 275 "," 22 599 "," 21 534 "," 12 202 "," 4 644 "," 1 277 ","  465 "," 41 688 ","Baixo Pantanal"," 63 067 "," 4 713 "," 16 132 "," 19 656 "," 10 610 "," 3 847 "," 1 115 ","  431 "," 6 564 ","Baixo Pantanal"," 50 617 "," 4 563 "," 6 468 "," 1 878 "," 1 592 ","  797 ","  162 ","  34 "," 35 124 ",50001
"Bodoquena"," 87 280 "," 9 119 "," 20 995 "," 17 008 "," 8 072 "," 2 832 ","  674 ","  434 "," 28 146 ","Bodoquena"," 51 014 "," 4 756 "," 14 477 "," 16 025 "," 7 497 "," 2 579 ","  562 ","  403 "," 4 715 ","Bodoquena"," 36 266 "," 4 363 "," 6 518 ","  983 ","  575 ","  253 ","  112 ","  30 "," 23 432 ",50009
"Campo Grande"," 746 704 "," 38 409 "," 123 383 "," 187 460 "," 117 955 "," 45 456 "," 17 097 "," 8 171 "," 208 773 ","Campo Grande"," 479 799 "," 18 125 "," 84 209 "," 173 630 "," 106 309 "," 40 524 "," 14 944 "," 7 364 "," 34 694 ","Campo Grande"," 266 906 "," 20 285 "," 39 174 "," 13 830 "," 11 646 "," 4 932 "," 2 154 ","  807 "," 174 079 ",50004
"Cassilândia"," 51 381 "," 3 377 "," 10 171 "," 12 186 "," 9 088 "," 2 108 ","  566 ","  314 "," 13 571 ","Cassilândia"," 32 942 "," 1 567 "," 6 433 "," 11 372 "," 8 711 "," 2 036 ","  541 ","  295 "," 1 987 ","Cassilândia"," 18 439 "," 1 809 "," 3 738 ","  815 ","  377 ","  72 ","  25 ","  19 "," 11 585 ",50005
"Dourados"," 415 480 "," 31 569 "," 81 833 "," 93 826 "," 54 613 "," 15 447 "," 5 641 "," 2 526 "," 130 026 ","Dourados"," 250 117 "," 16 799 "," 54 377 "," 86 620 "," 50 930 "," 14 257 "," 5 259 "," 2 430 "," 19 445 ","Dourados"," 165 363 "," 14 770 "," 27 456 "," 7 206 "," 3 682 "," 1 190 ","  383 ","  96 "," 110 580 ",50010
"Iguatemi"," 187 488 "," 18 631 "," 42 132 "," 39 078 "," 19 083 "," 5 084 "," 1 130 ","  533 "," 61 817 ","Iguatemi"," 105 639 "," 10 007 "," 25 519 "," 35 246 "," 18 030 "," 4 724 "," 1 087 ","  517 "," 10 509 ","Iguatemi"," 81 848 "," 8 624 "," 16 612 "," 3 832 "," 1 053 ","  360 ","  43 ","  16 "," 51 308 ",50011
"Nova Andradina"," 74 118 "," 6 310 "," 15 413 "," 19 307 "," 9 006 "," 2 333 ","  689 ","  229 "," 20 831 ","Nova Andradina"," 45 752 "," 3 270 "," 9 798 "," 17 617 "," 8 261 "," 2 124 ","  588 ","  220 "," 3 875 ","Nova Andradina"," 28 365 "," 3 040 "," 5 616 "," 1 690 ","  745 ","  208 ","  101 ","  9 "," 16 957 ",50008
"Paranaíba"," 65 995 "," 5 009 "," 15 002 "," 17 193 "," 8 273 "," 2 286 ","  590 ","  306 "," 17 337 ","Paranaíba"," 39 649 "," 2 020 "," 8 844 "," 15 578 "," 7 637 "," 2 098 ","  563 ","  285 "," 2 623 ","Paranaíba"," 26 346 "," 2 988 "," 6 158 "," 1 614 ","  636 ","  188 ","  27 ","  21 "," 14 714 ",50006
"Três Lagoas"," 131 341 "," 7 546 "," 22 019 "," 35 688 "," 20 639 "," 5 491 "," 1 623 ","  574 "," 37 761 ","Três Lagoas"," 82 781 "," 3 600 "," 14 522 "," 33 032 "," 18 844 "," 4 878 "," 1 443 ","  561 "," 5 901 ","Três Lagoas"," 48 560 "," 3 945 "," 7 498 "," 2 656 "," 1 795 ","  613 ","  180 ","  13 "," 31 860 ",50007
"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,
"Água Clara"," 11 781 ","  799 "," 1 717 "," 3 187 "," 1 697 ","  369 ","  99 ","  34 "," 3 879 ","Água Clara"," 7 484 ","  346 "," 1 373 "," 3 086 "," 1 661 ","  362 ","  95 ","  34 ","  527 ","Água Clara"," 4 297 ","  453 ","  343 ","  101 ","  35 ","  7 ","  4 ","- "," 3 353 ",5000203
"Alcinópolis"," 3 871 ","  364 ","  751 ","  957 ","  574 ","  115 ","  24 ","  17 "," 1 069 ","Alcinópolis"," 2 485 ","  163 ","  493 ","  912 ","  570 ","  113 ","  24 ","  17 ","  193 ","Alcinópolis"," 1 386 ","  201 ","  258 ","  45 ","  3 ","  2 ","- ","- ","  877 ",5000252
"Amambai"," 27 932 "," 2 889 "," 6 189 "," 5 548 "," 2 999 ","  772 ","  283 ","  79 "," 9 172 ","Amambai"," 15 845 "," 1 290 "," 4 078 "," 5 229 "," 2 806 ","  699 ","  246 ","  79 "," 1 418 ","Amambai"," 12 088 "," 1 599 "," 2 111 ","  319 ","  194 ","  73 ","  37 ","- "," 7 754 ",5000609
"Anastácio"," 19 929 "," 1 738 "," 5 377 "," 3 757 "," 1 919 ","  536 ","  131 ","  9 "," 6 462 ","Anastácio"," 11 555 "," 1 067 "," 3 708 "," 3 374 "," 1 803 ","  516 ","  118 ","- ","  970 ","Anastácio"," 8 374 ","  670 "," 1 670 ","  383 ","  116 ","  20 ","  13 ","  9 "," 5 492 ",5000708
"Anaurilândia"," 7 166 ","  806 "," 1 504 "," 1 595 ","  684 ","  223 ","  44 ","  10 "," 2 301 ","Anaurilândia"," 3 879 ","  410 ","  824 "," 1 413 ","  598 ","  206 ","  34 ","  10 ","  385 ","Anaurilândia"," 3 288 ","  396 ","  679 ","  182 ","  85 ","  17 ","  10 ","- "," 1 917 ",5000807
"Angélica"," 7 776 ","  824 "," 1 553 "," 1 959 "," 1 126 ","  171 ","  37 ","  17 "," 2 089 ","Angélica"," 4 740 ","  452 ","  869 "," 1 760 "," 1 079 ","  142 ","  37 ","  17 ","  384 ","Angélica"," 3 036 ","  372 ","  685 ","  198 ","  47 ","  28 ","- ","- "," 1 705 ",5000856
"Antônio João"," 6 540 ","  855 "," 1 713 "," 1 115 ","  371 ","  117 ","  32 ","  25 "," 2 313 ","Antônio João"," 3 690 ","  522 "," 1 156 "," 1 047 ","  339 ","  106 ","  32 ","  25 ","  462 ","Antônio João"," 2 850 ","  333 ","  556 ","  68 ","  31 ","  11 ","- ","- "," 1 851 ",5000906
"Aparecida do Taboado"," 19 157 "," 1 360 "," 4 164 "," 5 525 "," 2 494 ","  613 ","  135 ","  81 "," 4 786 ","Aparecida do Taboado"," 11 567 ","  536 "," 2 417 "," 4 901 "," 2 259 ","  567 ","  118 ","  71 ","  698 ","Aparecida do Taboado"," 7 590 ","  825 "," 1 747 ","  624 ","  236 ","  46 ","  16 ","  9 "," 4 088 ",5001003
"Aquidauana"," 37 819 "," 3 465 "," 8 566 "," 7 572 "," 3 419 "," 1 207 ","  406 ","  102 "," 13 082 ","Aquidauana"," 19 864 "," 1 665 "," 5 414 "," 6 774 "," 3 025 "," 1 009 ","  330 ","  102 "," 1 544 ","Aquidauana"," 17 955 "," 1 800 "," 3 152 ","  798 ","  394 ","  197 ","  76 ","- "," 11 538 ",5001102
"Aral Moreira"," 8 040 ","  889 "," 1 824 "," 1 547 ","  439 ","  135 ","  28 ","  19 "," 3 160 ","Aral Moreira"," 4 447 ","  585 "," 1 279 "," 1 507 ","  430 ","  130 ","  28 ","  19 ","  469 ","Aral Moreira"," 3 592 ","  304 ","  544 ","  40 ","  8 ","  5 ","- ","- "," 2 690 ",5001243
"Bandeirantes"," 5 648 ","  447 "," 1 289 "," 1 327 ","  546 ","  166 ","  41 ","  27 "," 1 804 ","Bandeirantes"," 3 299 ","  256 ","  863 "," 1 253 ","  513 ","  163 ","  38 ","  27 ","  186 ","Bandeirantes"," 2 349 ","  192 ","  425 ","  75 ","  33 ","  3 ","  3 ","- "," 1 618 ",5001508
"Bataguassu"," 16 549 "," 1 279 "," 3 664 "," 4 327 "," 1 901 ","  491 ","  96 ","  66 "," 4 725 ","Bataguassu"," 10 401 ","  673 "," 2 555 "," 4 008 "," 1 755 ","  427 ","  79 ","  61 ","  843 ","Bataguassu"," 6 148 ","  606 "," 1 109 ","  319 ","  146 ","  64 ","  16 ","  5 "," 3 883 ",5001904
"Batayporã"," 9 209 ","  897 "," 1 961 "," 2 327 "," 1 032 ","  159 ","  40 ","  36 "," 2 758 ","Batayporã"," 5 192 ","  532 "," 1 057 "," 2 063 ","  937 ","  139 ","  40 ","  32 ","  393 ","Batayporã"," 4 017 ","  365 ","  904 ","  263 ","  95 ","  20 ","- ","  4 "," 2 366 ",5002001
"Bela Vista"," 18 914 "," 2 274 "," 4 653 "," 3 098 "," 1 526 ","  724 ","  137 ","  136 "," 6 367 ","Bela Vista"," 11 037 "," 1 383 "," 3 434 "," 2 871 "," 1 401 ","  654 ","  82 ","  115 "," 1 097 ","Bela Vista"," 7 877 ","  892 "," 1 219 ","  226 ","  126 ","  70 ","  55 ","  21 "," 5 270 ",5002100
"Bodoquena"," 6 659 ","  729 "," 1 580 "," 1 335 ","  612 ","  116 ","  29 ","  21 "," 2 236 ","Bodoquena"," 3 920 ","  371 "," 1 131 "," 1 273 ","  572 ","  116 ","  29 ","  21 ","  407 ","Bodoquena"," 2 738 ","  358 ","  449 ","  62 ","  41 ","- ","- ","- "," 1 829 ",5002159
"Bonito"," 16 310 "," 1 385 "," 4 114 "," 3 977 "," 1 739 ","  597 ","  159 ","  91 "," 4 248 ","Bonito"," 10 417 ","  704 "," 2 918 "," 3 807 "," 1 614 ","  566 ","  154 ","  91 ","  562 ","Bonito"," 5 893 ","  681 "," 1 195 ","  170 ","  125 ","  31 ","  5 ","- "," 3 686 ",5002209
"Brasilândia"," 9 901 ","  813 "," 1 923 "," 2 585 "," 1 417 ","  249 ","  71 ","  50 "," 2 793 ","Brasilândia"," 6 325 ","  432 "," 1 266 "," 2 374 "," 1 363 ","  244 ","  61 ","  50 ","  535 ","Brasilândia"," 3 576 ","  381 ","  656 ","  211 ","  55 ","  5 ","  10 ","- "," 2 258 ",5002308
"Caarapó"," 20 886 "," 2 061 "," 4 212 "," 4 393 "," 2 913 ","  493 ","  110 ","  54 "," 6 650 ","Caarapó"," 12 348 "," 1 052 "," 2 688 "," 3 979 "," 2 739 ","  466 ","  110 ","  54 "," 1 259 ","Caarapó"," 8 538 "," 1 009 "," 1 524 ","  414 ","  174 ","  27 ","- ","- "," 5 391 ",5002407
"Camapuã"," 11 729 "," 1 020 "," 2 541 "," 2 747 "," 1 536 ","  391 ","  82 ","  61 "," 3 349 ","Camapuã"," 7 040 ","  421 "," 1 613 "," 2 559 "," 1 476 ","  360 ","  77 ","  61 ","  472 ","Camapuã"," 4 689 ","  599 ","  929 ","  188 ","  60 ","  31 ","  5 ","- "," 2 878 ",5002605
"Campo Grande"," 673 730 "," 31 605 "," 108 629 "," 169 873 "," 111 263 "," 43 957 "," 16 681 "," 7 865 "," 183 857 ","Campo Grande"," 435 728 "," 14 237 "," 74 102 "," 156 953 "," 99 995 "," 39 122 "," 14 537 "," 7 058 "," 29 723 ","Campo Grande"," 238 002 "," 17 369 "," 34 526 "," 12 920 "," 11 268 "," 4 835 "," 2 143 ","  807 "," 154 134 ",5002704
"Caracol"," 4 529 ","  501 "," 1 176 ","  943 ","  273 ","  74 ","  17 ","- "," 1 544 ","Caracol"," 2 538 ","  271 ","  864 ","  915 ","  261 ","  72 ","  15 ","- ","  139 ","Caracol"," 1 991 ","  230 ","  312 ","  28 ","  12 ","  2 ","  2 ","- "," 1 404 ",5002803
"Cassilândia"," 18 170 "," 1 052 "," 4 785 "," 4 300 "," 2 554 ","  650 ","  164 ","  124 "," 4 541 ","Cassilândia"," 10 968 ","  475 "," 2 780 "," 3 899 "," 2 331 ","  638 ","  144 ","  110 ","  591 ","Cassilândia"," 7 202 ","  578 "," 2 005 ","  402 ","  223 ","  12 ","  20 ","  13 "," 3 949 ",5002902
