"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.25.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Mato Grosso - 2010",,,,,,,,,,"Tabela 4.25.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Mato Grosso - 2010",,,,,,,,,,"Tabela 4.25.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Mato Grosso - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total","2 537 660 "," 172 453 "," 471 732 "," 557 894 "," 354 664 "," 103 850 "," 32 460 "," 13 714 "," 830 892 ","Total","1 545 518 "," 81 989 "," 323 743 "," 525 319 "," 336 330 "," 97 839 "," 30 622 "," 13 048 "," 136 629 ","Total"," 992 142 "," 90 464 "," 147 990 "," 32 575 "," 18 335 "," 6 011 "," 1 838 ","  666 "," 694 264 ",51
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Centro-Sul Mato-grossense"," 884 704 "," 51 649 "," 160 391 "," 194 809 "," 125 615 "," 45 301 "," 15 911 "," 6 771 "," 284 259 ","Centro-Sul Mato-grossense"," 539 619 "," 21 278 "," 112 200 "," 183 412 "," 115 671 "," 41 562 "," 14 627 "," 6 286 "," 44 582 ","Centro-Sul Mato-grossense"," 345 086 "," 30 371 "," 48 190 "," 11 397 "," 9 944 "," 3 739 "," 1 284 ","  485 "," 239 676 ",5104
"Nordeste Mato-grossense"," 227 342 "," 19 314 "," 46 694 "," 42 889 "," 24 757 "," 6 654 "," 1 984 ","  933 "," 84 119 ","Nordeste Mato-grossense"," 128 448 "," 9 206 "," 31 491 "," 40 487 "," 23 718 "," 6 306 "," 1 864 ","  901 "," 14 475 ","Nordeste Mato-grossense"," 98 894 "," 10 108 "," 15 203 "," 2 401 "," 1 038 ","  348 ","  120 ","  32 "," 69 643 ",5102
"Norte Mato-grossense"," 780 777 "," 55 606 "," 139 687 "," 176 908 "," 113 805 "," 28 022 "," 7 960 "," 3 250 "," 255 539 ","Norte Mato-grossense"," 490 359 "," 29 272 "," 99 393 "," 167 517 "," 110 744 "," 27 304 "," 7 764 "," 3 176 "," 45 190 ","Norte Mato-grossense"," 290 418 "," 26 333 "," 40 294 "," 9 391 "," 3 061 ","  719 ","  196 ","  74 "," 210 350 ",5101
"Sudeste Mato-grossense"," 378 072 "," 23 966 "," 69 755 "," 87 014 "," 57 757 "," 15 403 "," 4 438 "," 1 797 "," 117 941 ","Sudeste Mato-grossense"," 232 300 "," 11 723 "," 45 610 "," 81 194 "," 54 932 "," 14 426 "," 4 262 "," 1 747 "," 18 406 ","Sudeste Mato-grossense"," 145 771 "," 12 242 "," 24 145 "," 5 820 "," 2 825 ","  978 ","  176 ","  50 "," 99 535 ",5105
"Sudoeste Mato-grossense"," 266 765 "," 21 919 "," 55 206 "," 56 275 "," 32 731 "," 8 470 "," 2 167 ","  963 "," 89 034 ","Sudoeste Mato-grossense"," 154 792 "," 10 509 "," 35 049 "," 52 708 "," 31 264 "," 8 241 "," 2 106 ","  938 "," 13 975 ","Sudoeste Mato-grossense"," 111 973 "," 11 410 "," 20 157 "," 3 566 "," 1 467 ","  228 ","  61 ","  25 "," 75 059 ",5103
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Alta Floresta"," 83 345 "," 7 284 "," 17 426 "," 18 446 "," 9 827 "," 2 186 ","  776 ","  256 "," 27 145 ","Alta Floresta"," 50 695 "," 3 574 "," 12 054 "," 17 242 "," 9 630 "," 2 102 ","  776 ","  256 "," 5 061 ","Alta Floresta"," 32 651 "," 3 711 "," 5 372 "," 1 204 ","  197 ","  84 ","- ","- "," 22 083 ",51002
"Alto Araguaia"," 28 567 "," 2 201 "," 5 376 "," 6 619 "," 4 940 "," 1 062 ","  266 ","  91 "," 8 011 ","Alto Araguaia"," 18 162 "," 1 041 "," 3 657 "," 6 216 "," 4 771 "," 1 009 ","  240 ","  86 "," 1 142 ","Alto Araguaia"," 10 405 "," 1 160 "," 1 719 ","  404 ","  169 ","  53 ","  26 ","  6 "," 6 869 ",51022
"Alto Guaporé"," 55 468 "," 4 548 "," 11 239 "," 10 887 "," 7 117 "," 1 755 ","  402 ","  147 "," 19 373 ","Alto Guaporé"," 31 498 "," 2 017 "," 7 409 "," 10 183 "," 6 918 "," 1 717 ","  391 ","  141 "," 2 723 ","Alto Guaporé"," 23 970 "," 2 532 "," 3 830 ","  704 ","  198 ","  39 ","  11 ","  6 "," 16 650 ",51012
"Alto Pantanal"," 109 787 "," 10 320 "," 27 470 "," 18 189 "," 9 696 "," 3 088 ","  947 ","  283 "," 39 794 ","Alto Pantanal"," 58 242 "," 4 385 "," 18 149 "," 16 668 "," 8 758 "," 2 811 ","  924 ","  254 "," 6 293 ","Alto Pantanal"," 51 544 "," 5 935 "," 9 321 "," 1 521 ","  938 ","  276 ","  23 ","  29 "," 33 501 ",51018
"Alto Paraguai"," 27 530 "," 2 610 "," 7 018 "," 5 270 "," 2 517 ","  517 ","  129 ","  20 "," 9 450 ","Alto Paraguai"," 15 105 "," 1 340 "," 4 216 "," 4 969 "," 2 320 ","  466 ","  129 ","  20 "," 1 645 ","Alto Paraguai"," 12 425 "," 1 270 "," 2 801 ","  302 ","  197 ","  50 ","- ","- "," 7 805 ",51015
"Alto Teles Pires"," 158 281 "," 6 922 "," 21 361 "," 40 013 "," 30 026 "," 8 164 "," 2 320 ","  802 "," 48 672 ","Alto Teles Pires"," 104 359 "," 3 165 "," 15 403 "," 38 431 "," 29 248 "," 8 017 "," 2 254 ","  764 "," 7 076 ","Alto Teles Pires"," 53 923 "," 3 757 "," 5 958 "," 1 582 ","  778 ","  147 ","  66 ","  38 "," 41 596 ",51006
"Arinos"," 62 753 "," 4 912 "," 12 167 "," 14 551 "," 8 531 "," 1 511 ","  475 ","  206 "," 20 400 ","Arinos"," 38 603 "," 2 332 "," 8 487 "," 13 916 "," 8 411 "," 1 460 ","  466 ","  203 "," 3 328 ","Arinos"," 24 150 "," 2 580 "," 3 681 ","  635 ","  119 ","  51 ","  9 ","  3 "," 17 071 ",51005
"Aripuanã"," 112 141 "," 10 019 "," 21 258 "," 22 231 "," 11 983 "," 2 842 ","  821 ","  366 "," 42 620 ","Aripuanã"," 67 668 "," 5 795 "," 16 057 "," 21 050 "," 11 667 "," 2 825 ","  775 ","  366 "," 9 134 ","Aripuanã"," 44 473 "," 4 224 "," 5 202 "," 1 182 ","  316 ","  17 ","  46 ","- "," 33 486 ",51001
"Canarana"," 80 551 "," 6 416 "," 16 524 "," 16 310 "," 9 854 "," 2 316 ","  749 ","  276 "," 28 107 ","Canarana"," 46 993 "," 3 236 "," 11 289 "," 15 469 "," 9 591 "," 2 237 ","  705 ","  262 "," 4 204 ","Canarana"," 33 558 "," 3 180 "," 5 234 ","  841 ","  263 ","  79 ","  44 ","  14 "," 23 903 ",51010
"Colíder"," 120 622 "," 11 974 "," 27 496 "," 24 478 "," 13 007 "," 2 904 ","  772 ","  434 "," 39 558 ","Colíder"," 75 536 "," 7 111 "," 19 280 "," 22 701 "," 12 708 "," 2 816 ","  752 ","  429 "," 9 739 ","Colíder"," 45 086 "," 4 862 "," 8 216 "," 1 777 ","  299 ","  88 ","  21 ","  4 "," 29 819 ",51003
"Cuiabá"," 721 390 "," 35 907 "," 119 420 "," 167 588 "," 111 588 "," 41 277 "," 14 724 "," 6 448 "," 224 437 ","Cuiabá"," 453 394 "," 14 302 "," 85 816 "," 158 242 "," 102 952 "," 37 900 "," 13 463 "," 5 992 "," 34 727 ","Cuiabá"," 267 995 "," 21 605 "," 33 605 "," 9 346 "," 8 636 "," 3 377 "," 1 261 ","  456 "," 189 710 ",51017
"Jauru"," 90 606 "," 8 412 "," 21 779 "," 19 005 "," 8 762 "," 2 422 ","  540 ","  294 "," 29 394 ","Jauru"," 50 627 "," 4 064 "," 13 144 "," 17 495 "," 8 320 "," 2 333 ","  513 ","  289 "," 4 471 ","Jauru"," 39 979 "," 4 348 "," 8 635 "," 1 510 ","  442 ","  89 ","  27 ","  5 "," 24 923 ",51014
"Médio Araguaia"," 55 459 "," 3 885 "," 10 774 "," 10 367 "," 7 074 "," 2 357 ","  671 ","  300 "," 20 032 ","Médio Araguaia"," 30 494 "," 1 620 "," 6 811 "," 9 512 "," 6 544 "," 2 111 ","  632 ","  300 "," 2 965 ","Médio Araguaia"," 24 965 "," 2 265 "," 3 964 ","  855 ","  530 ","  246 ","  38 ","- "," 17 066 ",51011
"Norte Araguaia"," 91 333 "," 9 013 "," 19 396 "," 16 212 "," 7 830 "," 1 982 ","  564 ","  357 "," 35 981 ","Norte Araguaia"," 50 962 "," 4 350 "," 13 391 "," 15 506 "," 7 584 "," 1 959 ","  527 ","  339 "," 7 306 ","Norte Araguaia"," 40 371 "," 4 663 "," 6 005 ","  705 ","  245 ","  23 ","  37 ","  18 "," 28 674 ",51009
"Paranatinga"," 27 021 "," 1 914 "," 5 363 "," 5 089 "," 2 709 ","  621 ","  114 ","  65 "," 11 146 ","Paranatinga"," 13 727 ","  775 "," 3 713 "," 4 852 "," 2 602 ","  621 ","  114 ","  65 ","  984 ","Paranatinga"," 13 295 "," 1 139 "," 1 649 ","  237 ","  108 ","- ","- ","- "," 10 162 ",51008
"Parecis"," 73 105 "," 3 619 "," 11 160 "," 16 373 "," 13 886 "," 3 336 ","  793 ","  383 "," 23 555 ","Parecis"," 46 948 "," 1 645 "," 8 133 "," 15 545 "," 13 485 "," 3 218 ","  793 ","  383 "," 3 747 ","Parecis"," 26 156 "," 1 973 "," 3 028 ","  828 ","  401 ","  118 ","- ","- "," 19 808 ",51004
"Primavera do Leste"," 69 758 "," 2 871 "," 9 895 "," 17 028 "," 13 177 "," 3 677 "," 1 126 ","  412 "," 21 574 ","Primavera do Leste"," 46 276 "," 1 439 "," 7 562 "," 16 266 "," 12 769 "," 3 598 "," 1 100 ","  412 "," 3 132 ","Primavera do Leste"," 23 482 "," 1 432 "," 2 333 ","  762 ","  409 ","  79 ","  26 ","- "," 18 442 ",51019
"Rondonópolis"," 233 493 "," 14 417 "," 42 780 "," 55 095 "," 35 201 "," 9 724 "," 2 831 "," 1 214 "," 72 232 ","Rondonópolis"," 143 504 "," 7 015 "," 27 619 "," 51 122 "," 33 310 "," 9 022 "," 2 752 "," 1 172 "," 11 492 ","Rondonópolis"," 89 989 "," 7 402 "," 15 160 "," 3 973 "," 1 892 ","  702 ","  78 ","  42 "," 60 740 ",51021
"Rosário Oeste"," 25 998 "," 2 812 "," 6 483 "," 3 761 "," 1 814 ","  419 ","  111 ","  20 "," 10 578 ","Rosário Oeste"," 12 877 "," 1 251 "," 4 020 "," 3 533 "," 1 641 ","  384 ","  111 ","  20 "," 1 917 ","Rosário Oeste"," 13 121 "," 1 561 "," 2 463 ","  228 ","  173 ","  35 ","- ","- "," 8 660 ",51016
"Sinop"," 143 509 "," 8 961 "," 23 456 "," 35 726 "," 23 836 "," 6 458 "," 1 889 ","  738 "," 42 444 ","Sinop"," 92 824 "," 4 874 "," 16 267 "," 33 781 "," 22 993 "," 6 246 "," 1 834 ","  710 "," 6 120 ","Sinop"," 50 685 "," 4 087 "," 7 188 "," 1 945 ","  843 ","  213 ","  55 ","  29 "," 36 325 ",51007
"Tangará da Serra"," 120 691 "," 8 959 "," 22 188 "," 26 383 "," 16 852 "," 4 293 "," 1 226 ","  522 "," 40 268 ","Tangará da Serra"," 72 666 "," 4 429 "," 14 496 "," 25 031 "," 16 026 "," 4 192 "," 1 203 ","  508 "," 6 781 ","Tangará da Serra"," 48 024 "," 4 530 "," 7 692 "," 1 352 ","  826 ","  101 ","  23 ","  14 "," 33 486 ",51013
"Tesouro"," 46 254 "," 4 478 "," 11 705 "," 8 271 "," 4 439 ","  941 ","  216 ","  80 "," 16 124 ","Tesouro"," 24 358 "," 2 229 "," 6 771 "," 7 591 "," 4 083 ","  797 ","  170 ","  78 "," 2 640 ","Tesouro"," 21 895 "," 2 249 "," 4 933 ","  681 ","  356 ","  144 ","  46 ","  2 "," 13 484 ",51020
"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,
"Acorizal"," 4 682 ","  500 "," 1 240 ","  543 ","  244 ","  41 ","  6 ","- "," 2 108 ","Acorizal"," 1 843 ","  224 ","  692 ","  502 ","  196 ","  37 ","  6 ","- ","  185 ","Acorizal"," 2 839 ","  275 ","  548 ","  41 ","  48 ","  4 ","- ","- "," 1 923 ",5100102
"Água Boa"," 17 417 "," 1 046 "," 3 190 "," 3 886 "," 2 485 ","  521 ","  180 ","  67 "," 6 043 ","Água Boa"," 10 071 ","  457 "," 2 275 "," 3 687 "," 2 417 ","  510 ","  146 ","  57 ","  522 ","Água Boa"," 7 346 ","  589 ","  915 ","  199 ","  68 ","  10 ","  34 ","  10 "," 5 522 ",5100201
"Alta Floresta"," 41 387 "," 3 068 "," 8 291 "," 9 987 "," 5 655 "," 1 350 ","  483 ","  127 "," 12 426 ","Alta Floresta"," 25 554 "," 1 140 "," 5 704 "," 9 317 "," 5 489 "," 1 271 ","  483 ","  127 "," 2 024 ","Alta Floresta"," 15 833 "," 1 929 "," 2 588 ","  670 ","  167 ","  79 ","- ","- "," 10 402 ",5100250
"Alto Araguaia"," 13 175 "," 1 146 "," 2 631 "," 3 075 "," 2 000 ","  531 ","  132 ","  23 "," 3 638 ","Alto Araguaia"," 8 399 ","  558 "," 1 773 "," 2 893 "," 1 938 ","  514 ","  115 ","  17 ","  591 ","Alto Araguaia"," 4 776 ","  588 ","  858 ","  182 ","  62 ","  17 ","  16 ","  6 "," 3 047 ",5100300
"Alto Boa Vista"," 4 152 ","  344 ","  773 ","  628 ","  299 ","  100 ","  10 ","- "," 1 998 ","Alto Boa Vista"," 2 126 ","  168 ","  547 ","  577 ","  296 ","  100 ","  10 ","- ","  426 ","Alto Boa Vista"," 2 026 ","  175 ","  226 ","  51 ","  3 ","- ","- ","- "," 1 572 ",5100359
"Alto Garças"," 8 741 ","  792 "," 1 706 "," 1 865 "," 1 512 ","  239 ","  70 ","  38 "," 2 519 ","Alto Garças"," 5 443 ","  396 "," 1 109 "," 1 725 "," 1 438 ","  215 ","  63 ","  38 ","  458 ","Alto Garças"," 3 298 ","  395 ","  597 ","  140 ","  74 ","  24 ","  6 ","- "," 2 061 ",5100409
"Alto Paraguai"," 8 415 ","  575 "," 1 933 "," 1 483 ","  595 ","  99 ","  6 ","- "," 3 725 ","Alto Paraguai"," 3 493 ","  237 ","  918 "," 1 430 ","  540 ","  82 ","  6 ","- ","  280 ","Alto Paraguai"," 4 922 ","  338 "," 1 015 ","  53 ","  55 ","  16 ","- ","- "," 3 444 ",5100508
"Alto Taquari"," 6 650 ","  263 "," 1 039 "," 1 679 "," 1 428 ","  292 ","  65 ","  30 "," 1 854 ","Alto Taquari"," 4 319 ","  86 ","  775 "," 1 598 "," 1 395 ","  280 ","  62 ","  30 ","  94 ","Alto Taquari"," 2 331 ","  177 ","  264 ","  81 ","  33 ","  12 ","  3 ","- "," 1 761 ",5100607
"Apiacás"," 7 000 ","  701 "," 1 466 "," 1 609 ","  781 ","  182 ","  28 ","  8 "," 2 225 ","Apiacás"," 4 675 ","  427 "," 1 165 "," 1 575 ","  781 ","  182 ","  28 ","  8 ","  509 ","Apiacás"," 2 325 ","  274 ","  301 ","  34 ","- ","- ","- ","- "," 1 716 ",5100805
"Araguaiana"," 2 728 ","  189 ","  639 ","  512 ","  325 ","  71 ","  4 ","  6 ","  982 ","Araguaiana"," 1 548 ","  76 ","  410 ","  494 ","  305 ","  65 ","  4 ","  6 ","  188 ","Araguaiana"," 1 181 ","  113 ","  230 ","  18 ","  21 ","  6 ","- ","- ","  794 ",5101001
