"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.26.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Goiás - 2010",,,,,,,,,,"Tabela 4.26.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Goiás - 2010",,,,,,,,,,"Tabela 4.26.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Goiás - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total","5 092 674 "," 339 662 ","1 080 612 ","1 161 438 "," 688 904 "," 209 355 "," 70 640 "," 34 056 ","1 508 008 ","Total","3 158 254 "," 168 449 "," 752 479 ","1 076 998 "," 638 049 "," 191 431 "," 64 046 "," 30 718 "," 236 084 ","Total","1 934 420 "," 171 212 "," 328 132 "," 84 440 "," 50 855 "," 17 924 "," 6 594 "," 3 339 ","1 271 924 ",52
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Centro Goiano","2 621 777 "," 141 499 "," 537 691 "," 618 620 "," 392 176 "," 131 142 "," 47 801 "," 24 409 "," 728 439 ","Centro Goiano","1 668 511 "," 70 818 "," 376 692 "," 571 129 "," 359 233 "," 118 955 "," 43 171 "," 21 591 "," 106 921 ","Centro Goiano"," 953 266 "," 70 681 "," 160 999 "," 47 491 "," 32 943 "," 12 187 "," 4 630 "," 2 818 "," 621 518 ",5203
"Leste Goiano"," 943 411 "," 77 032 "," 196 620 "," 205 749 "," 98 593 "," 26 338 "," 7 230 "," 2 200 "," 329 650 ","Leste Goiano"," 559 836 "," 35 801 "," 149 109 "," 194 989 "," 93 195 "," 24 309 "," 6 453 "," 1 988 "," 53 992 ","Leste Goiano"," 383 575 "," 41 231 "," 47 510 "," 10 760 "," 5 397 "," 2 029 ","  778 ","  212 "," 275 658 ",5204
"Noroeste Goiano"," 189 628 "," 20 000 "," 48 720 "," 37 875 "," 17 898 "," 4 882 "," 1 374 ","  450 "," 58 428 ","Noroeste Goiano"," 110 835 "," 10 316 "," 32 295 "," 34 543 "," 16 592 "," 4 417 "," 1 259 ","  431 "," 10 983 ","Noroeste Goiano"," 78 792 "," 9 684 "," 16 426 "," 3 332 "," 1 306 ","  466 ","  114 ","  19 "," 47 445 ",5201
"Norte Goiano"," 247 712 "," 27 939 "," 62 418 "," 41 324 "," 23 544 "," 6 225 "," 1 734 ","  968 "," 83 559 ","Norte Goiano"," 138 789 "," 14 185 "," 40 356 "," 37 417 "," 22 220 "," 5 902 "," 1 653 ","  926 "," 16 131 ","Norte Goiano"," 108 923 "," 13 754 "," 22 062 "," 3 908 "," 1 324 ","  323 ","  81 ","  42 "," 67 429 ",5202
"Sul Goiano","1 090 146 "," 73 193 "," 235 163 "," 257 869 "," 156 693 "," 40 767 "," 12 501 "," 6 029 "," 307 932 ","Sul Goiano"," 680 283 "," 37 330 "," 154 027 "," 238 921 "," 146 809 "," 37 847 "," 11 510 "," 5 781 "," 48 058 ","Sul Goiano"," 409 864 "," 35 863 "," 81 135 "," 18 948 "," 9 884 "," 2 920 ","  992 ","  247 "," 259 874 ",5205
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Anápolis"," 462 676 "," 28 715 "," 109 977 "," 105 913 "," 59 187 "," 16 821 "," 5 135 "," 2 032 "," 134 897 ","Anápolis"," 280 893 "," 14 461 "," 74 687 "," 96 888 "," 54 261 "," 15 195 "," 4 562 "," 1 839 "," 19 000 ","Anápolis"," 181 784 "," 14 253 "," 35 290 "," 9 025 "," 4 926 "," 1 626 ","  573 ","  193 "," 115 896 ",52007
"Anicuns"," 95 578 "," 8 534 "," 27 705 "," 20 042 "," 9 704 "," 2 582 ","  698 ","  251 "," 26 063 ","Anicuns"," 54 394 "," 4 469 "," 16 754 "," 17 314 "," 8 765 "," 2 384 ","  654 ","  240 "," 3 814 ","Anicuns"," 41 184 "," 4 065 "," 10 951 "," 2 727 ","  939 ","  198 ","  44 ","  11 "," 22 249 ",52009
"Aragarças"," 48 062 "," 5 122 "," 13 068 "," 9 352 "," 4 533 "," 1 262 ","  392 ","  113 "," 14 220 ","Aragarças"," 28 260 "," 2 582 "," 8 425 "," 8 452 "," 4 245 "," 1 155 ","  366 ","  110 "," 2 925 ","Aragarças"," 19 802 "," 2 539 "," 4 643 ","  900 ","  288 ","  107 ","  26 ","  4 "," 11 295 ",52003
"Catalão"," 126 872 "," 7 694 "," 25 674 "," 29 648 "," 20 703 "," 5 792 "," 1 791 ","  705 "," 34 866 ","Catalão"," 79 097 "," 3 831 "," 16 532 "," 26 944 "," 18 796 "," 5 257 "," 1 577 ","  692 "," 5 467 ","Catalão"," 47 775 "," 3 863 "," 9 141 "," 2 704 "," 1 907 ","  535 ","  213 ","  12 "," 29 399 ",52017
"Ceres"," 199 520 "," 18 753 "," 53 437 "," 42 306 "," 21 912 "," 5 141 "," 1 567 ","  684 "," 55 719 ","Ceres"," 118 082 "," 9 972 "," 34 012 "," 38 155 "," 20 235 "," 4 771 "," 1 514 ","  649 "," 8 774 ","Ceres"," 81 438 "," 8 780 "," 19 425 "," 4 151 "," 1 677 ","  370 ","  54 ","  35 "," 46 946 ",52006
"Chapada dos Veadeiros"," 50 979 "," 6 926 "," 12 717 "," 7 739 "," 3 537 ","  972 ","  301 ","  128 "," 18 658 ","Chapada dos Veadeiros"," 28 762 "," 3 548 "," 8 822 "," 6 987 "," 3 288 ","  898 ","  267 ","  111 "," 4 841 ","Chapada dos Veadeiros"," 22 217 "," 3 378 "," 3 895 ","  752 ","  249 ","  74 ","  35 ","  17 "," 13 817 ",52005
"Entorno de Brasília"," 855 576 "," 65 656 "," 174 285 "," 194 680 "," 93 295 "," 24 858 "," 6 912 "," 2 057 "," 293 834 ","Entorno de Brasília"," 514 349 "," 30 161 "," 133 822 "," 185 070 "," 88 186 "," 22 915 "," 6 151 "," 1 860 "," 46 183 ","Entorno de Brasília"," 341 227 "," 35 495 "," 40 463 "," 9 609 "," 5 109 "," 1 943 ","  761 ","  197 "," 247 651 ",52012
"Goiânia","1 811 983 "," 79 982 "," 331 088 "," 440 528 "," 296 032 "," 105 052 "," 40 045 "," 21 225 "," 498 031 ","Goiânia","1 184 856 "," 38 826 "," 241 699 "," 410 200 "," 271 023 "," 95 165 "," 36 103 "," 18 676 "," 73 165 ","Goiânia"," 627 127 "," 41 156 "," 89 389 "," 30 328 "," 25 008 "," 9 887 "," 3 942 "," 2 550 "," 424 866 ",52010
"Iporá"," 52 020 "," 5 515 "," 15 484 "," 9 831 "," 5 341 "," 1 546 ","  356 ","  217 "," 13 729 ","Iporá"," 30 285 "," 3 089 "," 9 540 "," 8 573 "," 4 948 "," 1 441 ","  339 ","  188 "," 2 167 ","Iporá"," 21 734 "," 2 425 "," 5 944 "," 1 259 ","  393 ","  106 ","  17 ","  29 "," 11 561 ",52008
"Meia Ponte"," 311 095 "," 21 062 "," 71 008 "," 73 876 "," 43 271 "," 11 311 "," 3 237 "," 1 473 "," 85 855 ","Meia Ponte"," 190 754 "," 10 828 "," 45 226 "," 67 691 "," 39 945 "," 10 261 "," 2 831 "," 1 379 "," 12 594 ","Meia Ponte"," 120 341 "," 10 234 "," 25 783 "," 6 186 "," 3 326 "," 1 050 ","  406 ","  94 "," 73 261 ",52015
"Pires do Rio"," 80 589 "," 6 493 "," 19 974 "," 18 627 "," 9 154 "," 2 711 ","  802 ","  334 "," 22 495 ","Pires do Rio"," 50 270 "," 3 533 "," 13 492 "," 17 146 "," 8 387 "," 2 496 ","  721 ","  312 "," 4 184 ","Pires do Rio"," 30 319 "," 2 960 "," 6 481 "," 1 481 ","  767 ","  215 ","  80 ","  22 "," 18 312 ",52016
"Porangatu"," 196 733 "," 21 013 "," 49 701 "," 33 585 "," 20 007 "," 5 253 "," 1 433 ","  840 "," 64 901 ","Porangatu"," 110 028 "," 10 637 "," 31 534 "," 30 430 "," 18 932 "," 5 004 "," 1 387 ","  815 "," 11 290 ","Porangatu"," 86 706 "," 10 376 "," 18 167 "," 3 156 "," 1 075 ","  249 ","  46 ","  25 "," 53 611 ",52004
"Quirinópolis"," 95 365 "," 6 655 "," 22 030 "," 22 120 "," 14 344 "," 3 469 "," 1 165 ","  507 "," 25 075 ","Quirinópolis"," 60 286 "," 3 429 "," 13 656 "," 20 477 "," 13 846 "," 3 270 "," 1 130 ","  488 "," 3 990 ","Quirinópolis"," 35 079 "," 3 226 "," 8 374 "," 1 643 ","  497 ","  199 ","  35 ","  19 "," 21 085 ",52018
"Rio Vermelho"," 76 105 "," 8 351 "," 20 592 "," 15 359 "," 7 244 "," 2 055 ","  675 ","  205 "," 21 624 ","Rio Vermelho"," 45 278 "," 4 532 "," 13 797 "," 13 861 "," 6 608 "," 1 747 ","  591 ","  195 "," 3 950 ","Rio Vermelho"," 30 826 "," 3 819 "," 6 796 "," 1 499 ","  636 ","  309 ","  84 ","  10 "," 17 674 ",52002
"São Miguel do Araguaia"," 65 461 "," 6 527 "," 15 060 "," 13 164 "," 6 121 "," 1 566 ","  307 ","  132 "," 22 584 ","São Miguel do Araguaia"," 37 297 "," 3 201 "," 10 072 "," 12 230 "," 5 739 "," 1 516 ","  303 ","  127 "," 4 108 ","São Miguel do Araguaia"," 28 164 "," 3 326 "," 4 988 ","  933 ","  382 ","  50 ","  4 ","  5 "," 18 476 ",52001
"Sudoeste de Goiás"," 378 779 "," 22 372 "," 73 089 "," 91 261 "," 58 228 "," 14 817 "," 4 803 "," 2 623 "," 111 587 ","Sudoeste de Goiás"," 239 701 "," 10 845 "," 49 640 "," 86 031 "," 55 344 "," 14 059 "," 4 570 "," 2 527 "," 16 685 ","Sudoeste de Goiás"," 139 078 "," 11 527 "," 23 449 "," 5 231 "," 2 884 ","  758 ","  232 ","  96 "," 94 902 ",52013
"Vale do Rio dos Bois"," 97 446 "," 8 916 "," 23 388 "," 22 336 "," 10 994 "," 2 667 ","  705 ","  386 "," 28 055 ","Vale do Rio dos Bois"," 60 174 "," 4 863 "," 15 482 "," 20 632 "," 10 490 "," 2 505 ","  680 ","  383 "," 5 140 ","Vale do Rio dos Bois"," 37 272 "," 4 053 "," 7 906 "," 1 704 ","  504 ","  162 ","  25 ","  3 "," 22 916 ",52014
"Vão do Paranã"," 87 835 "," 11 376 "," 22 334 "," 11 069 "," 5 298 "," 1 480 ","  318 ","  143 "," 35 816 ","Vão do Paranã"," 45 487 "," 5 640 "," 15 288 "," 9 918 "," 5 009 "," 1 394 ","  301 ","  128 "," 7 808 ","Vão do Paranã"," 42 348 "," 5 736 "," 7 047 "," 1 151 ","  289 ","  86 ","  17 ","  15 "," 28 007 ",52011
"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,
"Abadia de Goiás"," 5 805 ","  294 "," 1 473 "," 1 564 ","  658 ","  154 ","  14 ","  18 "," 1 629 ","Abadia de Goiás"," 3 679 ","  126 "," 1 115 "," 1 480 ","  605 ","  145 ","  14 ","  14 ","  180 ","Abadia de Goiás"," 2 126 ","  168 ","  358 ","  85 ","  52 ","  9 ","- ","  4 "," 1 450 ",5200050
"Abadiânia"," 13 491 ","  770 "," 4 110 "," 2 547 "," 1 156 ","  266 ","  61 ","  34 "," 4 549 ","Abadiânia"," 7 652 ","  365 "," 3 079 "," 2 444 "," 1 074 ","  199 ","  37 ","  28 ","  427 ","Abadiânia"," 5 839 ","  405 "," 1 031 ","  103 ","  83 ","  67 ","  23 ","  6 "," 4 122 ",5200100
"Acreúna"," 17 129 "," 1 775 "," 3 754 "," 3 828 "," 1 934 ","  497 ","  95 ","  94 "," 5 151 ","Acreúna"," 10 655 ","  969 "," 2 670 "," 3 607 "," 1 863 ","  471 ","  90 ","  94 ","  890 ","Acreúna"," 6 474 ","  807 "," 1 084 ","  221 ","  71 ","  26 ","  5 ","- "," 4 260 ",5200134
"Adelândia"," 2 148 ","  296 ","  636 ","  446 ","  172 ","  55 ","- ","  6 ","  536 ","Adelândia"," 1 286 ","  183 ","  398 ","  352 ","  158 ","  55 ","- ","  6 ","  134 ","Adelândia","  863 ","  113 ","  238 ","  94 ","  14 ","- ","- ","- ","  403 ",5200159
"Água Fria de Goiás"," 4 239 ","  513 "," 1 046 ","  698 ","  275 ","  77 ","  28 ","  13 "," 1 587 ","Água Fria de Goiás"," 2 458 ","  323 ","  668 ","  644 ","  250 ","  77 ","  28 ","  10 ","  456 ","Água Fria de Goiás"," 1 781 ","  190 ","  378 ","  55 ","  25 ","- ","- ","  3 "," 1 131 ",5200175
"Água Limpa"," 1 785 ","  124 ","  498 ","  374 ","  168 ","  34 ","  14 ","  2 ","  572 ","Água Limpa","  951 ","  65 ","  311 ","  339 ","  148 ","  31 ","  14 ","- ","  44 ","Água Limpa","  834 ","  59 ","  187 ","  35 ","  20 ","  4 ","- ","  2 ","  528 ",5200209
"Águas Lindas de Goiás"," 126 526 "," 10 169 "," 24 691 "," 32 958 "," 11 871 "," 1 624 ","  483 ","  126 "," 44 604 ","Águas Lindas de Goiás"," 77 174 "," 4 359 "," 20 840 "," 31 669 "," 11 432 "," 1 488 ","  437 ","  99 "," 6 850 ","Águas Lindas de Goiás"," 49 352 "," 5 810 "," 3 851 "," 1 289 ","  439 ","  136 ","  46 ","  27 "," 37 754 ",5200258
"Alexânia"," 19 760 "," 1 909 "," 5 365 "," 3 710 "," 1 779 ","  612 ","  67 ","  4 "," 6 314 ","Alexânia"," 10 926 ","  926 "," 3 386 "," 3 461 "," 1 659 ","  509 ","  46 ","- ","  940 ","Alexânia"," 8 834 ","  983 "," 1 979 ","  249 ","  120 ","  103 ","  21 ","  4 "," 5 374 ",5200308
"Aloândia"," 1 833 ","  227 ","  539 ","  403 ","  167 ","  57 ","  12 ","  4 ","  425 ","Aloândia"," 1 047 ","  131 ","  278 ","  349 ","  158 ","  55 ","  10 ","  4 ","  63 ","Aloândia","  786 ","  97 ","  260 ","  54 ","  9 ","  2 ","  2 ","- ","  362 ",5200506
"Alto Horizonte"," 3 819 ","  250 "," 1 015 ","  773 ","  473 ","  122 ","  27 ","  24 "," 1 136 ","Alto Horizonte"," 2 262 ","  146 ","  677 ","  727 ","  447 ","  116 ","  24 ","  24 ","  101 ","Alto Horizonte"," 1 558 ","  105 ","  338 ","  46 ","  26 ","  6 ","  3 ","- "," 1 035 ",5200555
"Alto Paraíso de Goiás"," 5 653 ","  613 "," 1 580 ","  993 ","  541 ","  135 ","  59 ","  33 "," 1 699 ","Alto Paraíso de Goiás"," 3 908 ","  398 "," 1 259 ","  937 ","  501 ","  117 ","  53 ","  18 ","  625 ","Alto Paraíso de Goiás"," 1 745 ","  215 ","  321 ","  56 ","  40 ","  17 ","  6 ","  16 "," 1 074 ",5200605
"Alvorada do Norte"," 6 631 "," 1 045 "," 1 945 ","  971 ","  525 ","  111 ","  36 ","  3 "," 1 995 ","Alvorada do Norte"," 4 108 ","  577 "," 1 477 ","  866 ","  510 ","  104 ","  36 ","  3 ","  535 ","Alvorada do Norte"," 2 522 ","  468 ","  468 ","  104 ","  15 ","  7 ","- ","- "," 1 461 ",5200803
"Amaralina"," 2 930 ","  353 ","  595 ","  438 ","  94 ","  20 ","  4 ","- "," 1 425 ","Amaralina"," 1 431 ","  232 ","  443 ","  389 ","  88 ","  20 ","  4 ","- ","  255 ","Amaralina"," 1 498 ","  122 ","  152 ","  49 ","  6 ","- ","- ","- "," 1 170 ",5200829
"Americano do Brasil"," 4 771 ","  588 "," 1 255 ","  977 ","  552 ","  91 ","  6 ","  6 "," 1 296 ","Americano do Brasil"," 2 749 ","  364 ","  668 ","  855 ","  532 ","  87 ","  6 ","  6 ","  230 ","Americano do Brasil"," 2 022 ","  224 ","  587 ","  122 ","  20 ","  4 ","- ","- "," 1 065 ",5200852
