"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,"Censo Demográfico 2010 - Rendimento - Resultados da Amostra",,,,,,,,,,
"Tabela 4.27.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Distrito Federal - 2010",,,,,,,,,,"Tabela 4.27.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Distrito Federal - 2010",,,,,,,,,,"Tabela 4.27.2.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e as classes de rendimento nominal mensal, segundo as mesorregiões, as microrregiões e os municípios - Distrito Federal - 2010",,,,,,,,,,
,,,,,,,,,"(continua)",,,,,,,,,"(continuação)",,,,,,,,,,,"(conclusão)",
"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Mesorregiões, microrregiões e municípios","Pessoas de 10 anos ou mais de idade",,,,,,,,,"Código
da
Unidade
Geográfica                                                 "
,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,,"Condição de atividade na semana de referência",,,,,,,,,
,,,,,,,,,,,"Economicamente ativas ",,,,,,,,,,"Não economicamente ativas ",,,,,,,,,
,,,,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,,"Total","Classes de rendimento nominal mensal (salário mínimo) (1)",,,,,,,,
,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",,,"Até 1/2","Mais de 1/2 a 1","Mais de 1 a 2","Mais de 2 a 5","Mais de 5 a 10","Mais de 10 a 20","Mais de 20","Sem rendimento (2)",
"Total","2 180 903 "," 85 905 "," 274 245 "," 432 771 "," 320 822 "," 205 364 "," 126 058 "," 77 103 "," 658 634 ","Total","1 402 349 "," 34 535 "," 208 208 "," 401 268 "," 285 969 "," 181 021 "," 109 938 "," 67 961 "," 113 450 ","Total"," 778 554 "," 51 370 "," 66 038 "," 31 503 "," 34 854 "," 24 344 "," 16 120 "," 9 142 "," 545 185 ",53
"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,"Mesorregiões",,,,,,,,,,
"Distrito Federal","2 180 903 "," 85 905 "," 274 245 "," 432 771 "," 320 822 "," 205 364 "," 126 058 "," 77 103 "," 658 634 ","Distrito Federal","1 402 349 "," 34 535 "," 208 208 "," 401 268 "," 285 969 "," 181 021 "," 109 938 "," 67 961 "," 113 450 ","Distrito Federal"," 778 554 "," 51 370 "," 66 038 "," 31 503 "," 34 854 "," 24 344 "," 16 120 "," 9 142 "," 545 185 ",5301
"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,"Microrregiões",,,,,,,,,,
"Brasília","2 180 903 "," 85 905 "," 274 245 "," 432 771 "," 320 822 "," 205 364 "," 126 058 "," 77 103 "," 658 634 ","Brasília","1 402 349 "," 34 535 "," 208 208 "," 401 268 "," 285 969 "," 181 021 "," 109 938 "," 67 961 "," 113 450 ","Brasília"," 778 554 "," 51 370 "," 66 038 "," 31 503 "," 34 854 "," 24 344 "," 16 120 "," 9 142 "," 545 185 ",53001
"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,"Municípios",,,,,,,,,,
"Brasília","2 180 903 "," 85 905 "," 274 245 "," 432 771 "," 320 822 "," 205 364 "," 126 058 "," 77 103 "," 658 634 ","Brasília","1 402 349 "," 34 535 "," 208 208 "," 401 268 "," 285 969 "," 181 021 "," 109 938 "," 67 961 "," 113 450 ","Brasília"," 778 554 "," 51 370 "," 66 038 "," 31 503 "," 34 854 "," 24 344 "," 16 120 "," 9 142 "," 545 185 ",5300108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"Fonte: IBGE, Censo Demográfico 2010.",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"(1) Salário mínimo utilizado: R$ 510,00.  (2) Inclusive as pessoas que recebiam somente em benefícios. ",,,,,,,,,,
